symbol,entry_time,exit_time,days_held,entry_price,exit_price,qty,invested,reason,gross_pnl,charges,net_pnl,win
KOTAKBANK,2025-03-20 00:00:00+05:30,2025-04-21 00:00:00+05:30,18,406.60619999999994,441.24882948,49,19923.703799999996,Target Hit,1697.488844520002,46.168243689611856,1651.32060083039,1
INDIGO,2025-03-26 00:00:00+05:30,2025-04-22 00:00:00+05:30,15,5025.0199999999995,5521.821211439999,3,15075.059999999998,Target Hit,1490.4036343199996,35.14683723933049,1455.256797080669,1
ICICIBANK,2025-03-27 00:00:00+05:30,2025-05-26 00:00:00+05:30,37,1334.48315,1465.34730588,14,18682.7641,Target Hit,1832.09818232,43.54246759546429,1788.5557147245356,1
SBILIFE,2025-03-27 00:00:00+05:30,2025-05-29 00:00:00+05:30,40,1542.9414,1817.05140972,12,18515.2968,Target Hit,3289.3201166400013,44.68379684138978,3244.6363197986116,1
BHARTIARTL,2025-03-27 00:00:00+05:30,2025-06-20 00:00:00+05:30,56,1741.68995,1916.1573445800002,11,19158.58945,Target Hit,1919.1413403800027,44.69340785933896,1874.4479325206637,1
FEDERALBNK,2025-04-21 00:00:00+05:30,2025-07-01 00:00:00+05:30,51,196.19599999999997,218.50128,101,19815.796,End of Backtest,2252.833280000004,46.504946814768,2206.328333185236,1
SUNPHARMA,2025-04-22 00:00:00+05:30,2025-07-01 00:00:00+05:30,50,1752.7509999999997,1665.5328,11,19280.261,End of Backtest,-959.4001999999978,41.972765092829995,-1001.3729650928277,0
BANKINDIA,2025-05-26 00:00:00+05:30,2025-07-01 00:00:00+05:30,27,117.5174,120.96891000000001,170,19977.958,End of Backtest,586.7567000000022,45.134720570744996,541.6219794292572,1
NESTLEIND,2025-05-29 00:00:00+05:30,2025-07-01 00:00:00+05:30,24,1211.9107,1203.795,16,19390.5712,End of Backtest,-129.85119999999733,43.08080518872001,-172.93200518871734,0
TECHM,2025-06-20 00:00:00+05:30,2025-07-01 00:00:00+05:30,8,1681.6799999999998,1669.5288,11,18498.48,End of Backtest,-133.6631999999977,41.08863952908,-174.7518395290777,0
