symbol,entry_time,exit_time,days_held,entry_price,exit_price,qty,invested,reason,gross_pnl,charges,net_pnl,win
AXISGOLD,2025-03-26 00:00:00+05:30,2025-04-23 00:00:00+05:30,16,76.12604999999999,80.5648545,328,24969.344399999998,Trailing Stop,1455.927876000001,57.16239650220059,1398.7654794978005,1
KOTAKBANK,2025-03-20 00:00:00+05:30,2025-04-25 00:00:00+05:30,22,406.60619999999994,436.9426199999999,61,24802.978199999998,Trailing Stop,1850.5216199999986,57.201737160087,1793.3198828399115,1
BERGEPAINT,2025-03-24 00:00:00+05:30,2025-04-25 00:00:00+05:30,20,501.5009999999999,565.4914425,49,24573.548999999995,Trailing Stop,3135.5316825000014,58.025983510506364,3077.505698989495,1
BBNPPGOLD,2025-03-25 00:00:00+05:30,2025-04-28 00:00:00+05:30,21,85.68559999999998,93.19671,291,24934.509599999994,Trailing Stop,2185.733010000005,57.84328314946349,2127.8897268505416,1
UNIONBANK,2025-04-23 00:00:00+05:30,2025-06-04 00:00:00+05:30,30,128.63850999999997,150.5667825,194,24955.870939999993,Trailing Stop,4254.084865000003,60.04063266841574,4194.044232331587,1
NAM-INDIA,2025-04-28 00:00:00+05:30,2025-06-10 00:00:00+05:30,30,645.5448999999999,780.0716474999999,18,11619.808199999998,Trailing Stop,2421.481455000001,28.413833285594247,2393.067621714407,1
ASKAUTOLTD,2025-04-01 00:00:00+05:30,2025-07-01 00:00:00+05:30,62,450.44999999999993,519.7946850000001,55,24774.749999999996,Trailing Stop,3813.957675000008,59.179522234511246,3754.7781527654965,1
UPL,2025-03-24 00:00:00+05:30,2025-07-01 00:00:00+05:30,68,668.61795,670.3789499999999,37,24738.864149999998,End of Backtest,65.15699999999879,55.20322745905499,9.953772540943795,1
AXISBPSETF,2025-04-02 00:00:00+05:30,2025-07-01 00:00:00+05:30,62,12.8128,12.73725,1951,24997.7728,End of Backtest,-147.39804999999959,55.559338076092494,-202.9573880760921,0
LUPIN,2025-04-04 00:00:00+05:30,2025-07-01 00:00:00+05:30,60,2092.0399499999994,1958.9391,11,23012.439449999994,End of Backtest,-1464.109349999993,49.7661017492925,-1513.8754517492855,0
FEDERALBNK,2025-04-09 00:00:00+05:30,2025-07-01 00:00:00+05:30,57,190.6905,218.50128,16,3051.048,End of Backtest (trailing),444.97248000000036,7.262352824688,437.7101271753124,1
ALPA,2025-04-25 00:00:00+05:30,2025-07-01 00:00:00+05:30,48,115.0149,102.63726,217,24958.2333,End of Backtest,-2685.9478799999997,52.832774626631995,-2738.7806546266315,0
AXISHCETF,2025-04-28 00:00:00+05:30,2025-07-01 00:00:00+05:30,46,141.82168,147.0528,176,24960.61568,End of Backtest,920.6771200000007,56.586629930688005,864.0904900693128,1
APOLLOHOSP,2025-04-28 00:00:00+05:30,2025-07-01 00:00:00+05:30,46,6961.454499999999,7488.504,3,20884.363499999996,End of Backtest,1581.148500000003,48.188347625925,1532.960152374078,1
BANKIETF,2025-06-04 00:00:00+05:30,2025-07-01 00:00:00+05:30,20,57.85779999999999,58.48146,432,24994.569599999995,End of Backtest,269.4211200000035,55.985420108591995,213.4356998914115,1
BANKNIFTY1,2025-06-04 00:00:00+05:30,2025-07-01 00:00:00+05:30,20,571.2406699999999,591.46794,8,4569.925359999999,End of Backtest,161.81816000000072,10.353178354427998,151.46498164557272,1
BBNPPGOLD,2025-06-10 00:00:00+05:30,2025-07-01 00:00:00+05:30,16,94.094,94.6053,149,14020.006,End of Backtest,76.18370000000084,31.325568900795005,44.858131099205835,1
AXSENSEX,2025-07-01 00:00:00+05:30,2025-07-01 00:00:00+05:30,1,86.4864,85.5144,289,24994.569600000003,End of Backtest,-280.9080000000024,55.41343553772,-336.3214355377224,0
ABSLPSE,2025-07-01 00:00:00+05:30,2025-07-01 00:00:00+05:30,1,10.300289999999999,10.23975,345,3553.6000499999996,End of Backtest,-20.886299999999245,7.89820025553,-28.784500255529245,0
