symbol,entry_time,exit_time,days_held,entry_price,exit_price,qty,reason,gross_pnl,charges,net_pnl,win
ABCAPITAL,2025-05-05 00:00:00+05:30,2025-06-06 00:00:00+05:30,32,198.19799999999998,233.23931121599998,504,Target Hit,17660.820852864,240.98461098382418,17419.836241880173,1
ADANIPORTS,2025-05-07 00:00:00+05:30,2025-07-01 00:00:00+05:30,55,1300.0987999999998,1445.553,76,End of Backtest,11054.519200000028,231.70180939307997,10822.817390606948,1
AMBUJACEM,2025-05-28 00:00:00+05:30,2025-07-01 00:00:00+05:30,34,563.2627,579.66975,177,End of Backtest,2904.0478500000045,225.2141357026275,2678.833714297377,1
APOLLOHOSP,2025-06-24 00:00:00+05:30,2025-07-01 00:00:00+05:30,7,7041.534499999999,7488.504,14,End of Backtest,6257.573000000015,226.21235965965002,6031.360640340365,1
AUBANK,2025-05-06 00:00:00+05:30,2025-06-09 00:00:00+05:30,34,680.1795,770.97753072,147,Target Hit,13347.310515840007,236.7121867771883,13110.59832906282,1
AUBANK,2025-06-16 00:00:00+05:30,2025-07-01 00:00:00+05:30,15,769.2684999999999,837.51165,129,End of Backtest,8803.366350000017,230.31624188342255,8573.050108116595,1
AXISBANK,2025-04-24 00:00:00+05:30,2025-07-01 00:00:00+05:30,68,1200.2990999999997,1172.1267,83,End of Backtest,-2338.309199999975,219.60352647908996,-2557.912726479065,0
BANKINDIA,2025-05-21 00:00:00+05:30,2025-07-01 00:00:00+05:30,41,116.11599999999999,120.96891000000001,861,End of Backtest,4178.355510000019,227.1590086405185,3951.196501359501,1
BDL,2025-06-26 00:00:00+05:30,2025-07-01 00:00:00+05:30,5,1833.6317999999997,1978.3197,54,End of Backtest,7813.146600000019,228.79781432235,7584.348785677669,1
BHARTIARTL,2025-05-28 00:00:00+05:30,2025-06-27 00:00:00+05:30,30,1849.8479999999997,2034.28735632,54,Target Hit,9959.725241280019,232.98047725992438,9726.744764020095,1
BPCL,2025-06-09 00:00:00+05:30,2025-07-01 00:00:00+05:30,22,318.1178,331.71795000000003,314,End of Backtest,4270.447100000013,227.06107942342499,4043.386020576588,1
BRITANNIA,2025-05-26 00:00:00+05:30,2025-07-01 00:00:00+05:30,36,5505.499999999999,5737.7565,18,End of Backtest,4180.617000000024,225.20706557895,3955.409934421074,1
DELHIVERY,2025-05-23 00:00:00+05:30,2025-07-01 00:00:00+05:30,39,351.25089999999994,383.56604999999996,284,End of Backtest,9177.502600000005,231.86317548302995,8945.639424516976,1
DIVISLAB,2025-06-26 00:00:00+05:30,2025-07-01 00:00:00+05:30,5,6595.588999999999,6849.6435,15,End of Backtest,3810.8175000000165,224.45461123312498,3586.3628887668915,1
EICHERMOT,2025-05-23 00:00:00+05:30,2025-07-01 00:00:00+05:30,39,5395.389999999999,5709.7845,18,End of Backtest,5659.101000000006,222.32648909835,5436.774510901656,1
ESCORTS,2025-05-21 00:00:00+05:30,2025-07-01 00:00:00+05:30,41,3518.5149999999994,3316.2804,28,End of Backtest,-5662.568799999981,213.68261177172,-5876.251411771701,0
FEDERALBNK,2025-05-15 00:00:00+05:30,2025-07-01 00:00:00+05:30,47,199.19899999999998,218.50128,502,End of Backtest,9689.744560000012,232.936351281036,9456.808208718976,1
GRASIM,2025-06-11 00:00:00+05:30,2025-07-01 00:00:00+05:30,20,2710.8080999999997,2845.2518999999998,36,End of Backtest,4839.9768,222.52723833599998,4617.449561664001,1
HAL,2025-05-22 00:00:00+05:30,2025-07-01 00:00:00+05:30,40,5006.1011,4907.2878,19,End of Backtest,-1877.4526999999962,210.033522446085,-2087.4862224460812,0
HDFCBANK,2025-04-25 00:00:00+05:30,2025-07-01 00:00:00+05:30,67,963.3623999999999,1004.994,103,End of Backtest,4288.054800000016,225.60250518702,4062.452294812996,1
HUDCO,2025-06-02 00:00:00+05:30,2025-07-01 00:00:00+05:30,29,241.48123999999999,240.1596,414,End of Backtest,-547.1589599999891,222.241655524356,-769.4006155243451,0
ICICIBANK,2025-04-25 00:00:00+05:30,2025-07-01 00:00:00+05:30,67,1411.4099999999999,1430.568,70,End of Backtest,1341.060000000009,221.58649340099996,1119.4735065990092,1
IDFCFIRSTB,2025-04-29 00:00:00+05:30,2025-07-01 00:00:00+05:30,63,66.56649999999999,77.16275999999999,1502,End of Backtest,15915.582520000002,239.37371203426196,15676.20880796574,1
INDIGO,2025-06-13 00:00:00+05:30,2025-07-01 00:00:00+05:30,18,5205.2,5959.035,19,End of Backtest,14322.865000000002,235.30222529775,14087.562774702252,1
KOTAKBANK,2025-04-28 00:00:00+05:30,2025-07-01 00:00:00+05:30,64,439.83939999999996,436.2633,227,End of Backtest,-811.7746999999863,221.67758803261495,-1033.4522880326012,0
LINDEINDIA,2025-05-26 00:00:00+05:30,2025-07-01 00:00:00+05:30,36,7111.103999999999,6568.9245,14,End of Backtest,-7590.51299999999,213.99004510064998,-7804.50304510064,0
LLOYDSME,2025-05-19 00:00:00+05:30,2025-06-05 00:00:00+05:30,17,1309.4080999999999,1513.5080968799998,76,Target Hit,15511.599762879996,237.91109648126934,15273.688666398726,1
LT,2025-06-23 00:00:00+05:30,2025-07-01 00:00:00+05:30,8,3648.6449999999995,3663.0332999999996,27,End of Backtest,388.48410000000194,219.96061895983496,168.52348104016698,1
M&M,2025-06-13 00:00:00+05:30,2025-07-01 00:00:00+05:30,18,2934.932,3172.9239,34,End of Backtest,8091.7246,230.80695420860997,7860.91764579139,1
MANAPPURAM,2025-05-08 00:00:00+05:30,2025-06-09 00:00:00+05:30,32,230.99075999999997,260.5652739,432,Target Hit,12776.190004800024,235.67646722427284,12540.51353757575,1
MANAPPURAM,2025-06-19 00:00:00+05:30,2025-07-01 00:00:00+05:30,12,265.01475,277.8219,377,End of Backtest,4828.2955500000135,227.6889557234175,4600.606594276596,1
MARICO,2025-04-28 00:00:00+05:30,2025-07-01 00:00:00+05:30,64,708.4077,716.5826999999999,141,End of Backtest,1152.6749999999936,223.81281474084,928.8621852591536,1
MAXHEALTH,2025-04-25 00:00:00+05:30,2025-06-17 00:00:00+05:30,53,1122.1209999999999,1252.53337284,89,Target Hit,11606.70118276002,234.64095034460158,11372.060232415419,1
NAM-INDIA,2025-05-05 00:00:00+05:30,2025-05-20 00:00:00+05:30,15,636.2356,757.22263938,157,Target Hit,18994.96518266001,242.36500729263764,18752.60017536737,1
NAUKRI,2025-06-26 00:00:00+05:30,2025-07-01 00:00:00+05:30,5,1518.5169999999998,1448.0505,65,End of Backtest,-4580.322499999985,215.220166273125,-4795.54266627311,0
NESTLEIND,2025-04-25 00:00:00+05:30,2025-07-01 00:00:00+05:30,67,1214.6134,1203.795,82,End of Backtest,-887.1087999999904,221.05271200427998,-1108.1615120042704,0
NHPC,2025-04-25 00:00:00+05:30,2025-07-01 00:00:00+05:30,67,89.68959999999998,85.38453,1114,End of Backtest,-4795.847979999985,217.69424503526696,-5013.542225035252,0
OBEROIRLTY,2025-06-16 00:00:00+05:30,2025-07-01 00:00:00+05:30,15,1906.9049999999997,1911.4866000000002,52,End of Backtest,238.24320000002263,221.24341509191999,16.99978490810264,1
PAGEIND,2025-06-11 00:00:00+05:30,2025-07-01 00:00:00+05:30,20,46846.799999999996,48146.805,2,End of Backtest,2600.0100000000093,211.51724671350001,2388.4927532865095,1
PIDILITIND,2025-04-28 00:00:00+05:30,2025-07-01 00:00:00+05:30,64,1497.2957999999999,1521.3771000000002,66,End of Backtest,1589.3658000000187,221.89543520859,1367.4703647914287,1
PNB,2025-06-13 00:00:00+05:30,2025-07-01 00:00:00+05:30,18,105.30519999999999,112.95693,949,End of Backtest,7261.491770000014,230.27155204990945,7031.220217950105,1
