symbol,entry_time,exit_time,days_held,entry_price,exit_price,qty,reason,gross_pnl,charges,net_pnl,win
RELIANCE,2025-05-12 00:00:00+05:30,2025-07-01 00:00:00+05:30,50,1401.3999999999999,1526.8716000000002,71,End of Backtest,8908.483600000021,231.01334520966003,8677.470254790362,1
HDFCBANK,2025-04-25 00:00:00+05:30,2025-07-01 00:00:00+05:30,67,963.3623999999999,1004.994,103,End of Backtest,4288.054800000016,225.60250518702,4062.452294812996,1
ICICIBANK,2025-04-25 00:00:00+05:30,2025-07-01 00:00:00+05:30,67,1411.4099999999999,1430.568,70,End of Backtest,1341.060000000009,221.58649340099996,1119.4735065990092,1
SBIN,2025-04-29 00:00:00+05:30,2025-07-01 00:00:00+05:30,63,820.8199999999999,819.4797,121,End of Backtest,-162.17629999999474,221.18418767659497,-383.36048767658974,0
BHARTIARTL,2025-05-28 00:00:00+05:30,2025-06-27 00:00:00+05:30,30,1849.8479999999997,2034.28735632,54,Target Hit,9959.725241280019,232.98047725992438,9726.744764020095,1
AXISBANK,2025-04-24 00:00:00+05:30,2025-07-01 00:00:00+05:30,68,1200.2990999999997,1172.1267,83,End of Backtest,-2338.309199999975,219.60352647908996,-2557.912726479065,0
TITAN,2025-06-23 00:00:00+05:30,2025-07-01 00:00:00+05:30,8,3483.6801999999993,3696.7995,28,End of Backtest,5967.340400000021,223.59634097345997,5743.744059026561,1
M&M,2025-06-13 00:00:00+05:30,2025-07-01 00:00:00+05:30,18,2934.932,3172.9239,34,End of Backtest,8091.7246,230.80695420860997,7860.91764579139,1
HAL,2025-05-22 00:00:00+05:30,2025-07-01 00:00:00+05:30,40,5006.1011,4907.2878,19,End of Backtest,-1877.4526999999962,210.033522446085,-2087.4862224460812,0
INDIGO,2025-06-13 00:00:00+05:30,2025-07-01 00:00:00+05:30,18,5205.2,5959.035,19,End of Backtest,14322.865000000002,235.30222529775,14087.562774702252,1
TVSMOTOR,2025-04-30 00:00:00+05:30,2025-07-01 00:00:00+05:30,62,2705.6029,2890.7064,36,End of Backtest,6663.726000000006,224.00512221437998,6439.720877785626,1
JINDALSTEL,2025-07-01 00:00:00+05:30,2025-07-01 00:00:00+05:30,0,710.5097999999999,706.293,140,End of Backtest,-590.351999999989,221.07826442520002,-811.430264425189,0
PNB,2025-06-13 00:00:00+05:30,2025-07-01 00:00:00+05:30,18,105.30519999999999,112.95693,949,End of Backtest,7261.491770000014,230.27155204990945,7031.220217950105,1
TORNTPHARM,2025-05-15 00:00:00+05:30,2025-07-01 00:00:00+05:30,47,3248.2449999999994,3413.2832999999996,30,End of Backtest,4951.149000000005,222.32688565814996,4728.822114341855,1
PIDILITIND,2025-04-28 00:00:00+05:30,2025-07-01 00:00:00+05:30,64,1497.2957999999999,1521.3771000000002,66,End of Backtest,1589.3658000000187,221.89543520859,1367.4703647914287,1
AMBUJACEM,2025-05-28 00:00:00+05:30,2025-07-01 00:00:00+05:30,34,563.2627,579.66975,177,End of Backtest,2904.0478500000045,225.2141357026275,2678.833714297377,1
