symbol,entry_time,exit_time,days_held,entry_price,exit_price,qty,invested,reason,net_pnl,win
KOTAKBANK,2025-03-20 00:00:00+05:30,2025-03-21 00:00:00+05:30,1,406.60619999999994,418.385581614,61,24802.978199999998,Target Hit (Called Away),1158.5766280225514,1
BHARTIARTL,2025-03-27 00:00:00+05:30,2025-04-15 00:00:00+05:30,10,1741.68995,1792.1467078515,14,24383.6593,Target Hit (Called Away),1138.9897432012688,1
HDFCBANK,2025-03-27 00:00:00+05:30,2025-04-15 00:00:00+05:30,10,900.8999999999999,926.999073,27,24324.299999999996,Target Hit (Called Away),1136.2169996588934,1
BAJFINANCE,2025-03-28 00:00:00+05:30,2025-04-15 00:00:00+05:30,9,900.8999999999999,926.999073,27,24324.299999999996,Target Hit (Called Away),1136.2169996588934,1
SBILIFE,2025-03-28 00:00:00+05:30,2025-04-17 00:00:00+05:30,11,1546.4449,1591.245408753,16,24743.1184,Target Hit (Called Away),1155.7805055295617,1
ICICIBANK,2025-04-02 00:00:00+05:30,2025-04-17 00:00:00+05:30,9,1323.47215,1361.8131381855,18,23822.4987,Target Hit (Called Away),1112.7772637770395,1
KOTAKBANK,2025-03-28 00:00:00+05:30,2025-04-21 00:00:00+05:30,12,428.32789999999994,440.736559263,58,24843.018199999995,Target Hit (Called Away),1160.4469440713735,1
BEL,2025-04-02 00:00:00+05:30,2025-04-21 00:00:00+05:30,10,290.18989999999997,298.59670140299994,35,10156.646499999999,Target Hit (Called Away),474.4290447341118,1
HDFCBANK,2025-04-15 00:00:00+05:30,2025-04-21 00:00:00+05:30,3,933.4324999999999,960.4740395249999,26,24269.244999999995,Target Hit (Called Away),1133.645315091761,1
FEDERALBNK,2025-04-21 00:00:00+05:30,2025-04-22 00:00:00+05:30,1,196.19599999999997,201.87979811999998,127,24916.891999999996,Target Hit (Called Away),1163.897677181446,1
AKZOINDIA,2025-04-22 00:00:00+05:30,2025-04-25 00:00:00+05:30,3,3488.3848999999996,3589.4434105529995,7,24418.694299999996,Target Hit (Called Away),1140.6262697439865,1
TVSMOTOR,2025-04-30 00:00:00+05:30,2025-05-05 00:00:00+05:30,2,2705.6029,2783.9842160129997,9,24350.426099999997,Target Hit (Called Away),1137.4373808807454,1
NAM-INDIA,2025-04-28 00:00:00+05:30,2025-05-06 00:00:00+05:30,5,645.5448999999999,664.2463357529999,38,24530.706199999993,Target Hit (Called Away),1145.8584788905666,1
AUBANK,2025-05-06 00:00:00+05:30,2025-05-08 00:00:00+05:30,2,680.1795,699.884300115,36,24486.462,Target Hit (Called Away),1143.7917796566176,1
ADANIPORTS,2025-05-09 00:00:00+05:30,2025-05-12 00:00:00+05:30,1,1301.3,1338.9986609999999,19,24724.7,Target Hit (Called Away),1154.9201601471013,1
ICICIBANK,2025-04-25 00:00:00+05:30,2025-05-15 00:00:00+05:30,14,1411.4099999999999,1452.2985477,17,23993.969999999998,Target Hit (Called Away),1120.786892256118,1
AARTISURF,2025-05-21 00:00:00+05:30,2025-05-22 00:00:00+05:30,1,574.6240499999999,591.2709087284999,14,8044.736699999999,Target Hit (Called Away),375.77922473903715,1
20MICRONS,2025-05-21 00:00:00+05:30,2025-05-23 00:00:00+05:30,2,238.13789999999997,245.03675496299996,104,24766.341599999996,Target Hit (Called Away),1156.8652888378765,1
ALPA,2025-04-25 00:00:00+05:30,2025-05-28 00:00:00+05:30,23,115.0149,118.346881653,217,24958.2333,Target Hit (Called Away),1165.8287785018529,1
AMBIKCO,2025-05-28 00:00:00+05:30,2025-06-04 00:00:00+05:30,5,1526.5249999999999,1570.7484292499998,16,24424.399999999998,Target Hit (Called Away),1140.892789780944,1
MUTHOOTFIN,2025-03-28 00:00:00+05:30,2025-06-06 00:00:00+05:30,46,2362.3599999999997,2430.7975692,10,23623.6,Target Hit (Called Away),1103.4864688045232,1
