symbol,entry_time,exit_time,days_held,entry_price,exit_price,qty,invested,reason,net_pnl,win
KOTAKBANK,2025-03-20 00:00:00+05:30,2025-03-21 00:00:00+05:30,1,406.60619999999994,418.385581614,73,29682.252599999996,Target Hit,792.848289731906,1
UPL,2025-03-24 00:00:00+05:30,2025-03-25 00:00:00+05:30,1,668.61795,657.93009206925,44,29419.189799999996,Stop Loss,-535.3435265540832,0
BERGEPAINT,2025-03-24 00:00:00+05:30,2025-04-01 00:00:00+05:30,5,501.5009999999999,493.4845065149999,59,29588.558999999994,Stop Loss,-538.4255524505862,0
LUPIN,2025-04-04 00:00:00+05:30,2025-04-07 00:00:00+05:30,1,2092.0399499999994,2058.598691399249,14,29288.559299999994,Stop Loss,-532.9664321126389,0
ULTRACEMCO,2025-04-08 00:00:00+05:30,2025-04-11 00:00:00+05:30,2,11329.067749999998,11657.270842717498,2,22658.135499999997,Target Hit,605.2257630773183,1
KOTAKBANK,2025-04-15 00:00:00+05:30,2025-04-16 00:00:00+05:30,1,429.429,422.56457743499993,69,29630.601,Stop Loss,-539.1905943397904,0
KOTAKBANK,2025-04-16 00:00:00+05:30,2025-04-17 00:00:00+05:30,1,424.424,436.71956328,70,29709.68,Target Hit,793.580908225346,1
ICICIBANK,2025-04-16 00:00:00+05:30,2025-04-17 00:00:00+05:30,1,1358.3569999999997,1397.7086022899998,22,29883.853999999996,Target Hit,798.2333030377192,1
FEDERALBNK,2025-04-09 00:00:00+05:30,2025-04-21 00:00:00+05:30,5,190.6905,196.214803785,157,29938.408499999998,Target Hit,799.6905186542366,1
HDFCBANK,2025-04-15 00:00:00+05:30,2025-04-21 00:00:00+05:30,3,933.4324999999999,960.4740395249999,32,29869.839999999997,Target Hit,797.8589724206289,1
FEDERALBNK,2025-04-21 00:00:00+05:30,2025-04-22 00:00:00+05:30,1,196.19599999999997,201.87979811999998,152,29821.791999999994,Target Hit,796.5755531620456,1
UNIONBANK,2025-04-23 00:00:00+05:30,2025-04-25 00:00:00+05:30,2,128.63850999999997,126.58222341764997,233,29972.77282999999,Stop Loss,-545.4171245537383,0
NAM-INDIA,2025-04-28 00:00:00+05:30,2025-04-29 00:00:00+05:30,1,645.5448999999999,635.2258647734999,46,29695.065399999992,Stop Loss,-540.3636585698964,0
AXISBANK,2025-04-28 00:00:00+05:30,2025-04-29 00:00:00+05:30,1,1167.4662999999998,1201.2877987109998,25,29186.657499999994,Target Hit,779.6103548376182,1
APOLLOHOSP,2025-04-28 00:00:00+05:30,2025-05-06 00:00:00+05:30,5,6961.454499999999,7001.991,4,27845.817999999996,Time Stop (5d),99.91749897830428,1
POWERGRID,2025-05-02 00:00:00+05:30,2025-05-08 00:00:00+05:30,4,305.80549999999994,314.66468533499994,98,29968.938999999995,Target Hit,800.5060246414632,1
AADHARHFC,2025-05-19 00:00:00+05:30,2025-05-20 00:00:00+05:30,1,457.8573999999999,450.53854946099995,65,29760.730999999996,Stop Loss,-541.5585811396977,0
IPCALAB,2025-05-20 00:00:00+05:30,2025-05-21 00:00:00+05:30,1,1444.2427999999998,1486.0825139159997,20,28884.855999999996,Target Hit,771.5488776196269,1
NHPC,2025-05-21 00:00:00+05:30,2025-05-22 00:00:00+05:30,1,88.9889,87.5664124335,337,29989.2593,Stop Loss,-545.717130266003,0
20MICRONS,2025-05-21 00:00:00+05:30,2025-05-23 00:00:00+05:30,2,238.13789999999997,245.03675496299996,125,29767.237499999996,Target Hit,795.1183375455246,1
NHPC,2025-05-22 00:00:00+05:30,2025-05-23 00:00:00+05:30,1,88.088,86.67991332,340,29949.92,Stop Loss,-545.0012696411071,0
NHPC,2025-05-23 00:00:00+05:30,2025-05-26 00:00:00+05:30,1,88.088,86.67991332,340,29949.92,Stop Loss,-545.0012696411071,0
BRITANNIA,2025-05-29 00:00:00+05:30,2025-06-02 00:00:00+05:30,2,5507.5019999999995,5667.054332939999,5,27537.51,Target Hit,735.5596625767909,1
NESTLEIND,2025-05-30 00:00:00+05:30,2025-06-02 00:00:00+05:30,1,1218.7175,1199.2363007625,24,29249.22,Stop Loss,-532.2505714877414,0
ABSLLIQUID,2025-05-27 00:00:00+05:30,2025-06-03 00:00:00+05:30,5,1000.9999999999999,999.0,29,29028.999999999996,Time Stop (5d),-122.6366499999967,0
HUDCO,2025-06-02 00:00:00+05:30,2025-06-03 00:00:00+05:30,1,241.48123999999999,248.47695152279996,124,29943.673759999998,Target Hit,799.8311600146538,1
HDFCBANK,2025-05-30 00:00:00+05:30,2025-06-06 00:00:00+05:30,5,966.9659999999999,994.9790050199999,31,29975.945999999996,Target Hit,800.6931899500075,1
MANAPPURAM,2025-06-05 00:00:00+05:30,2025-06-06 00:00:00+05:30,1,232.70246999999998,239.4438605559,128,29785.916159999997,Target Hit,795.6172667823023,1
ABGSEC,2025-06-02 00:00:00+05:30,2025-06-09 00:00:00+05:30,5,111.01089999999999,109.77011999999999,270,29972.943,Time Stop (5d),-401.46310479699025,0
AAREYDRUGS,2025-06-09 00:00:00+05:30,2025-06-10 00:00:00+05:30,1,57.046989999999994,56.13509386484999,525,29949.669749999997,Stop Loss,-544.9967158203402,0
BPCL,2025-06-09 00:00:00+05:30,2025-06-11 00:00:00+05:30,2,318.1178,327.333672666,94,29903.0732,Target Hit,798.7466707411513,1
HINDALCO,2025-06-11 00:00:00+05:30,2025-06-12 00:00:00+05:30,1,661.1605,650.5918494075,45,29752.222499999996,Stop Loss,-541.4037512335473,0
ABGSEC,2025-06-09 00:00:00+05:30,2025-06-13 00:00:00+05:30,4,110.82070999999998,109.04924095064999,270,29921.591699999994,Stop Loss,-544.4857771300476,0
GRASIM,2025-06-11 00:00:00+05:30,2025-06-13 00:00:00+05:30,2,2710.8080999999997,2667.4758325215,11,29818.889099999997,Stop Loss,-542.6168890864278,0
MAXHEALTH,2025-06-13 00:00:00+05:30,2025-06-16 00:00:00+05:30,1,1197.5964,1232.2907677079997,25,29939.909999999996,Target Hit,799.7306255060633,1
20MICRONS,2025-06-18 00:00:00+05:30,2025-06-19 00:00:00+05:30,1,234.83459999999997,231.08076891899995,127,29823.994199999997,Stop Loss,-542.7097870301192,0
BANDHANBNK,2025-06-19 00:00:00+05:30,2025-06-20 00:00:00+05:30,1,180.85066999999998,177.95977204004996,165,29840.360549999998,Stop Loss,-543.0076069084178,0
VEDL,2025-06-19 00:00:00+05:30,2025-06-20 00:00:00+05:30,1,456.95649999999995,449.65205034749994,65,29702.172499999997,Stop Loss,-540.4929870797396,0
EICHERMOT,2025-06-19 00:00:00+05:30,2025-06-24 00:00:00+05:30,3,5415.41,5572.2944277,5,27077.05,Target Hit,723.2602280153492,1
