=================================================================
TWIN SHORT ENGINE BACKTEST — 2024-06-01 -> 2025-07-01
=================================================================
  Capital: 200,000 | Conf >= 60% | Horizon: 30d
  Momentum: Price < EMA-21, RSI 30-60, Vol > 20d avg

  Loaded 143 stocks

  Fetching NIFTY50 for Market Regime Detection...
  Regime detection active.

=================================================================
PASS 1: Short signals (conf >= 60% + short momentum filter)...
=================================================================
  [1/143] ABCAPITAL... 0
  [2/143] ADANIPORTS... 1
  [3/143] AMBUJACEM... 0
  [4/143] APLAPOLLO... 0
  [5/143] APOLLOHOSP... 0
  [6/143] ASIANPAINT... 0
  [7/143] ASTRAL... 1
  [8/143] ATUL... 1
  [9/143] AUBANK... 0
  [10/143] AUROPHARMA... 3
  [11/143] AXISBANK... 0
  [12/143] BAJAJ-AUTO... 0
  [13/143] BAJAJFINSV... 0
  [14/143] BAJFINANCE... 0
  [15/143] BALKRISIND... 0
  [16/143] BANKBARODA... 0
  [17/143] BANKINDIA... 0
  [18/143] BATAINDIA... 0
  [19/143] BDL... 0
  [20/143] BEL... 0
  [21/143] BHARATFORG... 1
  [22/143] BHARTIARTL... 0
  [23/143] BHEL... 0
  [24/143] BIOCON... 2
  [25/143] BPCL... 0
  [26/143] BRITANNIA... 0
  [27/143] CANFINHOME... 1
  [28/143] CENTRALBK... 0
  [29/143] CHOLAFIN... 0
  [30/143] CIPLA... 2
  [31/143] COALINDIA... 0
  [32/143] COFORGE... 0
  [33/143] CONCOR... 0
  [34/143] CROMPTON... 0
  [35/143] CUMMINSIND... 1
  [36/143] DEEPAKNTR... 1
  [37/143] DELHIVERY... 2
  [38/143] DEVYANI... 0
  [39/143] DIVISLAB... 3
  [40/143] DIXON... 1
  [41/143] DLF... 0
  [42/143] DRREDDY... 2
  [43/143] EICHERMOT... 0
  [44/143] EMAMILTD... 0
  [45/143] ESCORTS... 0
  [46/143] FEDERALBNK... 0
  [47/143] GAIL... 0
  [48/143] GODREJPROP... 1
  [49/143] GRASIM... 0
  [50/143] HAL... 0
  [51/143] HAVELLS... 0
  [52/143] HCLTECH... 1
  [53/143] HDFCAMC... 0
  [54/143] HDFCBANK... 0
  [55/143] HEROMOTOCO... 0
  [56/143] HINDALCO... 0
  [57/143] HONAUT... 1
  [58/143] HUDCO... 0
  [59/143] ICICIBANK... 0
  [60/143] IDFCFIRSTB... 0
  [61/143] IIFL... 0
  [62/143] INDIGO... 0
  [63/143] INFY... 0
