ticker,market,sector,sub_sector,market_cap,is_etf
20MICRONS.BO,BSE,Others,Diversified,Small Cap,False
20MICRONS.NS,NSE,Others,Diversified,Small Cap,False
21STCENMGM.BO,BSE,Others,Diversified,Small Cap,False
21STCENMGM.NS,NSE,Others,Diversified,Small Cap,False
360ONE.BO,BSE,Others,Diversified,Small Cap,False
360ONE.NS,NSE,Others,Diversified,Small Cap,False
3IINFOLTD.BO,BSE,Others,Diversified,Small Cap,False
3IINFOLTD.NS,NSE,Others,Diversified,Small Cap,False
3MINDIA.BO,BSE,Others,Diversified,Small Cap,False
3MINDIA.NS,NSE,Others,Diversified,Small Cap,False
3PLAND.BO,BSE,Others,Diversified,Small Cap,False
3PLAND.NS,NSE,Others,Diversified,Small Cap,False
5PAISA.BO,BSE,Others,Diversified,Small Cap,False
5PAISA.NS,NSE,Others,Diversified,Small Cap,False
63MOONS.BO,BSE,Others,Diversified,Small Cap,False
63MOONS.NS,NSE,Others,Diversified,Small Cap,False
A2ZINFRA.BO,BSE,Others,Diversified,Small Cap,False
A2ZINFRA.NS,NSE,Others,Diversified,Small Cap,False
AAATECH.BO,BSE,Others,Diversified,Small Cap,False
AAATECH.NS,NSE,Others,Diversified,Small Cap,False
AADHARHFC.BO,BSE,Others,Diversified,Small Cap,False
AADHARHFC.NS,NSE,Others,Diversified,Small Cap,False
AAKASH.BO,BSE,Others,Diversified,Small Cap,False
AAKASH.NS,NSE,Others,Diversified,Small Cap,False
AAREYDRUGS.BO,BSE,Others,Diversified,Small Cap,False
AAREYDRUGS.NS,NSE,Others,Diversified,Small Cap,False
AARON.BO,BSE,Others,Diversified,Small Cap,False
AARON.NS,NSE,Others,Diversified,Small Cap,False
AARTECH.BO,BSE,Others,Diversified,Small Cap,False
AARTECH.NS,NSE,Others,Diversified,Small Cap,False
AARTIDRUGS.BO,BSE,Others,Diversified,Small Cap,False
AARTIDRUGS.NS,NSE,Others,Diversified,Small Cap,False
AARTIIND.BO,BSE,Others,Diversified,Small Cap,False
AARTIIND.NS,NSE,Others,Diversified,Small Cap,False
AARTIPHARM.BO,BSE,Others,Diversified,Small Cap,False
AARTIPHARM.NS,NSE,Others,Diversified,Small Cap,False
AARTISURF.BO,BSE,Others,Diversified,Small Cap,False
AARTISURF.NS,NSE,Others,Diversified,Small Cap,False
AARVI.BO,BSE,Others,Diversified,Small Cap,False
AARVI.NS,NSE,Others,Diversified,Small Cap,False
AAVAS.BO,BSE,Others,Diversified,Small Cap,False
AAVAS.NS,NSE,Others,Diversified,Small Cap,False
ABAN.BO,BSE,Others,Diversified,Small Cap,False
ABAN.NS,NSE,Others,Diversified,Small Cap,False
ABB.BO,BSE,Others,Diversified,Small Cap,False
ABB.NS,NSE,Others,Diversified,Small Cap,False
ABBOTINDIA.BO,BSE,Others,Diversified,Small Cap,False
ABBOTINDIA.NS,NSE,Others,Diversified,Small Cap,False
ABCAPITAL.BO,BSE,Others,Diversified,Small Cap,False
ABCAPITAL.NS,NSE,Others,Diversified,Small Cap,False
ABCOTS.BO,BSE,Others,Diversified,Small Cap,False
ABCOTS.NS,NSE,Others,Diversified,Small Cap,False
ABDL.BO,BSE,Others,Diversified,Small Cap,False
ABDL.NS,NSE,Others,Diversified,Small Cap,False
ABFRL.BO,BSE,Consumer Goods,Consumer Goods,Small Cap,False
ABFRL.NS,NSE,Consumer Goods,Consumer Goods,Small Cap,False
ABINFRA.BO,BSE,Others,Diversified,Small Cap,False
ABINFRA.NS,NSE,Others,Diversified,Small Cap,False
ABLBL.BO,BSE,Others,Diversified,Small Cap,False
ABLBL.NS,NSE,Others,Diversified,Small Cap,False
ABMINTLLTD.BO,BSE,Others,Diversified,Small Cap,False
ABMINTLLTD.NS,NSE,Others,Diversified,Small Cap,False
ABREL.BO,BSE,Others,Diversified,Small Cap,False
ABREL.NS,NSE,Others,Diversified,Small Cap,False
ABSLAMC.BO,BSE,Others,Diversified,Small Cap,False
ABSLAMC.NS,NSE,Others,Diversified,Small Cap,False
ACC.BO,BSE,Infrastructure,Infrastructure,Small Cap,False
ACC.NS,NSE,Infrastructure,Infrastructure,Small Cap,False
ACCELYA.BO,BSE,Others,Diversified,Small Cap,False
ACCELYA.NS,NSE,Others,Diversified,Small Cap,False
ACCURACY.BO,BSE,Others,Diversified,Small Cap,False
ACCURACY.NS,NSE,Others,Diversified,Small Cap,False
ACE.BO,BSE,Others,Diversified,Small Cap,False
ACE.NS,NSE,Others,Diversified,Small Cap,False
ACEINTEG.BO,BSE,Others,Diversified,Small Cap,False
ACEINTEG.NS,NSE,Others,Diversified,Small Cap,False
ACI.BO,BSE,Others,Diversified,Small Cap,False
ACI.NS,NSE,Others,Diversified,Small Cap,False
ACL.BO,BSE,Others,Diversified,Small Cap,False
ACL.NS,NSE,Others,Diversified,Small Cap,False
ACMESOLAR.BO,BSE,Others,Diversified,Small Cap,False
ACMESOLAR.NS,NSE,Others,Diversified,Small Cap,False
ACUTAAS.BO,BSE,Others,Diversified,Small Cap,False
ACUTAAS.NS,NSE,Others,Diversified,Small Cap,False
