date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,179.0,183.05,175.0,176.35,223671
2024-06-04 00:00:00+05:30,176.7,176.7,151.85,158.85,270455
2024-06-05 00:00:00+05:30,161.5,170.7,158.0,169.75,139071
2024-06-06 00:00:00+05:30,172.45,176.6,170.0,173.15,92781
2024-06-07 00:00:00+05:30,175.75,176.6,172.0,175.7,77482
2024-06-10 00:00:00+05:30,178.35,185.0,175.7,181.74,209797
2024-06-11 00:00:00+05:30,183.9,186.15,179.0,180.79,155858
2024-06-12 00:00:00+05:30,183.5,184.46,179.0,180.35,77316
2024-06-13 00:00:00+05:30,181.9,182.04,177.55,181.22,94891
2024-06-14 00:00:00+05:30,184.0,203.0,183.6,189.54,2368914
2024-06-18 00:00:00+05:30,191.45,192.75,187.41,190.29,464546
2024-06-19 00:00:00+05:30,191.94,192.94,182.11,185.37,237384
2024-06-20 00:00:00+05:30,187.38,190.7,185.5,187.8,184339
2024-06-21 00:00:00+05:30,187.0,218.65,183.5,213.77,2900104
2024-06-24 00:00:00+05:30,216.0,224.99,211.05,220.37,2244437
2024-06-25 00:00:00+05:30,220.55,222.71,210.0,210.91,632113
2024-06-26 00:00:00+05:30,210.85,223.7,207.01,222.37,855791
2024-06-27 00:00:00+05:30,222.37,234.94,215.11,223.15,1087173
2024-06-28 00:00:00+05:30,224.91,228.5,218.36,220.77,287437
2024-07-01 00:00:00+05:30,221.8,225.99,218.8,220.41,244501
2024-07-02 00:00:00+05:30,221.82,221.82,212.76,216.11,247536
2024-07-03 00:00:00+05:30,217.8,231.5,217.16,227.8,596866
2024-07-04 00:00:00+05:30,230.0,231.58,220.05,227.43,348402
2024-07-05 00:00:00+05:30,227.0,228.77,222.01,224.72,201028
2024-07-08 00:00:00+05:30,229.99,229.99,221.4,223.75,223960
2024-07-09 00:00:00+05:30,224.99,236.0,224.99,229.02,496554
2024-07-10 00:00:00+05:30,230.45,235.0,212.41,220.0,420616
2024-07-11 00:00:00+05:30,223.3,228.94,220.78,221.35,257810
2024-07-12 00:00:00+05:30,221.7,223.91,215.7,218.36,181272
2024-07-15 00:00:00+05:30,218.5,220.26,214.0,216.6,103011
2024-07-16 00:00:00+05:30,217.6,221.75,214.1,215.53,50979
2024-07-18 00:00:00+05:30,217.0,219.97,205.48,209.05,143793
2024-07-19 00:00:00+05:30,209.0,233.7,201.42,216.27,842074
2024-07-22 00:00:00+05:30,216.39,220.72,210.0,210.69,192282
2024-07-23 00:00:00+05:30,212.85,231.14,211.0,218.77,1686171
2024-07-24 00:00:00+05:30,219.65,229.5,219.65,222.67,263738
2024-07-25 00:00:00+05:30,221.8,224.71,216.32,218.4,161438
2024-07-26 00:00:00+05:30,219.35,262.08,219.25,257.57,4490969
2024-07-29 00:00:00+05:30,263.01,294.8,256.1,277.9,6258523
2024-07-30 00:00:00+05:30,279.25,285.5,273.14,277.43,864584
2024-07-31 00:00:00+05:30,280.0,281.8,265.23,272.02,577411
2024-08-01 00:00:00+05:30,273.5,274.5,264.0,265.05,296358
2024-08-02 00:00:00+05:30,262.0,292.8,255.75,287.75,1741393
2024-08-05 00:00:00+05:30,280.05,302.7,272.0,275.95,1198802
2024-08-06 00:00:00+05:30,279.05,289.45,258.55,264.3,531295
2024-08-07 00:00:00+05:30,269.0,299.7,266.0,295.15,971048
2024-08-08 00:00:00+05:30,300.0,316.6,293.9,301.1,1469048
2024-08-09 00:00:00+05:30,304.9,331.5,301.55,326.9,1905999
2024-08-12 00:00:00+05:30,324.95,324.95,312.1,314.45,524710
2024-08-13 00:00:00+05:30,316.6,324.85,293.6,295.9,563367
2024-08-14 00:00:00+05:30,303.0,303.0,285.05,293.2,302092
2024-08-16 00:00:00+05:30,295.25,302.0,290.8,296.5,276858
2024-08-19 00:00:00+05:30,299.6,340.0,297.7,330.0,1120354
2024-08-20 00:00:00+05:30,333.0,339.0,321.25,323.75,545313
2024-08-21 00:00:00+05:30,324.7,333.0,310.0,326.6,355771
2024-08-22 00:00:00+05:30,327.95,348.0,327.65,335.3,481768
2024-08-23 00:00:00+05:30,337.0,342.0,323.9,339.0,369586
2024-08-26 00:00:00+05:30,338.9,339.95,320.35,322.1,320543
2024-08-27 00:00:00+05:30,324.0,335.1,322.1,330.15,229777
2024-08-28 00:00:00+05:30,332.3,332.7,321.55,324.0,113578
2024-08-29 00:00:00+05:30,325.25,330.5,312.0,315.75,225623
2024-08-30 00:00:00+05:30,317.6,326.95,310.45,316.5,218698
2024-09-02 00:00:00+05:30,318.8,323.8,316.0,318.5,151582
2024-09-03 00:00:00+05:30,317.05,322.7,311.1,315.2,119520
2024-09-04 00:00:00+05:30,314.5,340.0,311.0,327.2,755362
2024-09-05 00:00:00+05:30,329.4,333.05,321.0,321.95,183630
2024-09-06 00:00:00+05:30,323.5,324.9,315.85,317.85,190856
2024-09-09 00:00:00+05:30,315.45,320.9,307.2,314.95,193859
2024-09-10 00:00:00+05:30,315.0,320.25,311.5,312.5,131088
2024-09-11 00:00:00+05:30,311.5,315.25,305.35,307.45,135469
2024-09-12 00:00:00+05:30,310.2,312.95,303.0,304.35,162769
2024-09-13 00:00:00+05:30,304.9,314.8,304.9,308.6,204174
2024-09-16 00:00:00+05:30,310.1,311.45,301.0,302.7,152739
2024-09-17 00:00:00+05:30,302.7,302.7,294.7,295.4,127357
2024-09-18 00:00:00+05:30,295.7,307.2,290.2,291.5,209029
2024-09-19 00:00:00+05:30,296.0,307.0,285.4,304.05,246937
2024-09-20 00:00:00+05:30,306.25,314.0,300.0,301.65,289918
2024-09-23 00:00:00+05:30,304.55,307.45,298.05,299.05,101611
2024-09-24 00:00:00+05:30,301.0,310.0,300.0,300.7,188515
2024-09-25 00:00:00+05:30,302.0,316.2,301.3,310.55,291221
2024-09-26 00:00:00+05:30,311.15,313.8,301.5,302.8,133716
2024-09-27 00:00:00+05:30,304.6,306.95,295.0,296.65,129749
2024-09-30 00:00:00+05:30,295.9,303.95,291.7,299.75,117170
2024-10-01 00:00:00+05:30,299.75,305.05,292.2,293.25,114961
2024-10-03 00:00:00+05:30,290.0,298.7,283.0,284.75,182664
2024-10-04 00:00:00+05:30,285.0,288.25,266.75,276.65,272012
2024-10-07 00:00:00+05:30,277.25,282.5,258.0,265.45,227778
2024-10-08 00:00:00+05:30,265.0,278.25,257.6,270.8,255259
2024-10-09 00:00:00+05:30,276.0,284.3,270.0,274.1,46316
2024-10-10 00:00:00+05:30,278.6,279.3,265.45,269.05,38454
2024-10-11 00:00:00+05:30,269.05,275.15,261.05,265.0,37552
2024-10-14 00:00:00+05:30,275.0,275.0,261.75,266.5,66008
2024-10-15 00:00:00+05:30,267.4,270.7,260.0,264.8,54722
2024-10-16 00:00:00+05:30,278.0,278.0,278.0,278.0,24756
2024-10-17 00:00:00+05:30,291.9,291.9,291.9,291.9,22450
2024-10-18 00:00:00+05:30,306.45,306.45,291.0,306.45,276565
2024-10-21 00:00:00+05:30,308.5,321.0,293.0,312.75,189350
2024-10-22 00:00:00+05:30,306.5,306.5,306.5,306.5,7223
2024-10-23 00:00:00+05:30,300.4,300.4,300.4,300.4,5592
2024-10-24 00:00:00+05:30,294.4,294.4,294.4,294.4,4256
2024-10-25 00:00:00+05:30,288.55,288.55,288.55,288.55,7911
2024-10-28 00:00:00+05:30,282.8,282.8,282.8,282.8,52762
2024-10-29 00:00:00+05:30,277.15,277.15,277.15,277.15,25798
2024-10-30 00:00:00+05:30,271.6,271.6,271.6,271.6,21682
2024-10-31 00:00:00+05:30,266.55,267.1,266.2,266.2,122990
2024-11-01 00:00:00+05:30,263.1,263.1,263.1,263.1,12172
2024-11-04 00:00:00+05:30,257.85,257.85,257.85,257.85,27467
2024-11-05 00:00:00+05:30,253.0,253.0,252.7,252.7,64776
2024-11-06 00:00:00+05:30,247.65,247.65,247.65,247.65,42294
2024-11-07 00:00:00+05:30,242.7,242.7,242.7,242.7,28220
2024-11-08 00:00:00+05:30,247.55,247.55,247.55,247.55,56363
2024-11-11 00:00:00+05:30,252.5,252.5,242.6,242.6,41579
2024-11-12 00:00:00+05:30,237.75,237.75,237.75,237.75,13842
2024-11-13 00:00:00+05:30,233.0,233.0,233.0,233.0,12906
2024-11-14 00:00:00+05:30,228.35,228.35,228.35,228.35,15271
2024-11-18 00:00:00+05:30,223.8,223.8,223.8,223.8,11967
2024-11-19 00:00:00+05:30,219.35,223.8,219.35,223.8,86449
2024-11-21 00:00:00+05:30,219.35,219.35,219.35,219.35,49213
2024-11-22 00:00:00+05:30,223.0,223.7,223.0,223.5,39237
2024-11-25 00:00:00+05:30,227.95,227.95,227.95,227.95,22458
2024-11-26 00:00:00+05:30,232.5,232.5,229.8,229.8,91076
2024-11-27 00:00:00+05:30,228.0,228.0,225.2,225.2,51621
2024-11-28 00:00:00+05:30,220.7,229.7,220.7,229.0,96397
2024-11-29 00:00:00+05:30,231.9,233.55,231.9,233.55,54999
2024-12-02 00:00:00+05:30,245.22,245.22,245.22,245.22,29206
2024-12-03 00:00:00+05:30,257.48,257.48,257.48,257.48,15007
2024-12-04 00:00:00+05:30,270.35,270.35,248.0,270.35,303444
2024-12-05 00:00:00+05:30,263.9,263.9,256.83,257.16,107841
2024-12-06 00:00:00+05:30,257.85,265.0,244.3,261.93,147509
2024-12-09 00:00:00+05:30,261.93,262.0,248.83,251.77,75340
2024-12-10 00:00:00+05:30,250.98,253.85,244.0,247.54,59651
2024-12-11 00:00:00+05:30,249.0,249.9,239.0,244.65,101148
2024-12-12 00:00:00+05:30,244.7,256.88,241.0,256.02,119116
2024-12-13 00:00:00+05:30,254.85,261.6,245.0,254.51,71224
2024-12-16 00:00:00+05:30,254.0,254.0,245.5,246.77,47261
2024-12-17 00:00:00+05:30,248.74,254.0,242.0,244.89,63483
2024-12-18 00:00:00+05:30,247.99,248.95,236.0,244.29,65292
2024-12-19 00:00:00+05:30,243.95,246.45,235.0,240.13,57385
2024-12-20 00:00:00+05:30,238.5,242.85,235.0,237.02,40104
2024-12-23 00:00:00+05:30,238.85,242.4,227.4,229.78,73584
2024-12-24 00:00:00+05:30,229.95,235.0,227.0,228.36,43735
2024-12-26 00:00:00+05:30,230.0,237.74,225.7,227.96,79655
2024-12-27 00:00:00+05:30,231.7,231.7,226.51,230.6,45860
2024-12-30 00:00:00+05:30,229.95,238.65,226.2,235.56,71919
2024-12-31 00:00:00+05:30,235.56,239.8,231.4,235.48,32375
2025-01-01 00:00:00+05:30,235.48,239.45,232.05,236.81,38786
2025-01-02 00:00:00+05:30,239.4,248.65,236.12,248.65,82081
