date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,50.15,50.15,50.15,50.15,3702
2024-06-04 00:00:00+05:30,51.15,51.15,49.2,49.6,112292
2024-06-05 00:00:00+05:30,48.6,48.6,48.6,48.6,20600
2024-06-06 00:00:00+05:30,47.65,49.55,47.65,49.55,43771
2024-06-07 00:00:00+05:30,50.5,50.5,50.5,50.5,14929
2024-06-10 00:00:00+05:30,51.51,51.51,51.51,51.51,4230
2024-06-11 00:00:00+05:30,52.54,52.54,52.54,52.54,2469
2024-06-12 00:00:00+05:30,53.59,53.59,53.59,53.59,4814
2024-06-13 00:00:00+05:30,54.66,54.66,54.66,54.66,5024
2024-06-14 00:00:00+05:30,55.75,55.75,55.75,55.75,1479
2024-06-18 00:00:00+05:30,56.86,56.86,56.86,56.86,12820
2024-06-19 00:00:00+05:30,57.99,57.99,57.99,57.99,3558
2024-06-20 00:00:00+05:30,59.14,59.14,59.14,59.14,798
2024-06-21 00:00:00+05:30,60.32,60.32,60.32,60.32,2696
2024-06-24 00:00:00+05:30,61.52,61.52,61.52,61.52,20736
2024-06-25 00:00:00+05:30,62.75,62.75,62.75,62.75,8294
2024-06-26 00:00:00+05:30,64.0,64.0,64.0,64.0,10314
2024-06-27 00:00:00+05:30,65.28,65.28,65.28,65.28,3053
2024-06-28 00:00:00+05:30,66.58,66.58,66.58,66.58,881
2024-07-01 00:00:00+05:30,67.91,67.91,67.91,67.91,970
2024-07-02 00:00:00+05:30,69.26,69.26,69.26,69.26,988
2024-07-03 00:00:00+05:30,70.64,70.64,70.64,70.64,5611
2024-07-04 00:00:00+05:30,72.05,72.05,72.05,72.05,1401
2024-07-05 00:00:00+05:30,73.49,73.49,72.05,73.49,17777
2024-07-08 00:00:00+05:30,74.95,74.95,74.95,74.95,6801
2024-07-09 00:00:00+05:30,76.44,76.44,76.44,76.44,5731
2024-07-10 00:00:00+05:30,77.96,77.96,77.96,77.96,1382
2024-07-11 00:00:00+05:30,79.51,79.51,79.51,79.51,1372
2024-07-12 00:00:00+05:30,81.1,81.1,81.1,81.1,22
2024-07-15 00:00:00+05:30,81.1,81.1,79.47,79.47,9283
2024-07-16 00:00:00+05:30,77.88,81.04,77.88,79.0,30661
2024-07-18 00:00:00+05:30,77.42,77.42,77.42,77.42,23430
2024-07-19 00:00:00+05:30,75.87,75.87,75.87,75.87,647
2024-07-22 00:00:00+05:30,74.35,74.61,74.35,74.6,14431
2024-07-23 00:00:00+05:30,76.09,76.09,76.09,76.09,20727
2024-07-24 00:00:00+05:30,77.61,77.61,77.61,77.61,2505
2024-07-25 00:00:00+05:30,79.16,79.16,79.16,79.16,508
2024-07-26 00:00:00+05:30,78.19,78.19,78.19,78.19,595
