date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,35.55,35.7,34.4,34.6,898043
2024-06-04 00:00:00+05:30,34.15,34.15,30.25,31.9,2046339
2024-06-05 00:00:00+05:30,32.4,32.65,31.6,31.95,1363143
2024-06-06 00:00:00+05:30,32.3,33.3,31.85,32.15,2000944
2024-06-07 00:00:00+05:30,32.0,38.3,32.0,37.9,8423530
2024-06-10 00:00:00+05:30,37.85,37.85,36.45,36.75,1765003
2024-06-11 00:00:00+05:30,36.1,38.34,36.1,37.55,2266353
2024-06-12 00:00:00+05:30,37.75,37.85,36.3,36.8,1465176
2024-06-13 00:00:00+05:30,37.0,37.99,37.0,37.22,1074009
2024-06-14 00:00:00+05:30,37.4,37.5,36.41,36.71,912609
2024-06-18 00:00:00+05:30,36.98,36.98,36.01,36.39,1096177
2024-06-19 00:00:00+05:30,36.45,39.2,36.05,37.84,3275057
2024-06-20 00:00:00+05:30,38.0,38.98,37.2,37.55,1952986
2024-06-21 00:00:00+05:30,37.74,38.5,36.9,37.12,1559809
2024-06-24 00:00:00+05:30,37.0,37.5,36.54,36.95,838480
2024-06-25 00:00:00+05:30,37.15,37.3,36.27,36.45,817884
2024-06-26 00:00:00+05:30,36.6,37.5,36.28,36.44,729363
2024-06-27 00:00:00+05:30,36.44,36.99,34.95,35.25,1765879
2024-06-28 00:00:00+05:30,35.35,37.3,35.35,36.46,1580687
2024-07-01 00:00:00+05:30,36.75,36.88,36.36,36.69,1095963
2024-07-02 00:00:00+05:30,36.76,37.35,35.97,36.26,1124767
2024-07-03 00:00:00+05:30,36.54,39.5,35.92,39.04,3779531
2024-07-04 00:00:00+05:30,39.55,40.8,38.31,39.78,5021634
2024-07-05 00:00:00+05:30,39.78,41.51,39.31,40.21,3389820
2024-07-08 00:00:00+05:30,40.4,42.59,40.17,40.42,4011960
2024-07-09 00:00:00+05:30,40.6,40.84,39.28,39.37,1018477
2024-07-10 00:00:00+05:30,39.54,39.55,37.6,38.52,1006877
2024-07-11 00:00:00+05:30,38.69,39.37,38.49,38.56,731230
2024-07-12 00:00:00+05:30,38.85,39.95,38.0,38.28,1902733
2024-07-15 00:00:00+05:30,38.47,39.7,37.89,38.56,1514525
2024-07-16 00:00:00+05:30,38.64,39.09,37.8,37.95,909261
2024-07-18 00:00:00+05:30,37.95,39.18,37.35,38.38,1397875
2024-07-19 00:00:00+05:30,38.4,38.59,37.0,37.08,925121
2024-07-22 00:00:00+05:30,36.95,37.55,36.5,36.74,646776
2024-07-23 00:00:00+05:30,36.94,37.0,35.32,36.35,881531
2024-07-24 00:00:00+05:30,36.01,37.49,36.01,37.06,705444
2024-07-25 00:00:00+05:30,36.59,38.3,36.5,37.1,1452598
2024-07-26 00:00:00+05:30,37.17,39.08,36.89,37.57,1481238
2024-07-29 00:00:00+05:30,37.89,38.38,37.06,37.33,1056747
2024-07-30 00:00:00+05:30,37.26,37.91,36.96,37.13,797549
2024-07-31 00:00:00+05:30,37.13,37.59,36.9,36.98,877400
2024-08-01 00:00:00+05:30,37.0,37.19,36.06,36.15,1034540
2024-08-02 00:00:00+05:30,36.0,36.0,35.23,35.69,1040424
2024-08-05 00:00:00+05:30,35.0,35.28,34.04,34.18,984522
2024-08-06 00:00:00+05:30,34.39,35.14,34.0,34.1,769393
2024-08-07 00:00:00+05:30,34.48,35.45,34.15,34.98,941798
2024-08-08 00:00:00+05:30,34.81,35.35,34.64,34.75,599960
2024-08-09 00:00:00+05:30,34.99,35.25,33.8,34.0,964491
2024-08-12 00:00:00+05:30,34.06,34.37,33.58,33.84,1093367
2024-08-13 00:00:00+05:30,33.95,34.39,33.35,33.44,601231
2024-08-14 00:00:00+05:30,33.44,33.44,32.77,33.1,774120
2024-08-16 00:00:00+05:30,33.32,34.35,32.4,33.61,765078
2024-08-19 00:00:00+05:30,33.75,34.74,33.66,34.44,853383
2024-08-20 00:00:00+05:30,34.8,35.22,34.42,35.0,794497
2024-08-21 00:00:00+05:30,35.19,35.49,34.92,35.03,655059
2024-08-22 00:00:00+05:30,35.3,35.94,35.15,35.42,743740
2024-08-23 00:00:00+05:30,35.4,35.92,35.28,35.46,716583
2024-08-26 00:00:00+05:30,35.47,36.28,35.45,35.54,903695
2024-08-27 00:00:00+05:30,35.56,35.72,34.95,35.06,546475
2024-08-28 00:00:00+05:30,35.25,38.17,35.16,36.29,4120684
2024-08-29 00:00:00+05:30,36.39,36.44,34.98,35.18,940126
2024-08-30 00:00:00+05:30,35.3,35.55,35.0,35.1,674860
2024-09-02 00:00:00+05:30,35.25,35.25,34.05,34.15,651935
2024-09-03 00:00:00+05:30,34.15,34.44,33.4,33.81,887778
2024-09-04 00:00:00+05:30,33.49,34.06,33.25,33.46,782061
2024-09-05 00:00:00+05:30,33.7,34.04,33.23,33.36,654375
2024-09-06 00:00:00+05:30,33.58,33.88,32.81,33.04,832545
2024-09-09 00:00:00+05:30,33.04,33.3,32.53,32.82,546949
2024-09-10 00:00:00+05:30,32.99,33.58,32.91,33.17,560257
2024-09-11 00:00:00+05:30,33.39,33.87,32.88,33.05,639719
2024-09-12 00:00:00+05:30,33.21,33.48,32.92,33.23,557078
2024-09-13 00:00:00+05:30,33.42,34.2,33.35,33.67,692391
2024-09-16 00:00:00+05:30,33.8,33.99,33.29,33.46,340722
2024-09-17 00:00:00+05:30,33.46,33.55,33.01,33.11,404183
2024-09-18 00:00:00+05:30,33.0,33.94,32.95,33.1,826023
2024-09-19 00:00:00+05:30,33.2,33.62,32.5,32.62,567019
2024-09-20 00:00:00+05:30,32.75,32.97,32.31,32.47,639803
2024-09-23 00:00:00+05:30,32.67,33.09,32.59,32.7,547638
2024-09-24 00:00:00+05:30,32.87,32.87,32.3,32.5,410829
2024-09-25 00:00:00+05:30,32.3,32.75,32.0,32.16,679110
2024-09-26 00:00:00+05:30,32.25,34.5,32.17,33.15,2343443
2024-09-27 00:00:00+05:30,33.23,33.64,31.72,32.13,1403989
2024-09-30 00:00:00+05:30,32.13,32.61,31.84,32.09,994218
2024-10-01 00:00:00+05:30,31.8,33.45,31.8,33.09,1184744
2024-10-03 00:00:00+05:30,32.7,33.0,32.0,32.13,742818
2024-10-04 00:00:00+05:30,32.1,32.39,31.5,31.67,621512
2024-10-07 00:00:00+05:30,31.9,32.0,29.52,29.67,1075414
2024-10-08 00:00:00+05:30,29.67,30.5,29.67,30.12,825642
2024-10-09 00:00:00+05:30,30.3,30.9,30.29,30.43,645369
2024-10-10 00:00:00+05:30,30.55,30.84,30.24,30.33,506876
2024-10-11 00:00:00+05:30,30.29,30.58,30.2,30.33,298788
2024-10-14 00:00:00+05:30,30.49,30.69,29.94,30.1,473948
2024-10-15 00:00:00+05:30,30.19,30.47,29.96,30.05,360063
2024-10-16 00:00:00+05:30,30.05,30.22,29.87,29.94,398193
