date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,31.75,31.8,29.1,30.15,15753
2024-06-04 00:00:00+05:30,29.35,30.85,29.0,29.15,17442
2024-06-05 00:00:00+05:30,27.8,29.9,27.8,29.6,16184
2024-06-06 00:00:00+05:30,29.0,30.4,29.0,29.7,4723
2024-06-07 00:00:00+05:30,29.25,30.5,29.1,30.3,19141
2024-06-10 00:00:00+05:30,29.65,32.15,29.65,30.97,7838
2024-06-11 00:00:00+05:30,31.59,32.55,30.66,30.9,13350
2024-06-12 00:00:00+05:30,31.65,31.65,30.45,31.4,6202
2024-06-13 00:00:00+05:30,31.4,31.95,30.31,31.4,12855
2024-06-14 00:00:00+05:30,31.95,31.99,30.41,31.05,14885
2024-06-18 00:00:00+05:30,31.99,31.99,29.8,30.47,10582
2024-06-19 00:00:00+05:30,31.08,31.49,30.42,30.67,6025
2024-06-20 00:00:00+05:30,30.1,30.99,30.1,30.25,19068
2024-06-21 00:00:00+05:30,30.98,31.99,30.0,31.37,31197
2024-06-24 00:00:00+05:30,32.8,32.81,29.08,31.01,47683
2024-06-25 00:00:00+05:30,31.0,32.39,30.91,31.46,23909
2024-06-26 00:00:00+05:30,31.5,34.6,31.3,34.6,109154
2024-06-27 00:00:00+05:30,36.33,38.06,36.1,38.06,218086
2024-06-28 00:00:00+05:30,40.0,41.52,37.2,38.39,263449
2024-07-01 00:00:00+05:30,38.35,38.49,37.0,37.62,57276
2024-07-02 00:00:00+05:30,37.99,40.0,34.16,38.09,64375
2024-07-03 00:00:00+05:30,38.4,38.5,36.45,36.62,38731
2024-07-04 00:00:00+05:30,34.31,38.39,34.31,37.54,39615
2024-07-05 00:00:00+05:30,38.14,39.0,36.11,37.6,52137
2024-07-08 00:00:00+05:30,37.6,38.8,36.82,37.87,27985
2024-07-09 00:00:00+05:30,38.77,38.79,37.2,37.73,23708
2024-07-10 00:00:00+05:30,37.1,38.15,36.02,36.79,14757
2024-07-11 00:00:00+05:30,37.2,37.2,36.51,37.1,14331
2024-07-12 00:00:00+05:30,38.79,38.79,37.0,37.77,27332
2024-07-15 00:00:00+05:30,38.79,38.79,37.1,38.13,19459
2024-07-16 00:00:00+05:30,38.7,38.7,37.2,37.67,10480
2024-07-18 00:00:00+05:30,37.67,38.59,37.11,37.34,12583
2024-07-19 00:00:00+05:30,36.75,37.39,34.92,35.34,27479
2024-07-22 00:00:00+05:30,35.85,38.87,35.21,37.12,38479
2024-07-23 00:00:00+05:30,39.4,39.4,33.4,34.78,49689
2024-07-24 00:00:00+05:30,34.5,38.2,34.49,37.34,98332
2024-07-25 00:00:00+05:30,40.0,40.0,37.4,37.93,72313
2024-07-26 00:00:00+05:30,39.1,39.64,36.9,37.16,81114
2024-07-29 00:00:00+05:30,38.0,39.59,36.62,36.95,65701
2024-07-30 00:00:00+05:30,37.0,38.65,37.0,37.62,75279
2024-07-31 00:00:00+05:30,38.4,39.0,36.0,37.17,92754
2024-08-01 00:00:00+05:30,37.55,37.75,36.51,37.27,61790
2024-08-02 00:00:00+05:30,37.27,37.69,35.98,37.25,60311
2024-08-05 00:00:00+05:30,37.25,38.59,35.8,37.33,72767
2024-08-06 00:00:00+05:30,39.0,39.0,35.53,37.57,88692
2024-08-07 00:00:00+05:30,38.7,39.49,37.12,39.04,156475
2024-08-08 00:00:00+05:30,42.5,46.84,41.01,46.84,211553
2024-08-09 00:00:00+05:30,55.54,56.15,50.11,51.14,1388517
2024-08-12 00:00:00+05:30,51.0,51.0,45.63,46.05,262167
2024-08-13 00:00:00+05:30,47.7,47.7,43.74,43.74,27484
2024-08-14 00:00:00+05:30,44.3,44.3,41.55,41.55,20112
2024-08-16 00:00:00+05:30,39.47,43.4,39.47,41.96,25253
2024-08-19 00:00:00+05:30,43.85,43.85,40.5,42.92,21404
2024-08-20 00:00:00+05:30,42.0,43.55,42.0,42.32,18099
2024-08-21 00:00:00+05:30,40.77,43.6,40.77,42.7,15381
2024-08-22 00:00:00+05:30,43.7,44.83,42.25,44.83,35668
2024-08-23 00:00:00+05:30,47.04,47.07,45.21,46.84,40534
2024-08-26 00:00:00+05:30,48.5,48.5,45.4,45.66,13273
2024-08-27 00:00:00+05:30,44.25,46.7,44.0,45.73,17995
2024-08-28 00:00:00+05:30,45.4,46.4,43.7,44.36,10863
2024-08-29 00:00:00+05:30,44.36,45.3,42.3,43.91,10706
2024-08-30 00:00:00+05:30,43.91,45.95,42.91,45.36,13845
2024-09-02 00:00:00+05:30,46.0,46.0,43.15,43.45,19481
2024-09-03 00:00:00+05:30,43.55,44.75,42.0,42.34,7502
2024-09-04 00:00:00+05:30,43.1,44.25,41.7,44.14,21892
2024-09-05 00:00:00+05:30,45.0,45.0,43.48,44.46,10430
2024-09-06 00:00:00+05:30,43.85,44.87,42.52,43.9,13362
2024-09-09 00:00:00+05:30,43.25,45.9,42.1,45.28,18787
2024-09-10 00:00:00+05:30,44.54,44.54,43.05,43.85,6254
2024-09-11 00:00:00+05:30,43.44,44.99,42.5,43.64,7009
2024-09-12 00:00:00+05:30,42.51,44.5,42.51,43.53,3866
2024-09-13 00:00:00+05:30,42.5,44.75,42.5,43.62,7212
2024-09-16 00:00:00+05:30,43.62,44.25,42.5,42.79,7387
2024-09-17 00:00:00+05:30,44.0,44.0,40.65,41.99,15398
2024-09-18 00:00:00+05:30,42.0,42.99,40.5,40.63,8361
2024-09-19 00:00:00+05:30,40.63,41.4,39.5,39.68,5980
2024-09-20 00:00:00+05:30,39.7,41.49,39.0,39.95,4429
2024-09-23 00:00:00+05:30,40.99,41.0,39.4,40.25,6803
2024-09-24 00:00:00+05:30,39.52,40.0,38.25,39.0,11211
2024-09-25 00:00:00+05:30,39.5,40.0,37.5,38.2,6210
2024-09-26 00:00:00+05:30,39.89,39.9,38.33,38.71,14674
2024-09-27 00:00:00+05:30,39.68,39.68,36.77,37.15,9042
2024-09-30 00:00:00+05:30,38.0,38.0,36.54,37.31,4428
2024-10-01 00:00:00+05:30,36.5,39.0,36.5,37.61,6901
2024-10-03 00:00:00+05:30,38.0,38.96,36.0,37.92,12333
2024-10-04 00:00:00+05:30,38.86,38.86,36.06,37.94,8549
2024-10-07 00:00:00+05:30,37.94,39.49,36.5,37.07,7371
2024-10-08 00:00:00+05:30,38.8,38.8,35.53,37.4,2980
2024-10-09 00:00:00+05:30,36.3,38.05,36.3,37.61,6567
2024-10-10 00:00:00+05:30,37.61,38.15,36.55,37.35,6105
2024-10-11 00:00:00+05:30,37.01,38.76,36.01,38.04,9461
2024-10-14 00:00:00+05:30,39.2,39.5,36.7,38.39,13007
2024-10-15 00:00:00+05:30,36.51,39.5,36.51,38.38,5656
2024-10-16 00:00:00+05:30,37.99,39.3,37.03,38.48,6061
2024-10-17 00:00:00+05:30,38.49,38.5,37.5,37.58,5903
2024-10-18 00:00:00+05:30,37.0,38.49,36.44,36.9,10964
2024-10-21 00:00:00+05:30,37.01,38.67,36.61,36.65,5384
2024-10-22 00:00:00+05:30,37.9,37.9,34.81,34.81,11094
2024-10-23 00:00:00+05:30,35.0,36.49,34.61,35.47,5612
2024-10-24 00:00:00+05:30,35.47,36.5,34.6,35.79,5973
2024-10-25 00:00:00+05:30,35.88,36.55,34.05,35.3,15397
2024-10-28 00:00:00+05:30,37.0,37.06,36.5,36.62,8665
2024-10-29 00:00:00+05:30,36.62,38.45,35.89,38.41,5999
2024-10-30 00:00:00+05:30,38.41,40.0,38.0,39.0,5686
2024-10-31 00:00:00+05:30,40.19,40.95,38.71,39.35,15510
2024-11-01 00:00:00+05:30,40.9,40.9,39.0,40.43,6650
2024-11-04 00:00:00+05:30,41.0,41.8,39.0,41.57,23045
2024-11-05 00:00:00+05:30,42.2,43.62,41.57,42.27,10178
2024-11-06 00:00:00+05:30,42.4,43.54,41.25,42.96,12960
2024-11-07 00:00:00+05:30,42.97,43.99,42.96,43.75,11470
2024-11-08 00:00:00+05:30,44.99,45.5,43.0,44.32,16136
2024-11-11 00:00:00+05:30,45.5,45.5,42.1,43.66,15566
2024-11-12 00:00:00+05:30,44.55,45.0,43.5,43.8,16608
2024-11-13 00:00:00+05:30,45.8,45.8,43.01,44.66,19298
2024-11-14 00:00:00+05:30,45.0,45.7,42.5,44.59,27460
2024-11-18 00:00:00+05:30,49.89,49.89,45.0,46.21,53098
2024-11-19 00:00:00+05:30,45.51,48.0,45.51,46.11,44786
2024-11-21 00:00:00+05:30,46.0,46.79,44.51,45.74,16312
2024-11-22 00:00:00+05:30,45.8,47.92,45.0,47.1,50247
2024-11-25 00:00:00+05:30,48.04,56.52,47.21,55.59,385267
2024-11-26 00:00:00+05:30,58.0,66.7,58.0,66.7,1039653
2024-11-27 00:00:00+05:30,68.5,71.66,60.03,60.03,523964
2024-11-28 00:00:00+05:30,57.51,59.89,54.02,56.48,428922
2024-11-29 00:00:00+05:30,55.51,62.12,55.51,61.81,258875
2024-12-02 00:00:00+05:30,63.49,67.99,62.0,64.37,439651
2024-12-03 00:00:00+05:30,65.0,68.37,64.0,64.9,177726
2024-12-04 00:00:00+05:30,66.99,67.0,61.15,62.63,100271
2024-12-05 00:00:00+05:30,64.53,64.81,58.43,60.04,128699
2024-12-06 00:00:00+05:30,61.01,63.37,60.33,60.83,97618
2024-12-09 00:00:00+05:30,61.48,62.49,59.11,60.54,99785
2024-12-10 00:00:00+05:30,60.74,61.73,57.61,58.65,127068
2024-12-11 00:00:00+05:30,58.5,59.99,56.0,56.58,81003
2024-12-12 00:00:00+05:30,56.55,59.99,55.6,59.55,77580
2024-12-13 00:00:00+05:30,61.3,65.5,60.47,64.6,392268
2024-12-16 00:00:00+05:30,66.26,71.06,66.26,71.06,397807
2024-12-17 00:00:00+05:30,73.0,78.16,72.48,78.16,449333
2024-12-18 00:00:00+05:30,81.5,82.06,74.25,74.4,405018
2024-12-19 00:00:00+05:30,70.68,70.68,70.68,70.68,19390
2024-12-20 00:00:00+05:30,67.51,70.45,67.14,67.15,61447
2024-12-23 00:00:00+05:30,67.17,69.9,63.79,63.89,30877
2024-12-24 00:00:00+05:30,64.8,64.8,61.01,62.11,26332
2024-12-26 00:00:00+05:30,62.11,65.21,60.5,65.21,30605
2024-12-27 00:00:00+05:30,66.8,66.8,62.1,63.83,16752
2024-12-30 00:00:00+05:30,65.8,65.8,60.63,61.48,27910
2024-12-31 00:00:00+05:30,58.56,61.48,58.4,59.9,14553
2025-01-01 00:00:00+05:30,59.9,62.87,58.0,62.64,26651
2025-01-02 00:00:00+05:30,62.64,62.64,61.06,61.78,9611
2025-01-03 00:00:00+05:30,59.7,62.9,59.11,59.88,18913
2025-01-06 00:00:00+05:30,59.88,62.0,57.0,59.62,14381
2025-01-07 00:00:00+05:30,57.0,59.47,57.0,58.25,14332
2025-01-08 00:00:00+05:30,59.0,59.0,57.05,57.49,8793
2025-01-09 00:00:00+05:30,56.5,59.94,55.01,57.58,13024
2025-01-10 00:00:00+05:30,57.58,58.0,54.7,55.1,15030
2025-01-13 00:00:00+05:30,55.0,55.0,52.34,52.34,14983
2025-01-14 00:00:00+05:30,51.05,51.05,49.72,50.29,17242
2025-01-15 00:00:00+05:30,51.55,52.8,51.0,52.79,10154
2025-01-16 00:00:00+05:30,55.39,55.42,53.85,55.42,14287
2025-01-17 00:00:00+05:30,56.85,58.19,55.42,58.16,20208
2025-01-20 00:00:00+05:30,58.9,59.05,55.25,56.22,16397
2025-01-21 00:00:00+05:30,56.22,57.88,54.31,55.55,7956
2025-01-22 00:00:00+05:30,54.17,56.94,52.77,53.16,13126
2025-01-23 00:00:00+05:30,53.5,55.2,51.5,53.62,11282
2025-01-24 00:00:00+05:30,54.69,54.69,51.0,51.19,6345
2025-01-27 00:00:00+05:30,52.21,52.21,48.63,50.48,10300
2025-01-28 00:00:00+05:30,50.48,51.99,47.95,48.93,7373
2025-01-29 00:00:00+05:30,46.9,49.9,46.5,47.94,6383
2025-01-30 00:00:00+05:30,47.46,49.57,47.46,49.38,12418
2025-01-31 00:00:00+05:30,47.38,51.84,47.38,50.88,9570
2025-02-01 00:00:00+05:30,52.65,53.3,51.21,52.23,5250
2025-02-03 00:00:00+05:30,53.0,53.0,49.61,51.78,7267
2025-02-04 00:00:00+05:30,51.77,51.77,49.6,50.43,5426
2025-02-05 00:00:00+05:30,49.19,52.5,48.01,50.23,5587
2025-02-06 00:00:00+05:30,50.23,51.79,48.33,48.69,8038
2025-02-07 00:00:00+05:30,47.25,50.0,47.25,48.95,5436
2025-02-10 00:00:00+05:30,48.0,48.95,47.0,48.21,1999
2025-02-11 00:00:00+05:30,47.01,48.44,45.79,45.99,4386
2025-02-12 00:00:00+05:30,45.79,47.14,43.69,45.19,5938
2025-02-13 00:00:00+05:30,45.19,47.44,45.19,46.76,5318
2025-02-14 00:00:00+05:30,46.76,46.76,44.42,44.49,4412
2025-02-17 00:00:00+05:30,44.45,45.0,42.26,42.99,4072
2025-02-18 00:00:00+05:30,45.1,45.1,41.12,43.5,7853
2025-02-19 00:00:00+05:30,41.35,44.0,41.35,42.99,10591
2025-02-20 00:00:00+05:30,42.51,44.2,42.5,43.84,5528
2025-02-21 00:00:00+05:30,46.0,46.0,42.5,42.74,2611
2025-02-24 00:00:00+05:30,43.6,44.87,42.71,43.51,4333
2025-02-25 00:00:00+05:30,43.5,44.99,43.0,43.56,3715
2025-02-27 00:00:00+05:30,43.55,43.55,41.6,42.33,3444
2025-02-28 00:00:00+05:30,42.33,43.29,41.0,41.44,6454
2025-03-03 00:00:00+05:30,39.36,41.44,39.36,39.36,10507
2025-03-04 00:00:00+05:30,40.35,41.0,38.21,39.13,4565
2025-03-05 00:00:00+05:30,41.08,41.08,39.01,41.05,7629
2025-03-06 00:00:00+05:30,40.03,41.99,40.03,41.55,3596
2025-03-07 00:00:00+05:30,40.14,42.99,39.6,42.24,9422
2025-03-10 00:00:00+05:30,42.24,43.91,41.02,41.21,17427
2025-03-11 00:00:00+05:30,43.0,43.0,40.75,41.07,8064
2025-03-12 00:00:00+05:30,41.05,41.99,40.0,41.55,2857
