date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,19.2,19.2,19.2,19.2,343233
2024-06-04 00:00:00+05:30,20.15,20.15,18.25,20.05,3999845
2024-06-05 00:00:00+05:30,19.95,19.95,19.05,19.15,594869
2024-06-06 00:00:00+05:30,19.35,20.1,18.3,19.95,1115095
2024-06-07 00:00:00+05:30,20.5,20.5,19.0,19.9,564095
2024-06-10 00:00:00+05:30,20.89,20.89,20.11,20.89,602615
2024-06-11 00:00:00+05:30,21.93,21.93,21.1,21.93,752792
2024-06-12 00:00:00+05:30,23.02,23.02,21.93,23.02,1125130
2024-06-13 00:00:00+05:30,23.95,23.95,21.86,22.88,1350501
2024-06-14 00:00:00+05:30,22.88,22.88,21.73,22.19,731194
2024-06-18 00:00:00+05:30,22.1,22.88,21.08,21.08,601859
2024-06-19 00:00:00+05:30,21.0,21.4,20.13,20.22,347845
2024-06-20 00:00:00+05:30,20.5,21.23,20.4,21.23,193281
2024-06-21 00:00:00+05:30,22.29,22.29,21.31,22.29,819711
2024-06-24 00:00:00+05:30,22.78,23.4,22.29,23.4,382424
2024-06-25 00:00:00+05:30,24.31,24.57,22.36,23.18,672040
2024-06-26 00:00:00+05:30,23.0,23.6,22.25,23.25,404402
2024-06-27 00:00:00+05:30,23.5,23.95,22.2,22.41,487524
2024-06-28 00:00:00+05:30,21.96,21.96,21.96,21.96,97157
2024-07-01 00:00:00+05:30,21.52,21.52,21.52,21.52,70321
2024-07-02 00:00:00+05:30,21.08,21.1,21.08,21.08,354559
2024-07-03 00:00:00+05:30,20.65,20.65,20.65,20.65,196784
2024-07-04 00:00:00+05:30,20.41,21.06,20.41,21.06,153909
2024-07-05 00:00:00+05:30,21.45,21.48,21.45,21.48,175726
2024-07-08 00:00:00+05:30,21.6,21.6,21.53,21.6,124044
2024-07-09 00:00:00+05:30,21.45,21.45,21.16,21.16,62980
2024-07-10 00:00:00+05:30,20.73,20.74,20.73,20.73,77109
2024-07-11 00:00:00+05:30,20.31,20.31,20.31,20.31,31360
2024-07-12 00:00:00+05:30,19.91,20.2,19.9,20.2,122280
2024-07-15 00:00:00+05:30,19.79,19.8,19.79,19.79,321735
2024-07-16 00:00:00+05:30,19.74,19.74,19.39,19.39,114972
2024-07-18 00:00:00+05:30,19.2,19.39,19.0,19.0,174537
2024-07-19 00:00:00+05:30,18.95,19.0,18.7,19.0,318229
2024-07-22 00:00:00+05:30,18.73,18.74,18.62,18.62,179192
2024-07-23 00:00:00+05:30,18.3,18.49,18.24,18.24,176554
2024-07-24 00:00:00+05:30,18.31,18.6,18.31,18.6,175672
2024-07-25 00:00:00+05:30,18.97,18.97,18.97,18.97,24395
2024-07-26 00:00:00+05:30,19.34,19.34,19.34,19.34,21719
2024-07-29 00:00:00+05:30,19.72,19.72,19.72,19.72,18411
2024-07-30 00:00:00+05:30,20.11,20.11,20.11,20.11,34928
2024-07-31 00:00:00+05:30,20.1,20.5,20.1,20.5,179206
2024-08-01 00:00:00+05:30,20.09,20.09,20.09,20.09,93126
2024-08-02 00:00:00+05:30,19.68,20.45,19.68,20.44,174238
2024-08-05 00:00:00+05:30,19.41,20.1,19.41,19.41,161522
2024-08-06 00:00:00+05:30,18.9,19.41,18.43,18.43,296507
2024-08-07 00:00:00+05:30,17.65,18.69,17.5,17.9,443885
2024-08-08 00:00:00+05:30,17.7,18.52,17.21,17.93,186052
