date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,102.7,103.4,100.5,103.2,32444
2024-06-04 00:00:00+05:30,104.0,104.0,98.05,98.45,28755
2024-06-05 00:00:00+05:30,95.1,101.45,93.55,100.35,15468
2024-06-06 00:00:00+05:30,103.35,104.0,101.1,103.0,13044
2024-06-07 00:00:00+05:30,105.95,106.0,101.0,104.7,20191
2024-06-10 00:00:00+05:30,107.3,109.93,104.7,109.93,19761
2024-06-11 00:00:00+05:30,112.4,115.42,111.0,115.42,24446
2024-06-12 00:00:00+05:30,118.0,121.0,115.0,116.66,38416
2024-06-13 00:00:00+05:30,121.7,121.7,113.2,114.27,10820
2024-06-14 00:00:00+05:30,114.27,116.5,111.1,112.19,9985
2024-06-18 00:00:00+05:30,112.19,116.5,108.23,111.46,17099
2024-06-19 00:00:00+05:30,113.0,113.95,109.0,110.32,14919
2024-06-20 00:00:00+05:30,110.5,113.1,109.1,112.12,15166
2024-06-21 00:00:00+05:30,112.12,116.2,112.0,112.67,11350
2024-06-24 00:00:00+05:30,112.67,115.6,110.1,111.59,12545
2024-06-25 00:00:00+05:30,112.88,113.35,110.55,111.86,12225
2024-06-26 00:00:00+05:30,111.0,112.9,110.2,111.41,9244
2024-06-27 00:00:00+05:30,112.6,112.65,108.8,109.38,10475
2024-06-28 00:00:00+05:30,109.0,113.5,109.0,110.66,22015
2024-07-01 00:00:00+05:30,109.0,110.94,106.7,108.81,12530
2024-07-02 00:00:00+05:30,109.2,110.0,105.01,107.84,19397
2024-07-03 00:00:00+05:30,107.45,107.45,105.0,105.78,15627
2024-07-04 00:00:00+05:30,105.21,105.21,100.61,103.2,27390
2024-07-05 00:00:00+05:30,102.9,105.85,100.0,103.16,38026
2024-07-08 00:00:00+05:30,103.2,106.54,100.1,104.64,23060
2024-07-09 00:00:00+05:30,105.4,109.87,105.3,109.87,38375
2024-07-10 00:00:00+05:30,113.95,114.9,107.0,112.96,50446
2024-07-11 00:00:00+05:30,115.0,115.22,108.0,110.25,22323
2024-07-12 00:00:00+05:30,107.31,110.9,107.31,110.34,17441
2024-07-15 00:00:00+05:30,110.34,113.0,107.0,108.2,15135
2024-07-16 00:00:00+05:30,108.95,109.87,107.1,109.39,16836
2024-07-18 00:00:00+05:30,112.99,112.99,106.5,107.59,25063
2024-07-19 00:00:00+05:30,107.61,109.99,105.5,106.7,12388
2024-07-22 00:00:00+05:30,108.3,112.0,106.81,109.17,40414
2024-07-23 00:00:00+05:30,110.17,110.17,103.71,105.93,26158
2024-07-24 00:00:00+05:30,109.54,109.54,104.0,105.79,38639
2024-07-25 00:00:00+05:30,105.0,108.48,104.8,106.0,28483
2024-07-26 00:00:00+05:30,106.0,108.5,104.5,105.19,60937
2024-07-29 00:00:00+05:30,103.22,107.0,103.22,105.87,57703
2024-07-30 00:00:00+05:30,107.0,111.16,105.01,111.16,78651
2024-07-31 00:00:00+05:30,116.16,116.71,113.12,116.71,50162
2024-08-01 00:00:00+05:30,120.0,122.5,115.1,115.42,114917
2024-08-02 00:00:00+05:30,115.99,116.1,112.21,113.85,58017
2024-08-05 00:00:00+05:30,111.0,113.74,108.5,109.72,113335
2024-08-06 00:00:00+05:30,111.5,112.5,106.0,107.45,70853
2024-08-07 00:00:00+05:30,110.9,118.19,108.95,118.19,95475
2024-08-08 00:00:00+05:30,124.99,129.95,121.1,122.36,343982
2024-08-09 00:00:00+05:30,122.3,125.58,120.1,122.87,95424
2024-08-12 00:00:00+05:30,122.87,129.9,120.2,122.45,97735
2024-08-13 00:00:00+05:30,125.89,127.0,117.23,118.98,87255
2024-08-14 00:00:00+05:30,115.51,120.75,115.21,115.82,31156
2024-08-16 00:00:00+05:30,116.1,119.9,113.1,117.16,56396
2024-08-19 00:00:00+05:30,119.97,122.0,117.03,118.92,28622
2024-08-20 00:00:00+05:30,120.0,123.5,118.51,121.7,43743
2024-08-21 00:00:00+05:30,124.0,129.0,121.81,124.58,81155
2024-08-22 00:00:00+05:30,127.0,127.0,123.0,124.76,61879
2024-08-23 00:00:00+05:30,124.79,126.4,123.05,125.33,53899
2024-08-26 00:00:00+05:30,128.0,129.0,122.35,123.78,88110
2024-08-27 00:00:00+05:30,124.0,125.84,121.85,123.4,34628
2024-08-28 00:00:00+05:30,125.0,125.0,118.19,119.28,35299
2024-08-29 00:00:00+05:30,120.99,120.99,113.61,115.05,56033
2024-08-30 00:00:00+05:30,116.5,118.75,116.1,117.43,29691
2024-09-02 00:00:00+05:30,116.01,129.17,116.01,122.15,275589
2024-09-03 00:00:00+05:30,122.0,122.15,118.0,119.23,79256
2024-09-04 00:00:00+05:30,118.9,126.55,115.61,124.08,107329
2024-09-05 00:00:00+05:30,125.95,136.48,125.51,136.37,426634
2024-09-06 00:00:00+05:30,136.9,140.54,129.6,136.79,230098
2024-09-09 00:00:00+05:30,138.99,142.95,134.01,136.62,109406
2024-09-10 00:00:00+05:30,140.0,140.8,134.5,135.39,59764
2024-09-11 00:00:00+05:30,132.3,136.76,129.5,130.1,45874
2024-09-12 00:00:00+05:30,132.7,134.0,126.2,128.0,38458
2024-09-13 00:00:00+05:30,129.15,136.28,129.1,133.11,59453
2024-09-16 00:00:00+05:30,135.1,137.29,132.0,132.55,28468
2024-09-17 00:00:00+05:30,131.95,134.48,130.0,133.0,27900
2024-09-18 00:00:00+05:30,134.5,146.3,133.1,146.23,420080
2024-09-19 00:00:00+05:30,151.0,160.85,135.4,142.46,920225
2024-09-20 00:00:00+05:30,147.0,149.59,140.0,141.67,142739
2024-09-23 00:00:00+05:30,144.0,149.9,141.99,143.67,106531
2024-09-24 00:00:00+05:30,141.7,145.87,138.03,141.0,75125
2024-09-25 00:00:00+05:30,141.0,142.47,134.34,135.99,61629
2024-09-26 00:00:00+05:30,139.65,141.89,133.55,136.18,73671
2024-09-27 00:00:00+05:30,136.0,137.24,132.2,135.26,47649
2024-09-30 00:00:00+05:30,134.25,134.89,129.8,131.38,45784
2024-10-01 00:00:00+05:30,134.0,134.45,131.21,132.75,21685
2024-10-03 00:00:00+05:30,130.75,133.01,127.81,128.8,39216
2024-10-04 00:00:00+05:30,126.25,130.79,125.13,126.05,37357
2024-10-07 00:00:00+05:30,123.65,129.0,117.04,118.78,52504
2024-10-08 00:00:00+05:30,117.0,124.6,115.0,122.87,51997
2024-10-09 00:00:00+05:30,126.0,133.5,123.22,131.45,110310
2024-10-10 00:00:00+05:30,138.0,138.0,130.0,130.29,48848
2024-10-11 00:00:00+05:30,133.49,133.49,129.35,131.08,26943
2024-10-14 00:00:00+05:30,129.6,132.0,128.3,128.83,15778
2024-10-15 00:00:00+05:30,129.88,129.88,125.1,126.54,28262
2024-10-16 00:00:00+05:30,125.01,130.4,125.0,129.2,29104
2024-10-17 00:00:00+05:30,130.0,133.0,129.1,130.05,23395
2024-10-18 00:00:00+05:30,127.05,134.95,127.05,131.68,27360
