date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,64.37,64.37,64.37,64.37,3492
2024-06-04 00:00:00+05:30,63.08,63.08,63.08,63.08,726
2024-06-05 00:00:00+05:30,61.84,61.84,61.84,61.84,636
2024-06-06 00:00:00+05:30,60.72,60.72,60.6,60.6,25367
2024-06-07 00:00:00+05:30,59.42,61.8,59.42,61.8,52578
2024-06-10 00:00:00+05:30,63.34,64.9,61.02,64.9,24950
2024-06-11 00:00:00+05:30,67.67,68.14,67.34,68.14,21977
2024-06-12 00:00:00+05:30,70.33,71.54,69.67,71.49,52569
2024-06-13 00:00:00+05:30,75.0,75.06,69.34,75.06,72356
2024-06-14 00:00:00+05:30,75.06,75.06,72.0,74.46,53646
2024-06-18 00:00:00+05:30,75.0,76.67,73.34,75.2,42442
2024-06-19 00:00:00+05:30,75.99,78.67,73.34,78.04,58638
2024-06-20 00:00:00+05:30,76.48,76.48,76.48,76.48,6822
2024-06-21 00:00:00+05:30,74.95,74.95,74.95,74.95,8223
2024-06-24 00:00:00+05:30,73.45,73.45,73.45,73.45,5625
2024-06-25 00:00:00+05:30,71.98,71.98,71.98,71.98,7881
2024-06-26 00:00:00+05:30,70.54,70.54,70.54,70.54,3480
2024-06-27 00:00:00+05:30,69.12,69.12,69.12,69.12,2526
2024-06-28 00:00:00+05:30,67.74,67.74,67.74,67.74,2562
2024-07-01 00:00:00+05:30,66.5,66.5,66.39,66.39,12542
2024-07-02 00:00:00+05:30,66.34,66.34,65.17,65.17,6690
2024-07-03 00:00:00+05:30,65.17,65.17,64.34,64.34,12416
2024-07-04 00:00:00+05:30,64.0,64.0,63.34,63.34,9615
2024-07-05 00:00:00+05:30,63.34,63.34,62.07,62.07,16865
2024-07-08 00:00:00+05:30,62.17,63.0,62.1,63.0,7656
2024-07-09 00:00:00+05:30,64.2,64.26,64.2,64.26,6144
2024-07-10 00:00:00+05:30,65.55,65.55,65.55,65.55,22472
2024-07-11 00:00:00+05:30,66.86,66.86,66.86,66.86,4062
2024-07-12 00:00:00+05:30,68.19,68.19,68.19,68.19,130610
2024-07-15 00:00:00+05:30,66.83,66.83,66.83,66.83,2871
2024-07-16 00:00:00+05:30,65.49,65.49,65.49,65.49,1302
2024-07-18 00:00:00+05:30,64.18,64.18,64.18,64.18,1665
2024-07-19 00:00:00+05:30,62.9,62.9,62.9,62.9,3804
2024-07-22 00:00:00+05:30,61.63,64.15,61.63,64.15,16943
