date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,670.0,679.95,655.0,661.45,18287
2024-06-04 00:00:00+05:30,662.6,664.95,632.6,643.6,38020
2024-06-05 00:00:00+05:30,636.0,672.45,636.0,661.85,13190
2024-06-06 00:00:00+05:30,685.0,685.0,662.2,664.75,23096
2024-06-07 00:00:00+05:30,662.55,673.4,658.95,661.55,24530
2024-06-10 00:00:00+05:30,665.0,680.0,662.2,677.05,18249
2024-06-11 00:00:00+05:30,675.1,693.7,675.1,684.0,18690
2024-06-12 00:00:00+05:30,687.0,697.9,681.55,694.3,20890
2024-06-13 00:00:00+05:30,691.0,697.95,686.55,689.85,19090
2024-06-14 00:00:00+05:30,702.75,702.75,683.0,686.65,19509
2024-06-18 00:00:00+05:30,687.85,692.0,675.0,675.85,19651
2024-06-19 00:00:00+05:30,675.85,689.6,675.85,677.05,17061
2024-06-20 00:00:00+05:30,678.7,739.2,678.7,716.35,175130
2024-06-21 00:00:00+05:30,724.7,730.0,707.05,713.8,63286
2024-06-24 00:00:00+05:30,713.8,713.8,691.35,695.6,29618
2024-06-25 00:00:00+05:30,695.8,700.4,683.0,685.4,31790
2024-06-26 00:00:00+05:30,687.2,696.05,678.0,680.2,25160
2024-06-27 00:00:00+05:30,683.0,685.95,670.0,674.65,34899
2024-06-28 00:00:00+05:30,677.85,681.45,670.0,674.55,14773
2024-07-01 00:00:00+05:30,674.3,694.55,672.15,678.9,20412
2024-07-02 00:00:00+05:30,679.0,699.0,677.0,688.85,22172
2024-07-03 00:00:00+05:30,688.0,697.5,685.2,691.55,14066
2024-07-04 00:00:00+05:30,691.55,718.95,690.0,710.75,48245
2024-07-05 00:00:00+05:30,715.0,717.95,696.0,699.55,21062
2024-07-08 00:00:00+05:30,704.5,707.45,688.0,697.0,27466
2024-07-09 00:00:00+05:30,715.0,774.95,700.55,738.65,193847
2024-07-10 00:00:00+05:30,743.0,745.95,702.7,718.65,78969
2024-07-11 00:00:00+05:30,718.0,724.7,704.9,718.1,25682
2024-07-12 00:00:00+05:30,718.1,724.0,703.1,706.1,19359
2024-07-15 00:00:00+05:30,704.0,717.0,695.0,713.2,20525
2024-07-16 00:00:00+05:30,718.3,718.3,702.1,704.0,11321
2024-07-18 00:00:00+05:30,704.0,728.8,701.15,711.65,27909
2024-07-19 00:00:00+05:30,716.7,716.7,687.3,696.1,18026
2024-07-22 00:00:00+05:30,640.05,659.75,639.0,642.0,147520
2024-07-23 00:00:00+05:30,657.35,657.35,626.2,647.05,35347
2024-07-24 00:00:00+05:30,651.6,656.55,628.0,640.0,32978
2024-07-25 00:00:00+05:30,640.0,653.0,634.2,643.55,21991
2024-07-26 00:00:00+05:30,648.1,652.15,636.0,641.75,19705
2024-07-29 00:00:00+05:30,652.75,657.0,636.0,638.5,32494
2024-07-30 00:00:00+05:30,644.9,652.0,638.05,650.65,19319
2024-07-31 00:00:00+05:30,657.15,657.15,649.05,651.2,10782
2024-08-01 00:00:00+05:30,656.9,656.9,642.0,646.6,12110
2024-08-02 00:00:00+05:30,640.7,646.8,635.45,637.2,30982
2024-08-05 00:00:00+05:30,630.0,634.95,616.0,617.95,28661
2024-08-06 00:00:00+05:30,621.2,631.65,606.0,608.5,20510
2024-08-07 00:00:00+05:30,625.0,632.8,605.0,628.15,17156
2024-08-08 00:00:00+05:30,628.75,633.45,621.15,631.05,8261
2024-08-09 00:00:00+05:30,631.95,636.0,623.6,632.05,13926
2024-08-12 00:00:00+05:30,632.05,640.0,627.15,635.15,16595
2024-08-13 00:00:00+05:30,636.5,638.4,624.95,625.85,19607
2024-08-14 00:00:00+05:30,626.1,629.0,620.05,625.75,14188
2024-08-16 00:00:00+05:30,620.1,636.8,620.1,633.05,10153
2024-08-19 00:00:00+05:30,638.9,641.95,630.75,633.3,12439
2024-08-20 00:00:00+05:30,630.4,643.0,630.4,635.75,10637
2024-08-21 00:00:00+05:30,635.1,639.5,628.0,635.9,10605
2024-08-22 00:00:00+05:30,635.9,656.55,635.9,649.2,19201
2024-08-23 00:00:00+05:30,650.0,654.95,635.1,640.4,24695
2024-08-26 00:00:00+05:30,643.5,649.7,640.1,645.6,10920
2024-08-27 00:00:00+05:30,640.1,663.0,640.1,656.9,17543
2024-08-28 00:00:00+05:30,656.9,664.55,651.6,658.0,15370
2024-08-29 00:00:00+05:30,661.5,664.55,640.0,642.9,14698
2024-08-30 00:00:00+05:30,652.0,652.0,640.05,643.15,8569
2024-09-02 00:00:00+05:30,651.0,654.45,642.0,646.75,9604
2024-09-03 00:00:00+05:30,656.5,656.5,647.1,650.2,5659
2024-09-04 00:00:00+05:30,640.15,660.1,630.0,657.65,129619
2024-09-05 00:00:00+05:30,661.0,669.95,649.0,653.15,173908
2024-09-06 00:00:00+05:30,654.1,664.25,642.65,656.45,22473
2024-09-09 00:00:00+05:30,651.0,666.0,641.7,663.25,18895
2024-09-10 00:00:00+05:30,669.0,669.0,654.8,658.35,8568
2024-09-11 00:00:00+05:30,661.8,664.85,643.0,651.05,9599
2024-09-12 00:00:00+05:30,657.55,657.55,644.7,653.0,7943
2024-09-13 00:00:00+05:30,653.25,660.45,632.5,639.7,22062
2024-09-16 00:00:00+05:30,643.1,767.6,643.1,767.6,546612
2024-09-17 00:00:00+05:30,806.95,912.0,806.9,900.35,1308069
2024-09-18 00:00:00+05:30,887.9,918.0,860.0,884.55,424116
2024-09-19 00:00:00+05:30,888.05,898.0,822.7,859.4,133209
2024-09-20 00:00:00+05:30,870.0,884.9,843.0,849.85,60527
2024-09-23 00:00:00+05:30,852.1,878.5,814.65,841.05,62751
2024-09-24 00:00:00+05:30,845.0,870.0,841.05,846.1,23801
2024-09-25 00:00:00+05:30,840.0,865.0,825.5,835.1,25725
2024-09-26 00:00:00+05:30,835.1,848.0,813.0,821.55,18368
2024-09-27 00:00:00+05:30,825.9,868.5,819.6,827.5,74233
2024-09-30 00:00:00+05:30,839.9,844.85,817.0,825.35,31134
2024-10-01 00:00:00+05:30,817.1,839.65,815.0,830.9,17379
2024-10-03 00:00:00+05:30,830.0,861.0,808.05,817.25,56620
2024-10-04 00:00:00+05:30,821.6,845.0,800.0,809.55,63681
2024-10-07 00:00:00+05:30,810.0,818.2,772.0,778.85,49997
2024-10-08 00:00:00+05:30,795.0,805.0,770.0,796.85,15487
2024-10-09 00:00:00+05:30,796.9,814.0,790.0,794.3,9661
2024-10-10 00:00:00+05:30,815.0,815.0,775.0,793.15,8400
2024-10-11 00:00:00+05:30,795.0,810.0,775.1,790.65,6604
2024-10-14 00:00:00+05:30,800.0,804.0,775.1,778.6,9261
2024-10-15 00:00:00+05:30,780.0,790.0,739.7,775.65,9411
2024-10-16 00:00:00+05:30,763.8,800.0,755.2,781.25,9482
2024-10-17 00:00:00+05:30,785.0,798.95,761.5,780.0,7241
2024-10-18 00:00:00+05:30,777.0,777.0,761.2,765.7,9768
2024-10-21 00:00:00+05:30,760.2,772.0,750.0,761.65,4495
2024-10-22 00:00:00+05:30,756.9,756.9,723.6,726.85,10583
2024-10-23 00:00:00+05:30,724.95,743.9,700.0,728.4,8379
2024-10-24 00:00:00+05:30,731.85,734.95,705.25,727.7,4131
2024-10-25 00:00:00+05:30,707.2,728.9,691.5,698.65,13896
2024-10-28 00:00:00+05:30,704.95,710.0,678.0,699.0,7206
2024-10-29 00:00:00+05:30,703.9,728.9,698.55,716.2,3966
2024-10-30 00:00:00+05:30,720.0,749.9,707.1,736.35,3275
2024-10-31 00:00:00+05:30,710.0,746.0,710.0,738.25,2724
2024-11-01 00:00:00+05:30,744.0,748.9,720.1,736.15,1950
2024-11-04 00:00:00+05:30,768.8,768.8,710.0,736.55,3695
2024-11-05 00:00:00+05:30,730.0,747.0,716.0,734.25,5044
2024-11-06 00:00:00+05:30,740.0,740.0,718.1,727.2,5721
2024-11-07 00:00:00+05:30,749.9,750.0,720.0,745.25,3816
2024-11-08 00:00:00+05:30,748.95,748.95,724.0,727.9,2857
2024-11-11 00:00:00+05:30,730.0,735.0,701.0,705.9,7183
2024-11-12 00:00:00+05:30,670.6,693.5,670.6,670.6,19062
2024-11-13 00:00:00+05:30,659.9,665.0,637.1,642.65,20180
2024-11-14 00:00:00+05:30,639.8,659.0,625.0,642.0,6358
2024-11-18 00:00:00+05:30,635.0,654.8,617.1,638.95,11531
2024-11-19 00:00:00+05:30,638.95,670.85,638.95,653.75,4880
2024-11-21 00:00:00+05:30,664.0,664.0,621.1,638.9,5986
2024-11-22 00:00:00+05:30,648.15,659.4,635.0,644.4,3400
2024-11-25 00:00:00+05:30,669.0,669.0,620.0,634.95,6670
2024-11-26 00:00:00+05:30,640.95,655.0,620.0,633.25,8614
2024-11-27 00:00:00+05:30,633.25,649.9,633.1,645.25,5314
2024-11-28 00:00:00+05:30,645.25,651.0,625.0,649.05,6150
2024-11-29 00:00:00+05:30,657.7,657.7,616.6,638.7,19166
2024-12-02 00:00:00+05:30,630.0,649.45,621.0,637.85,10925
2024-12-03 00:00:00+05:30,637.9,648.85,637.9,646.95,6008
2024-12-04 00:00:00+05:30,648.95,658.8,630.0,649.7,12595
2024-12-05 00:00:00+05:30,653.0,660.0,649.7,656.55,5207
2024-12-06 00:00:00+05:30,658.0,669.0,650.0,653.9,7738
2024-12-09 00:00:00+05:30,658.0,670.0,657.0,667.8,7206
2024-12-10 00:00:00+05:30,665.0,679.7,650.0,663.5,4804
2024-12-11 00:00:00+05:30,662.6,674.95,650.0,672.15,6500
2024-12-12 00:00:00+05:30,668.95,679.7,652.25,656.6,2742
2024-12-13 00:00:00+05:30,673.9,673.9,645.0,654.7,3966
2024-12-16 00:00:00+05:30,669.4,674.5,645.1,657.75,4604
2024-12-17 00:00:00+05:30,652.55,660.0,641.15,651.25,3949
2024-12-18 00:00:00+05:30,650.0,659.0,645.0,653.3,3689
2024-12-19 00:00:00+05:30,652.6,652.6,643.2,650.6,5115
2024-12-20 00:00:00+05:30,650.6,653.7,640.05,642.65,7120
2024-12-23 00:00:00+05:30,642.65,642.65,635.05,636.4,8226
2024-12-24 00:00:00+05:30,640.0,645.0,638.05,642.25,3462
2024-12-26 00:00:00+05:30,642.25,644.0,640.0,642.0,4199
2024-12-27 00:00:00+05:30,644.95,660.0,640.0,647.1,5149
2024-12-30 00:00:00+05:30,647.1,650.0,633.0,637.85,4263
2024-12-31 00:00:00+05:30,647.9,647.95,629.0,637.95,5714
2025-01-01 00:00:00+05:30,638.25,643.0,631.2,636.05,7474
2025-01-02 00:00:00+05:30,636.15,644.65,635.0,636.75,6417
2025-01-03 00:00:00+05:30,643.9,668.0,643.85,655.2,15441
2025-01-06 00:00:00+05:30,660.85,660.9,625.0,642.45,10376
2025-01-07 00:00:00+05:30,642.4,650.95,633.0,635.95,6870
2025-01-08 00:00:00+05:30,650.85,650.85,628.0,635.55,6819
2025-01-09 00:00:00+05:30,642.5,642.5,622.0,626.55,6296
2025-01-10 00:00:00+05:30,632.0,632.0,610.0,614.25,8906
2025-01-13 00:00:00+05:30,609.95,609.95,584.0,591.05,13214
2025-01-14 00:00:00+05:30,610.0,610.0,595.0,601.5,5878
2025-01-15 00:00:00+05:30,604.9,609.85,598.05,603.9,3592
2025-01-16 00:00:00+05:30,620.0,620.0,590.55,602.2,7803
2025-01-17 00:00:00+05:30,609.8,619.0,605.0,614.95,3822
2025-01-20 00:00:00+05:30,614.95,618.65,606.1,609.6,4795
2025-01-21 00:00:00+05:30,618.95,618.95,603.0,604.55,4141
2025-01-22 00:00:00+05:30,595.2,605.65,580.55,596.85,8614
2025-01-23 00:00:00+05:30,596.5,608.45,596.5,599.95,3926
2025-01-24 00:00:00+05:30,607.8,607.8,578.05,583.2,19937
2025-01-27 00:00:00+05:30,583.2,583.3,556.0,565.35,10784
2025-01-28 00:00:00+05:30,545.15,571.6,545.05,554.65,8565
2025-01-29 00:00:00+05:30,566.35,582.35,547.1,581.4,12755
2025-01-30 00:00:00+05:30,598.9,598.9,568.0,572.05,8567
2025-01-31 00:00:00+05:30,577.2,598.7,574.8,595.95,8409
2025-02-01 00:00:00+05:30,594.54,597.85,582.79,590.85,2921
2025-02-03 00:00:00+05:30,599.0,599.0,560.95,578.45,9059
2025-02-04 00:00:00+05:30,577.55,590.85,570.2,575.45,3658
