date,open,high,low,close,volume
2024-07-01 00:00:00+05:30,239.4,240.99,237.36,240.2,2889894
2024-07-02 00:00:00+05:30,241.35,242.41,234.4,236.56,3544080
2024-07-03 00:00:00+05:30,237.95,238.28,235.8,237.56,1895307
2024-07-04 00:00:00+05:30,238.65,240.55,236.21,237.38,3314005
2024-07-05 00:00:00+05:30,237.38,239.46,235.66,236.01,4524859
2024-07-08 00:00:00+05:30,236.01,237.04,230.42,230.93,3281207
2024-07-09 00:00:00+05:30,231.5,232.09,229.37,230.13,3008389
2024-07-10 00:00:00+05:30,230.3,231.15,224.51,229.64,3143745
2024-07-11 00:00:00+05:30,229.5,231.28,225.81,226.34,3650517
2024-07-12 00:00:00+05:30,227.65,228.74,224.29,224.75,2585896
2024-07-15 00:00:00+05:30,225.34,228.0,221.6,226.46,4833340
2024-07-16 00:00:00+05:30,227.4,228.18,225.0,225.42,1540575
2024-07-18 00:00:00+05:30,224.99,225.69,222.01,222.73,4729478
2024-07-19 00:00:00+05:30,222.4,223.34,215.05,215.64,4503329
2024-07-22 00:00:00+05:30,215.0,218.37,212.71,217.54,3729671
2024-07-23 00:00:00+05:30,217.54,218.85,205.53,215.2,3828665
2024-07-24 00:00:00+05:30,214.95,217.79,214.21,215.51,2784305
2024-07-25 00:00:00+05:30,214.95,219.25,211.53,217.65,4818254
2024-07-26 00:00:00+05:30,219.9,224.45,217.3,223.43,7018470
2024-07-29 00:00:00+05:30,225.0,225.22,222.5,223.82,3957127
2024-07-30 00:00:00+05:30,224.19,224.5,222.41,223.0,3462309
2024-07-31 00:00:00+05:30,223.59,227.6,222.71,226.88,8046503
2024-08-01 00:00:00+05:30,228.0,229.4,217.43,220.09,9771749
2024-08-02 00:00:00+05:30,217.0,217.15,208.0,211.59,9200005
2024-08-05 00:00:00+05:30,204.0,209.39,200.05,206.05,11646782
2024-08-06 00:00:00+05:30,207.75,210.9,202.64,204.17,5526602
2024-08-07 00:00:00+05:30,206.4,212.69,203.0,211.52,5844921
2024-08-08 00:00:00+05:30,209.81,214.15,208.6,210.59,3576123
2024-08-09 00:00:00+05:30,212.55,213.78,210.0,211.8,2239181
2024-08-12 00:00:00+05:30,211.6,214.32,208.41,212.59,3453618
2024-08-13 00:00:00+05:30,210.2,214.52,206.4,207.69,4009584
2024-08-14 00:00:00+05:30,208.1,210.35,201.6,203.47,6626021
2024-08-16 00:00:00+05:30,205.0,216.98,205.0,216.09,10587128
2024-08-19 00:00:00+05:30,217.12,217.87,211.92,213.0,5702535
2024-08-20 00:00:00+05:30,213.85,219.6,213.25,218.11,5285661
2024-08-21 00:00:00+05:30,218.95,224.33,218.04,222.21,7888008
2024-08-22 00:00:00+05:30,223.79,226.0,222.19,223.27,6787380
2024-08-23 00:00:00+05:30,223.27,224.24,218.71,219.08,3849329
2024-08-26 00:00:00+05:30,220.5,222.47,219.6,221.82,3593559
2024-08-27 00:00:00+05:30,222.7,225.7,221.09,222.77,9494832
2024-08-28 00:00:00+05:30,224.7,224.7,221.01,221.99,4976732
2024-08-29 00:00:00+05:30,221.99,223.73,218.09,221.13,5774279
2024-08-30 00:00:00+05:30,222.79,223.36,219.63,220.11,1863921
2024-09-02 00:00:00+05:30,221.0,227.4,219.13,226.96,10313854
2024-09-03 00:00:00+05:30,228.15,229.45,223.4,224.87,7631591
2024-09-04 00:00:00+05:30,220.0,223.98,220.0,221.74,2429811
2024-09-05 00:00:00+05:30,222.95,224.5,221.9,223.65,4173629
2024-09-06 00:00:00+05:30,223.65,224.35,215.64,216.78,4041495
2024-09-09 00:00:00+05:30,217.9,218.0,213.65,216.75,3389407
2024-09-10 00:00:00+05:30,217.49,220.74,216.25,217.42,2615686
2024-09-11 00:00:00+05:30,218.03,219.98,212.8,213.86,3180362
2024-09-12 00:00:00+05:30,216.09,221.64,214.83,220.49,3569309
2024-09-13 00:00:00+05:30,221.01,227.18,220.87,226.1,5482274
2024-09-16 00:00:00+05:30,227.25,231.64,225.41,226.43,6563231
2024-09-17 00:00:00+05:30,227.7,227.7,222.86,225.17,4288195
2024-09-18 00:00:00+05:30,225.0,228.12,223.15,227.15,6782150
2024-09-19 00:00:00+05:30,235.6,240.0,222.85,229.54,21734548
2024-09-20 00:00:00+05:30,230.0,230.98,225.57,228.29,20884105
2024-09-23 00:00:00+05:30,230.0,236.5,228.29,233.65,8942942
2024-09-24 00:00:00+05:30,235.0,235.07,231.0,232.79,4047642
2024-09-25 00:00:00+05:30,231.8,234.49,230.5,233.24,3169806
2024-09-26 00:00:00+05:30,235.0,237.67,231.72,236.24,5613396
2024-09-27 00:00:00+05:30,238.0,240.19,235.1,236.3,5227952
2024-09-30 00:00:00+05:30,236.2,239.2,233.85,237.48,3740635
2024-10-01 00:00:00+05:30,237.0,243.6,236.4,242.03,7599283
2024-10-03 00:00:00+05:30,244.0,244.0,232.0,234.25,9858860
2024-10-04 00:00:00+05:30,234.24,235.0,227.05,227.83,5361656
2024-10-07 00:00:00+05:30,227.82,233.57,222.2,225.16,4979425
2024-10-08 00:00:00+05:30,225.0,227.35,221.6,223.83,3647716
2024-10-09 00:00:00+05:30,226.7,227.68,223.0,225.61,4605507
2024-10-10 00:00:00+05:30,226.19,227.5,223.3,224.39,3347579
2024-10-11 00:00:00+05:30,224.0,224.52,219.24,220.84,2573053
2024-10-14 00:00:00+05:30,220.84,225.65,220.51,224.08,2005995
2024-10-15 00:00:00+05:30,225.31,228.1,223.02,225.85,4017146
2024-10-16 00:00:00+05:30,225.55,227.64,224.67,226.05,2359060
2024-10-17 00:00:00+05:30,226.7,227.54,217.48,218.49,3368608
2024-10-18 00:00:00+05:30,216.55,223.02,213.35,222.08,3536957
2024-10-21 00:00:00+05:30,222.9,223.05,214.92,215.75,2115783
2024-10-22 00:00:00+05:30,214.9,216.7,206.35,207.57,3164130
2024-10-23 00:00:00+05:30,208.0,214.19,205.97,211.04,2320503
2024-10-24 00:00:00+05:30,211.69,214.6,210.28,212.45,2385877
2024-10-25 00:00:00+05:30,212.01,212.63,200.61,202.91,7653343
2024-10-28 00:00:00+05:30,204.11,205.53,201.2,202.86,7887550
2024-10-29 00:00:00+05:30,203.0,205.92,199.44,204.51,13233157
2024-10-30 00:00:00+05:30,205.87,218.81,203.99,215.37,29299209
2024-10-31 00:00:00+05:30,216.26,217.5,201.0,203.23,23489246
2024-11-01 00:00:00+05:30,205.0,208.8,204.16,206.13,3222749
2024-11-04 00:00:00+05:30,206.2,207.19,197.69,199.1,8148906
2024-11-05 00:00:00+05:30,198.91,202.48,197.0,201.99,5350020
2024-11-06 00:00:00+05:30,203.88,206.85,202.0,206.14,4623858
2024-11-07 00:00:00+05:30,206.0,206.95,202.3,203.27,4441470
2024-11-08 00:00:00+05:30,203.27,204.55,200.37,201.11,3686605
2024-11-11 00:00:00+05:30,201.95,202.98,198.1,199.3,2730654
2024-11-12 00:00:00+05:30,199.95,201.39,194.01,194.77,3700550
2024-11-13 00:00:00+05:30,193.0,194.2,186.72,187.61,6642649
2024-11-14 00:00:00+05:30,187.5,190.8,187.01,188.92,2597625
2024-11-18 00:00:00+05:30,189.03,190.4,184.53,185.03,6572741
2024-11-19 00:00:00+05:30,186.48,189.1,183.25,184.76,8140821
2024-11-21 00:00:00+05:30,186.21,186.21,179.18,183.01,8374947
2024-11-22 00:00:00+05:30,183.5,187.4,183.06,186.48,2782501
2024-11-25 00:00:00+05:30,190.0,193.16,189.6,190.5,3572479
2024-11-26 00:00:00+05:30,191.5,192.58,190.23,191.24,1792061
2024-11-27 00:00:00+05:30,192.37,194.55,190.26,193.31,2280701
2024-11-28 00:00:00+05:30,194.3,196.17,193.05,193.81,2342790
2024-11-29 00:00:00+05:30,195.0,196.3,192.68,194.33,2754013
