date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,4.96,5.0,4.96,5.0,40000
2024-06-04 00:00:00+05:30,5.1,5.1,5.1,5.1,20000
2024-06-05 00:00:00+05:30,5.05,5.05,5.05,5.05,40000
2024-06-06 00:00:00+05:30,5.05,5.05,5.0,5.0,60000
2024-06-07 00:00:00+05:30,4.9,4.92,4.9,4.92,40000
2024-06-10 00:00:00+05:30,5.1,5.3,5.1,5.3,60000
2024-06-11 00:00:00+05:30,5.5,5.68,5.5,5.6,3360000
2024-06-12 00:00:00+05:30,5.6,5.62,5.6,5.61,2340000
2024-06-13 00:00:00+05:30,5.61,5.61,5.42,5.44,2220000
2024-06-18 00:00:00+05:30,5.44,5.8,5.4,5.6,2820000
2024-06-19 00:00:00+05:30,5.6,5.6,5.44,5.44,160000
2024-06-20 00:00:00+05:30,5.5,5.5,5.4,5.4,520000
2024-06-21 00:00:00+05:30,5.5,5.5,5.4,5.4,520000
2024-06-24 00:00:00+05:30,5.94,5.94,5.2,5.69,120000
2024-06-25 00:00:00+05:30,5.74,5.74,5.45,5.45,140000
2024-06-26 00:00:00+05:30,5.36,5.36,5.04,5.18,220000
2024-06-28 00:00:00+05:30,5.2,5.54,5.2,5.54,40000
2024-07-01 00:00:00+05:30,5.5,5.5,5.12,5.4,320000
2024-07-02 00:00:00+05:30,5.61,5.61,5.35,5.35,240000
2024-07-03 00:00:00+05:30,5.55,5.69,5.55,5.6,100000
2024-07-04 00:00:00+05:30,5.55,5.69,5.55,5.6,100000
2024-07-05 00:00:00+05:30,5.5,5.5,5.4,5.4,40000
2024-07-08 00:00:00+05:30,5.2,5.44,5.2,5.44,60000
2024-07-09 00:00:00+05:30,5.41,5.41,5.36,5.36,220000
2024-07-10 00:00:00+05:30,5.36,5.65,5.36,5.65,140000
2024-07-11 00:00:00+05:30,5.5,5.5,5.5,5.5,20000
2024-07-12 00:00:00+05:30,5.36,5.36,5.36,5.36,20000
2024-07-15 00:00:00+05:30,5.4,5.5,5.4,5.5,480000
2024-07-16 00:00:00+05:30,5.68,5.7,5.63,5.7,60000
2024-07-18 00:00:00+05:30,5.72,5.72,5.7,5.7,120000
2024-07-19 00:00:00+05:30,5.72,5.72,5.7,5.7,120000
2024-07-22 00:00:00+05:30,5.22,5.22,5.22,5.22,20000
2024-07-23 00:00:00+05:30,5.22,5.22,5.22,5.22,20000
2024-07-24 00:00:00+05:30,5.4,5.74,5.4,5.68,120000
2024-07-25 00:00:00+05:30,5.67,5.92,5.67,5.73,260000
2024-07-26 00:00:00+05:30,5.8,6.18,5.8,6.03,400000
2024-07-29 00:00:00+05:30,6.3,6.55,6.12,6.12,460000
2024-07-30 00:00:00+05:30,6.4,6.4,6.1,6.39,400000
2024-07-31 00:00:00+05:30,6.26,6.4,6.26,6.33,60000
