date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,9.4,9.4,8.85,8.9,356435
2024-06-04 00:00:00+05:30,9.05,9.05,8.45,8.45,528247
2024-06-05 00:00:00+05:30,8.45,8.75,8.05,8.3,466842
2024-06-06 00:00:00+05:30,8.4,8.7,8.4,8.6,291585
2024-06-07 00:00:00+05:30,8.85,9.05,8.8,8.95,280548
2024-06-10 00:00:00+05:30,9.15,9.3,9.05,9.18,371418
2024-06-11 00:00:00+05:30,9.4,9.4,9.23,9.38,324172
2024-06-12 00:00:00+05:30,9.6,10.31,9.5,10.31,704321
2024-06-13 00:00:00+05:30,10.7,11.34,10.61,11.34,581689
2024-06-14 00:00:00+05:30,11.9,11.9,11.9,11.9,463160
2024-06-18 00:00:00+05:30,12.49,12.49,11.3,11.3,2789879
2024-06-19 00:00:00+05:30,11.2,11.2,10.73,10.73,1014415
2024-06-20 00:00:00+05:30,10.5,11.26,10.31,11.26,652432
2024-06-21 00:00:00+05:30,11.7,11.82,11.5,11.82,819817
2024-06-24 00:00:00+05:30,11.75,12.41,11.5,12.41,1901257
2024-06-25 00:00:00+05:30,12.89,13.03,12.72,13.03,1134257
2024-06-26 00:00:00+05:30,13.4,13.68,12.41,12.57,2288449
2024-06-27 00:00:00+05:30,12.39,12.61,11.94,12.39,858514
2024-06-28 00:00:00+05:30,12.44,13.0,12.44,12.99,1005093
2024-07-01 00:00:00+05:30,13.59,13.6,13.05,13.3,914208
2024-07-02 00:00:00+05:30,13.89,13.89,13.0,13.25,629054
2024-07-03 00:00:00+05:30,13.25,13.35,12.58,12.7,610813
2024-07-04 00:00:00+05:30,12.95,13.05,12.06,12.11,775850
2024-07-05 00:00:00+05:30,12.2,12.71,12.11,12.71,529034
2024-07-08 00:00:00+05:30,12.94,13.09,12.2,12.56,571919
2024-07-09 00:00:00+05:30,12.5,12.75,12.2,12.47,485361
2024-07-10 00:00:00+05:30,12.6,12.7,11.85,12.48,683959
2024-07-11 00:00:00+05:30,12.7,13.1,12.48,13.1,1767275
2024-07-12 00:00:00+05:30,13.6,13.75,13.21,13.75,1483168
