date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,87.3,91.5,85.0,85.95,62416
2024-06-04 00:00:00+05:30,86.9,86.9,77.35,77.8,156560
2024-06-05 00:00:00+05:30,82.35,82.35,76.0,79.9,104461
2024-06-06 00:00:00+05:30,82.9,87.85,80.0,82.9,291839
2024-06-07 00:00:00+05:30,84.5,88.7,82.8,87.65,271734
2024-06-10 00:00:00+05:30,89.7,96.41,89.65,96.41,611692
2024-06-11 00:00:00+05:30,103.0,106.05,101.0,106.05,813889
2024-06-12 00:00:00+05:30,109.8,110.4,100.74,101.19,1375783
2024-06-13 00:00:00+05:30,104.0,104.5,99.01,100.23,263656
2024-06-14 00:00:00+05:30,103.7,104.7,100.55,100.96,239116
2024-06-18 00:00:00+05:30,103.7,103.7,99.2,99.71,155300
2024-06-19 00:00:00+05:30,99.9,100.25,96.05,97.06,96166
2024-06-20 00:00:00+05:30,95.25,98.99,95.25,96.89,119977
2024-06-21 00:00:00+05:30,98.7,98.7,97.0,97.27,52526
2024-06-24 00:00:00+05:30,98.69,99.0,96.0,96.64,77424
2024-06-25 00:00:00+05:30,96.3,98.59,95.5,96.48,79351
2024-06-26 00:00:00+05:30,97.25,101.3,96.51,98.26,382905
2024-06-27 00:00:00+05:30,98.7,103.1,97.55,97.99,287544
2024-06-28 00:00:00+05:30,99.0,99.0,96.5,97.35,106430
2024-07-01 00:00:00+05:30,97.7,98.3,96.1,97.5,134978
2024-07-02 00:00:00+05:30,98.3,99.41,97.41,98.52,125837
2024-07-03 00:00:00+05:30,99.59,99.59,97.5,98.55,89346
2024-07-04 00:00:00+05:30,98.7,99.8,98.0,98.14,155976
2024-07-05 00:00:00+05:30,98.14,98.57,96.75,97.72,83482
2024-07-08 00:00:00+05:30,98.0,98.7,96.99,97.88,74016
2024-07-09 00:00:00+05:30,97.95,98.69,96.45,97.17,96403
2024-07-10 00:00:00+05:30,97.7,97.99,96.1,96.26,41089
2024-07-11 00:00:00+05:30,95.5,97.6,95.5,96.72,40727
2024-07-12 00:00:00+05:30,97.01,97.7,96.2,96.72,50315
2024-07-15 00:00:00+05:30,96.72,100.52,95.68,98.12,125808
2024-07-16 00:00:00+05:30,98.7,99.4,97.3,98.17,76705
2024-07-18 00:00:00+05:30,98.17,99.21,96.5,97.87,68829
2024-07-19 00:00:00+05:30,98.7,98.7,93.1,94.26,79961
2024-07-22 00:00:00+05:30,92.25,95.49,92.25,94.3,32338
2024-07-23 00:00:00+05:30,95.98,99.01,94.32,99.01,302317
2024-07-24 00:00:00+05:30,102.4,103.85,99.0,99.52,341579
2024-07-25 00:00:00+05:30,101.0,101.0,97.8,98.02,114816
2024-07-26 00:00:00+05:30,101.99,101.99,97.5,97.78,93311
2024-07-29 00:00:00+05:30,101.69,101.7,97.71,98.01,156643
2024-07-30 00:00:00+05:30,99.95,101.0,97.47,98.25,76556
2024-07-31 00:00:00+05:30,100.35,100.35,98.0,98.59,84491
2024-08-01 00:00:00+05:30,98.02,99.7,95.45,96.03,77690
2024-08-02 00:00:00+05:30,95.07,99.0,95.07,98.28,79840
2024-08-05 00:00:00+05:30,98.28,98.28,95.01,95.82,113643
2024-08-06 00:00:00+05:30,98.99,98.99,94.5,94.93,74477
2024-08-07 00:00:00+05:30,96.95,97.0,95.03,95.61,54056
2024-08-08 00:00:00+05:30,96.5,96.5,93.96,94.67,58420
2024-08-09 00:00:00+05:30,94.91,96.7,94.0,94.26,46324
2024-08-12 00:00:00+05:30,95.0,95.0,92.22,93.91,79882
2024-08-13 00:00:00+05:30,94.4,95.49,92.76,93.56,57979
2024-08-14 00:00:00+05:30,93.56,93.99,91.95,92.13,36706
2024-08-16 00:00:00+05:30,93.95,93.95,92.2,92.82,25424
2024-08-19 00:00:00+05:30,93.12,93.73,92.35,92.61,30246
2024-08-20 00:00:00+05:30,92.61,93.49,92.15,92.56,40031
2024-08-21 00:00:00+05:30,92.74,94.56,92.3,93.47,62923
2024-08-22 00:00:00+05:30,93.47,94.89,92.4,93.8,73494
2024-08-23 00:00:00+05:30,94.7,95.0,93.98,94.6,31170
2024-08-26 00:00:00+05:30,95.5,95.5,93.01,93.28,53105
2024-08-27 00:00:00+05:30,93.11,94.9,92.5,92.74,50113
2024-08-28 00:00:00+05:30,93.5,93.5,91.75,91.88,54612
2024-08-29 00:00:00+05:30,92.6,92.6,90.07,90.59,54516
2024-08-30 00:00:00+05:30,91.69,92.03,90.59,91.22,37235
2024-09-02 00:00:00+05:30,92.0,92.95,90.31,91.48,35119
2024-09-03 00:00:00+05:30,92.46,92.46,90.0,91.2,34715
2024-09-04 00:00:00+05:30,91.2,91.69,90.56,90.81,23558
