date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,88.45,88.5,83.9,84.0,427
2024-06-04 00:00:00+05:30,84.05,87.65,76.4,79.05,3635
2024-06-05 00:00:00+05:30,79.1,81.5,77.0,78.45,8005
2024-06-06 00:00:00+05:30,78.45,83.9,78.45,81.75,1339
2024-06-07 00:00:00+05:30,84.9,89.45,81.75,85.3,4329
2024-06-10 00:00:00+05:30,82.65,89.08,81.91,85.96,8510
2024-06-11 00:00:00+05:30,93.7,103.15,91.55,97.85,396679
2024-06-12 00:00:00+05:30,95.0,98.88,92.56,94.42,34827
2024-06-13 00:00:00+05:30,93.0,95.38,90.42,91.98,17643
2024-06-14 00:00:00+05:30,93.0,97.0,91.99,93.86,9981
2024-06-18 00:00:00+05:30,94.9,96.35,90.12,91.51,9153
2024-06-19 00:00:00+05:30,93.99,95.69,90.2,90.57,8590
2024-06-20 00:00:00+05:30,89.55,94.66,89.55,91.35,19281
2024-06-21 00:00:00+05:30,92.04,93.0,89.49,92.03,10362
2024-06-24 00:00:00+05:30,95.0,96.0,90.31,93.3,6290
2024-06-25 00:00:00+05:30,96.0,96.0,92.06,93.48,4256
2024-06-26 00:00:00+05:30,94.82,100.99,90.77,97.01,29775
2024-06-27 00:00:00+05:30,99.79,99.97,94.51,96.03,21087
2024-06-28 00:00:00+05:30,96.99,100.0,94.2,94.71,7092
2024-07-01 00:00:00+05:30,94.79,94.8,90.1,91.43,15070
2024-07-02 00:00:00+05:30,91.3,93.87,90.1,90.46,9086
2024-07-03 00:00:00+05:30,92.25,93.77,90.01,91.84,5957
2024-07-04 00:00:00+05:30,96.77,97.03,91.11,91.9,12794
2024-07-05 00:00:00+05:30,91.7,93.87,90.08,90.78,8532
2024-07-08 00:00:00+05:30,92.4,93.99,90.25,92.4,6007
2024-07-09 00:00:00+05:30,92.89,93.13,90.61,91.48,2660
2024-07-10 00:00:00+05:30,92.84,93.92,90.61,92.41,2390
2024-07-11 00:00:00+05:30,91.88,95.09,91.01,91.83,10134
2024-07-12 00:00:00+05:30,92.99,97.34,90.5,91.18,12407
2024-07-15 00:00:00+05:30,93.0,93.0,89.1,91.53,17026
2024-07-16 00:00:00+05:30,92.2,93.95,90.41,91.77,5692
2024-07-18 00:00:00+05:30,95.0,95.0,89.61,90.43,3480
2024-07-19 00:00:00+05:30,89.16,91.79,87.01,88.66,4615
2024-07-22 00:00:00+05:30,84.97,90.41,84.97,87.14,3419
2024-07-23 00:00:00+05:30,89.5,89.5,84.05,85.1,3295
2024-07-24 00:00:00+05:30,85.51,89.04,85.14,87.51,4670
2024-07-25 00:00:00+05:30,94.5,94.5,85.01,87.27,6049
2024-07-26 00:00:00+05:30,92.85,92.85,88.99,92.43,8354
2024-07-29 00:00:00+05:30,95.0,95.0,92.1,93.02,4685
2024-07-30 00:00:00+05:30,92.1,95.19,91.11,94.27,13036
2024-07-31 00:00:00+05:30,94.96,101.8,91.4,98.23,19327
2024-08-01 00:00:00+05:30,98.23,100.99,90.2,92.62,11178
2024-08-02 00:00:00+05:30,89.95,95.3,89.95,93.36,6475
2024-08-05 00:00:00+05:30,88.3,101.0,88.3,96.13,13985
2024-08-06 00:00:00+05:30,97.99,97.99,91.96,93.72,11668
2024-08-07 00:00:00+05:30,94.0,96.14,92.2,92.79,14563
2024-08-08 00:00:00+05:30,94.51,96.99,92.8,96.03,5432
2024-08-09 00:00:00+05:30,97.02,98.99,95.0,95.95,5986
2024-08-12 00:00:00+05:30,94.3,98.0,93.52,95.94,11025
2024-08-13 00:00:00+05:30,101.8,101.8,94.57,97.26,23885
2024-08-14 00:00:00+05:30,97.26,97.26,94.15,95.09,9606
2024-08-16 00:00:00+05:30,101.8,101.8,93.4,95.99,14090
2024-08-19 00:00:00+05:30,95.99,100.51,94.51,97.88,4875
2024-08-20 00:00:00+05:30,98.88,98.89,97.0,98.0,4082
2024-08-21 00:00:00+05:30,98.0,99.8,96.16,96.63,3126
2024-08-22 00:00:00+05:30,97.92,98.0,96.02,97.85,2533
2024-08-23 00:00:00+05:30,97.97,97.99,94.81,95.71,4581
2024-08-26 00:00:00+05:30,97.0,97.99,96.07,97.04,10323
2024-08-27 00:00:00+05:30,94.5,98.97,94.5,97.8,6683
2024-08-28 00:00:00+05:30,97.76,98.87,93.0,96.12,12399
2024-08-29 00:00:00+05:30,96.89,97.74,92.41,95.41,11670
2024-08-30 00:00:00+05:30,96.96,105.0,95.15,101.96,33485
2024-09-02 00:00:00+05:30,103.31,104.95,100.2,103.64,45615
2024-09-03 00:00:00+05:30,103.64,104.49,101.48,103.42,10866
2024-09-04 00:00:00+05:30,102.03,103.39,99.01,100.61,13362
2024-09-05 00:00:00+05:30,102.1,103.39,100.8,101.98,7418
2024-09-06 00:00:00+05:30,99.47,101.63,98.4,100.33,6156
2024-09-09 00:00:00+05:30,103.6,103.6,96.95,99.39,6604
2024-09-10 00:00:00+05:30,103.0,103.0,99.61,101.81,8187
2024-09-11 00:00:00+05:30,100.85,122.17,99.5,122.17,262703
2024-09-12 00:00:00+05:30,135.0,146.6,135.0,146.6,1324716
2024-09-13 00:00:00+05:30,141.35,141.35,131.94,131.94,288833
2024-09-16 00:00:00+05:30,122.0,145.13,119.15,144.28,262943
2024-09-17 00:00:00+05:30,141.0,143.0,137.06,137.06,12125
2024-09-18 00:00:00+05:30,131.05,133.64,130.2,130.2,6717
2024-09-19 00:00:00+05:30,123.69,123.69,123.69,123.69,3798
2024-09-20 00:00:00+05:30,117.5,129.87,117.5,121.36,20159
2024-09-23 00:00:00+05:30,118.14,123.0,115.29,115.54,11981
2024-09-24 00:00:00+05:30,115.54,116.0,113.0,114.01,6312
2024-09-25 00:00:00+05:30,114.01,117.0,113.2,113.77,4096
2024-09-26 00:00:00+05:30,113.77,115.5,109.3,112.06,3757
2024-09-27 00:00:00+05:30,112.06,115.0,106.45,106.52,17306
2024-09-30 00:00:00+05:30,111.0,111.0,102.2,104.96,6775
2024-10-01 00:00:00+05:30,108.0,109.1,102.0,107.1,7305
2024-10-03 00:00:00+05:30,106.9,106.9,102.05,105.99,4623
2024-10-04 00:00:00+05:30,101.08,109.0,101.08,104.12,1937
2024-10-07 00:00:00+05:30,106.73,106.73,98.91,101.57,10564
2024-10-08 00:00:00+05:30,101.0,101.0,96.49,100.7,3514
2024-10-09 00:00:00+05:30,100.7,105.0,98.6,102.17,2844
2024-10-10 00:00:00+05:30,100.0,103.99,100.0,101.71,1076
2024-10-11 00:00:00+05:30,104.4,104.4,102.0,104.12,981
2024-10-14 00:00:00+05:30,99.61,104.11,99.61,100.44,1622
2024-10-15 00:00:00+05:30,100.0,103.3,99.8,100.61,1084
2024-10-16 00:00:00+05:30,100.65,103.5,98.5,101.47,7204
