date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,20.0,20.0,18.3,19.05,74538
2024-06-04 00:00:00+05:30,19.15,19.15,18.1,18.15,67875
2024-06-05 00:00:00+05:30,18.9,19.05,17.55,18.9,31828
2024-06-06 00:00:00+05:30,19.75,19.8,18.1,18.5,78611
2024-06-07 00:00:00+05:30,19.0,19.2,18.6,19.0,25009
2024-06-10 00:00:00+05:30,19.6,19.7,18.9,19.12,44607
2024-06-11 00:00:00+05:30,19.6,19.6,19.03,19.25,23894
2024-06-12 00:00:00+05:30,19.6,19.9,19.05,19.17,31429
2024-06-13 00:00:00+05:30,19.68,19.68,19.0,19.06,27493
2024-06-14 00:00:00+05:30,19.43,19.43,19.0,19.03,53970
2024-06-18 00:00:00+05:30,19.95,19.98,18.07,19.04,76220
2024-06-19 00:00:00+05:30,19.37,19.37,18.64,19.02,31616
2024-06-20 00:00:00+05:30,19.35,19.35,18.65,18.78,59788
2024-06-21 00:00:00+05:30,19.17,19.17,18.55,18.9,67911
2024-06-24 00:00:00+05:30,18.9,19.0,18.55,18.69,31473
2024-06-25 00:00:00+05:30,19.0,19.19,18.58,18.68,25717
2024-06-26 00:00:00+05:30,19.14,19.14,18.06,18.42,40704
2024-06-27 00:00:00+05:30,18.98,18.98,18.01,18.12,23033
2024-06-28 00:00:00+05:30,18.01,18.66,18.0,18.12,32121
2024-07-01 00:00:00+05:30,18.88,18.88,18.2,18.29,18164
2024-07-02 00:00:00+05:30,18.67,18.67,18.17,18.46,28542
2024-07-03 00:00:00+05:30,18.45,18.46,17.61,18.06,40557
2024-07-04 00:00:00+05:30,18.06,18.06,17.2,17.48,141751
2024-07-05 00:00:00+05:30,17.65,17.95,17.27,17.78,61791
2024-07-08 00:00:00+05:30,18.13,18.66,18.1,18.65,87108
2024-07-09 00:00:00+05:30,19.23,19.23,18.11,18.67,41355
2024-07-10 00:00:00+05:30,18.94,18.94,18.21,18.36,13961
2024-07-11 00:00:00+05:30,18.07,18.79,17.62,17.92,28629
2024-07-12 00:00:00+05:30,18.59,18.59,17.22,17.45,43185
2024-07-15 00:00:00+05:30,18.23,18.23,17.38,17.59,33534
2024-07-16 00:00:00+05:30,17.94,17.94,17.47,17.62,27361
2024-07-18 00:00:00+05:30,17.74,17.74,17.25,17.37,60887
2024-07-19 00:00:00+05:30,17.66,17.67,17.05,17.18,26809
2024-07-22 00:00:00+05:30,17.18,17.39,16.51,17.09,30732
2024-07-23 00:00:00+05:30,17.12,17.9,17.01,17.66,19428
2024-07-24 00:00:00+05:30,17.9,18.5,17.1,17.55,26963
2024-07-25 00:00:00+05:30,17.99,17.99,17.14,17.4,45110
2024-07-26 00:00:00+05:30,17.45,17.7,16.92,17.27,41573
2024-07-29 00:00:00+05:30,17.76,17.76,17.0,17.35,26206
2024-07-30 00:00:00+05:30,17.27,17.5,17.12,17.39,28952
2024-07-31 00:00:00+05:30,17.5,18.0,17.16,17.53,97603
2024-08-01 00:00:00+05:30,17.9,17.9,17.3,17.64,101969
2024-08-02 00:00:00+05:30,17.64,17.9,17.23,17.75,35399
2024-08-05 00:00:00+05:30,17.3,17.75,17.02,17.29,24812
2024-08-06 00:00:00+05:30,17.04,17.98,17.0,17.13,22167
2024-08-07 00:00:00+05:30,17.3,18.84,16.25,18.38,144043
2024-08-08 00:00:00+05:30,17.99,19.77,17.53,17.9,157076
2024-08-09 00:00:00+05:30,18.98,18.98,17.5,17.58,32836
2024-08-12 00:00:00+05:30,18.6,18.6,17.3,17.4,21167
2024-08-13 00:00:00+05:30,17.35,17.91,17.0,17.31,45165
2024-08-14 00:00:00+05:30,17.2,17.8,16.21,16.87,64833
2024-08-16 00:00:00+05:30,16.87,17.95,16.32,16.82,45625
2024-08-19 00:00:00+05:30,17.76,17.76,16.21,16.75,28650
2024-08-20 00:00:00+05:30,16.74,17.6,16.6,16.73,31694
2024-08-21 00:00:00+05:30,16.45,17.47,16.45,17.05,65299
2024-08-22 00:00:00+05:30,17.06,17.42,17.06,17.24,21606
2024-08-23 00:00:00+05:30,17.18,18.9,17.01,18.51,142502
2024-08-26 00:00:00+05:30,19.0,19.7,18.4,19.01,375863
2024-08-27 00:00:00+05:30,19.39,20.91,18.89,20.28,600679
2024-08-28 00:00:00+05:30,21.9,21.9,20.1,20.73,414492
2024-08-29 00:00:00+05:30,21.49,21.49,19.6,19.99,120662
2024-08-30 00:00:00+05:30,19.99,20.4,19.05,19.38,97340
2024-09-02 00:00:00+05:30,19.5,19.8,19.0,19.31,55029
2024-09-03 00:00:00+05:30,18.86,19.83,18.86,19.17,58210
2024-09-04 00:00:00+05:30,19.76,19.76,18.32,19.29,73423
2024-09-05 00:00:00+05:30,19.96,19.96,18.55,18.84,46295
