date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,368.35,369.9,356.35,360.05,810463
2024-06-04 00:00:00+05:30,362.0,362.1,340.05,347.0,277398
2024-06-05 00:00:00+05:30,344.1,354.0,334.05,352.5,157748
2024-06-06 00:00:00+05:30,354.9,364.5,352.5,360.8,77145
2024-06-07 00:00:00+05:30,365.0,365.2,359.75,362.95,110719
2024-06-10 00:00:00+05:30,364.75,364.75,358.1,360.3,201949
2024-06-11 00:00:00+05:30,360.35,363.2,358.0,361.55,279837
2024-06-12 00:00:00+05:30,363.0,367.0,360.95,361.95,266881
2024-06-13 00:00:00+05:30,363.6,392.45,362.2,381.8,755569
2024-06-14 00:00:00+05:30,378.5,404.85,378.5,394.95,614554
2024-06-18 00:00:00+05:30,394.5,396.45,380.0,381.8,190862
2024-06-19 00:00:00+05:30,383.7,393.25,375.95,379.0,313562
2024-06-20 00:00:00+05:30,402.0,409.8,389.75,391.1,1623889
2024-06-21 00:00:00+05:30,393.0,400.5,385.1,386.5,395756
2024-06-24 00:00:00+05:30,387.0,391.6,382.8,384.45,225346
2024-06-25 00:00:00+05:30,384.35,386.4,379.0,380.5,129783
2024-06-26 00:00:00+05:30,383.65,385.7,375.1,377.1,151820
2024-06-27 00:00:00+05:30,377.3,378.55,365.05,367.05,190604
2024-06-28 00:00:00+05:30,369.9,385.7,369.9,381.75,250773
2024-07-01 00:00:00+05:30,382.7,385.0,368.0,375.4,142892
2024-07-02 00:00:00+05:30,377.75,378.95,367.2,368.95,312938
2024-07-03 00:00:00+05:30,372.6,377.95,370.05,375.25,134225
2024-07-04 00:00:00+05:30,375.2,401.85,375.2,398.7,953782
2024-07-05 00:00:00+05:30,400.0,410.0,395.05,399.2,765858
2024-07-08 00:00:00+05:30,401.4,404.4,387.4,390.6,191956
2024-07-09 00:00:00+05:30,392.7,398.1,387.05,392.15,177618
2024-07-10 00:00:00+05:30,392.95,392.95,376.05,384.45,168428
2024-07-11 00:00:00+05:30,381.55,386.4,379.05,381.45,128951
2024-07-12 00:00:00+05:30,381.65,388.2,372.8,376.4,247436
