date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,139.0,139.9,134.9,135.9,318916
2024-06-04 00:00:00+05:30,135.1,136.0,122.5,128.6,458109
2024-06-05 00:00:00+05:30,128.7,134.5,125.5,131.6,385275
2024-06-06 00:00:00+05:30,132.9,135.45,132.45,133.85,250732
2024-06-07 00:00:00+05:30,134.7,144.25,134.05,141.75,1353032
2024-06-10 00:00:00+05:30,141.7,144.85,140.75,141.64,373738
2024-06-11 00:00:00+05:30,143.89,144.5,141.07,143.04,343563
2024-06-12 00:00:00+05:30,145.0,145.0,141.9,143.45,263540
2024-06-13 00:00:00+05:30,145.99,151.0,143.28,148.74,1753058
2024-06-14 00:00:00+05:30,149.1,155.29,147.0,152.7,1599200
2024-06-18 00:00:00+05:30,153.0,155.5,150.1,150.96,964307
2024-06-19 00:00:00+05:30,151.05,153.05,147.41,150.45,595385
2024-06-20 00:00:00+05:30,151.8,154.95,149.59,152.45,637971
2024-06-21 00:00:00+05:30,153.75,153.85,149.71,150.23,315666
2024-06-24 00:00:00+05:30,153.0,163.71,149.0,161.19,3928317
2024-06-25 00:00:00+05:30,164.8,169.0,160.5,161.58,2536508
2024-06-26 00:00:00+05:30,161.58,167.52,158.96,162.96,1478109
2024-06-27 00:00:00+05:30,162.96,163.99,155.55,158.07,998930
2024-06-28 00:00:00+05:30,159.4,163.3,158.4,159.95,692140
2024-07-01 00:00:00+05:30,160.15,163.75,158.0,160.02,648969
2024-07-02 00:00:00+05:30,160.02,161.99,157.2,157.68,445105
2024-07-03 00:00:00+05:30,158.49,163.0,157.73,159.13,614602
2024-07-04 00:00:00+05:30,159.9,162.9,157.51,159.2,618460
2024-07-05 00:00:00+05:30,159.99,160.83,157.65,159.16,611773
2024-07-08 00:00:00+05:30,159.3,160.0,156.54,157.31,418631
2024-07-09 00:00:00+05:30,157.31,159.34,155.75,156.75,417264
2024-07-10 00:00:00+05:30,157.0,157.29,149.18,150.53,766019
