date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,821.5,825.0,805.35,813.8,84183
2024-06-04 00:00:00+05:30,813.8,822.0,785.35,801.9,96710
2024-06-05 00:00:00+05:30,801.9,809.5,789.55,793.05,66676
2024-06-06 00:00:00+05:30,800.0,811.0,796.0,800.05,29328
2024-06-07 00:00:00+05:30,800.05,826.0,799.9,811.6,44169
2024-06-10 00:00:00+05:30,819.3,829.9,806.05,827.05,49075
2024-06-11 00:00:00+05:30,829.95,835.0,819.0,826.9,40740
2024-06-12 00:00:00+05:30,828.0,831.75,817.6,820.55,42924
2024-06-13 00:00:00+05:30,824.7,875.0,822.0,859.6,307370
2024-06-14 00:00:00+05:30,866.35,872.0,851.1,854.9,57352
2024-06-18 00:00:00+05:30,869.95,889.0,860.05,885.75,281681
2024-06-19 00:00:00+05:30,889.0,890.0,865.75,878.65,87918
2024-06-20 00:00:00+05:30,881.0,885.0,864.1,868.05,82069
2024-06-21 00:00:00+05:30,874.05,875.2,861.0,863.2,52872
2024-06-24 00:00:00+05:30,874.0,883.0,855.05,879.15,76257
2024-06-25 00:00:00+05:30,883.0,889.35,874.05,884.35,87545
2024-06-26 00:00:00+05:30,889.0,939.2,880.55,908.85,480314
2024-06-27 00:00:00+05:30,920.0,925.0,880.2,894.45,135740
2024-06-28 00:00:00+05:30,925.0,973.0,903.8,922.45,896916
2024-07-01 00:00:00+05:30,928.0,938.4,916.0,927.0,127793
2024-07-02 00:00:00+05:30,926.0,930.65,908.0,912.9,69082
2024-07-03 00:00:00+05:30,917.7,927.45,906.6,920.95,71038
2024-07-04 00:00:00+05:30,911.25,934.5,911.25,926.9,61951
2024-07-05 00:00:00+05:30,926.9,929.15,912.1,917.3,45096
2024-07-08 00:00:00+05:30,912.1,925.0,901.0,908.75,41228
2024-07-09 00:00:00+05:30,913.15,916.85,891.55,896.8,50929
2024-07-10 00:00:00+05:30,900.0,900.0,880.2,899.6,71543
2024-07-11 00:00:00+05:30,905.0,920.0,890.35,899.5,60473
2024-07-12 00:00:00+05:30,906.0,906.0,883.9,886.4,60764
2024-07-15 00:00:00+05:30,886.4,899.95,878.3,888.4,41852
2024-07-16 00:00:00+05:30,897.0,897.05,883.95,890.1,22604
2024-07-18 00:00:00+05:30,892.85,897.3,874.45,879.35,44584
2024-07-19 00:00:00+05:30,880.0,909.85,859.0,881.1,240726
2024-07-22 00:00:00+05:30,881.05,898.95,869.6,891.4,50892
2024-07-23 00:00:00+05:30,896.5,899.7,876.55,891.15,51801
2024-07-24 00:00:00+05:30,891.15,930.0,890.0,919.0,146339
2024-07-25 00:00:00+05:30,914.0,925.0,905.6,909.25,45658
2024-07-26 00:00:00+05:30,921.0,922.85,895.55,904.5,38585
2024-07-29 00:00:00+05:30,905.7,917.95,904.3,910.15,62066
2024-07-30 00:00:00+05:30,905.0,923.1,901.8,914.9,55468
2024-07-31 00:00:00+05:30,919.4,922.0,890.8,894.2,73501
2024-08-01 00:00:00+05:30,900.0,909.0,891.55,895.95,37716
2024-08-02 00:00:00+05:30,890.95,918.0,887.0,905.7,63184
2024-08-05 00:00:00+05:30,889.0,894.45,865.65,869.3,107375
2024-08-06 00:00:00+05:30,877.6,897.75,861.0,866.2,57568
2024-08-07 00:00:00+05:30,871.6,890.0,861.6,877.1,27627
2024-08-08 00:00:00+05:30,880.55,882.25,863.95,873.9,31176
2024-08-09 00:00:00+05:30,886.9,900.5,870.45,880.7,44019
2024-08-12 00:00:00+05:30,880.0,885.0,867.05,880.7,18353
2024-08-13 00:00:00+05:30,881.35,934.8,877.05,902.8,143738
2024-08-14 00:00:00+05:30,909.95,912.0,887.0,902.7,39861
2024-08-16 00:00:00+05:30,902.7,911.45,895.1,902.8,43663
2024-08-19 00:00:00+05:30,897.0,913.0,897.0,906.85,29988
2024-08-20 00:00:00+05:30,905.0,927.35,904.0,912.8,81584
2024-08-21 00:00:00+05:30,912.8,923.95,895.95,899.2,48060
2024-08-22 00:00:00+05:30,898.0,935.0,895.1,910.65,194550
2024-08-23 00:00:00+05:30,917.0,921.8,900.0,902.8,51892
2024-08-26 00:00:00+05:30,907.7,910.5,871.0,874.2,86410
2024-08-27 00:00:00+05:30,880.0,895.0,873.0,891.1,97796
2024-08-28 00:00:00+05:30,895.0,898.0,882.0,886.6,28242
2024-08-29 00:00:00+05:30,881.0,888.95,871.55,880.15,24564
2024-08-30 00:00:00+05:30,888.7,894.15,874.05,890.25,35788
2024-09-02 00:00:00+05:30,892.0,894.6,875.0,878.75,24184
2024-09-03 00:00:00+05:30,888.9,894.9,880.2,890.45,35118
2024-09-04 00:00:00+05:30,894.7,937.0,881.1,931.5,486004
2024-09-05 00:00:00+05:30,940.0,957.9,920.0,926.15,390153
2024-09-06 00:00:00+05:30,926.15,950.95,922.0,935.7,128083
2024-09-09 00:00:00+05:30,922.1,985.5,909.05,974.5,401756
2024-09-10 00:00:00+05:30,999.0,1071.0,986.0,1059.35,1551299
2024-09-11 00:00:00+05:30,1035.1,1050.3,994.35,1002.25,341550
2024-09-12 00:00:00+05:30,999.0,1018.4,990.55,1008.05,193394
2024-09-13 00:00:00+05:30,1010.0,1025.5,994.1,996.85,103874
2024-09-16 00:00:00+05:30,997.0,1019.0,984.1,993.9,115041
2024-09-17 00:00:00+05:30,988.0,1002.85,975.55,988.6,69906
2024-09-18 00:00:00+05:30,994.85,994.85,963.75,974.2,55605
2024-09-19 00:00:00+05:30,982.0,992.45,960.55,971.6,66611
2024-09-20 00:00:00+05:30,980.0,982.75,962.0,969.65,35831
2024-09-23 00:00:00+05:30,969.65,976.8,961.0,972.2,51298
2024-09-24 00:00:00+05:30,977.3,1014.0,962.55,976.5,167713
2024-09-25 00:00:00+05:30,972.5,976.45,943.4,948.7,83683
2024-09-26 00:00:00+05:30,950.0,953.7,915.4,918.95,104940
2024-09-27 00:00:00+05:30,919.95,948.3,912.3,923.25,188636
2024-09-30 00:00:00+05:30,927.85,937.35,915.05,931.1,38128
2024-10-01 00:00:00+05:30,940.0,960.15,933.35,949.05,86106
2024-10-03 00:00:00+05:30,949.05,953.3,934.35,939.85,49500
2024-10-04 00:00:00+05:30,939.85,957.95,924.35,940.35,57325
2024-10-07 00:00:00+05:30,940.3,952.0,908.1,918.1,112868
2024-10-08 00:00:00+05:30,915.05,944.0,910.0,937.1,62125
2024-10-09 00:00:00+05:30,928.0,953.35,928.0,946.5,83906
2024-10-10 00:00:00+05:30,948.25,977.7,943.05,966.15,93467
2024-10-11 00:00:00+05:30,966.0,970.5,943.35,948.5,37410
2024-10-14 00:00:00+05:30,951.65,960.3,939.0,945.05,35396
2024-10-15 00:00:00+05:30,950.0,950.85,935.0,937.25,3333785
2024-10-16 00:00:00+05:30,936.95,937.0,915.4,920.85,141691
2024-10-17 00:00:00+05:30,923.0,934.25,918.3,924.6,109154
2024-10-18 00:00:00+05:30,922.0,955.0,903.8,926.9,352333
2024-10-21 00:00:00+05:30,943.9,943.9,857.55,862.6,245370
2024-10-22 00:00:00+05:30,860.1,865.0,798.7,802.4,193551
2024-10-23 00:00:00+05:30,805.0,820.2,792.0,804.6,115735
2024-10-24 00:00:00+05:30,809.9,822.0,792.5,801.45,64566
