date,open,high,low,close,volume
2025-02-04 00:00:00+05:30,402.0,412.9,370.2,401.65,15635750
2025-02-05 00:00:00+05:30,392.05,410.0,389.0,395.5,2348481
2025-02-06 00:00:00+05:30,392.1,421.55,365.7,404.4,7037799
2025-02-07 00:00:00+05:30,405.0,425.5,398.3,402.05,2451596
2025-02-10 00:00:00+05:30,397.5,407.95,385.35,402.8,1146330
2025-02-11 00:00:00+05:30,397.25,413.5,392.8,406.85,2169020
2025-02-12 00:00:00+05:30,401.0,433.3,396.0,425.6,3489372
2025-02-13 00:00:00+05:30,420.1,464.0,420.1,449.0,3917987
2025-02-14 00:00:00+05:30,449.7,456.6,434.0,439.0,3396560
2025-02-17 00:00:00+05:30,430.0,443.35,405.15,424.7,1437535
2025-02-18 00:00:00+05:30,419.95,433.45,410.45,416.8,850826
2025-02-19 00:00:00+05:30,417.3,429.8,411.6,421.95,655123
2025-02-20 00:00:00+05:30,428.0,435.0,411.7,418.5,574120
2025-02-21 00:00:00+05:30,415.65,420.0,406.2,412.6,469512
2025-02-24 00:00:00+05:30,412.0,412.0,397.55,402.5,1740787
2025-02-25 00:00:00+05:30,402.05,414.15,398.55,404.8,695024
2025-02-27 00:00:00+05:30,404.8,410.0,395.6,407.15,1008519
2025-02-28 00:00:00+05:30,398.5,405.0,391.05,401.0,644242
2025-03-03 00:00:00+05:30,380.05,398.0,376.55,391.8,897408
2025-03-04 00:00:00+05:30,388.0,405.5,383.0,402.55,400581
2025-03-05 00:00:00+05:30,390.0,419.95,390.0,418.0,568420
2025-03-06 00:00:00+05:30,414.95,418.0,402.0,414.95,895496
2025-03-07 00:00:00+05:30,408.75,415.0,403.6,405.85,644999
2025-03-10 00:00:00+05:30,405.85,423.0,403.1,414.7,649020
2025-03-11 00:00:00+05:30,413.0,426.0,406.0,420.1,503076
2025-03-12 00:00:00+05:30,416.0,431.0,413.15,428.55,424023
2025-03-13 00:00:00+05:30,434.65,434.65,420.1,422.95,308000
2025-03-17 00:00:00+05:30,417.35,423.45,405.7,416.4,333108
2025-03-18 00:00:00+05:30,416.9,422.45,414.15,416.5,193164
2025-03-19 00:00:00+05:30,420.7,434.0,392.6,417.55,273920
2025-03-20 00:00:00+05:30,425.0,449.0,420.5,433.9,908383
2025-03-21 00:00:00+05:30,442.75,457.0,436.3,444.9,591909
2025-03-24 00:00:00+05:30,442.15,451.2,435.4,442.0,338406
2025-03-25 00:00:00+05:30,442.0,463.05,440.15,448.65,568937
2025-03-26 00:00:00+05:30,447.55,450.7,431.0,432.45,187760
2025-03-27 00:00:00+05:30,432.45,445.0,427.05,442.8,186346
2025-03-28 00:00:00+05:30,448.6,458.45,442.0,445.85,318735
2025-04-01 00:00:00+05:30,437.25,456.85,435.2,453.3,260203
2025-04-02 00:00:00+05:30,450.0,460.0,433.0,435.45,223197
2025-04-03 00:00:00+05:30,440.0,444.45,419.85,435.95,200337
2025-04-04 00:00:00+05:30,435.0,437.9,426.7,434.1,130455
2025-04-07 00:00:00+05:30,361.1,420.45,361.1,417.3,230337
2025-04-08 00:00:00+05:30,421.0,437.4,421.0,425.75,213789
2025-04-09 00:00:00+05:30,427.85,430.6,415.0,422.7,121866
2025-04-11 00:00:00+05:30,434.9,434.9,407.1,415.2,287409
2025-04-15 00:00:00+05:30,418.9,420.45,409.0,410.4,295918
2025-04-16 00:00:00+05:30,412.0,413.95,398.7,399.75,234255
2025-04-17 00:00:00+05:30,401.95,405.1,394.55,402.55,161590
2025-04-21 00:00:00+05:30,404.65,408.25,397.8,402.75,286586
2025-04-22 00:00:00+05:30,402.8,407.0,393.0,395.55,303912
2025-04-23 00:00:00+05:30,396.65,402.0,387.4,398.15,206559
2025-04-24 00:00:00+05:30,398.15,398.15,387.55,389.45,387625
2025-04-25 00:00:00+05:30,387.25,393.0,381.4,386.5,121550
2025-04-28 00:00:00+05:30,384.95,387.3,376.1,378.55,228628
2025-04-29 00:00:00+05:30,379.0,380.55,370.0,374.55,150163
2025-04-30 00:00:00+05:30,371.0,374.75,361.0,364.9,284657
2025-05-02 00:00:00+05:30,363.05,368.45,351.0,353.6,471352
2025-05-05 00:00:00+05:30,350.55,361.65,344.25,348.7,517960
2025-05-06 00:00:00+05:30,349.55,356.0,346.0,348.5,753895
2025-05-07 00:00:00+05:30,342.0,371.7,330.0,359.55,1235223
2025-05-08 00:00:00+05:30,364.95,369.75,353.7,360.7,398600
2025-05-09 00:00:00+05:30,359.0,359.8,349.05,355.6,238658
2025-05-12 00:00:00+05:30,360.0,372.8,360.0,368.05,184051
2025-05-13 00:00:00+05:30,370.05,378.5,368.15,370.65,158062
2025-05-14 00:00:00+05:30,375.0,401.05,367.5,385.7,801677
2025-05-15 00:00:00+05:30,388.8,394.7,378.3,386.2,485223
2025-05-16 00:00:00+05:30,388.7,399.3,382.75,397.75,204664
2025-05-19 00:00:00+05:30,397.15,406.0,397.1,401.6,226995
2025-05-20 00:00:00+05:30,405.0,407.0,398.35,400.55,276645
2025-05-21 00:00:00+05:30,400.55,401.6,389.05,391.55,278461
2025-05-22 00:00:00+05:30,391.0,394.5,385.65,389.3,225798
