date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,6.1,6.15,6.05,6.05,995863
2024-06-04 00:00:00+05:30,6.05,6.1,5.7,5.85,1993298
2024-06-05 00:00:00+05:30,5.9,6.05,5.8,5.9,735785
2024-06-06 00:00:00+05:30,5.95,5.95,5.55,5.6,2042512
2024-06-07 00:00:00+05:30,5.65,5.75,5.55,5.6,995139
2024-06-10 00:00:00+05:30,5.65,5.74,5.48,5.48,2936107
2024-06-11 00:00:00+05:30,5.59,5.6,5.48,5.49,2069301
2024-06-12 00:00:00+05:30,5.7,6.03,5.49,5.51,2844442
2024-06-13 00:00:00+05:30,5.7,5.7,5.49,5.61,1918820
2024-06-14 00:00:00+05:30,5.8,5.89,5.48,5.57,1383505
2024-06-18 00:00:00+05:30,5.57,5.79,5.18,5.24,8336958
2024-06-19 00:00:00+05:30,5.24,5.34,4.95,5.04,9871939
2024-06-20 00:00:00+05:30,5.15,5.3,5.02,5.04,5303016
2024-06-21 00:00:00+05:30,5.15,5.2,5.02,5.04,4401962
2024-06-24 00:00:00+05:30,5.12,5.2,5.08,5.12,4872092
2024-06-25 00:00:00+05:30,5.17,5.19,4.98,5.04,3670672
2024-06-26 00:00:00+05:30,5.11,5.12,4.98,5.0,2219052
2024-06-27 00:00:00+05:30,5.05,5.06,4.99,5.01,1874770
2024-06-28 00:00:00+05:30,5.06,5.4,4.99,5.26,8842558
2024-07-01 00:00:00+05:30,5.5,5.78,5.23,5.78,9781600
2024-07-02 00:00:00+05:30,6.0,6.35,5.94,6.35,12538689
2024-07-03 00:00:00+05:30,6.91,6.98,6.22,6.7,25590593
2024-07-04 00:00:00+05:30,6.93,6.93,6.45,6.46,6865241
2024-07-05 00:00:00+05:30,6.5,6.77,6.48,6.75,5838064
2024-07-08 00:00:00+05:30,6.92,7.08,6.89,7.02,7717619
2024-07-09 00:00:00+05:30,7.16,7.29,6.66,7.22,11962009
2024-07-10 00:00:00+05:30,7.29,7.4,6.9,7.23,5201414
2024-07-11 00:00:00+05:30,7.07,7.28,6.95,6.98,3860314
2024-07-12 00:00:00+05:30,7.04,7.04,6.67,6.7,3914188
2024-07-15 00:00:00+05:30,6.69,7.0,6.63,6.78,2723931
2024-07-16 00:00:00+05:30,6.84,6.9,6.65,6.7,1645931
2024-07-18 00:00:00+05:30,6.7,6.7,6.4,6.41,2588589
2024-07-19 00:00:00+05:30,6.42,6.7,6.08,6.17,2960858
2024-07-22 00:00:00+05:30,6.05,6.47,6.01,6.29,0
2024-07-23 00:00:00+05:30,6.39,6.39,6.0,6.13,1924890
2024-07-24 00:00:00+05:30,6.07,6.43,6.07,6.43,1010707
2024-07-25 00:00:00+05:30,6.6,6.75,6.56,6.75,2233206
2024-07-26 00:00:00+05:30,7.05,7.08,6.85,7.08,2933071
2024-07-29 00:00:00+05:30,7.43,7.43,7.25,7.43,2757417
2024-07-30 00:00:00+05:30,7.8,7.8,7.7,7.8,2672558
2024-07-31 00:00:00+05:30,7.8,8.19,7.41,7.66,14683326
2024-08-01 00:00:00+05:30,7.88,8.03,7.51,7.82,4285699
2024-08-02 00:00:00+05:30,7.7,7.84,7.46,7.68,2107844
