date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,38.7,38.7,35.5,36.7,60029
2024-06-04 00:00:00+05:30,36.6,36.6,31.7,33.3,34879
2024-06-05 00:00:00+05:30,34.85,34.85,31.0,34.3,20037
2024-06-06 00:00:00+05:30,35.7,35.7,34.0,35.0,34385
2024-06-07 00:00:00+05:30,35.5,35.5,34.6,35.0,17902
2024-06-10 00:00:00+05:30,35.0,35.58,32.81,33.79,76865
2024-06-11 00:00:00+05:30,34.01,34.69,33.66,34.1,17107
2024-06-12 00:00:00+05:30,34.11,35.48,33.63,34.04,39125
2024-06-13 00:00:00+05:30,34.1,34.5,33.77,34.12,39252
2024-06-14 00:00:00+05:30,35.0,35.0,33.5,34.03,23041
2024-06-18 00:00:00+05:30,34.35,34.35,33.11,33.3,36355
2024-06-19 00:00:00+05:30,33.9,33.9,32.92,33.62,22919
2024-06-20 00:00:00+05:30,34.25,34.25,33.61,33.75,17753
2024-06-21 00:00:00+05:30,34.25,34.25,33.76,33.86,7392
2024-06-24 00:00:00+05:30,34.25,34.5,33.0,33.86,50825
2024-06-25 00:00:00+05:30,33.8,33.99,33.61,33.86,10251
2024-06-26 00:00:00+05:30,34.0,34.0,33.01,33.95,32699
2024-06-27 00:00:00+05:30,33.95,35.0,33.21,33.64,27535
2024-06-28 00:00:00+05:30,34.0,34.01,32.21,33.35,39141
2024-07-01 00:00:00+05:30,34.0,34.0,33.35,33.6,44517
2024-07-02 00:00:00+05:30,33.98,33.98,33.01,33.33,26405
2024-07-03 00:00:00+05:30,33.95,33.95,33.33,33.93,25551
2024-07-04 00:00:00+05:30,33.25,38.05,33.25,37.37,199756
2024-07-05 00:00:00+05:30,38.05,39.15,37.58,37.88,112244
2024-07-08 00:00:00+05:30,38.98,39.0,37.0,37.22,34393
2024-07-09 00:00:00+05:30,37.99,38.0,36.9,37.12,28269
2024-07-10 00:00:00+05:30,37.09,37.19,34.52,35.72,45800
2024-07-11 00:00:00+05:30,35.05,36.49,35.05,35.77,11080
2024-07-12 00:00:00+05:30,36.89,36.89,35.0,35.16,24613
2024-07-15 00:00:00+05:30,34.46,35.69,33.71,34.78,24805
2024-07-16 00:00:00+05:30,35.49,36.59,34.36,35.85,35279
2024-07-18 00:00:00+05:30,37.0,37.0,34.26,34.32,53388
2024-07-19 00:00:00+05:30,35.0,35.49,34.3,34.56,29061
2024-07-22 00:00:00+05:30,34.56,35.25,34.02,34.9,0
2024-07-23 00:00:00+05:30,34.56,34.9,32.72,33.67,33274
2024-07-24 00:00:00+05:30,34.4,34.9,33.71,34.54,16349
2024-07-25 00:00:00+05:30,36.3,36.3,34.05,34.38,21781
2024-07-26 00:00:00+05:30,35.0,35.0,34.01,34.46,18310
2024-07-29 00:00:00+05:30,36.3,40.9,34.41,40.2,621578
2024-07-30 00:00:00+05:30,40.12,40.12,37.15,38.75,219694
2024-07-31 00:00:00+05:30,38.85,39.37,37.16,37.45,94108
2024-08-01 00:00:00+05:30,38.39,38.39,34.45,36.45,71583
2024-08-02 00:00:00+05:30,35.25,38.0,35.15,37.21,51421
2024-08-05 00:00:00+05:30,36.71,36.71,35.0,35.23,50602
2024-08-06 00:00:00+05:30,35.0,36.89,35.0,35.68,15004
2024-08-07 00:00:00+05:30,35.6,36.6,35.6,36.47,24026
2024-08-08 00:00:00+05:30,36.47,43.63,35.07,41.59,699407
2024-08-09 00:00:00+05:30,47.0,48.45,42.5,43.8,1311177
2024-08-12 00:00:00+05:30,43.4,43.4,40.35,40.79,192395
2024-08-13 00:00:00+05:30,41.4,41.88,39.22,39.43,75550
2024-08-14 00:00:00+05:30,39.99,40.92,37.5,38.22,115883
2024-08-16 00:00:00+05:30,37.0,39.69,37.0,37.75,87682
2024-08-19 00:00:00+05:30,38.22,40.99,36.3,40.57,103137
2024-08-20 00:00:00+05:30,42.25,42.25,40.0,40.63,35257
2024-08-21 00:00:00+05:30,41.5,41.5,39.06,39.39,57032
2024-08-22 00:00:00+05:30,41.0,41.99,38.0,39.02,46875
2024-08-23 00:00:00+05:30,39.45,43.05,39.03,41.68,148527
2024-08-26 00:00:00+05:30,43.3,43.3,40.25,40.43,95855
2024-08-27 00:00:00+05:30,40.25,40.99,39.06,39.56,47159
2024-08-28 00:00:00+05:30,40.8,40.8,39.16,40.09,67546
2024-08-29 00:00:00+05:30,40.6,40.87,37.81,38.79,53087
2024-08-30 00:00:00+05:30,38.79,41.0,38.6,39.23,87369
2024-09-02 00:00:00+05:30,39.75,39.75,38.02,38.16,65786
2024-09-03 00:00:00+05:30,38.68,42.24,38.12,40.68,172663
2024-09-04 00:00:00+05:30,40.51,40.88,39.55,40.12,42274
2024-09-05 00:00:00+05:30,40.01,40.45,39.22,39.49,37652
2024-09-06 00:00:00+05:30,39.48,40.18,38.51,39.08,38595
2024-09-09 00:00:00+05:30,38.75,39.6,38.1,38.95,46988
2024-09-10 00:00:00+05:30,39.3,39.84,38.7,39.05,32092
2024-09-11 00:00:00+05:30,39.5,39.5,38.0,38.16,18474
2024-09-12 00:00:00+05:30,38.3,40.59,37.5,38.48,121452
2024-09-13 00:00:00+05:30,38.4,39.25,38.34,38.9,34580
2024-09-16 00:00:00+05:30,40.0,40.0,38.55,38.76,38573
2024-09-17 00:00:00+05:30,39.0,39.0,37.55,37.98,28103
2024-09-18 00:00:00+05:30,37.51,38.49,37.51,37.93,21639
2024-09-19 00:00:00+05:30,38.4,39.49,37.0,37.22,98496
2024-09-20 00:00:00+05:30,37.97,37.97,36.63,36.98,74515
2024-09-23 00:00:00+05:30,36.7,41.8,36.06,39.62,292702
2024-09-24 00:00:00+05:30,40.3,40.7,39.59,39.82,53493
2024-09-25 00:00:00+05:30,39.6,40.79,38.52,39.0,37927
2024-09-26 00:00:00+05:30,39.01,39.3,38.05,38.91,72545
2024-09-27 00:00:00+05:30,38.91,39.78,38.63,38.98,39774
2024-09-30 00:00:00+05:30,39.6,39.99,38.06,39.17,42080
2024-10-01 00:00:00+05:30,39.95,39.95,38.15,38.52,35711
2024-10-03 00:00:00+05:30,38.5,38.86,38.0,38.25,25318
2024-10-04 00:00:00+05:30,38.16,38.16,37.21,37.6,28716
2024-10-07 00:00:00+05:30,38.0,38.49,34.26,35.17,38529
2024-10-08 00:00:00+05:30,34.0,36.98,33.85,36.25,26211
2024-10-09 00:00:00+05:30,35.35,37.9,35.35,37.06,28277
2024-10-10 00:00:00+05:30,36.03,38.15,35.71,37.32,33293
2024-10-11 00:00:00+05:30,38.0,38.0,36.31,36.87,29620
2024-10-14 00:00:00+05:30,36.63,37.88,36.41,36.65,34148
2024-10-15 00:00:00+05:30,37.38,37.38,36.51,36.7,16900
2024-10-16 00:00:00+05:30,37.25,37.25,35.55,36.2,16300
2024-10-17 00:00:00+05:30,36.94,36.95,35.36,35.63,26738
2024-10-18 00:00:00+05:30,36.39,36.39,35.1,35.22,31148
2024-10-21 00:00:00+05:30,35.95,35.95,35.2,35.34,11912
2024-10-22 00:00:00+05:30,35.1,35.86,33.01,33.92,40115
2024-10-23 00:00:00+05:30,32.66,34.8,32.65,33.34,26656
2024-10-24 00:00:00+05:30,32.66,33.99,32.66,32.97,16081
2024-10-25 00:00:00+05:30,33.02,34.99,31.6,32.41,20128
2024-10-28 00:00:00+05:30,32.06,38.89,31.47,36.46,154474
2024-10-29 00:00:00+05:30,36.0,36.69,33.25,34.23,67661
2024-10-30 00:00:00+05:30,34.04,35.9,34.04,34.68,54908
2024-10-31 00:00:00+05:30,36.0,36.0,34.31,34.82,33399
2024-11-01 00:00:00+05:30,35.8,36.8,34.16,35.65,9211
2024-11-04 00:00:00+05:30,36.0,36.0,34.72,35.5,19769
2024-11-05 00:00:00+05:30,36.0,36.0,34.71,35.21,23519
2024-11-06 00:00:00+05:30,35.2,36.21,34.99,35.39,11775
2024-11-07 00:00:00+05:30,36.39,36.39,35.1,35.73,15298
2024-11-08 00:00:00+05:30,36.7,36.7,35.24,35.68,10892
2024-11-11 00:00:00+05:30,36.49,36.49,34.37,34.72,5953
2024-11-12 00:00:00+05:30,35.5,35.5,28.72,32.08,23130
2024-11-13 00:00:00+05:30,33.08,37.99,32.11,35.21,21608
2024-11-14 00:00:00+05:30,36.75,37.6,34.61,35.55,43713
2024-11-18 00:00:00+05:30,34.95,35.5,33.58,34.35,18357
2024-11-19 00:00:00+05:30,34.35,35.09,34.05,34.63,5930
2024-11-21 00:00:00+05:30,34.11,34.79,33.25,33.49,9685
2024-11-22 00:00:00+05:30,34.17,35.0,33.01,34.27,2845
2024-11-25 00:00:00+05:30,35.0,35.68,33.82,34.57,19524
2024-11-26 00:00:00+05:30,35.29,35.29,33.16,33.88,28308
2024-11-27 00:00:00+05:30,34.7,34.7,33.41,33.75,9341
2024-11-28 00:00:00+05:30,32.0,36.4,32.0,34.2,48312
2024-11-29 00:00:00+05:30,34.8,36.5,34.75,36.27,53296
2024-12-02 00:00:00+05:30,35.5,36.78,35.5,36.37,16705
2024-12-03 00:00:00+05:30,37.0,40.88,35.5,36.38,174507
2024-12-04 00:00:00+05:30,36.38,38.09,35.61,36.9,60865
2024-12-05 00:00:00+05:30,38.5,38.98,36.33,36.64,71237
2024-12-06 00:00:00+05:30,38.0,38.0,36.64,36.91,19308
2024-12-09 00:00:00+05:30,36.91,38.0,36.91,37.26,22846
2024-12-10 00:00:00+05:30,37.5,37.56,36.01,36.23,37067
2024-12-11 00:00:00+05:30,36.99,37.16,35.0,35.18,57621
2024-12-12 00:00:00+05:30,35.18,35.8,35.01,35.3,13923
2024-12-13 00:00:00+05:30,35.75,35.75,34.72,35.11,12664
2024-12-16 00:00:00+05:30,35.05,35.5,33.79,35.01,17630
2024-12-17 00:00:00+05:30,35.7,35.7,34.7,35.04,5836
2024-12-18 00:00:00+05:30,35.5,35.5,34.11,34.44,6486
2024-12-19 00:00:00+05:30,34.0,34.8,34.0,34.4,11777
2024-12-20 00:00:00+05:30,34.95,35.16,34.0,34.21,10933
2024-12-23 00:00:00+05:30,35.49,35.49,32.71,33.34,7651
2024-12-24 00:00:00+05:30,33.4,34.5,33.21,33.38,2362
2024-12-26 00:00:00+05:30,33.38,34.94,32.0,34.33,22143
2024-12-27 00:00:00+05:30,35.02,35.46,33.01,33.85,12138
2024-12-30 00:00:00+05:30,33.85,34.75,33.0,33.71,12916
2024-12-31 00:00:00+05:30,33.71,34.18,33.16,33.4,4036
2025-01-01 00:00:00+05:30,33.41,34.38,33.41,34.07,7121
2025-01-02 00:00:00+05:30,34.8,34.8,33.82,34.38,6596
2025-01-03 00:00:00+05:30,34.45,35.79,33.61,34.9,10898
2025-01-06 00:00:00+05:30,35.78,36.19,32.52,34.44,23528
2025-01-07 00:00:00+05:30,35.0,35.0,34.16,34.39,3818
2025-01-08 00:00:00+05:30,35.11,35.11,33.06,34.68,10563
2025-01-09 00:00:00+05:30,35.0,35.0,33.3,33.32,4848
2025-01-10 00:00:00+05:30,33.44,34.17,29.05,32.0,22308
2025-01-13 00:00:00+05:30,31.64,32.0,29.32,30.21,12538
2025-01-14 00:00:00+05:30,30.85,32.21,30.85,31.64,4979
2025-01-15 00:00:00+05:30,32.33,32.64,32.0,32.05,3071
2025-01-16 00:00:00+05:30,32.06,33.49,31.5,31.69,18652
2025-01-17 00:00:00+05:30,32.05,32.28,30.81,31.25,7571
2025-01-20 00:00:00+05:30,31.88,32.17,30.74,31.45,12369
2025-01-21 00:00:00+05:30,31.93,32.0,31.1,31.47,4707
2025-01-22 00:00:00+05:30,31.0,36.45,31.0,32.86,22214
2025-01-23 00:00:00+05:30,32.54,33.27,31.5,32.19,3543
2025-01-24 00:00:00+05:30,31.65,32.93,31.5,31.9,3636
2025-01-27 00:00:00+05:30,32.7,32.7,30.05,30.18,6928
2025-01-28 00:00:00+05:30,31.18,31.18,30.0,30.24,5451
2025-01-29 00:00:00+05:30,30.24,30.97,29.0,30.55,1387
2025-01-30 00:00:00+05:30,31.16,31.55,30.0,30.83,6620
2025-01-31 00:00:00+05:30,30.83,31.44,30.0,30.87,11335
2025-02-01 00:00:00+05:30,33.2,33.2,30.3,31.72,4552
2025-02-03 00:00:00+05:30,30.71,31.14,30.01,30.14,6015
2025-02-04 00:00:00+05:30,30.2,30.99,30.05,30.2,8347
2025-02-05 00:00:00+05:30,30.05,30.78,30.05,30.42,5330
2025-02-06 00:00:00+05:30,30.7,32.19,30.1,30.82,16258
2025-02-07 00:00:00+05:30,31.83,31.83,30.21,30.94,6084
2025-02-10 00:00:00+05:30,30.1,31.5,30.1,30.42,3961
2025-02-11 00:00:00+05:30,31.0,31.0,26.0,28.7,12940
2025-02-12 00:00:00+05:30,29.65,30.19,28.0,28.28,10327
2025-02-13 00:00:00+05:30,29.0,29.65,28.81,29.17,5224
2025-02-14 00:00:00+05:30,29.55,29.55,27.05,27.14,6066
2025-02-17 00:00:00+05:30,27.14,27.29,26.5,26.91,3506
2025-02-18 00:00:00+05:30,27.94,27.94,26.0,26.16,1467
2025-02-19 00:00:00+05:30,26.26,27.32,26.21,27.0,4025
2025-02-20 00:00:00+05:30,27.5,27.5,27.02,27.5,2257
2025-02-21 00:00:00+05:30,28.49,29.29,27.07,28.94,10414
2025-02-24 00:00:00+05:30,28.9,29.44,27.1,28.56,5683
2025-02-25 00:00:00+05:30,28.8,28.8,28.0,28.27,2302
2025-02-27 00:00:00+05:30,28.99,28.99,27.06,27.25,4387
2025-02-28 00:00:00+05:30,27.9,27.9,25.4,25.73,6045
2025-03-03 00:00:00+05:30,25.2,30.87,24.0,28.41,67189
2025-03-04 00:00:00+05:30,27.97,27.99,26.0,26.87,51471
2025-03-05 00:00:00+05:30,25.7,27.87,25.7,26.47,7581
2025-03-06 00:00:00+05:30,27.0,27.44,26.73,26.89,12742
2025-03-07 00:00:00+05:30,27.5,27.5,26.6,26.79,4021
2025-03-10 00:00:00+05:30,26.3,27.55,26.3,26.61,23687
2025-03-11 00:00:00+05:30,26.61,26.61,24.75,26.29,1866
2025-03-12 00:00:00+05:30,25.5,26.98,25.5,26.25,12276
2025-03-13 00:00:00+05:30,26.29,26.99,25.56,25.72,9298
2025-03-17 00:00:00+05:30,26.72,26.72,25.61,25.61,5320
2025-03-18 00:00:00+05:30,26.0,26.42,25.66,25.93,12655
2025-03-19 00:00:00+05:30,26.5,26.79,25.6,26.44,15542
2025-03-20 00:00:00+05:30,27.39,27.39,25.9,25.99,7763
2025-03-21 00:00:00+05:30,26.12,26.5,25.32,25.88,51744
2025-03-24 00:00:00+05:30,25.25,29.99,25.25,27.39,39527
2025-03-25 00:00:00+05:30,27.39,28.89,26.0,27.01,36986
2025-03-26 00:00:00+05:30,27.75,27.75,25.6,26.12,20225
2025-03-27 00:00:00+05:30,26.0,26.51,23.4,25.43,29467
2025-03-28 00:00:00+05:30,26.4,26.86,25.0,25.08,18534
2025-04-01 00:00:00+05:30,25.95,26.94,24.7,25.78,8667
2025-04-02 00:00:00+05:30,26.25,27.74,25.1,25.53,4986
2025-04-03 00:00:00+05:30,25.53,27.0,25.53,26.71,7367
2025-04-04 00:00:00+05:30,26.18,27.55,25.5,27.13,6031
2025-04-07 00:00:00+05:30,23.0,26.3,23.0,24.43,11743
2025-04-08 00:00:00+05:30,25.84,25.97,24.67,25.06,6111
2025-04-09 00:00:00+05:30,25.95,25.95,24.9,25.8,1400
2025-04-11 00:00:00+05:30,25.8,26.93,25.8,26.0,2935
2025-04-15 00:00:00+05:30,26.0,27.5,26.0,26.33,12423
2025-04-16 00:00:00+05:30,26.07,27.38,26.07,26.64,2239
2025-04-17 00:00:00+05:30,26.64,27.39,26.25,26.65,11470
2025-04-21 00:00:00+05:30,26.99,27.97,25.66,26.98,8054
2025-04-22 00:00:00+05:30,27.01,28.49,27.01,28.34,12849
2025-04-23 00:00:00+05:30,28.25,29.46,27.5,28.23,11792
2025-04-24 00:00:00+05:30,29.33,30.0,28.0,28.69,23379
2025-04-25 00:00:00+05:30,28.55,29.74,26.02,28.24,16888
2025-04-28 00:00:00+05:30,28.0,28.9,26.61,27.49,9625
2025-04-29 00:00:00+05:30,27.97,27.97,26.5,26.98,10890
2025-04-30 00:00:00+05:30,27.68,27.68,26.3,27.32,3286
2025-05-02 00:00:00+05:30,26.6,27.37,25.2,25.96,10385
2025-05-05 00:00:00+05:30,26.98,28.18,26.01,27.78,13571
2025-05-06 00:00:00+05:30,27.55,28.48,26.21,26.4,17016
2025-05-07 00:00:00+05:30,27.0,27.2,25.0,26.15,2235
2025-05-08 00:00:00+05:30,26.85,27.44,26.0,26.62,1410
2025-05-09 00:00:00+05:30,26.57,26.58,24.13,25.84,5471
2025-05-12 00:00:00+05:30,25.86,28.2,25.86,27.06,17661
2025-05-13 00:00:00+05:30,27.7,28.22,26.8,26.93,6125
2025-05-14 00:00:00+05:30,27.88,27.88,27.0,27.36,4356
2025-05-15 00:00:00+05:30,27.88,28.75,27.79,28.47,15027
2025-05-16 00:00:00+05:30,29.0,29.6,27.6,29.21,14320
2025-05-19 00:00:00+05:30,29.8,32.0,29.8,30.94,62195
2025-05-20 00:00:00+05:30,31.0,31.01,29.4,29.87,12301
2025-05-21 00:00:00+05:30,29.88,29.88,28.68,29.09,7645
2025-05-22 00:00:00+05:30,29.1,30.25,29.0,29.72,6124
2025-05-23 00:00:00+05:30,31.46,31.47,29.01,29.74,19202
2025-05-26 00:00:00+05:30,30.0,30.33,29.13,29.29,16365
2025-05-27 00:00:00+05:30,29.29,29.29,28.51,29.03,10266
2025-05-28 00:00:00+05:30,29.36,29.79,29.01,29.35,2882
2025-05-29 00:00:00+05:30,29.9,29.9,28.53,28.91,2645
2025-05-30 00:00:00+05:30,29.49,29.8,27.91,29.04,8283
2025-06-02 00:00:00+05:30,28.9,30.0,28.58,29.31,3169
2025-06-03 00:00:00+05:30,29.79,29.79,28.56,28.86,13316
2025-06-04 00:00:00+05:30,28.87,29.5,28.32,28.81,2964
2025-06-05 00:00:00+05:30,29.79,29.79,28.7,29.44,5454
2025-06-06 00:00:00+05:30,29.89,29.9,27.0,28.53,45105
2025-06-09 00:00:00+05:30,28.5,29.75,28.24,29.0,6734
2025-06-10 00:00:00+05:30,29.0,29.7,28.66,29.07,6479
2025-06-11 00:00:00+05:30,29.73,29.98,28.91,29.86,15101
2025-06-12 00:00:00+05:30,29.5,29.8,28.26,29.19,7657
2025-06-13 00:00:00+05:30,28.27,29.44,28.27,28.9,4817
2025-06-16 00:00:00+05:30,29.64,29.64,27.15,28.04,32566
2025-06-17 00:00:00+05:30,28.57,30.68,28.3,29.75,41657
2025-06-18 00:00:00+05:30,29.75,29.75,28.5,28.81,13152
2025-06-19 00:00:00+05:30,28.56,28.9,28.02,28.22,14714
2025-06-20 00:00:00+05:30,28.94,30.7,28.31,28.62,34000
