date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,21.9,23.0,19.0,20.95,81572
2024-06-04 00:00:00+05:30,20.95,22.9,19.0,20.4,142992
2024-06-05 00:00:00+05:30,21.5,21.5,19.95,20.9,43780
2024-06-06 00:00:00+05:30,21.35,22.9,21.25,22.8,374615
2024-06-07 00:00:00+05:30,23.0,24.0,22.45,23.4,304756
2024-06-10 00:00:00+05:30,23.05,24.1,22.76,22.86,69950
2024-06-11 00:00:00+05:30,22.86,23.6,22.68,22.74,44426
2024-06-12 00:00:00+05:30,23.4,23.4,22.7,22.78,128060
2024-06-13 00:00:00+05:30,23.24,23.98,22.15,23.48,597987
2024-06-14 00:00:00+05:30,23.5,23.85,23.1,23.26,246054
2024-06-18 00:00:00+05:30,23.4,23.95,22.7,23.31,478707
2024-06-19 00:00:00+05:30,23.49,23.8,22.81,22.91,110758
2024-06-20 00:00:00+05:30,23.0,23.0,22.3,22.88,101307
2024-06-21 00:00:00+05:30,22.9,23.28,22.52,22.73,100999
2024-06-24 00:00:00+05:30,22.73,22.89,22.47,22.49,50039
2024-06-25 00:00:00+05:30,22.74,22.74,21.88,22.14,47407
2024-06-26 00:00:00+05:30,22.14,23.0,21.93,22.58,93193
2024-06-27 00:00:00+05:30,22.68,22.87,21.8,21.94,43202
2024-06-28 00:00:00+05:30,22.35,23.0,21.9,22.65,54311
2024-07-01 00:00:00+05:30,22.37,22.37,21.9,22.04,30741
2024-07-02 00:00:00+05:30,22.32,22.32,21.96,22.03,14573
2024-07-03 00:00:00+05:30,22.0,22.23,21.76,21.81,38750
2024-07-04 00:00:00+05:30,21.81,22.36,21.52,21.77,156659
2024-07-05 00:00:00+05:30,21.99,22.21,20.86,21.24,109978
2024-07-08 00:00:00+05:30,21.24,22.3,21.24,21.66,87973
2024-07-09 00:00:00+05:30,21.69,21.96,21.4,21.46,35937
2024-07-10 00:00:00+05:30,21.46,21.46,21.12,21.17,27103
2024-07-11 00:00:00+05:30,21.25,21.89,20.5,21.21,307229
2024-07-12 00:00:00+05:30,21.34,21.99,20.33,21.11,610187
2024-07-15 00:00:00+05:30,20.7,21.59,20.7,21.17,96334
2024-07-16 00:00:00+05:30,20.7,21.45,20.7,21.05,61603
2024-07-18 00:00:00+05:30,21.39,21.77,20.8,21.4,247148
2024-07-19 00:00:00+05:30,21.65,25.68,21.21,24.14,1509862
2024-07-22 00:00:00+05:30,25.5,25.68,22.65,22.85,0
2024-07-23 00:00:00+05:30,23.3,23.38,22.01,22.43,207057
2024-07-24 00:00:00+05:30,22.89,23.39,22.52,23.05,177324
2024-07-25 00:00:00+05:30,23.8,23.8,22.95,22.95,169237
2024-07-26 00:00:00+05:30,22.51,23.5,22.4,22.51,65564
2024-07-29 00:00:00+05:30,22.52,23.4,22.52,22.58,89701
2024-07-30 00:00:00+05:30,23.0,23.35,21.5,23.31,264928
2024-07-31 00:00:00+05:30,23.31,23.79,22.75,22.84,64659
2024-08-01 00:00:00+05:30,23.15,23.3,22.5,22.62,44137
