date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,2.7,2.8,2.7,2.7,1715582
2024-06-04 00:00:00+05:30,2.75,2.75,2.6,2.6,1144256
2024-06-05 00:00:00+05:30,2.65,2.65,2.5,2.5,1014622
2024-06-06 00:00:00+05:30,2.55,2.6,2.5,2.6,654180
2024-06-07 00:00:00+05:30,2.65,2.65,2.55,2.65,600346
2024-06-10 00:00:00+05:30,2.65,2.65,2.56,2.6,655575
2024-06-11 00:00:00+05:30,2.63,2.67,2.58,2.64,905365
2024-06-12 00:00:00+05:30,2.67,2.67,2.6,2.63,753079
2024-06-13 00:00:00+05:30,2.64,2.65,2.6,2.63,771172
2024-06-14 00:00:00+05:30,2.68,2.68,2.6,2.63,790436
2024-06-18 00:00:00+05:30,2.65,2.65,2.54,2.59,1125883
2024-06-19 00:00:00+05:30,2.6,2.61,2.55,2.57,743542
2024-06-20 00:00:00+05:30,2.6,2.64,2.56,2.59,700646
2024-06-21 00:00:00+05:30,2.59,2.64,2.59,2.62,737920
2024-06-24 00:00:00+05:30,2.61,2.62,2.55,2.6,1002635
2024-06-25 00:00:00+05:30,2.63,2.64,2.56,2.59,698719
2024-06-26 00:00:00+05:30,2.56,2.62,2.55,2.55,694476
2024-06-27 00:00:00+05:30,2.6,2.6,2.54,2.55,772235
2024-06-28 00:00:00+05:30,2.57,2.64,2.55,2.61,1046989
2024-07-01 00:00:00+05:30,2.67,2.67,2.56,2.62,827861
2024-07-02 00:00:00+05:30,2.65,2.65,2.58,2.59,585113
2024-07-03 00:00:00+05:30,2.63,2.63,2.58,2.6,815920
2024-07-04 00:00:00+05:30,2.64,2.64,2.56,2.57,1191060
2024-07-05 00:00:00+05:30,2.57,2.61,2.56,2.57,736469
2024-07-08 00:00:00+05:30,2.66,2.66,2.57,2.58,1845347
2024-07-09 00:00:00+05:30,2.58,2.61,2.56,2.59,1059430
2024-07-10 00:00:00+05:30,2.61,2.61,2.57,2.57,1189136
2024-07-11 00:00:00+05:30,2.59,2.59,2.53,2.56,1362139
2024-07-12 00:00:00+05:30,2.56,2.58,2.47,2.48,1955532
2024-07-15 00:00:00+05:30,2.5,2.5,2.43,2.44,1705925
2024-07-16 00:00:00+05:30,2.48,2.48,2.43,2.44,1030670
2024-07-18 00:00:00+05:30,2.44,2.44,2.31,2.31,5219694
2024-07-19 00:00:00+05:30,2.21,2.31,2.19,2.2,6230113
2024-07-22 00:00:00+05:30,2.24,2.25,2.12,2.13,4304996
2024-07-23 00:00:00+05:30,2.17,2.23,2.13,2.23,810468
2024-07-24 00:00:00+05:30,2.34,2.34,2.34,2.34,510380
2024-07-25 00:00:00+05:30,2.4,2.45,2.3,2.45,3486074
2024-07-26 00:00:00+05:30,2.55,2.57,2.51,2.57,1594948
2024-07-29 00:00:00+05:30,2.67,2.69,2.62,2.66,3293248
2024-07-30 00:00:00+05:30,2.68,2.7,2.52,2.53,2846955
2024-07-31 00:00:00+05:30,2.45,2.49,2.42,2.43,2278700
2024-08-01 00:00:00+05:30,2.5,2.51,2.43,2.46,1293719
2024-08-02 00:00:00+05:30,2.44,2.48,2.4,2.42,1076190
2024-08-05 00:00:00+05:30,2.32,2.39,2.31,2.32,1399100
2024-08-06 00:00:00+05:30,2.39,2.41,2.35,2.36,882103
2024-08-07 00:00:00+05:30,2.43,2.46,2.4,2.43,905156
2024-08-08 00:00:00+05:30,2.45,2.67,2.18,2.18,95694436
2024-08-09 00:00:00+05:30,2.18,2.2,2.09,2.15,11832904
2024-08-12 00:00:00+05:30,2.2,2.3,1.93,1.99,38367309
2024-08-13 00:00:00+05:30,2.03,2.03,1.95,1.99,3043935
2024-08-14 00:00:00+05:30,2.02,2.03,1.93,1.95,2787487
2024-08-16 00:00:00+05:30,2.0,2.0,1.93,1.98,4079241
2024-08-19 00:00:00+05:30,2.05,2.08,2.01,2.07,5307164
2024-08-20 00:00:00+05:30,2.13,2.27,2.1,2.26,7582482
2024-08-21 00:00:00+05:30,2.38,2.38,2.13,2.24,7414609
2024-08-22 00:00:00+05:30,2.24,2.26,2.15,2.2,3934307
2024-08-23 00:00:00+05:30,1.58,1.6,1.58,1.6,710080
2024-08-26 00:00:00+05:30,1.76,1.76,1.76,1.76,683032
2024-08-27 00:00:00+05:30,1.84,1.84,1.84,1.84,1226287
2024-08-28 00:00:00+05:30,1.89,1.93,1.8,1.93,10809480
2024-08-29 00:00:00+05:30,1.95,2.01,1.87,2.0,6280597
2024-08-30 00:00:00+05:30,2.03,2.1,2.02,2.05,5589167
2024-09-02 00:00:00+05:30,2.09,2.09,1.94,1.94,4107486
2024-09-03 00:00:00+05:30,1.93,1.95,1.84,1.85,5288675
2024-09-04 00:00:00+05:30,1.8,1.9,1.75,1.78,6320461
2024-09-05 00:00:00+05:30,1.78,1.84,1.78,1.8,1362695
2024-09-06 00:00:00+05:30,1.85,1.85,1.72,1.78,1603240
2024-09-09 00:00:00+05:30,1.83,1.84,1.69,1.74,2034755
2024-09-10 00:00:00+05:30,1.75,1.75,1.65,1.67,3558279
2024-09-11 00:00:00+05:30,1.69,1.7,1.59,1.67,2131099
2024-09-12 00:00:00+05:30,1.69,1.72,1.66,1.71,1212989
2024-09-13 00:00:00+05:30,1.72,1.74,1.66,1.71,1115991
2024-09-16 00:00:00+05:30,1.72,1.75,1.67,1.69,819202
2024-09-17 00:00:00+05:30,1.73,1.73,1.65,1.68,1043790
2024-09-18 00:00:00+05:30,1.67,1.71,1.65,1.69,1004325
2024-09-19 00:00:00+05:30,1.71,1.71,1.6,1.65,894164
2024-09-20 00:00:00+05:30,1.67,1.73,1.6,1.7,2881447
