date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,9.15,9.15,8.55,8.8,306377
2024-06-04 00:00:00+05:30,8.85,8.85,8.4,8.4,258752
2024-06-05 00:00:00+05:30,8.4,8.45,8.0,8.3,128055
2024-06-06 00:00:00+05:30,8.3,8.6,8.3,8.55,172971
2024-06-07 00:00:00+05:30,8.55,8.6,8.3,8.5,222650
2024-06-10 00:00:00+05:30,8.5,8.6,8.4,8.46,305947
2024-06-11 00:00:00+05:30,8.5,8.75,8.2,8.69,204409
2024-06-12 00:00:00+05:30,8.85,8.89,8.7,8.81,260489
2024-06-13 00:00:00+05:30,8.95,8.95,8.7,8.82,151402
2024-06-14 00:00:00+05:30,8.83,8.93,8.75,8.78,207324
2024-06-18 00:00:00+05:30,8.87,8.89,8.51,8.66,207494
2024-06-19 00:00:00+05:30,8.66,8.66,8.5,8.55,168321
2024-06-20 00:00:00+05:30,8.52,8.68,8.32,8.65,285186
2024-06-21 00:00:00+05:30,8.73,8.73,8.4,8.62,160228
2024-06-24 00:00:00+05:30,8.75,8.75,8.38,8.42,239819
2024-06-25 00:00:00+05:30,8.58,8.58,8.4,8.45,144110
2024-06-26 00:00:00+05:30,8.45,8.52,8.33,8.37,211705
2024-06-27 00:00:00+05:30,8.49,8.49,8.31,8.36,129067
2024-06-28 00:00:00+05:30,8.4,8.45,8.15,8.17,454823
2024-07-01 00:00:00+05:30,8.25,8.25,8.05,8.14,205412
2024-07-02 00:00:00+05:30,8.23,8.48,8.14,8.16,362525
2024-07-03 00:00:00+05:30,8.25,8.32,8.16,8.25,183191
2024-07-04 00:00:00+05:30,8.3,8.43,8.25,8.4,130278
2024-07-05 00:00:00+05:30,8.44,8.65,8.42,8.56,190535
2024-07-08 00:00:00+05:30,8.64,8.98,8.56,8.98,943629
2024-07-09 00:00:00+05:30,9.35,9.42,9.18,9.42,339057
2024-07-10 00:00:00+05:30,9.65,9.65,8.94,9.24,1355795
2024-07-11 00:00:00+05:30,9.38,9.38,8.9,8.98,443935
2024-07-12 00:00:00+05:30,9.0,9.26,8.75,8.78,534030
2024-07-15 00:00:00+05:30,8.92,9.02,8.75,8.97,332049
2024-07-16 00:00:00+05:30,8.97,9.14,8.84,8.87,185254
2024-07-18 00:00:00+05:30,8.87,8.89,8.7,8.75,164731
2024-07-19 00:00:00+05:30,8.75,8.8,8.47,8.53,292396
2024-07-22 00:00:00+05:30,8.5,8.6,8.16,8.26,387277
2024-07-23 00:00:00+05:30,8.15,8.42,8.15,8.34,243560
2024-07-24 00:00:00+05:30,8.44,8.68,8.33,8.44,372357
2024-07-25 00:00:00+05:30,8.5,8.86,8.39,8.86,251302
2024-07-26 00:00:00+05:30,8.93,9.14,8.61,8.99,624647
2024-07-29 00:00:00+05:30,9.05,9.14,8.56,8.81,374919
2024-07-30 00:00:00+05:30,8.88,8.88,8.65,8.73,285645
2024-07-31 00:00:00+05:30,8.8,9.16,8.7,9.16,826954
2024-08-01 00:00:00+05:30,9.2,9.28,8.9,9.03,366548
2024-08-02 00:00:00+05:30,9.0,9.0,8.84,8.93,164790
2024-08-05 00:00:00+05:30,8.8,8.8,8.5,8.58,239144
2024-08-06 00:00:00+05:30,8.68,8.73,8.4,8.46,248049
2024-08-07 00:00:00+05:30,8.7,9.3,8.6,9.3,1358013
2024-08-08 00:00:00+05:30,9.9,10.23,9.48,9.67,3324313
2024-08-09 00:00:00+05:30,9.75,9.88,9.0,9.06,838779
2024-08-12 00:00:00+05:30,9.16,9.16,8.91,8.96,376248
2024-08-13 00:00:00+05:30,8.91,9.08,8.62,8.73,486719
2024-08-14 00:00:00+05:30,8.88,8.92,8.68,8.72,184046
2024-08-16 00:00:00+05:30,9.0,9.34,8.94,9.12,1246805
2024-08-19 00:00:00+05:30,9.31,9.34,9.14,9.27,475741
2024-08-20 00:00:00+05:30,9.15,9.34,9.05,9.06,273510
2024-08-21 00:00:00+05:30,9.19,9.19,9.0,9.03,289957
2024-08-22 00:00:00+05:30,9.06,9.12,8.85,8.88,380034
2024-08-23 00:00:00+05:30,8.95,9.08,8.85,8.97,279757
