date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,26.98,27.51,26.5,27.21,1005369
2024-06-04 00:00:00+05:30,27.32,27.32,23.97,24.79,2244146
2024-06-05 00:00:00+05:30,25.89,25.9,23.75,24.98,1255991
2024-06-06 00:00:00+05:30,25.75,26.16,25.11,25.81,387806
2024-06-07 00:00:00+05:30,26.19,26.19,25.81,26.12,316276
2024-06-10 00:00:00+05:30,26.61,26.9,26.03,26.4,368210
2024-06-11 00:00:00+05:30,26.39,26.68,26.3,26.53,269138
2024-06-12 00:00:00+05:30,26.68,26.75,26.54,26.7,504389
2024-06-13 00:00:00+05:30,26.74,27.13,26.73,27.06,459849
2024-06-14 00:00:00+05:30,27.24,28.07,26.92,27.82,972749
2024-06-18 00:00:00+05:30,28.65,28.65,27.7,27.89,1095746
2024-06-19 00:00:00+05:30,28.29,28.5,27.4,27.59,958582
2024-06-20 00:00:00+05:30,27.69,27.75,27.32,27.54,388357
2024-06-21 00:00:00+05:30,27.54,27.8,27.35,27.41,278550
2024-06-24 00:00:00+05:30,27.69,27.7,27.19,27.53,248610
2024-06-25 00:00:00+05:30,27.89,27.89,27.3,27.42,430784
2024-06-26 00:00:00+05:30,27.4,27.55,27.25,27.33,176658
2024-06-27 00:00:00+05:30,27.3,27.5,27.07,27.34,511661
2024-06-28 00:00:00+05:30,27.39,27.7,27.3,27.48,297704
2024-07-01 00:00:00+05:30,27.47,27.7,27.14,27.62,353697
2024-07-02 00:00:00+05:30,27.4,27.8,27.31,27.66,202791
2024-07-03 00:00:00+05:30,27.7,27.98,27.51,27.92,326311
2024-07-04 00:00:00+05:30,28.27,28.5,27.9,28.44,390852
2024-07-05 00:00:00+05:30,28.61,28.62,28.22,28.54,403173
2024-07-08 00:00:00+05:30,28.75,28.95,28.04,28.71,505057
2024-07-09 00:00:00+05:30,28.71,29.21,28.47,28.72,1318448
2024-07-10 00:00:00+05:30,28.8,29.2,28.04,28.67,490834
2024-07-11 00:00:00+05:30,28.99,29.0,28.71,28.83,272045
2024-07-12 00:00:00+05:30,28.95,29.24,28.51,28.62,687081
2024-07-15 00:00:00+05:30,28.74,29.12,28.59,28.93,310107
2024-07-16 00:00:00+05:30,28.93,29.1,28.75,28.82,484151
2024-07-18 00:00:00+05:30,29.09,29.09,28.08,28.27,1839353
2024-07-19 00:00:00+05:30,28.61,28.61,27.3,27.47,1869814
2024-07-22 00:00:00+05:30,27.99,28.32,27.1,27.8,910666
2024-07-23 00:00:00+05:30,28.07,28.14,26.25,27.58,1773930
2024-07-24 00:00:00+05:30,27.31,27.92,27.01,27.7,520922
2024-07-25 00:00:00+05:30,27.7,27.85,27.2,27.74,440557
2024-07-26 00:00:00+05:30,27.97,28.35,27.79,28.26,613004
2024-07-29 00:00:00+05:30,28.66,29.0,28.35,28.97,2940995
2024-07-30 00:00:00+05:30,29.01,29.25,28.87,29.01,2123818
2024-07-31 00:00:00+05:30,29.14,29.39,29.0,29.23,2811508
2024-08-01 00:00:00+05:30,29.38,29.53,28.8,28.94,1697549
2024-08-02 00:00:00+05:30,28.94,28.94,28.3,28.45,2664963
2024-08-05 00:00:00+05:30,28.11,28.11,27.02,27.47,3364770
2024-08-06 00:00:00+05:30,27.93,28.3,27.09,27.16,3783919
2024-08-07 00:00:00+05:30,27.59,28.19,27.36,28.09,851678
2024-08-08 00:00:00+05:30,28.08,28.35,27.93,28.08,957253
2024-08-09 00:00:00+05:30,28.3,29.52,28.21,28.44,772516
2024-08-12 00:00:00+05:30,28.44,28.78,27.61,28.37,836629
2024-08-13 00:00:00+05:30,28.49,28.65,28.0,28.12,629619
2024-08-14 00:00:00+05:30,28.39,28.39,27.62,27.98,865694
2024-08-16 00:00:00+05:30,27.9,28.59,27.81,28.48,3419800
2024-08-19 00:00:00+05:30,28.49,28.98,28.46,28.67,693921
2024-08-20 00:00:00+05:30,28.88,28.99,28.51,28.95,573609
2024-08-21 00:00:00+05:30,28.71,29.14,28.71,29.03,667121
2024-08-22 00:00:00+05:30,29.28,29.29,29.0,29.17,697520
2024-08-23 00:00:00+05:30,29.28,29.36,28.99,29.18,1280219
2024-08-26 00:00:00+05:30,29.35,29.74,29.12,29.25,703236
2024-08-27 00:00:00+05:30,29.65,29.65,29.16,29.31,556229
2024-08-28 00:00:00+05:30,29.37,29.5,29.28,29.42,728359
2024-08-29 00:00:00+05:30,29.54,29.55,29.26,29.38,947955
2024-08-30 00:00:00+05:30,29.38,29.95,29.38,29.6,1226763
2024-09-02 00:00:00+05:30,29.98,30.09,29.25,29.3,1964164
2024-09-03 00:00:00+05:30,29.59,29.69,29.3,29.46,664483
2024-09-04 00:00:00+05:30,29.39,29.4,29.0,29.32,893313
2024-09-05 00:00:00+05:30,30.2,30.2,29.21,29.31,1141158
2024-09-06 00:00:00+05:30,29.25,29.55,28.56,28.66,2361847
2024-09-09 00:00:00+05:30,29.16,29.16,28.1,28.3,2534470
2024-09-10 00:00:00+05:30,28.4,28.7,28.26,28.49,973899
2024-09-11 00:00:00+05:30,28.99,28.99,28.22,28.31,860996
2024-09-12 00:00:00+05:30,28.33,29.25,28.33,28.86,776895
2024-09-13 00:00:00+05:30,29.06,29.06,28.78,28.86,979901
2024-09-16 00:00:00+05:30,29.59,29.59,28.85,28.95,909226
2024-09-17 00:00:00+05:30,29.24,29.24,28.73,28.79,698547
2024-09-18 00:00:00+05:30,28.98,28.99,28.48,28.64,851753
2024-09-19 00:00:00+05:30,28.65,28.95,27.61,28.01,5405167
2024-09-20 00:00:00+05:30,28.25,28.39,27.99,28.26,1205166
2024-09-23 00:00:00+05:30,28.6,28.79,28.27,28.73,1358223
2024-09-24 00:00:00+05:30,28.73,28.89,28.59,28.83,1404007
2024-09-25 00:00:00+05:30,28.99,28.99,28.67,28.8,1000904
2024-09-26 00:00:00+05:30,28.98,28.99,28.62,28.87,708628
2024-09-27 00:00:00+05:30,28.88,29.28,28.81,29.25,1345463
2024-09-30 00:00:00+05:30,29.34,29.4,28.85,28.93,1459853
2024-10-01 00:00:00+05:30,29.09,29.1,28.75,28.99,419440
2024-10-03 00:00:00+05:30,29.0,29.0,28.13,28.27,2894067
2024-10-04 00:00:00+05:30,28.28,28.69,27.8,27.98,1836985
2024-10-07 00:00:00+05:30,27.99,28.47,27.35,27.55,1611775
2024-10-08 00:00:00+05:30,27.56,28.45,27.25,28.29,1044595
2024-10-09 00:00:00+05:30,28.57,28.76,28.27,28.63,661469
2024-10-10 00:00:00+05:30,28.75,28.8,27.83,28.48,1451183
2024-10-11 00:00:00+05:30,28.48,28.69,28.31,28.64,438659
2024-10-14 00:00:00+05:30,28.7,28.91,28.58,28.83,916600
2024-10-15 00:00:00+05:30,28.95,28.99,28.65,28.88,386253
2024-10-16 00:00:00+05:30,28.6,28.99,28.5,28.82,645405
2024-10-17 00:00:00+05:30,28.81,28.99,28.16,28.19,1341911
2024-10-18 00:00:00+05:30,28.2,28.39,27.82,28.34,635211
2024-10-21 00:00:00+05:30,28.46,28.48,27.8,27.88,801800
2024-10-22 00:00:00+05:30,27.9,28.09,27.11,27.28,892130
2024-10-23 00:00:00+05:30,27.47,27.57,27.01,27.27,856511
2024-10-24 00:00:00+05:30,27.43,27.88,27.0,27.05,1161683
2024-10-25 00:00:00+05:30,27.11,27.27,26.2,26.49,1600359
2024-10-28 00:00:00+05:30,26.73,26.75,26.22,26.56,852861
2024-10-29 00:00:00+05:30,26.58,26.88,26.25,26.72,1032118
2024-10-30 00:00:00+05:30,26.95,27.01,26.47,26.53,859138
2024-10-31 00:00:00+05:30,26.64,26.65,26.24,26.35,1037292
2024-11-01 00:00:00+05:30,27.5,27.5,26.35,26.53,325341
2024-11-04 00:00:00+05:30,26.56,26.74,25.88,26.14,2071142
2024-11-05 00:00:00+05:30,26.24,26.49,25.74,26.19,1680714
2024-11-06 00:00:00+05:30,26.2,26.92,26.19,26.76,2622784
