date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,52.11,54.25,52.11,53.46,1468205
2024-06-04 00:00:00+05:30,53.61,53.87,47.49,51.19,3287269
2024-06-05 00:00:00+05:30,52.75,52.75,47.99,49.72,2817991
2024-06-06 00:00:00+05:30,51.01,51.97,50.03,51.44,2643030
2024-06-07 00:00:00+05:30,51.95,52.2,51.02,52.1,783634
2024-06-10 00:00:00+05:30,52.55,52.76,52.05,52.41,1413614
2024-06-11 00:00:00+05:30,52.75,52.97,52.31,52.69,600801
2024-06-12 00:00:00+05:30,52.94,53.09,52.69,52.98,536371
2024-06-13 00:00:00+05:30,53.02,53.44,53.0,53.38,1267639
2024-06-14 00:00:00+05:30,53.49,54.44,53.2,54.21,1611362
2024-06-18 00:00:00+05:30,54.6,54.69,54.3,54.48,928894
2024-06-19 00:00:00+05:30,54.49,54.84,53.51,53.96,1432747
2024-06-20 00:00:00+05:30,54.0,54.05,53.55,53.93,710015
2024-06-21 00:00:00+05:30,54.34,54.58,54.0,54.19,677847
2024-06-24 00:00:00+05:30,54.26,54.5,53.8,54.3,661730
2024-06-25 00:00:00+05:30,54.48,54.68,53.81,54.05,862577
2024-06-26 00:00:00+05:30,54.3,54.3,53.71,53.85,505365
2024-06-27 00:00:00+05:30,53.91,54.3,53.57,53.89,514617
2024-06-28 00:00:00+05:30,54.1,54.47,53.9,54.06,828843
2024-07-01 00:00:00+05:30,54.5,54.5,54.0,54.29,479268
2024-07-02 00:00:00+05:30,55.9,55.9,53.64,54.13,2973891
2024-07-03 00:00:00+05:30,54.51,54.74,54.24,54.67,507396
2024-07-04 00:00:00+05:30,55.27,55.7,54.67,55.59,1211031
2024-07-05 00:00:00+05:30,55.69,56.45,55.21,56.36,977669
2024-07-08 00:00:00+05:30,56.45,57.15,56.31,56.8,1313994
2024-07-09 00:00:00+05:30,56.98,57.48,56.5,56.92,1267124
2024-07-10 00:00:00+05:30,56.92,57.25,55.35,56.61,1752586
2024-07-11 00:00:00+05:30,56.61,57.18,56.61,57.08,665991
2024-07-12 00:00:00+05:30,57.22,57.38,56.7,57.11,887480
2024-07-15 00:00:00+05:30,57.5,57.67,56.94,57.45,766715
2024-07-16 00:00:00+05:30,57.35,57.87,57.15,57.38,1071110
2024-07-18 00:00:00+05:30,57.82,57.82,55.77,56.08,3549252
2024-07-19 00:00:00+05:30,56.08,56.27,54.44,54.88,2409915
2024-07-22 00:00:00+05:30,54.8,55.77,54.03,55.34,1082293
2024-07-23 00:00:00+05:30,55.42,55.8,52.0,54.91,1978756
2024-07-24 00:00:00+05:30,55.9,55.9,54.59,55.68,1002671
2024-07-25 00:00:00+05:30,55.68,55.68,55.0,55.4,757345
2024-07-26 00:00:00+05:30,55.8,56.23,55.68,56.11,892367
2024-07-29 00:00:00+05:30,56.11,57.5,56.11,57.09,1763058
2024-07-30 00:00:00+05:30,57.5,57.5,57.01,57.19,743088
2024-07-31 00:00:00+05:30,57.25,57.82,57.01,57.76,1057544
2024-08-01 00:00:00+05:30,58.0,58.1,56.81,57.17,1561715
2024-08-02 00:00:00+05:30,57.2,57.2,56.1,56.62,1037174
2024-08-05 00:00:00+05:30,56.5,56.5,54.0,55.02,3422514
2024-08-06 00:00:00+05:30,55.49,55.97,53.18,53.62,2105952
