date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,27.54,28.21,27.54,28.04,1899194
2024-06-04 00:00:00+05:30,28.9,28.9,26.58,27.58,1580001
2024-06-05 00:00:00+05:30,27.53,27.97,26.0,27.55,2679943
2024-06-06 00:00:00+05:30,27.81,27.87,27.21,27.73,1293920
2024-06-07 00:00:00+05:30,27.73,28.18,27.56,28.13,1989396
2024-06-10 00:00:00+05:30,28.4,28.4,28.14,28.28,594706
2024-06-11 00:00:00+05:30,28.44,28.58,28.19,28.43,1256971
2024-06-12 00:00:00+05:30,28.55,28.63,28.44,28.55,898220
2024-06-13 00:00:00+05:30,28.59,28.69,28.5,28.64,1620518
2024-06-14 00:00:00+05:30,29.5,29.5,28.64,28.81,929665
2024-06-18 00:00:00+05:30,28.99,29.37,28.7,28.81,1085692
2024-06-19 00:00:00+05:30,29.05,29.24,28.43,28.46,1575815
2024-06-20 00:00:00+05:30,28.57,29.03,28.26,28.45,7763684
2024-06-21 00:00:00+05:30,28.45,28.64,28.26,28.32,1437324
2024-06-24 00:00:00+05:30,28.26,28.56,28.07,28.47,958726
2024-06-25 00:00:00+05:30,28.46,28.58,28.38,28.47,3159054
2024-06-26 00:00:00+05:30,28.47,28.68,28.35,28.62,1823028
2024-06-27 00:00:00+05:30,28.62,28.75,28.45,28.71,2124279
2024-06-28 00:00:00+05:30,29.55,29.55,28.6,28.84,479429
2024-07-01 00:00:00+05:30,28.84,29.12,28.7,28.9,7836281
2024-07-02 00:00:00+05:30,29.0,29.1,28.61,28.91,528662
2024-07-03 00:00:00+05:30,28.5,29.09,28.3,28.93,3948069
2024-07-04 00:00:00+05:30,28.93,29.24,28.93,29.11,1255983
2024-07-05 00:00:00+05:30,29.11,29.4,29.11,29.35,736996
2024-07-08 00:00:00+05:30,29.5,29.5,29.28,29.35,833480
2024-07-09 00:00:00+05:30,29.5,29.7,29.38,29.6,2869015
2024-07-10 00:00:00+05:30,29.73,29.8,29.3,29.76,1378550
2024-07-11 00:00:00+05:30,29.79,29.95,29.61,29.71,2110258
2024-07-12 00:00:00+05:30,29.71,29.95,29.65,29.66,579128
2024-07-15 00:00:00+05:30,29.71,29.94,29.71,29.89,721143
2024-07-16 00:00:00+05:30,29.94,30.14,29.88,29.92,472845
2024-07-18 00:00:00+05:30,29.95,30.29,29.71,30.02,2000687
2024-07-19 00:00:00+05:30,30.3,30.3,29.5,29.55,4505307
2024-07-22 00:00:00+05:30,28.65,29.95,28.65,29.68,5628990
2024-07-23 00:00:00+05:30,29.91,30.12,29.13,29.82,2455202
2024-07-24 00:00:00+05:30,29.69,29.95,29.68,29.81,853000
2024-07-25 00:00:00+05:30,29.72,29.92,29.39,29.88,992152
2024-07-26 00:00:00+05:30,29.87,30.32,29.85,30.28,655790
2024-07-29 00:00:00+05:30,30.28,30.66,30.28,30.43,743690
2024-07-30 00:00:00+05:30,30.9,30.9,30.43,30.47,778758
2024-07-31 00:00:00+05:30,30.47,30.7,30.47,30.62,549847
2024-08-01 00:00:00+05:30,30.62,30.97,30.62,30.8,1950436
2024-08-02 00:00:00+05:30,30.8,30.8,30.13,30.43,1241196
2024-08-05 00:00:00+05:30,30.4,30.4,29.57,29.89,1863839
2024-08-06 00:00:00+05:30,30.5,30.5,29.49,29.67,1707304
2024-08-07 00:00:00+05:30,30.55,30.55,29.96,30.22,2145807
2024-08-08 00:00:00+05:30,30.22,30.6,30.04,30.27,1680403
2024-08-09 00:00:00+05:30,30.41,30.89,30.21,30.34,650090
2024-08-12 00:00:00+05:30,30.33,30.7,30.04,30.36,1423787
2024-08-13 00:00:00+05:30,30.35,30.4,30.05,30.11,3672436
2024-08-14 00:00:00+05:30,30.5,30.5,29.93,30.06,8988186
2024-08-16 00:00:00+05:30,30.95,30.98,29.91,30.44,3925345
2024-08-19 00:00:00+05:30,30.44,30.84,30.35,30.4,2858107
2024-08-20 00:00:00+05:30,30.47,30.59,30.37,30.54,4172821
2024-08-21 00:00:00+05:30,31.45,31.45,30.47,30.61,2457744
2024-08-22 00:00:00+05:30,30.5,30.89,30.47,30.79,2388303
2024-08-23 00:00:00+05:30,31.19,31.19,30.72,30.84,1286336
2024-08-26 00:00:00+05:30,30.83,31.04,30.75,30.98,791376
2024-08-27 00:00:00+05:30,30.98,31.08,30.91,30.97,2099954
2024-08-28 00:00:00+05:30,30.97,31.09,30.66,30.98,2474022
2024-08-29 00:00:00+05:30,30.95,31.1,30.83,31.06,2022019
2024-08-30 00:00:00+05:30,31.05,31.32,30.91,31.28,3119159
2024-09-02 00:00:00+05:30,31.49,31.49,31.17,31.24,1213661
2024-09-03 00:00:00+05:30,31.64,31.64,30.84,31.25,942135
2024-09-04 00:00:00+05:30,31.15,31.31,30.85,31.28,1074259
2024-09-05 00:00:00+05:30,31.27,31.49,31.15,31.19,1344353
2024-09-06 00:00:00+05:30,31.4,31.4,30.78,30.84,1649640
2024-09-09 00:00:00+05:30,31.75,31.75,30.53,30.85,1263062
2024-09-10 00:00:00+05:30,31.35,31.35,30.85,30.98,944218
2024-09-11 00:00:00+05:30,30.97,31.12,30.71,30.81,759303
2024-09-12 00:00:00+05:30,31.32,31.32,30.75,31.24,6866927
2024-09-13 00:00:00+05:30,31.5,31.5,31.23,31.35,5459655
2024-09-16 00:00:00+05:30,31.91,31.91,31.3,31.37,1710596
2024-09-17 00:00:00+05:30,31.37,31.51,31.15,31.46,12659775
2024-09-18 00:00:00+05:30,31.7,31.7,31.16,31.26,1107627
2024-09-19 00:00:00+05:30,32.2,32.2,31.2,31.32,1836425
2024-09-20 00:00:00+05:30,31.54,31.7,31.3,31.61,3805630
2024-09-23 00:00:00+05:30,31.61,32.01,31.61,31.96,1903257
2024-09-24 00:00:00+05:30,32.36,32.36,31.71,31.99,985553
2024-09-25 00:00:00+05:30,32.23,32.23,31.72,32.02,2637519
2024-09-26 00:00:00+05:30,32.01,32.32,31.98,32.31,1439737
2024-09-27 00:00:00+05:30,32.3,32.5,32.07,32.47,965171
2024-09-30 00:00:00+05:30,32.55,32.67,31.93,32.06,1784747
2024-10-01 00:00:00+05:30,32.06,32.39,31.94,32.07,2125610
2024-10-03 00:00:00+05:30,32.0,32.0,31.45,31.55,2668252
2024-10-04 00:00:00+05:30,31.54,31.95,31.08,31.4,1639519
2024-10-07 00:00:00+05:30,31.4,31.46,30.7,30.95,3186582
2024-10-08 00:00:00+05:30,30.95,31.42,30.66,31.19,2870494
2024-10-09 00:00:00+05:30,31.49,31.49,30.73,31.17,1901161
2024-10-10 00:00:00+05:30,31.17,31.48,31.01,31.05,1321237
2024-10-11 00:00:00+05:30,31.05,31.24,30.94,31.09,1890821
2024-10-14 00:00:00+05:30,31.09,31.4,30.75,31.13,1391816
2024-10-15 00:00:00+05:30,31.14,31.35,30.98,31.11,806311
2024-10-16 00:00:00+05:30,31.11,31.44,30.92,31.02,2062442
2024-10-17 00:00:00+05:30,30.97,31.09,30.36,30.4,2129087
2024-10-18 00:00:00+05:30,30.4,30.62,30.1,30.58,1174245
2024-10-21 00:00:00+05:30,30.98,30.98,30.18,30.29,3313844
2024-10-22 00:00:00+05:30,30.3,30.6,29.87,29.9,3611764
2024-10-23 00:00:00+05:30,31.8,31.8,29.56,29.68,5090899
2024-10-24 00:00:00+05:30,29.68,30.92,29.44,29.5,1203625
2024-10-25 00:00:00+05:30,29.5,29.66,29.12,29.27,3519913
2024-10-28 00:00:00+05:30,29.67,29.89,29.0,29.45,2413389
2024-10-29 00:00:00+05:30,29.46,29.8,29.1,29.45,2708583
2024-10-30 00:00:00+05:30,29.31,29.54,29.18,29.39,8011644
2024-10-31 00:00:00+05:30,29.39,29.7,29.22,29.39,774113
2024-11-01 00:00:00+05:30,29.79,29.93,29.32,29.54,173190
2024-11-04 00:00:00+05:30,29.96,29.96,28.77,29.02,8671850
2024-11-05 00:00:00+05:30,29.03,29.4,28.78,29.19,1633501
2024-11-06 00:00:00+05:30,29.19,29.52,29.08,29.45,1587635
2024-11-07 00:00:00+05:30,29.46,29.54,29.01,29.05,3059158
2024-11-08 00:00:00+05:30,29.45,29.45,28.8,29.06,5567397
2024-11-11 00:00:00+05:30,29.46,29.46,28.79,28.88,1761656
2024-11-12 00:00:00+05:30,28.89,28.94,28.32,28.43,1542294
2024-11-13 00:00:00+05:30,28.44,28.99,28.05,28.12,10196961
2024-11-14 00:00:00+05:30,28.1,28.16,27.91,27.98,7257921
2024-11-18 00:00:00+05:30,28.1,28.11,27.63,27.89,4836848
2024-11-19 00:00:00+05:30,28.4,28.42,27.85,27.91,3437521
2024-11-21 00:00:00+05:30,27.91,27.92,27.5,27.72,5314284
