date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,63.7,63.7,59.1,60.05,27978
2024-06-04 00:00:00+05:30,61.8,61.8,56.0,56.8,35538
2024-06-05 00:00:00+05:30,58.9,62.0,57.05,60.2,21709
2024-06-06 00:00:00+05:30,63.0,66.2,60.3,66.2,48046
2024-06-07 00:00:00+05:30,68.15,70.75,66.35,68.1,104856
2024-06-10 00:00:00+05:30,70.0,70.0,65.82,69.02,116673
2024-06-11 00:00:00+05:30,69.3,69.36,66.0,67.12,57763
2024-06-12 00:00:00+05:30,69.0,70.4,67.08,67.87,51372
2024-06-13 00:00:00+05:30,68.5,68.75,66.21,68.13,34748
2024-06-14 00:00:00+05:30,69.5,78.46,67.21,76.79,411444
2024-06-18 00:00:00+05:30,80.0,80.8,72.6,73.19,297857
2024-06-19 00:00:00+05:30,73.2,74.85,72.09,72.97,60665
2024-06-20 00:00:00+05:30,73.0,76.7,72.31,73.08,71079
2024-06-21 00:00:00+05:30,73.08,74.4,72.0,72.26,38881
2024-06-24 00:00:00+05:30,72.89,75.0,72.4,72.85,54889
2024-06-25 00:00:00+05:30,74.69,74.7,72.54,72.99,30185
2024-06-26 00:00:00+05:30,73.0,73.8,71.79,72.33,31302
2024-06-27 00:00:00+05:30,71.0,74.0,71.0,71.77,26538
2024-06-28 00:00:00+05:30,71.88,73.98,68.0,69.94,130822
2024-07-01 00:00:00+05:30,70.99,74.0,69.26,72.02,54455
2024-07-02 00:00:00+05:30,72.0,73.46,71.0,71.97,43200
2024-07-03 00:00:00+05:30,72.1,75.6,72.1,73.8,230726
2024-07-04 00:00:00+05:30,74.63,78.0,72.8,76.69,335164
2024-07-05 00:00:00+05:30,77.0,77.64,74.12,75.47,77307
2024-07-08 00:00:00+05:30,76.25,78.45,74.0,75.56,121692
2024-07-09 00:00:00+05:30,77.2,77.2,73.01,74.05,59141
2024-07-10 00:00:00+05:30,73.12,74.5,71.0,71.54,63273
2024-07-11 00:00:00+05:30,72.0,74.44,71.49,72.69,40282
2024-07-12 00:00:00+05:30,72.2,73.49,71.0,71.15,30533
2024-07-15 00:00:00+05:30,72.0,73.99,71.45,72.51,69943
2024-07-16 00:00:00+05:30,72.79,72.8,70.51,71.66,24056
2024-07-18 00:00:00+05:30,71.66,73.99,70.92,71.94,73278
2024-07-19 00:00:00+05:30,72.05,74.0,70.11,70.18,58900
2024-07-22 00:00:00+05:30,69.0,72.12,69.0,70.14,36408
2024-07-23 00:00:00+05:30,70.49,71.45,67.25,69.05,49231
2024-07-24 00:00:00+05:30,69.9,71.5,69.2,69.97,30274
2024-07-25 00:00:00+05:30,70.8,71.59,69.59,70.02,14716
2024-07-26 00:00:00+05:30,70.5,71.49,69.42,70.29,17795
2024-07-29 00:00:00+05:30,71.99,71.99,69.32,70.28,17630
2024-07-30 00:00:00+05:30,71.5,78.94,70.01,77.42,218630
2024-07-31 00:00:00+05:30,77.5,78.5,74.0,75.48,114565
2024-08-01 00:00:00+05:30,75.88,76.59,72.13,73.43,77165
2024-08-02 00:00:00+05:30,73.0,74.89,70.0,70.84,46464
2024-08-05 00:00:00+05:30,70.0,71.57,63.52,66.05,116770
2024-08-06 00:00:00+05:30,68.0,69.8,67.02,67.52,27492
2024-08-07 00:00:00+05:30,67.0,68.88,66.55,67.18,36801
2024-08-08 00:00:00+05:30,65.1,68.87,65.1,66.89,24185
2024-08-09 00:00:00+05:30,68.7,68.75,65.0,66.23,42630
2024-08-12 00:00:00+05:30,70.8,79.47,70.7,79.47,304621
2024-08-13 00:00:00+05:30,85.0,87.9,73.28,74.39,611733
2024-08-14 00:00:00+05:30,75.05,76.66,73.5,74.29,87419
2024-08-16 00:00:00+05:30,74.1,77.0,74.0,75.68,54226
2024-08-19 00:00:00+05:30,76.0,84.29,74.53,83.12,398417
2024-08-20 00:00:00+05:30,83.5,83.5,79.0,79.24,133743
2024-08-21 00:00:00+05:30,79.9,81.89,78.31,79.98,127368
2024-08-22 00:00:00+05:30,80.29,85.5,80.29,84.56,290483
2024-08-23 00:00:00+05:30,86.0,86.5,82.6,83.25,206730
2024-08-26 00:00:00+05:30,84.2,85.02,81.41,82.65,96908
2024-08-27 00:00:00+05:30,82.55,83.5,79.11,79.65,56386
2024-08-28 00:00:00+05:30,80.0,80.79,78.14,78.48,40441
2024-08-29 00:00:00+05:30,78.99,80.05,76.7,77.06,34148
2024-08-30 00:00:00+05:30,77.06,81.9,77.06,78.26,48819
2024-09-02 00:00:00+05:30,80.0,81.0,76.0,77.06,30251
2024-09-03 00:00:00+05:30,76.05,77.96,76.0,76.11,32097
2024-09-04 00:00:00+05:30,76.16,79.89,75.87,77.19,65016
2024-09-05 00:00:00+05:30,79.99,79.99,77.52,77.83,14177
