date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,41.65,41.65,38.5,38.85,106048
2024-06-04 00:00:00+05:30,39.0,39.0,36.0,37.1,93028
2024-06-05 00:00:00+05:30,37.9,38.4,36.05,38.05,66094
2024-06-06 00:00:00+05:30,38.85,39.45,38.05,38.55,59985
2024-06-07 00:00:00+05:30,38.95,40.3,38.65,39.35,58766
2024-06-10 00:00:00+05:30,39.95,40.63,39.1,39.59,81095
2024-06-11 00:00:00+05:30,40.35,40.95,39.2,39.51,67879
2024-06-12 00:00:00+05:30,39.1,40.5,39.1,39.9,82644
2024-06-13 00:00:00+05:30,40.5,40.59,39.6,39.87,68285
2024-06-14 00:00:00+05:30,39.45,41.75,39.45,40.0,211140
2024-06-18 00:00:00+05:30,40.23,41.75,39.7,39.95,116482
2024-06-19 00:00:00+05:30,40.22,40.79,39.1,39.94,78292
2024-06-20 00:00:00+05:30,40.54,40.9,39.7,40.06,64330
2024-06-21 00:00:00+05:30,40.84,40.84,39.69,40.18,48922
2024-06-24 00:00:00+05:30,40.18,42.4,39.2,41.73,382314
2024-06-25 00:00:00+05:30,42.24,42.25,41.14,41.6,112970
2024-06-26 00:00:00+05:30,42.16,43.0,41.0,41.53,362012
2024-06-27 00:00:00+05:30,41.68,44.0,41.0,42.17,315058
2024-06-28 00:00:00+05:30,42.9,43.95,41.54,41.99,141585
2024-07-01 00:00:00+05:30,42.65,44.2,41.99,44.0,311449
2024-07-02 00:00:00+05:30,44.3,45.3,42.56,43.1,332572
2024-07-03 00:00:00+05:30,43.6,44.38,42.6,43.2,76117
2024-07-04 00:00:00+05:30,43.2,51.0,42.9,48.35,2861853
2024-07-05 00:00:00+05:30,48.77,52.98,47.3,49.74,1138774
2024-07-08 00:00:00+05:30,50.4,51.85,50.06,51.21,335263
2024-07-09 00:00:00+05:30,51.79,51.79,49.25,50.07,194554
2024-07-10 00:00:00+05:30,50.5,50.5,46.31,48.03,193528
2024-07-11 00:00:00+05:30,48.55,54.9,48.32,49.7,652689
2024-07-12 00:00:00+05:30,50.98,59.64,50.98,57.05,3393810
2024-07-15 00:00:00+05:30,59.0,65.31,59.0,62.49,3057666
2024-07-16 00:00:00+05:30,62.0,62.75,58.2,61.64,669665
2024-07-18 00:00:00+05:30,62.9,62.9,58.55,58.6,148567
2024-07-19 00:00:00+05:30,58.55,58.55,55.67,55.67,36831
2024-07-22 00:00:00+05:30,55.5,58.45,52.88,55.69,73762
2024-07-23 00:00:00+05:30,57.8,57.8,52.9,53.35,52784
2024-07-24 00:00:00+05:30,55.0,55.0,50.7,53.31,38068
2024-07-25 00:00:00+05:30,53.1,54.95,51.15,53.9,29334
2024-07-26 00:00:00+05:30,54.55,54.55,52.0,53.58,32980
2024-07-29 00:00:00+05:30,54.38,56.2,53.1,55.82,71693
2024-07-30 00:00:00+05:30,56.85,58.6,55.0,56.97,80126
2024-07-31 00:00:00+05:30,58.9,59.05,56.12,56.98,31619
2024-08-01 00:00:00+05:30,58.53,58.53,54.5,55.23,37678
2024-08-02 00:00:00+05:30,55.05,55.99,53.15,55.81,58488
2024-08-05 00:00:00+05:30,53.1,55.35,53.01,53.69,58810
2024-08-06 00:00:00+05:30,56.37,56.37,51.0,51.89,28332
2024-08-07 00:00:00+05:30,52.0,54.48,52.0,52.64,18875
2024-08-08 00:00:00+05:30,52.1,54.9,51.5,52.62,28378
2024-08-09 00:00:00+05:30,54.2,54.2,52.63,53.51,27120
2024-08-12 00:00:00+05:30,50.83,53.75,50.83,52.6,22210
2024-08-13 00:00:00+05:30,52.0,53.4,50.01,51.14,31916
2024-08-14 00:00:00+05:30,51.96,51.97,48.9,49.65,24981
2024-08-16 00:00:00+05:30,50.0,52.13,50.0,51.98,35432
2024-08-19 00:00:00+05:30,52.05,54.57,52.05,54.56,51360
2024-08-20 00:00:00+05:30,54.65,55.95,53.15,53.53,26784
2024-08-21 00:00:00+05:30,53.53,55.04,52.0,53.87,14075
2024-08-22 00:00:00+05:30,54.0,55.8,53.06,53.84,20734
2024-08-23 00:00:00+05:30,54.45,54.8,51.35,53.2,27975
2024-08-26 00:00:00+05:30,54.27,55.86,52.55,55.86,64864
2024-08-27 00:00:00+05:30,57.0,58.65,56.1,57.15,40637
2024-08-28 00:00:00+05:30,59.0,59.0,56.2,56.44,30028
2024-08-29 00:00:00+05:30,56.44,58.8,55.0,55.15,25621
2024-08-30 00:00:00+05:30,57.3,57.3,54.5,55.24,12393
2024-09-02 00:00:00+05:30,55.39,57.0,53.0,53.61,29738
2024-09-03 00:00:00+05:30,54.89,55.4,52.57,54.68,17247
2024-09-04 00:00:00+05:30,54.0,54.7,53.6,54.09,23310
2024-09-05 00:00:00+05:30,54.94,54.98,52.2,54.65,46457
2024-09-06 00:00:00+05:30,54.99,55.0,53.1,54.36,33405
2024-09-09 00:00:00+05:30,54.45,54.99,51.7,53.08,30883
2024-09-10 00:00:00+05:30,53.08,54.42,52.0,52.06,21789
2024-09-11 00:00:00+05:30,54.0,54.42,52.0,52.57,16115
2024-09-12 00:00:00+05:30,53.0,54.0,52.4,53.12,27785
2024-09-13 00:00:00+05:30,53.12,53.9,52.3,53.25,8362
2024-09-16 00:00:00+05:30,53.95,53.95,52.2,52.93,18702
2024-09-17 00:00:00+05:30,51.55,54.0,51.5,52.96,21728
2024-09-18 00:00:00+05:30,52.5,53.96,51.52,52.07,18164
2024-09-19 00:00:00+05:30,53.89,53.89,49.62,51.79,26842
2024-09-20 00:00:00+05:30,51.99,52.99,49.2,49.81,25977
2024-09-23 00:00:00+05:30,51.0,51.0,49.25,49.86,17252
2024-09-24 00:00:00+05:30,49.05,50.9,47.41,49.73,24105
2024-09-25 00:00:00+05:30,49.73,50.79,48.0,48.6,25702
2024-09-26 00:00:00+05:30,48.6,50.65,48.6,49.81,34067
2024-09-27 00:00:00+05:30,49.5,50.8,48.65,50.0,19158
2024-09-30 00:00:00+05:30,50.0,51.0,49.05,50.65,9485
2024-10-01 00:00:00+05:30,50.65,50.8,49.25,49.68,18290
2024-10-03 00:00:00+05:30,50.0,50.0,48.0,49.14,22058
2024-10-04 00:00:00+05:30,48.21,48.98,47.0,47.38,31503
2024-10-07 00:00:00+05:30,49.39,49.39,45.01,45.28,29499
2024-10-08 00:00:00+05:30,44.83,46.18,44.0,44.88,25686
2024-10-09 00:00:00+05:30,46.85,47.1,45.05,45.95,16561
2024-10-10 00:00:00+05:30,47.85,47.85,46.05,46.9,13339
2024-10-11 00:00:00+05:30,47.89,49.24,46.16,48.96,25324
2024-10-14 00:00:00+05:30,48.96,51.0,47.5,50.81,53692
2024-10-15 00:00:00+05:30,51.5,51.75,49.6,51.01,22132
2024-10-16 00:00:00+05:30,52.0,52.29,50.12,51.82,23532
2024-10-17 00:00:00+05:30,51.82,52.85,51.25,52.27,42024
2024-10-18 00:00:00+05:30,52.27,53.7,51.3,53.36,74271
2024-10-21 00:00:00+05:30,57.0,58.1,52.3,52.74,273733
2024-10-22 00:00:00+05:30,53.4,53.78,45.32,47.07,96428
2024-10-23 00:00:00+05:30,47.8,53.7,47.8,49.99,165140
2024-10-24 00:00:00+05:30,49.62,50.4,48.11,48.62,46166
2024-10-25 00:00:00+05:30,50.5,52.0,46.14,47.5,137303
2024-10-28 00:00:00+05:30,49.9,49.9,45.3,47.56,39667
2024-10-29 00:00:00+05:30,47.7,52.75,47.7,51.73,116295
2024-10-30 00:00:00+05:30,52.69,53.66,50.0,50.82,61724
2024-10-31 00:00:00+05:30,50.15,53.89,48.02,51.05,111884
2024-11-01 00:00:00+05:30,52.4,52.4,51.07,51.37,10011
2024-11-04 00:00:00+05:30,51.95,52.01,49.07,50.74,35023
2024-11-05 00:00:00+05:30,50.75,54.88,48.92,50.86,202553
2024-11-06 00:00:00+05:30,51.5,53.0,50.6,51.75,71973
2024-11-07 00:00:00+05:30,52.35,52.49,50.5,50.69,21406
2024-11-08 00:00:00+05:30,51.69,51.74,48.55,48.97,25348
2024-11-11 00:00:00+05:30,48.05,50.9,48.05,49.87,73860
2024-11-12 00:00:00+05:30,50.6,50.6,49.5,49.68,20150
2024-11-13 00:00:00+05:30,49.11,50.9,48.0,48.86,71707
2024-11-14 00:00:00+05:30,47.6,50.89,47.6,50.11,78769
2024-11-18 00:00:00+05:30,50.84,52.4,49.6,50.04,74382
2024-11-19 00:00:00+05:30,49.38,54.5,48.81,52.74,441712
2024-11-21 00:00:00+05:30,51.01,53.37,51.01,52.43,105258
2024-11-22 00:00:00+05:30,53.0,53.63,51.31,51.72,42210
2024-11-25 00:00:00+05:30,53.42,54.0,51.95,53.06,64973
2024-11-26 00:00:00+05:30,53.26,63.67,53.02,63.53,1689652
2024-11-27 00:00:00+05:30,64.0,66.4,60.87,63.36,1347378
2024-11-28 00:00:00+05:30,63.0,68.39,60.22,66.21,1303109
2024-11-29 00:00:00+05:30,66.5,69.83,64.5,65.24,740326
2024-12-02 00:00:00+05:30,65.24,69.0,63.55,65.85,567082
2024-12-03 00:00:00+05:30,66.9,67.0,63.1,63.98,216812
2024-12-04 00:00:00+05:30,63.5,65.09,61.5,62.48,138009
2024-12-05 00:00:00+05:30,63.0,64.08,60.25,61.11,106309
2024-12-06 00:00:00+05:30,60.99,65.69,60.3,65.13,275385
2024-12-09 00:00:00+05:30,65.5,68.01,65.14,66.26,187747
2024-12-10 00:00:00+05:30,67.0,67.4,63.1,65.23,140469
2024-12-11 00:00:00+05:30,67.0,67.34,63.15,64.12,174911
2024-12-12 00:00:00+05:30,64.74,66.39,63.65,64.07,138049
2024-12-13 00:00:00+05:30,64.5,66.16,63.15,65.3,144619
2024-12-16 00:00:00+05:30,66.64,74.3,66.64,72.65,1378811
2024-12-17 00:00:00+05:30,73.3,76.49,68.61,70.57,710608
2024-12-18 00:00:00+05:30,70.99,73.26,68.1,69.63,387662
2024-12-19 00:00:00+05:30,68.55,70.5,66.82,68.4,206230
2024-12-20 00:00:00+05:30,69.0,71.9,68.15,70.32,428107
2024-12-23 00:00:00+05:30,71.3,71.65,67.76,68.09,200380
2024-12-24 00:00:00+05:30,67.15,69.98,67.15,67.93,148816
2024-12-26 00:00:00+05:30,68.95,69.29,67.75,68.08,101920
