date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,699.45,708.0,680.2,685.2,37837
2024-06-04 00:00:00+05:30,685.2,689.1,639.55,666.45,64968
2024-06-05 00:00:00+05:30,655.25,739.85,655.25,710.15,63901
2024-06-06 00:00:00+05:30,715.15,726.5,704.25,715.75,49158
2024-06-07 00:00:00+05:30,727.7,729.0,715.05,725.2,34713
2024-06-10 00:00:00+05:30,725.0,742.55,720.6,732.2,62695
2024-06-11 00:00:00+05:30,738.0,758.8,727.0,748.45,61200
2024-06-12 00:00:00+05:30,751.55,759.9,744.0,753.05,62355
2024-06-13 00:00:00+05:30,746.2,764.3,746.2,756.65,42973
2024-06-14 00:00:00+05:30,752.2,762.9,749.8,750.1,26664
2024-06-18 00:00:00+05:30,750.1,777.0,750.0,764.5,69349
2024-06-19 00:00:00+05:30,768.35,776.45,748.05,758.8,37272
2024-06-20 00:00:00+05:30,759.0,764.75,750.0,758.8,26842
2024-06-21 00:00:00+05:30,758.2,767.95,748.0,750.95,19757
2024-06-24 00:00:00+05:30,751.2,767.0,751.2,755.6,21923
2024-06-25 00:00:00+05:30,758.7,763.7,750.0,750.2,20504
2024-06-26 00:00:00+05:30,751.0,772.6,742.9,756.1,54414
2024-06-27 00:00:00+05:30,752.2,760.85,749.05,750.35,55921
2024-06-28 00:00:00+05:30,754.15,758.0,745.0,749.5,123042
2024-07-01 00:00:00+05:30,749.95,825.15,746.2,786.35,291771
2024-07-02 00:00:00+05:30,787.0,800.0,773.95,782.05,66184
2024-07-03 00:00:00+05:30,785.95,787.7,765.0,769.7,27683
2024-07-04 00:00:00+05:30,773.8,797.15,769.8,790.6,58220
2024-07-05 00:00:00+05:30,792.0,793.95,782.55,788.55,41143
2024-07-08 00:00:00+05:30,788.55,795.4,777.9,785.75,103619
2024-07-09 00:00:00+05:30,782.9,787.35,770.0,775.05,27091
2024-07-10 00:00:00+05:30,778.95,790.0,762.0,769.15,42550
2024-07-11 00:00:00+05:30,765.1,774.6,756.6,760.05,16239
2024-07-12 00:00:00+05:30,760.25,773.85,750.0,752.4,33524
2024-07-15 00:00:00+05:30,752.4,752.9,737.0,744.4,22997
2024-07-16 00:00:00+05:30,746.85,747.95,738.9,742.95,12904
2024-07-18 00:00:00+05:30,740.0,745.0,724.95,737.7,31184
2024-07-19 00:00:00+05:30,745.0,755.95,731.95,738.5,34825
2024-07-22 00:00:00+05:30,727.0,744.0,727.0,739.05,30503
2024-07-23 00:00:00+05:30,739.05,753.2,720.0,746.85,39395
2024-07-24 00:00:00+05:30,750.0,770.0,750.0,767.35,26020
