date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,48.1,49.8,46.85,48.35,14445
2024-06-04 00:00:00+05:30,49.1,49.1,44.0,45.95,18094
2024-06-05 00:00:00+05:30,46.7,46.9,41.6,44.3,21648
2024-06-06 00:00:00+05:30,46.3,47.85,44.35,47.65,14258
2024-06-07 00:00:00+05:30,48.9,49.75,47.9,49.1,8642
2024-06-10 00:00:00+05:30,50.0,50.0,48.2,48.83,8431
2024-06-11 00:00:00+05:30,49.22,49.8,48.0,48.84,8369
2024-06-12 00:00:00+05:30,48.83,49.8,47.6,47.74,24025
2024-06-13 00:00:00+05:30,47.6,49.46,47.41,48.08,6846
2024-06-14 00:00:00+05:30,50.4,52.88,48.12,52.88,73690
2024-06-18 00:00:00+05:30,57.92,57.92,53.15,53.54,112656
2024-06-19 00:00:00+05:30,53.98,56.59,52.55,52.83,53796
2024-06-20 00:00:00+05:30,53.26,54.97,51.49,53.07,68083
2024-06-21 00:00:00+05:30,54.99,55.78,51.6,51.98,41298
2024-06-24 00:00:00+05:30,50.45,52.0,49.8,50.83,38714
2024-06-25 00:00:00+05:30,51.48,53.19,50.25,52.82,45106
2024-06-26 00:00:00+05:30,53.99,53.99,52.0,52.88,7837
2024-06-27 00:00:00+05:30,52.75,52.88,51.02,51.76,16622
2024-06-28 00:00:00+05:30,51.9,53.05,49.3,50.25,50614
2024-07-01 00:00:00+05:30,50.0,53.51,49.81,51.25,31338
2024-07-02 00:00:00+05:30,51.35,52.47,50.33,51.06,11644
2024-07-03 00:00:00+05:30,51.98,53.35,50.26,51.92,50520
2024-07-04 00:00:00+05:30,51.6,52.8,51.12,51.65,12337
2024-07-05 00:00:00+05:30,51.74,52.49,50.51,52.08,30231
2024-07-08 00:00:00+05:30,53.3,57.28,51.48,55.29,194454
2024-07-09 00:00:00+05:30,54.56,58.5,54.56,55.07,144875
2024-07-10 00:00:00+05:30,56.81,60.0,55.07,56.0,169219
2024-07-11 00:00:00+05:30,57.01,61.6,56.16,61.6,404523
2024-07-12 00:00:00+05:30,66.7,67.76,62.2,63.56,385011
2024-07-15 00:00:00+05:30,63.54,69.91,63.5,65.62,550695
2024-07-16 00:00:00+05:30,69.37,72.18,66.5,67.98,340985
2024-07-18 00:00:00+05:30,68.0,74.45,64.92,72.56,258484
2024-07-19 00:00:00+05:30,74.0,74.16,68.94,70.1,126562
2024-07-22 00:00:00+05:30,68.5,71.98,67.53,68.47,59462
2024-07-23 00:00:00+05:30,68.6,69.96,65.04,66.35,48533
2024-07-24 00:00:00+05:30,66.35,68.47,66.35,68.0,30099
2024-07-25 00:00:00+05:30,65.2,71.0,65.0,70.26,11579
2024-07-26 00:00:00+05:30,73.6,73.6,68.05,70.32,15918
2024-07-29 00:00:00+05:30,67.55,70.9,66.8,69.56,36885
2024-07-30 00:00:00+05:30,69.2,69.9,67.05,68.18,7608
2024-07-31 00:00:00+05:30,67.15,71.58,67.1,71.12,42065
2024-08-01 00:00:00+05:30,74.0,74.0,68.15,71.34,10344
2024-08-02 00:00:00+05:30,68.3,73.98,68.06,70.94,11860
2024-08-05 00:00:00+05:30,72.4,72.4,68.0,69.13,51046
2024-08-06 00:00:00+05:30,66.05,71.35,66.05,68.0,8462
2024-08-07 00:00:00+05:30,69.0,69.0,67.0,68.79,3454
2024-08-08 00:00:00+05:30,71.5,71.5,66.1,68.62,12913
2024-08-09 00:00:00+05:30,70.45,70.45,66.1,66.9,6779
2024-08-12 00:00:00+05:30,66.9,68.84,66.85,67.93,13366
2024-08-13 00:00:00+05:30,67.0,68.9,67.0,68.4,9386
2024-08-14 00:00:00+05:30,70.5,70.5,66.0,67.65,7334
2024-08-16 00:00:00+05:30,67.65,70.75,66.0,66.49,16233
2024-08-19 00:00:00+05:30,66.5,68.99,66.5,68.61,5014
2024-08-20 00:00:00+05:30,68.7,71.9,66.45,70.31,13244
2024-08-21 00:00:00+05:30,70.4,73.45,67.3,70.82,21550
2024-08-22 00:00:00+05:30,73.3,73.5,70.0,71.67,17674
2024-08-23 00:00:00+05:30,72.4,73.0,70.6,72.25,11799
2024-08-26 00:00:00+05:30,74.54,75.86,74.54,75.83,93439
2024-08-27 00:00:00+05:30,79.3,79.62,76.7,79.62,46306
2024-08-28 00:00:00+05:30,83.58,83.6,75.9,77.04,102127
2024-08-29 00:00:00+05:30,76.0,80.8,74.3,77.97,41586
2024-08-30 00:00:00+05:30,77.05,81.0,77.0,79.57,35311
2024-09-02 00:00:00+05:30,78.0,80.0,77.1,79.45,15421
2024-09-03 00:00:00+05:30,80.0,81.0,76.0,77.22,27841
2024-09-04 00:00:00+05:30,74.13,78.5,74.13,77.79,9210
2024-09-05 00:00:00+05:30,78.0,81.67,78.0,81.56,44116
2024-09-06 00:00:00+05:30,84.0,85.63,81.56,83.93,65422
2024-09-09 00:00:00+05:30,83.93,88.12,81.0,87.0,63184
2024-09-10 00:00:00+05:30,90.0,91.35,86.0,91.35,35952
2024-09-11 00:00:00+05:30,91.94,95.91,91.94,95.24,48584
2024-09-12 00:00:00+05:30,95.0,95.0,93.33,93.33,8364
2024-09-13 00:00:00+05:30,91.46,91.46,91.46,91.46,3256
2024-09-16 00:00:00+05:30,89.65,89.65,89.63,89.63,3120
2024-09-17 00:00:00+05:30,87.83,87.83,87.83,87.83,1276
2024-09-18 00:00:00+05:30,86.07,86.07,86.07,86.07,5449
2024-09-19 00:00:00+05:30,84.34,84.34,84.34,84.34,1764
2024-09-20 00:00:00+05:30,82.65,82.65,82.65,82.65,11733
2024-09-23 00:00:00+05:30,80.99,80.99,80.99,80.99,5372
2024-09-24 00:00:00+05:30,79.5,80.0,79.5,80.0,13669
2024-09-25 00:00:00+05:30,79.0,80.0,78.4,80.0,12876
2024-09-26 00:00:00+05:30,81.0,81.25,80.98,80.98,6218
2024-09-27 00:00:00+05:30,79.46,80.0,79.36,79.36,5173
2024-09-30 00:00:00+05:30,79.36,79.36,77.77,77.77,2096
2024-10-01 00:00:00+05:30,76.21,76.51,76.21,76.51,5550
2024-10-03 00:00:00+05:30,76.51,76.55,76.51,76.55,11113
2024-10-04 00:00:00+05:30,77.0,78.0,75.1,75.1,6374
2024-10-07 00:00:00+05:30,76.0,76.0,73.7,73.7,8367
2024-10-08 00:00:00+05:30,72.22,72.22,72.22,72.22,2057
2024-10-09 00:00:00+05:30,72.3,73.66,72.3,73.66,2452
2024-10-10 00:00:00+05:30,73.66,74.5,73.66,74.5,913
2024-10-11 00:00:00+05:30,74.5,75.98,74.5,75.98,2265
2024-10-14 00:00:00+05:30,77.49,77.49,77.48,77.49,4493
2024-10-15 00:00:00+05:30,79.03,79.03,79.03,79.03,1376
2024-10-16 00:00:00+05:30,79.1,79.1,77.5,77.5,1559
2024-10-17 00:00:00+05:30,76.0,79.05,76.0,79.05,6648
2024-10-18 00:00:00+05:30,79.05,80.63,79.0,80.49,4981
2024-10-21 00:00:00+05:30,84.51,84.51,80.0,82.8,57255
2024-10-22 00:00:00+05:30,81.15,81.15,78.66,78.94,28671
2024-10-23 00:00:00+05:30,78.0,81.0,78.0,78.82,10946
2024-10-24 00:00:00+05:30,78.8,81.0,76.1,79.27,9151
2024-10-25 00:00:00+05:30,78.5,80.45,75.6,79.4,12978
2024-10-28 00:00:00+05:30,79.4,83.3,75.5,81.55,18784
2024-10-29 00:00:00+05:30,81.9,84.38,80.5,83.54,2693
2024-10-30 00:00:00+05:30,84.0,87.71,82.0,87.71,20508
2024-10-31 00:00:00+05:30,90.7,90.9,87.02,89.38,21533
2024-11-01 00:00:00+05:30,93.84,93.84,92.0,93.84,25897
2024-11-04 00:00:00+05:30,98.53,98.53,96.0,98.53,26532
2024-11-05 00:00:00+05:30,98.5,100.0,98.5,100.0,14125
2024-11-06 00:00:00+05:30,102.0,102.0,102.0,102.0,27653
2024-11-07 00:00:00+05:30,104.04,104.04,104.0,104.04,18301
2024-11-08 00:00:00+05:30,106.12,106.12,106.12,106.12,38934
2024-11-11 00:00:00+05:30,103.99,103.99,103.99,103.99,7194
2024-11-12 00:00:00+05:30,101.91,101.91,101.91,101.91,1810
2024-11-13 00:00:00+05:30,99.87,99.87,99.87,99.87,4003
2024-11-14 00:00:00+05:30,97.87,97.87,97.87,97.87,6575
2024-11-18 00:00:00+05:30,95.91,97.87,95.91,97.0,7419
2024-11-19 00:00:00+05:30,97.0,97.0,96.4,96.5,10728
2024-11-21 00:00:00+05:30,98.43,98.43,98.43,98.43,13989
2024-11-22 00:00:00+05:30,98.45,98.45,97.05,98.25,2282
2024-11-25 00:00:00+05:30,100.2,100.2,99.9,99.9,9856
2024-11-26 00:00:00+05:30,101.89,101.89,101.89,101.89,7489
2024-11-27 00:00:00+05:30,102.5,102.5,102.5,102.5,3906
2024-11-28 00:00:00+05:30,104.55,104.55,104.55,104.55,6929
2024-11-29 00:00:00+05:30,106.64,106.64,106.64,106.64,4819
2024-12-02 00:00:00+05:30,108.77,108.77,108.77,108.77,23285
2024-12-03 00:00:00+05:30,110.94,110.94,110.94,110.94,9410
2024-12-04 00:00:00+05:30,113.15,113.15,110.9,113.15,22829
2024-12-05 00:00:00+05:30,110.88,112.0,110.88,110.88,5161
2024-12-06 00:00:00+05:30,108.66,108.66,108.66,108.66,5556
2024-12-09 00:00:00+05:30,106.5,108.5,106.5,108.0,10437
2024-12-10 00:00:00+05:30,110.16,110.16,110.16,110.16,18307
2024-12-11 00:00:00+05:30,112.0,112.0,110.0,111.1,2880
2024-12-12 00:00:00+05:30,113.32,113.32,113.32,113.32,7700
2024-12-13 00:00:00+05:30,112.99,115.5,111.1,115.5,5350
2024-12-16 00:00:00+05:30,116.9,117.81,116.9,117.81,17652
2024-12-17 00:00:00+05:30,120.0,120.16,120.0,120.16,17478
