date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,37.0,37.05,35.95,36.1,181770
2024-06-04 00:00:00+05:30,36.1,36.45,30.0,32.15,498779
2024-06-05 00:00:00+05:30,32.9,35.3,32.2,34.95,216386
2024-06-06 00:00:00+05:30,35.4,35.8,35.1,35.4,104563
2024-06-07 00:00:00+05:30,35.95,35.95,34.2,35.15,89017
2024-06-10 00:00:00+05:30,35.15,35.5,34.2,35.43,103850
2024-06-11 00:00:00+05:30,35.5,36.0,35.43,35.88,89910
2024-06-12 00:00:00+05:30,35.9,36.69,35.9,36.44,97562
2024-06-13 00:00:00+05:30,36.75,36.99,36.0,36.2,93609
2024-06-14 00:00:00+05:30,36.2,36.9,36.0,36.25,130183
2024-06-18 00:00:00+05:30,36.75,36.9,36.11,36.55,80064
2024-06-19 00:00:00+05:30,36.79,36.89,36.0,36.12,73617
2024-06-20 00:00:00+05:30,36.54,36.78,36.12,36.38,54758
2024-06-21 00:00:00+05:30,36.65,36.78,36.0,36.2,80902
2024-06-24 00:00:00+05:30,36.21,36.58,35.7,35.91,100469
2024-06-25 00:00:00+05:30,35.95,36.18,35.7,35.88,60733
2024-06-26 00:00:00+05:30,35.95,36.4,35.0,36.16,93670
2024-06-27 00:00:00+05:30,36.14,36.14,35.05,35.5,62286
2024-06-28 00:00:00+05:30,35.51,35.99,35.06,35.19,62300
2024-07-01 00:00:00+05:30,35.2,36.0,35.01,35.9,97817
2024-07-02 00:00:00+05:30,35.85,35.85,35.15,35.29,74814
2024-07-03 00:00:00+05:30,35.72,36.6,35.19,35.81,151568
2024-07-04 00:00:00+05:30,35.9,36.0,35.5,35.59,52784
2024-07-05 00:00:00+05:30,35.6,35.98,35.1,35.21,68444
2024-07-08 00:00:00+05:30,35.69,35.94,33.96,34.78,109561
2024-07-09 00:00:00+05:30,35.1,35.44,34.4,34.6,99941
2024-07-10 00:00:00+05:30,34.6,35.19,34.0,34.25,68904
2024-07-11 00:00:00+05:30,34.88,35.0,34.05,34.56,79148
2024-07-12 00:00:00+05:30,34.84,35.0,34.15,34.4,62474
2024-07-15 00:00:00+05:30,34.4,34.94,34.01,34.18,74653
2024-07-16 00:00:00+05:30,34.25,34.78,34.02,34.23,63368
2024-07-18 00:00:00+05:30,34.63,34.63,34.0,34.06,46136
2024-07-19 00:00:00+05:30,34.0,34.06,32.36,33.07,91431
2024-07-22 00:00:00+05:30,32.75,33.44,32.52,32.78,91876
2024-07-23 00:00:00+05:30,32.81,34.41,32.5,33.78,109651
2024-07-24 00:00:00+05:30,34.18,34.2,33.1,33.56,69467
2024-07-25 00:00:00+05:30,33.55,34.0,33.15,33.83,62555
2024-07-26 00:00:00+05:30,33.95,33.95,33.1,33.5,84208
2024-07-29 00:00:00+05:30,34.34,34.34,33.0,33.5,108388
2024-07-30 00:00:00+05:30,34.14,34.14,33.5,33.65,75937
2024-07-31 00:00:00+05:30,34.0,34.19,33.5,33.73,150496
2024-08-01 00:00:00+05:30,34.0,34.0,32.9,33.12,117196
2024-08-02 00:00:00+05:30,33.12,33.32,31.5,33.01,64002
2024-08-05 00:00:00+05:30,32.25,32.93,32.0,32.14,84959
2024-08-06 00:00:00+05:30,32.94,32.94,32.05,32.15,61540
2024-08-07 00:00:00+05:30,32.15,32.7,31.85,32.3,54680
2024-08-08 00:00:00+05:30,32.85,32.85,32.02,32.21,40778
