date,open,high,low,close,volume
2025-05-28 00:00:00+05:30,12.0,12.0,10.0,10.08,267904
2025-05-29 00:00:00+05:30,10.31,10.31,10.05,10.12,193677
2025-05-30 00:00:00+05:30,10.17,10.2,10.03,10.09,290318
2025-06-02 00:00:00+05:30,10.14,10.18,10.0,10.07,362316
2025-06-03 00:00:00+05:30,10.12,10.14,9.99,10.01,257467
2025-06-04 00:00:00+05:30,10.06,10.2,9.97,10.04,182731
2025-06-05 00:00:00+05:30,10.13,10.13,10.0,10.07,220825
2025-06-06 00:00:00+05:30,10.12,10.17,10.02,10.16,197930
2025-06-09 00:00:00+05:30,10.21,10.29,10.17,10.24,222043
2025-06-10 00:00:00+05:30,10.24,10.35,10.22,10.24,216261
2025-06-11 00:00:00+05:30,10.29,10.3,10.22,10.24,259557
2025-06-12 00:00:00+05:30,10.29,10.3,10.13,10.15,248369
2025-06-13 00:00:00+05:30,10.2,10.7,10.01,10.07,321982
2025-06-16 00:00:00+05:30,10.18,10.19,10.04,10.17,253025
2025-06-17 00:00:00+05:30,10.17,10.27,10.11,10.13,108415
2025-06-18 00:00:00+05:30,10.1,10.19,10.07,10.11,178223
2025-06-19 00:00:00+05:30,10.16,10.16,10.06,10.11,161684
2025-06-20 00:00:00+05:30,10.16,10.21,10.08,10.19,198226
2025-06-23 00:00:00+05:30,10.32,10.32,10.11,10.16,157147
2025-06-24 00:00:00+05:30,10.21,10.39,10.17,10.19,175367
2025-06-25 00:00:00+05:30,10.24,10.28,10.19,10.26,226848
2025-06-26 00:00:00+05:30,10.31,10.67,10.26,10.39,236258
2025-06-27 00:00:00+05:30,10.34,10.52,10.34,10.48,248525
2025-06-30 00:00:00+05:30,10.43,10.68,10.4,10.43,1314391
2025-07-01 00:00:00+05:30,10.43,10.54,10.42,10.43,468422
