date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,175.0,177.45,170.0,171.45,17977
2024-06-04 00:00:00+05:30,170.0,173.0,154.3,162.3,33867
2024-06-05 00:00:00+05:30,160.0,166.95,154.5,165.3,25746
2024-06-06 00:00:00+05:30,168.75,175.0,166.05,173.85,15781
2024-06-07 00:00:00+05:30,174.7,178.0,173.5,177.05,13135
2024-06-10 00:00:00+05:30,177.7,189.0,177.08,187.02,54723
2024-06-11 00:00:00+05:30,189.9,194.8,189.0,193.12,58699
2024-06-12 00:00:00+05:30,195.0,198.44,192.55,193.54,33322
2024-06-13 00:00:00+05:30,196.69,200.0,195.13,199.14,37203
2024-06-14 00:00:00+05:30,200.2,204.5,197.35,199.2,51984
2024-06-18 00:00:00+05:30,201.0,205.86,200.05,203.49,46716
2024-06-19 00:00:00+05:30,203.6,206.89,196.05,199.32,56704
2024-06-20 00:00:00+05:30,202.3,202.3,194.66,195.67,38311
2024-06-21 00:00:00+05:30,196.67,198.82,193.81,196.43,20618
2024-06-24 00:00:00+05:30,196.43,197.49,194.12,194.68,21619
2024-06-25 00:00:00+05:30,194.66,198.61,193.85,194.6,20853
2024-06-26 00:00:00+05:30,195.6,206.0,194.88,199.89,70002
2024-06-27 00:00:00+05:30,200.9,209.0,195.0,196.42,65914
2024-06-28 00:00:00+05:30,197.5,204.0,197.5,201.1,21460
2024-07-01 00:00:00+05:30,203.0,208.0,201.99,206.73,62573
2024-07-02 00:00:00+05:30,209.0,214.7,207.0,208.3,82990
2024-07-03 00:00:00+05:30,209.39,209.39,204.0,207.06,29341
2024-07-04 00:00:00+05:30,208.0,209.0,202.0,202.49,37237
2024-07-05 00:00:00+05:30,202.65,203.3,200.31,201.68,15947
2024-07-08 00:00:00+05:30,205.0,205.0,196.55,197.62,14064
2024-07-09 00:00:00+05:30,197.99,201.11,197.0,199.49,11719
2024-07-10 00:00:00+05:30,199.89,201.52,194.37,195.27,26562
2024-07-11 00:00:00+05:30,196.3,200.99,193.81,198.45,16514
2024-07-12 00:00:00+05:30,199.5,199.99,195.85,197.15,14439
2024-07-15 00:00:00+05:30,197.38,197.64,192.45,194.55,11270
2024-07-16 00:00:00+05:30,197.7,198.45,192.8,195.55,19664
2024-07-18 00:00:00+05:30,197.0,197.0,190.0,193.89,18425
2024-07-19 00:00:00+05:30,193.8,196.99,190.11,191.81,14304
2024-07-22 00:00:00+05:30,191.0,196.0,190.0,191.16,8174
2024-07-23 00:00:00+05:30,190.98,194.8,189.5,192.92,15743
2024-07-24 00:00:00+05:30,193.9,199.4,193.0,194.23,16422
2024-07-25 00:00:00+05:30,195.3,205.0,194.42,203.59,51923
2024-07-26 00:00:00+05:30,202.99,204.64,195.46,198.07,45846
2024-07-29 00:00:00+05:30,202.85,202.85,198.72,201.13,14361
2024-07-30 00:00:00+05:30,204.38,208.41,196.25,198.68,40638
2024-07-31 00:00:00+05:30,199.7,204.59,198.16,203.79,38531
2024-08-01 00:00:00+05:30,204.9,205.07,199.0,199.41,17471
2024-08-02 00:00:00+05:30,193.0,198.79,192.9,193.62,26933
2024-08-05 00:00:00+05:30,193.5,193.5,187.0,190.06,19005
2024-08-06 00:00:00+05:30,191.1,195.69,188.0,188.75,23767
2024-08-07 00:00:00+05:30,189.54,194.24,186.51,192.21,12307
2024-08-08 00:00:00+05:30,188.0,192.17,188.0,189.32,19204
2024-08-09 00:00:00+05:30,190.24,190.79,185.5,186.41,14364
2024-08-12 00:00:00+05:30,186.41,189.3,185.4,186.13,8666
2024-08-13 00:00:00+05:30,186.2,188.1,180.8,182.47,7782
2024-08-14 00:00:00+05:30,183.0,190.0,179.92,183.05,18353
2024-08-16 00:00:00+05:30,184.0,185.9,182.5,185.62,12009
2024-08-19 00:00:00+05:30,185.8,186.8,183.0,184.57,9760
2024-08-20 00:00:00+05:30,185.25,189.0,184.36,187.89,21862
2024-08-21 00:00:00+05:30,187.93,191.89,186.77,189.88,24162
2024-08-22 00:00:00+05:30,190.9,193.18,188.8,189.74,19756
2024-08-23 00:00:00+05:30,190.7,196.0,189.79,192.31,21578
2024-08-26 00:00:00+05:30,192.31,195.3,189.8,190.32,10714
2024-08-27 00:00:00+05:30,191.3,193.32,190.01,191.12,11022
2024-08-28 00:00:00+05:30,191.39,193.3,187.0,187.83,18995
2024-08-29 00:00:00+05:30,187.82,190.55,185.0,185.58,11196
2024-08-30 00:00:00+05:30,186.6,188.48,184.0,184.31,9890
2024-09-02 00:00:00+05:30,185.3,188.59,185.0,186.06,8899
2024-09-03 00:00:00+05:30,186.95,188.0,185.3,186.13,11825
2024-09-04 00:00:00+05:30,188.0,188.0,181.5,182.51,19123
2024-09-05 00:00:00+05:30,183.3,191.66,182.85,184.32,41662
2024-09-06 00:00:00+05:30,187.0,187.19,181.4,183.02,11936
2024-09-09 00:00:00+05:30,182.0,185.77,180.0,181.87,15717
2024-09-10 00:00:00+05:30,181.97,184.46,181.0,182.22,21510
2024-09-11 00:00:00+05:30,181.0,184.0,177.2,180.83,27621
2024-09-12 00:00:00+05:30,181.8,182.6,175.35,176.68,23961
2024-09-13 00:00:00+05:30,178.99,182.0,177.29,179.71,11657
2024-09-16 00:00:00+05:30,179.0,182.61,177.57,179.06,11572
2024-09-17 00:00:00+05:30,179.99,180.43,176.85,178.07,11660
2024-09-18 00:00:00+05:30,179.0,180.39,167.82,170.76,34763
2024-09-19 00:00:00+05:30,179.0,179.0,172.53,175.0,19583
2024-09-20 00:00:00+05:30,175.06,181.85,171.0,171.98,20831
2024-09-23 00:00:00+05:30,172.56,175.5,170.82,173.54,17469
2024-09-24 00:00:00+05:30,173.54,178.89,173.0,173.5,14796
2024-09-25 00:00:00+05:30,173.5,175.17,170.5,170.98,21594
2024-09-26 00:00:00+05:30,171.85,180.0,170.98,179.11,26530
2024-09-27 00:00:00+05:30,179.87,181.59,176.43,179.71,22495
2024-09-30 00:00:00+05:30,179.71,184.5,177.25,178.58,21497
2024-10-01 00:00:00+05:30,175.8,185.0,175.8,184.47,16515
2024-10-03 00:00:00+05:30,184.47,187.35,178.38,182.07,44614
2024-10-04 00:00:00+05:30,180.4,189.0,179.0,186.03,27660
2024-10-07 00:00:00+05:30,186.03,189.49,175.5,178.42,28063
2024-10-08 00:00:00+05:30,178.5,187.04,177.01,180.92,45209
2024-10-09 00:00:00+05:30,182.2,184.8,180.0,181.12,22931
2024-10-10 00:00:00+05:30,181.11,182.61,177.1,178.15,17311
2024-10-11 00:00:00+05:30,179.1,180.95,173.41,175.89,14694
2024-10-14 00:00:00+05:30,176.8,179.85,175.25,176.73,11822
2024-10-15 00:00:00+05:30,176.67,179.5,174.05,175.01,9722
2024-10-16 00:00:00+05:30,175.01,179.59,175.0,177.67,5049
2024-10-17 00:00:00+05:30,178.6,179.5,175.31,176.59,6023
2024-10-18 00:00:00+05:30,175.3,178.71,173.71,175.04,7690
2024-10-21 00:00:00+05:30,175.01,176.0,171.0,172.03,7776
2024-10-22 00:00:00+05:30,172.9,176.09,162.0,164.14,33504
2024-10-23 00:00:00+05:30,167.85,170.0,161.35,164.05,11759
2024-10-24 00:00:00+05:30,163.06,170.36,160.5,169.07,18113
2024-10-25 00:00:00+05:30,167.72,168.59,162.92,166.3,7921
2024-10-28 00:00:00+05:30,160.0,173.92,159.34,166.37,13090
2024-10-29 00:00:00+05:30,166.89,168.82,163.84,165.04,6411
2024-10-30 00:00:00+05:30,166.86,171.98,165.1,171.49,5864
2024-10-31 00:00:00+05:30,169.58,171.96,167.07,170.22,2396
