date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,111.6,111.6,108.0,108.85,777500
2024-06-04 00:00:00+05:30,108.85,109.0,103.4,103.4,594251
2024-06-05 00:00:00+05:30,98.25,103.7,98.25,102.0,1591280
2024-06-06 00:00:00+05:30,103.15,107.1,103.0,105.85,1010667
2024-06-07 00:00:00+05:30,108.15,109.65,106.5,107.0,969912
2024-06-10 00:00:00+05:30,109.0,109.0,104.5,105.02,693664
2024-06-11 00:00:00+05:30,106.2,107.12,103.92,104.09,1611897
2024-06-12 00:00:00+05:30,104.16,105.9,102.11,102.95,1748408
2024-06-13 00:00:00+05:30,104.01,104.85,102.84,102.97,1874214
2024-06-14 00:00:00+05:30,103.6,107.11,103.4,103.71,4110130
2024-06-18 00:00:00+05:30,105.95,108.89,105.26,108.89,4582229
2024-06-19 00:00:00+05:30,111.0,114.33,109.0,110.15,4430466
2024-06-20 00:00:00+05:30,112.87,115.65,110.3,115.61,5663634
2024-06-21 00:00:00+05:30,117.0,118.24,110.5,112.18,2866810
2024-06-24 00:00:00+05:30,112.0,113.95,109.06,109.69,1671561
2024-06-25 00:00:00+05:30,110.65,111.8,107.8,108.69,912187
2024-06-26 00:00:00+05:30,108.8,109.4,106.5,106.73,960409
2024-06-27 00:00:00+05:30,106.9,109.47,105.0,105.82,1329029
2024-06-28 00:00:00+05:30,106.7,107.49,105.66,106.95,686354
2024-07-01 00:00:00+05:30,107.5,110.44,104.9,105.08,3111101
2024-07-02 00:00:00+05:30,105.85,109.65,104.51,105.04,3266844
2024-07-03 00:00:00+05:30,105.73,106.49,103.7,104.98,2299485
2024-07-04 00:00:00+05:30,105.3,107.0,103.4,104.47,2651523
2024-07-05 00:00:00+05:30,104.56,109.2,104.2,106.29,4451812
2024-07-08 00:00:00+05:30,107.26,109.2,106.05,107.09,2038831
2024-07-09 00:00:00+05:30,107.9,108.49,106.2,107.16,1419347
2024-07-10 00:00:00+05:30,107.8,107.95,104.0,105.5,1268585
2024-07-11 00:00:00+05:30,106.0,106.48,104.75,104.96,1025198
2024-07-12 00:00:00+05:30,106.0,106.89,104.1,104.54,1332977
2024-07-15 00:00:00+05:30,109.76,109.76,109.76,109.76,1066169
2024-07-16 00:00:00+05:30,115.24,115.24,115.24,115.24,906914
2024-07-18 00:00:00+05:30,114.0,121.0,111.9,121.0,14127739
2024-07-19 00:00:00+05:30,125.39,126.35,114.95,116.79,11182198
2024-07-22 00:00:00+05:30,118.5,118.8,112.7,114.18,3045907
2024-07-23 00:00:00+05:30,114.75,116.3,108.47,111.75,2678812
2024-07-24 00:00:00+05:30,114.89,117.33,113.99,117.33,783370
2024-07-25 00:00:00+05:30,118.5,123.19,118.4,123.19,4940844
2024-07-26 00:00:00+05:30,125.8,128.38,118.92,120.74,5193952
2024-07-29 00:00:00+05:30,124.0,125.39,121.25,122.0,3665351
2024-07-30 00:00:00+05:30,122.19,124.45,119.7,120.13,2683284
2024-07-31 00:00:00+05:30,121.0,121.19,118.87,119.25,1243999
2024-08-01 00:00:00+05:30,119.25,119.94,115.2,115.7,1626545
2024-08-02 00:00:00+05:30,113.02,121.48,112.43,117.1,2658577
2024-08-05 00:00:00+05:30,112.35,114.76,111.24,111.24,2565602
2024-08-06 00:00:00+05:30,111.41,114.9,108.0,108.77,2237064
2024-08-07 00:00:00+05:30,113.0,114.49,109.5,111.32,4634569
2024-08-08 00:00:00+05:30,111.0,115.0,109.8,110.77,5702912
2024-08-09 00:00:00+05:30,113.0,120.4,111.7,112.57,9977864
2024-08-12 00:00:00+05:30,113.0,114.5,109.05,110.37,7571058
2024-08-13 00:00:00+05:30,110.95,112.2,108.5,108.93,2543604
2024-08-14 00:00:00+05:30,109.8,109.9,105.63,106.69,1674028
2024-08-16 00:00:00+05:30,109.89,111.5,107.7,109.07,3493608
2024-08-19 00:00:00+05:30,110.3,111.51,107.4,107.98,2930551
2024-08-20 00:00:00+05:30,108.45,109.39,106.9,107.05,2860729
