date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,25.4,25.4,23.65,24.75,46202
2024-06-04 00:00:00+05:30,24.85,24.85,23.55,23.6,48422
2024-06-05 00:00:00+05:30,24.2,24.2,22.45,23.6,27395
2024-06-06 00:00:00+05:30,23.5,24.75,23.5,24.6,25045
2024-06-07 00:00:00+05:30,24.95,25.5,24.3,25.1,27485
2024-06-10 00:00:00+05:30,26.79,27.0,25.48,25.92,37519
2024-06-11 00:00:00+05:30,26.61,26.89,25.06,26.11,58415
2024-06-12 00:00:00+05:30,26.59,26.68,24.99,25.14,151723
2024-06-13 00:00:00+05:30,25.8,27.15,24.78,26.07,290184
2024-06-14 00:00:00+05:30,26.4,27.0,25.5,26.01,164375
2024-06-18 00:00:00+05:30,26.01,26.49,25.7,25.91,44988
2024-06-19 00:00:00+05:30,26.07,26.17,25.7,25.87,25682
2024-06-20 00:00:00+05:30,25.5,26.33,25.5,25.91,65453
2024-06-21 00:00:00+05:30,26.3,26.3,25.8,25.95,30769
2024-06-24 00:00:00+05:30,26.19,26.9,25.49,25.65,93664
2024-06-25 00:00:00+05:30,26.18,28.21,26.07,27.79,375852
2024-06-26 00:00:00+05:30,27.79,28.9,27.15,27.37,180772
2024-06-27 00:00:00+05:30,27.95,28.0,26.5,26.61,69625
2024-06-28 00:00:00+05:30,27.5,27.5,26.33,26.71,70753
2024-07-01 00:00:00+05:30,26.54,27.14,25.8,26.03,89891
2024-07-02 00:00:00+05:30,26.47,26.47,24.87,25.01,157541
2024-07-03 00:00:00+05:30,25.4,25.9,24.8,24.94,119318
2024-07-04 00:00:00+05:30,24.97,26.35,24.55,25.95,107719
2024-07-05 00:00:00+05:30,26.15,26.19,25.56,25.88,40349
2024-07-08 00:00:00+05:30,25.88,26.35,25.5,25.75,44813
2024-07-09 00:00:00+05:30,26.15,26.75,25.88,26.46,100241
2024-07-10 00:00:00+05:30,26.78,26.78,25.8,26.11,40134
2024-07-11 00:00:00+05:30,26.19,26.42,25.49,25.58,40499
2024-07-12 00:00:00+05:30,25.8,27.7,25.36,26.76,227205
2024-07-15 00:00:00+05:30,26.76,27.0,25.66,26.04,116955
2024-07-16 00:00:00+05:30,26.81,26.81,25.87,26.02,101742
2024-07-18 00:00:00+05:30,26.47,26.47,25.14,25.41,103646
2024-07-19 00:00:00+05:30,25.47,25.73,24.57,24.7,104603
2024-07-22 00:00:00+05:30,25.4,25.45,25.0,25.2,25601
2024-07-23 00:00:00+05:30,26.0,26.0,24.97,25.34,48485
2024-07-24 00:00:00+05:30,25.05,25.9,24.8,25.16,118657
2024-07-25 00:00:00+05:30,25.16,25.72,25.0,25.08,144162
2024-07-26 00:00:00+05:30,25.47,26.2,25.09,25.96,153885
2024-07-29 00:00:00+05:30,25.75,26.45,25.5,25.67,122843
2024-07-30 00:00:00+05:30,25.56,26.35,25.56,26.11,87528
2024-07-31 00:00:00+05:30,26.35,26.35,26.04,26.31,88808
2024-08-01 00:00:00+05:30,26.77,26.77,25.92,26.13,67080
2024-08-02 00:00:00+05:30,26.3,26.47,24.5,25.69,133063
2024-08-05 00:00:00+05:30,25.69,25.94,24.69,24.85,74430
2024-08-06 00:00:00+05:30,25.0,25.41,24.6,24.66,37635
2024-08-07 00:00:00+05:30,26.5,26.5,25.02,25.09,103285
2024-08-08 00:00:00+05:30,25.1,27.32,25.1,26.13,509307
2024-08-09 00:00:00+05:30,26.48,26.57,25.41,25.61,117791
2024-08-12 00:00:00+05:30,25.98,27.34,25.25,26.2,238108
2024-08-13 00:00:00+05:30,26.5,26.5,25.8,25.9,64807
2024-08-14 00:00:00+05:30,25.8,26.2,24.91,25.17,70812
