date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,43.9,43.9,42.0,42.7,4474
2024-06-04 00:00:00+05:30,43.6,43.6,40.6,40.6,3836
2024-06-05 00:00:00+05:30,41.0,41.0,38.6,39.05,4787
2024-06-06 00:00:00+05:30,40.8,40.85,39.45,40.15,3147
2024-06-07 00:00:00+05:30,40.55,41.8,40.55,41.65,3163
2024-06-10 00:00:00+05:30,41.65,45.81,40.8,43.41,28545
2024-06-11 00:00:00+05:30,44.04,44.04,41.91,43.16,3833
2024-06-12 00:00:00+05:30,43.2,43.55,42.01,42.99,3143
2024-06-13 00:00:00+05:30,43.0,43.49,42.5,42.73,2153
2024-06-14 00:00:00+05:30,42.74,42.83,40.56,42.43,4954
2024-06-18 00:00:00+05:30,43.0,44.4,41.0,42.53,3188
2024-06-19 00:00:00+05:30,42.76,42.85,41.12,42.03,1917
2024-06-20 00:00:00+05:30,41.51,42.8,41.51,42.07,1213
2024-06-21 00:00:00+05:30,42.32,43.85,41.73,41.92,4003
2024-06-24 00:00:00+05:30,43.49,43.49,42.0,42.19,1941
2024-06-25 00:00:00+05:30,46.4,46.4,43.49,46.4,25529
2024-06-26 00:00:00+05:30,51.03,51.04,51.03,51.04,18284
2024-06-27 00:00:00+05:30,52.0,55.65,51.16,52.57,109691
2024-06-28 00:00:00+05:30,52.56,52.56,47.31,48.32,36970
2024-07-01 00:00:00+05:30,48.45,49.2,47.0,47.45,17945
2024-07-02 00:00:00+05:30,46.72,48.73,45.02,46.3,12170
2024-07-03 00:00:00+05:30,48.0,48.0,43.56,46.35,5326
2024-07-04 00:00:00+05:30,47.8,50.0,44.4,47.68,11902
2024-07-05 00:00:00+05:30,46.13,48.79,46.13,47.32,3349
2024-07-08 00:00:00+05:30,49.0,49.0,44.36,45.48,10138
2024-07-09 00:00:00+05:30,46.9,46.9,44.55,44.83,7898
2024-07-10 00:00:00+05:30,44.83,46.49,44.23,45.43,5649
2024-07-11 00:00:00+05:30,45.53,47.0,45.0,45.28,3949
2024-07-12 00:00:00+05:30,45.27,45.28,43.82,44.16,13620
2024-07-15 00:00:00+05:30,44.16,45.28,43.02,44.5,5031
2024-07-16 00:00:00+05:30,46.0,46.0,43.26,45.46,3955
2024-07-18 00:00:00+05:30,45.5,46.5,44.72,46.07,2641
2024-07-19 00:00:00+05:30,47.9,47.9,43.45,47.18,11472
2024-07-22 00:00:00+05:30,47.6,47.6,44.2,46.95,2612
2024-07-23 00:00:00+05:30,46.74,48.35,45.15,47.78,5224
2024-07-24 00:00:00+05:30,47.7,51.0,44.53,48.31,4592
