date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,66.1,66.7,64.6,65.7,462706
2024-06-04 00:00:00+05:30,66.0,66.0,53.2,58.1,914076
2024-06-05 00:00:00+05:30,58.95,62.0,56.75,61.3,385183
2024-06-06 00:00:00+05:30,61.65,64.1,61.65,63.3,317648
2024-06-07 00:00:00+05:30,63.75,66.9,63.5,66.35,436936
2024-06-10 00:00:00+05:30,67.35,68.89,66.1,67.12,390610
2024-06-11 00:00:00+05:30,67.59,68.75,67.44,67.89,302523
2024-06-12 00:00:00+05:30,67.89,68.78,66.5,66.84,201818
2024-06-13 00:00:00+05:30,67.5,68.43,65.21,66.54,439469
2024-06-14 00:00:00+05:30,67.4,71.3,66.54,69.31,992345
2024-06-18 00:00:00+05:30,71.0,76.5,69.95,73.82,4031361
2024-06-19 00:00:00+05:30,74.02,75.44,73.0,74.0,1234722
2024-06-20 00:00:00+05:30,74.0,75.58,72.99,74.56,831925
2024-06-21 00:00:00+05:30,74.56,75.9,73.2,73.94,733573
2024-06-24 00:00:00+05:30,72.61,74.5,72.0,73.18,498149
2024-06-25 00:00:00+05:30,73.48,73.9,70.58,70.83,440669
2024-06-26 00:00:00+05:30,71.11,71.8,68.06,70.08,556483
2024-06-27 00:00:00+05:30,70.58,70.63,67.12,68.47,394763
2024-06-28 00:00:00+05:30,68.75,71.2,68.47,70.38,342709
2024-07-01 00:00:00+05:30,70.85,72.69,70.26,72.0,397250
2024-07-02 00:00:00+05:30,72.25,74.8,71.3,73.69,1161244
2024-07-03 00:00:00+05:30,74.09,74.3,71.95,72.6,505663
2024-07-04 00:00:00+05:30,72.99,72.99,70.65,72.24,455349
2024-07-05 00:00:00+05:30,72.5,72.55,70.65,71.83,227338
2024-07-08 00:00:00+05:30,71.09,72.02,68.9,69.71,658053
2024-07-09 00:00:00+05:30,69.99,71.79,69.99,71.55,337440
2024-07-10 00:00:00+05:30,71.55,72.26,67.46,69.21,786200
2024-07-11 00:00:00+05:30,69.59,71.1,69.59,70.47,244233
2024-07-12 00:00:00+05:30,70.82,71.0,68.7,69.12,276776
2024-07-15 00:00:00+05:30,69.57,70.0,67.89,69.29,275465
2024-07-16 00:00:00+05:30,71.29,77.0,71.29,75.36,3548152
2024-07-18 00:00:00+05:30,75.9,79.79,75.6,79.15,3583633
2024-07-19 00:00:00+05:30,82.0,82.5,78.51,81.45,2249670
2024-07-22 00:00:00+05:30,79.1,79.79,75.13,78.54,2030727
2024-07-23 00:00:00+05:30,79.99,79.99,74.5,75.44,1049003
2024-07-24 00:00:00+05:30,75.5,85.9,75.05,82.38,8475255
2024-07-25 00:00:00+05:30,82.0,84.18,78.1,78.69,4185934
2024-07-26 00:00:00+05:30,80.0,84.4,79.06,81.48,2625073
2024-07-29 00:00:00+05:30,82.4,83.0,80.35,80.57,965403
2024-07-30 00:00:00+05:30,81.01,81.89,79.0,79.22,692610
2024-07-31 00:00:00+05:30,79.82,79.99,77.1,77.44,462702
2024-08-01 00:00:00+05:30,78.01,81.85,76.71,79.04,2037568
2024-08-02 00:00:00+05:30,77.41,78.65,76.05,76.55,483080
2024-08-05 00:00:00+05:30,74.0,74.39,70.66,72.25,798142
2024-08-06 00:00:00+05:30,73.7,75.85,70.69,72.26,979532
2024-08-07 00:00:00+05:30,73.02,77.0,72.17,76.21,699395
2024-08-08 00:00:00+05:30,76.87,80.0,75.56,76.77,1126835
2024-08-09 00:00:00+05:30,78.21,78.92,76.3,77.56,259112
2024-08-12 00:00:00+05:30,76.9,77.18,75.05,75.72,285059
2024-08-13 00:00:00+05:30,75.21,77.8,73.37,74.2,263774
2024-08-14 00:00:00+05:30,74.41,74.41,71.63,71.99,420458
2024-08-16 00:00:00+05:30,73.7,75.8,72.99,75.25,805541
2024-08-19 00:00:00+05:30,75.84,77.17,75.59,75.76,236965
2024-08-20 00:00:00+05:30,76.37,79.59,75.8,79.01,854523
2024-08-21 00:00:00+05:30,80.89,85.6,78.01,79.58,5176263
2024-08-22 00:00:00+05:30,80.75,83.99,78.8,80.13,3966659
2024-08-23 00:00:00+05:30,80.13,81.75,78.27,78.59,1248943
2024-08-26 00:00:00+05:30,79.25,81.2,78.52,78.92,833688
2024-08-27 00:00:00+05:30,79.25,82.0,78.83,79.24,700801
2024-08-28 00:00:00+05:30,79.6,81.72,76.52,76.99,2275525
2024-08-29 00:00:00+05:30,77.0,77.77,75.52,75.98,413307
2024-08-30 00:00:00+05:30,76.1,90.88,76.1,88.76,10248575
2024-09-02 00:00:00+05:30,94.09,97.5,91.5,94.79,12303752
2024-09-03 00:00:00+05:30,95.92,96.2,92.58,94.96,3162353
2024-09-04 00:00:00+05:30,93.1,102.99,93.1,101.99,7936331
2024-09-05 00:00:00+05:30,104.02,105.45,100.56,102.16,5692559
2024-09-06 00:00:00+05:30,102.0,103.1,98.5,100.02,1593710
2024-09-09 00:00:00+05:30,100.5,103.0,97.01,101.15,1564397
2024-09-10 00:00:00+05:30,101.95,102.14,98.51,99.43,723972
2024-09-11 00:00:00+05:30,99.59,101.0,95.81,100.04,1205830
2024-09-12 00:00:00+05:30,102.35,108.0,101.68,104.55,2747000
2024-09-13 00:00:00+05:30,106.8,108.0,104.46,106.98,1595543
2024-09-16 00:00:00+05:30,111.56,123.89,109.24,117.44,8015935
2024-09-17 00:00:00+05:30,118.5,118.5,112.25,112.97,1504315
2024-09-18 00:00:00+05:30,113.95,114.59,106.1,108.63,977335
2024-09-19 00:00:00+05:30,108.99,110.99,104.22,110.19,1503842
2024-09-20 00:00:00+05:30,114.0,116.2,109.11,110.47,1690339
2024-09-23 00:00:00+05:30,111.3,112.54,106.05,108.74,546703
2024-09-24 00:00:00+05:30,108.74,110.1,105.89,108.37,603686
2024-09-25 00:00:00+05:30,109.6,114.1,108.21,109.29,1067960
2024-09-26 00:00:00+05:30,109.0,112.0,107.0,108.57,746225
2024-09-27 00:00:00+05:30,108.0,109.5,105.15,106.14,613848
2024-09-30 00:00:00+05:30,106.6,109.0,104.06,108.49,632980
2024-10-01 00:00:00+05:30,110.0,113.0,109.99,111.58,755543
2024-10-03 00:00:00+05:30,108.0,114.9,106.1,109.03,1064938
2024-10-04 00:00:00+05:30,109.0,114.8,106.5,110.06,1164667
2024-10-07 00:00:00+05:30,112.0,112.8,98.5,100.02,1312648
2024-10-08 00:00:00+05:30,99.1,105.05,97.32,104.64,531149
2024-10-09 00:00:00+05:30,106.0,108.2,105.5,106.57,333073
2024-10-10 00:00:00+05:30,106.68,110.1,106.68,108.01,369775
2024-10-11 00:00:00+05:30,110.2,115.88,109.19,111.58,1546284
2024-10-14 00:00:00+05:30,112.05,119.0,110.16,118.24,1392064
2024-10-15 00:00:00+05:30,120.0,121.8,117.45,118.48,1624218
2024-10-16 00:00:00+05:30,117.1,122.33,115.82,119.46,1260655
2024-10-17 00:00:00+05:30,121.25,124.8,116.55,117.51,1565923
2024-10-18 00:00:00+05:30,115.9,119.5,112.55,118.65,1259132
2024-10-21 00:00:00+05:30,119.74,124.0,112.5,117.04,2003832
2024-10-22 00:00:00+05:30,118.45,119.6,107.2,108.44,1380010
2024-10-23 00:00:00+05:30,107.0,113.8,106.16,108.7,741117
2024-10-24 00:00:00+05:30,109.74,110.75,106.0,109.85,642226
2024-10-25 00:00:00+05:30,110.08,110.79,102.03,105.23,694551
2024-10-28 00:00:00+05:30,106.1,110.76,104.61,108.03,717981
2024-10-29 00:00:00+05:30,108.03,109.78,106.0,109.04,385388
2024-10-30 00:00:00+05:30,108.98,112.1,108.36,109.39,319952
2024-10-31 00:00:00+05:30,110.0,112.3,108.62,111.32,269207
2024-11-01 00:00:00+05:30,111.97,114.29,111.0,112.17,183894
2024-11-04 00:00:00+05:30,111.29,111.88,106.92,108.05,526616
2024-11-05 00:00:00+05:30,108.5,113.18,107.19,112.49,614431
2024-11-06 00:00:00+05:30,113.64,117.5,112.62,116.45,1272600
2024-11-07 00:00:00+05:30,116.9,117.6,107.2,110.26,1608198
2024-11-08 00:00:00+05:30,111.0,111.29,106.41,107.74,912072
2024-11-11 00:00:00+05:30,106.6,109.5,105.5,107.54,542165
2024-11-12 00:00:00+05:30,108.5,108.99,102.9,103.37,361514
2024-11-13 00:00:00+05:30,102.1,102.8,97.12,97.92,738314
2024-11-14 00:00:00+05:30,98.85,103.07,98.02,99.36,450255
2024-11-18 00:00:00+05:30,99.0,99.65,95.23,98.19,581063
2024-11-19 00:00:00+05:30,100.0,103.8,99.12,100.28,523319
2024-11-21 00:00:00+05:30,99.75,99.75,96.5,97.39,355076
2024-11-22 00:00:00+05:30,97.49,100.25,96.57,99.34,406279
2024-11-25 00:00:00+05:30,102.0,104.78,100.06,100.82,339907
2024-11-26 00:00:00+05:30,100.5,102.38,100.22,101.37,265807
2024-11-27 00:00:00+05:30,101.0,108.35,100.99,107.47,681194
2024-11-28 00:00:00+05:30,107.98,108.33,105.3,105.95,225936
2024-11-29 00:00:00+05:30,106.51,106.79,104.1,106.02,218785
2024-12-02 00:00:00+05:30,106.11,109.9,106.11,107.83,447032
2024-12-03 00:00:00+05:30,108.68,108.9,106.1,106.83,197610
2024-12-04 00:00:00+05:30,107.34,107.67,105.47,105.93,280298
2024-12-05 00:00:00+05:30,105.6,108.17,104.66,105.28,317015
2024-12-06 00:00:00+05:30,105.35,109.5,105.35,106.38,375521
2024-12-09 00:00:00+05:30,106.75,116.37,105.97,113.2,2798857
2024-12-10 00:00:00+05:30,113.9,114.42,110.55,111.28,528989
2024-12-11 00:00:00+05:30,111.7,114.0,110.62,111.16,528048
2024-12-12 00:00:00+05:30,111.65,112.52,108.4,109.58,323255
2024-12-13 00:00:00+05:30,109.39,112.0,106.06,111.12,445088
2024-12-16 00:00:00+05:30,110.01,115.0,108.1,109.31,819906
2024-12-17 00:00:00+05:30,109.75,110.25,107.05,108.0,322632
2024-12-18 00:00:00+05:30,107.99,108.43,104.01,104.99,457730
2024-12-19 00:00:00+05:30,104.0,104.57,102.67,103.76,272654
2024-12-20 00:00:00+05:30,103.65,104.5,96.26,99.26,521985
2024-12-23 00:00:00+05:30,100.65,102.18,98.25,100.07,360252
2024-12-24 00:00:00+05:30,100.47,100.54,99.01,99.39,132544
2024-12-26 00:00:00+05:30,99.39,101.79,98.75,99.27,171842
2024-12-27 00:00:00+05:30,99.1,102.5,99.1,101.26,122501
2024-12-30 00:00:00+05:30,100.15,101.27,98.01,98.26,201449
2024-12-31 00:00:00+05:30,98.85,99.14,97.27,98.54,136830
2025-01-01 00:00:00+05:30,99.0,109.04,98.66,105.57,1291589
2025-01-02 00:00:00+05:30,105.0,106.21,103.62,103.88,228274
2025-01-03 00:00:00+05:30,103.75,106.2,102.64,103.21,248522
2025-01-06 00:00:00+05:30,103.6,103.6,95.53,96.91,594720
2025-01-07 00:00:00+05:30,97.55,104.7,97.55,102.19,434232
2025-01-08 00:00:00+05:30,101.94,102.0,98.8,100.85,231483
2025-01-09 00:00:00+05:30,100.65,100.65,97.8,98.21,116001
2025-01-10 00:00:00+05:30,98.2,98.7,92.55,93.45,636577
2025-01-13 00:00:00+05:30,92.8,93.01,87.0,87.54,533183
2025-01-14 00:00:00+05:30,89.15,91.25,87.54,90.87,261629
2025-01-15 00:00:00+05:30,91.2,91.79,87.9,89.08,204142
2025-01-16 00:00:00+05:30,90.25,92.0,90.12,90.97,138081
2025-01-17 00:00:00+05:30,90.89,91.39,89.38,90.13,123295
2025-01-20 00:00:00+05:30,90.64,95.39,90.0,94.3,284301
2025-01-21 00:00:00+05:30,94.0,97.59,89.71,90.55,329983
2025-01-22 00:00:00+05:30,91.15,92.64,87.7,89.52,219488
2025-01-23 00:00:00+05:30,90.85,91.49,88.66,90.35,153433
2025-01-24 00:00:00+05:30,90.8,90.84,84.25,85.33,287506
2025-01-27 00:00:00+05:30,84.05,85.5,81.69,84.2,318945
2025-01-28 00:00:00+05:30,85.0,94.01,80.0,90.26,1301950
2025-01-29 00:00:00+05:30,89.0,94.14,89.0,91.01,249762
2025-01-30 00:00:00+05:30,90.0,94.1,89.99,91.49,177746
2025-01-31 00:00:00+05:30,91.49,91.99,88.73,89.21,629785
2025-02-01 00:00:00+05:30,90.25,91.95,89.5,91.95,143228
2025-02-03 00:00:00+05:30,90.4,92.69,87.0,90.35,335836
2025-02-04 00:00:00+05:30,90.86,95.99,90.86,93.1,519307
2025-02-05 00:00:00+05:30,93.6,95.5,93.1,94.01,211974
2025-02-06 00:00:00+05:30,93.45,94.41,93.0,93.31,65763
2025-02-07 00:00:00+05:30,93.31,94.75,91.71,93.39,178888
2025-02-10 00:00:00+05:30,93.84,93.85,84.36,86.11,458234
2025-02-11 00:00:00+05:30,85.0,85.78,80.0,81.79,371063
2025-02-12 00:00:00+05:30,81.09,82.0,76.82,80.38,242368
2025-02-13 00:00:00+05:30,79.0,81.7,79.0,79.61,114412
2025-02-14 00:00:00+05:30,80.15,80.45,74.21,76.33,299511
2025-02-17 00:00:00+05:30,75.95,77.45,73.71,75.08,161288
2025-02-18 00:00:00+05:30,74.68,75.6,70.0,71.18,235714
2025-02-19 00:00:00+05:30,71.18,74.75,70.31,74.0,181486
2025-02-20 00:00:00+05:30,73.4,75.35,72.52,73.9,193458
2025-02-21 00:00:00+05:30,73.95,75.96,72.01,72.49,213506
2025-02-24 00:00:00+05:30,72.49,73.45,70.26,71.21,101781
2025-02-25 00:00:00+05:30,71.3,72.43,68.0,69.49,134428
2025-02-27 00:00:00+05:30,70.11,70.4,66.3,66.59,246310
2025-02-28 00:00:00+05:30,65.85,66.54,63.15,64.42,194055
2025-03-03 00:00:00+05:30,64.42,65.34,58.15,60.36,365880
2025-03-04 00:00:00+05:30,60.09,62.43,58.56,59.5,280829
2025-03-05 00:00:00+05:30,58.8,71.4,58.8,70.65,1205626
2025-03-06 00:00:00+05:30,73.3,73.4,68.86,70.66,905665
2025-03-07 00:00:00+05:30,70.21,70.95,68.9,69.66,235600
2025-03-10 00:00:00+05:30,69.02,70.29,63.75,64.83,380335
2025-03-11 00:00:00+05:30,64.88,66.24,62.25,63.06,272912
2025-03-12 00:00:00+05:30,63.9,65.7,61.81,63.41,271187
2025-03-13 00:00:00+05:30,63.5,74.0,62.2,71.68,1049303
2025-03-17 00:00:00+05:30,71.68,81.0,69.56,73.73,1804896
2025-03-18 00:00:00+05:30,73.01,76.3,73.01,74.72,447460
2025-03-19 00:00:00+05:30,74.99,77.4,74.55,76.29,409285
2025-03-20 00:00:00+05:30,77.33,79.79,74.33,75.71,374422
2025-03-21 00:00:00+05:30,76.75,77.3,72.41,73.0,524624
2025-03-24 00:00:00+05:30,73.7,75.28,70.6,71.39,607140
2025-03-25 00:00:00+05:30,72.15,73.29,68.38,69.08,394929
2025-03-26 00:00:00+05:30,69.75,73.45,68.12,68.58,816541
