date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,325.25,333.0,319.1,327.85,112031
2024-06-04 00:00:00+05:30,332.9,332.9,263.0,288.1,67126
2024-06-05 00:00:00+05:30,296.7,345.0,279.05,316.75,96402
2024-06-06 00:00:00+05:30,319.55,341.0,319.5,335.6,46186
2024-06-07 00:00:00+05:30,336.1,340.5,330.0,333.75,25528
2024-06-10 00:00:00+05:30,334.7,347.4,332.95,341.35,18604
2024-06-11 00:00:00+05:30,346.6,346.7,336.6,338.2,59081
2024-06-12 00:00:00+05:30,341.15,347.5,331.5,334.45,106442
2024-06-13 00:00:00+05:30,337.35,346.5,334.0,343.4,50059
2024-06-14 00:00:00+05:30,339.0,344.0,333.7,340.1,19140
2024-06-18 00:00:00+05:30,339.55,346.4,339.05,344.3,32244
2024-06-19 00:00:00+05:30,345.1,364.0,335.0,347.7,105977
2024-06-20 00:00:00+05:30,350.0,350.9,345.3,348.7,37757
2024-06-21 00:00:00+05:30,351.2,351.2,342.1,345.65,21517
2024-06-24 00:00:00+05:30,342.2,346.4,340.0,341.4,18692
2024-06-25 00:00:00+05:30,342.0,358.0,340.25,341.75,73406
2024-06-26 00:00:00+05:30,343.05,359.85,335.2,340.0,68857
2024-06-27 00:00:00+05:30,339.9,354.8,325.15,339.55,152958
2024-06-28 00:00:00+05:30,337.8,342.55,334.8,338.45,15341
2024-07-01 00:00:00+05:30,338.4,345.0,333.0,335.75,57223
2024-07-02 00:00:00+05:30,338.5,344.0,334.1,336.7,30061
2024-07-03 00:00:00+05:30,338.1,350.0,336.0,345.15,107960
2024-07-04 00:00:00+05:30,354.0,375.5,352.0,364.8,273545
2024-07-05 00:00:00+05:30,366.25,373.45,358.6,363.5,79246
2024-07-08 00:00:00+05:30,367.1,389.0,361.85,368.2,225109
2024-07-09 00:00:00+05:30,369.65,372.5,360.4,364.3,41271
2024-07-10 00:00:00+05:30,364.0,366.0,342.0,356.6,74718
2024-07-11 00:00:00+05:30,359.95,361.0,350.1,353.25,37531
2024-07-12 00:00:00+05:30,357.5,371.0,353.55,365.15,136791
2024-07-15 00:00:00+05:30,369.0,375.3,363.5,370.55,108479
2024-07-16 00:00:00+05:30,375.0,382.85,370.6,372.7,78656
2024-07-18 00:00:00+05:30,373.3,376.95,365.0,369.8,79934
2024-07-19 00:00:00+05:30,369.8,373.9,359.85,365.25,57763
2024-07-22 00:00:00+05:30,351.1,364.8,350.05,363.8,42886
2024-07-23 00:00:00+05:30,362.8,368.75,348.35,353.4,60284
2024-07-24 00:00:00+05:30,353.4,359.85,347.25,351.8,18381
2024-07-25 00:00:00+05:30,351.8,353.65,344.0,344.9,30744
2024-07-26 00:00:00+05:30,345.85,352.4,337.15,340.7,75595
2024-07-29 00:00:00+05:30,344.5,345.75,338.0,339.95,115385
2024-07-30 00:00:00+05:30,339.95,342.0,328.55,329.85,60044
2024-07-31 00:00:00+05:30,328.0,333.9,320.45,321.45,52718
2024-08-01 00:00:00+05:30,327.0,327.9,318.0,325.85,42191
2024-08-02 00:00:00+05:30,325.85,328.1,315.0,319.3,32156
2024-08-05 00:00:00+05:30,320.0,320.0,299.5,301.8,37804
2024-08-06 00:00:00+05:30,308.95,310.25,292.8,300.9,42797
2024-08-07 00:00:00+05:30,307.25,317.15,300.9,316.05,31633
2024-08-08 00:00:00+05:30,317.0,325.5,313.55,324.7,44410
2024-08-09 00:00:00+05:30,324.65,325.25,306.15,324.05,56364
2024-08-12 00:00:00+05:30,316.0,316.0,300.15,303.25,52642
2024-08-13 00:00:00+05:30,298.7,305.0,280.35,283.8,53230
2024-08-14 00:00:00+05:30,283.8,286.8,278.0,281.05,21430
2024-08-16 00:00:00+05:30,284.4,318.7,281.0,307.95,103585
2024-08-19 00:00:00+05:30,310.0,310.1,295.2,298.55,38377
2024-08-20 00:00:00+05:30,303.05,304.95,296.7,299.95,24918
2024-08-21 00:00:00+05:30,299.95,309.9,296.65,307.4,28723
