date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,52.05,52.95,51.0,51.3,95152
2024-06-04 00:00:00+05:30,52.0,52.0,49.25,50.1,30799
2024-06-05 00:00:00+05:30,50.05,51.0,49.15,50.4,30933
2024-06-06 00:00:00+05:30,52.4,54.55,51.0,53.45,45387
2024-06-07 00:00:00+05:30,53.75,54.5,51.0,52.85,68755
2024-06-10 00:00:00+05:30,53.65,53.65,52.1,52.82,10400
2024-06-11 00:00:00+05:30,53.49,53.88,53.05,53.13,13304
2024-06-12 00:00:00+05:30,53.43,57.84,53.21,55.7,157741
2024-06-13 00:00:00+05:30,55.68,58.7,55.1,57.0,104707
2024-06-14 00:00:00+05:30,57.95,58.49,55.81,56.25,58852
2024-06-18 00:00:00+05:30,57.46,61.0,56.11,59.82,462263
2024-06-19 00:00:00+05:30,60.0,61.79,57.25,58.22,141474
2024-06-20 00:00:00+05:30,57.7,59.26,57.3,57.44,32871
2024-06-21 00:00:00+05:30,57.6,59.19,56.75,57.43,53029
2024-06-24 00:00:00+05:30,57.3,58.48,56.56,56.82,41978
2024-06-25 00:00:00+05:30,57.3,58.09,56.16,56.84,43719
2024-06-26 00:00:00+05:30,57.99,60.7,57.03,59.87,149411
2024-06-27 00:00:00+05:30,60.0,61.5,58.5,58.53,92789
2024-06-28 00:00:00+05:30,59.62,59.62,56.05,57.02,33347
2024-07-01 00:00:00+05:30,57.0,61.5,56.51,60.09,239453
2024-07-02 00:00:00+05:30,60.98,61.09,58.6,59.54,79183
2024-07-03 00:00:00+05:30,59.54,60.41,58.67,59.08,59096
2024-07-04 00:00:00+05:30,58.76,60.8,58.13,60.13,54691
2024-07-05 00:00:00+05:30,59.14,62.0,59.14,60.27,166933
2024-07-08 00:00:00+05:30,60.2,62.4,59.21,60.92,148667
2024-07-09 00:00:00+05:30,62.4,62.4,60.17,61.05,64411
2024-07-10 00:00:00+05:30,61.05,61.6,57.51,60.41,112481
2024-07-11 00:00:00+05:30,61.5,61.75,60.24,60.98,116255
