date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,590.0,602.45,561.35,567.25,122758
2024-06-04 00:00:00+05:30,567.0,567.0,485.5,496.3,238525
2024-06-05 00:00:00+05:30,515.0,580.0,500.05,560.2,243183
2024-06-06 00:00:00+05:30,566.9,577.9,554.95,559.6,101310
2024-06-07 00:00:00+05:30,559.6,619.95,555.2,604.9,298365
2024-06-10 00:00:00+05:30,614.0,626.65,590.0,591.55,145325
2024-06-11 00:00:00+05:30,593.8,608.4,580.55,593.2,74273
2024-06-12 00:00:00+05:30,590.1,598.5,570.0,573.7,79219
2024-06-13 00:00:00+05:30,575.8,576.8,561.75,568.65,70140
2024-06-14 00:00:00+05:30,572.95,599.0,569.0,577.05,129057
2024-06-18 00:00:00+05:30,579.2,598.4,556.55,560.2,119404
2024-06-19 00:00:00+05:30,564.65,573.85,542.1,560.8,134054
2024-06-20 00:00:00+05:30,562.2,581.3,560.85,568.6,42488
2024-06-21 00:00:00+05:30,575.6,575.6,550.0,552.3,56505
2024-06-24 00:00:00+05:30,546.5,560.2,540.9,551.75,31048
2024-06-25 00:00:00+05:30,552.05,559.0,529.65,536.9,72641
2024-06-26 00:00:00+05:30,533.8,568.7,530.25,552.35,97522
2024-06-27 00:00:00+05:30,555.3,564.5,538.9,546.55,42088
2024-06-28 00:00:00+05:30,544.0,570.0,542.0,562.9,62685
2024-07-01 00:00:00+05:30,580.0,584.8,564.3,567.45,59900
2024-07-02 00:00:00+05:30,569.2,575.25,554.95,559.45,35772
2024-07-03 00:00:00+05:30,567.85,604.95,565.0,583.95,215104
2024-07-04 00:00:00+05:30,580.1,594.95,570.65,574.7,77387
2024-07-05 00:00:00+05:30,574.7,614.75,572.9,600.9,135596
2024-07-08 00:00:00+05:30,603.0,603.1,585.45,591.3,57692
2024-07-09 00:00:00+05:30,595.25,598.0,568.95,575.2,59361
2024-07-10 00:00:00+05:30,575.0,584.35,549.1,572.05,79123
2024-07-11 00:00:00+05:30,579.4,599.0,577.65,580.85,56448
2024-07-12 00:00:00+05:30,580.85,590.45,566.1,569.0,38986
2024-07-15 00:00:00+05:30,576.95,583.0,555.0,560.9,33901
2024-07-16 00:00:00+05:30,563.65,584.0,557.0,565.75,52487
2024-07-18 00:00:00+05:30,567.0,575.0,552.1,557.55,26792
2024-07-19 00:00:00+05:30,558.8,562.75,541.0,554.6,50382
2024-07-22 00:00:00+05:30,553.0,570.5,545.0,567.95,39430
2024-07-23 00:00:00+05:30,567.9,599.95,561.4,595.55,164619
2024-07-24 00:00:00+05:30,594.65,698.0,594.65,665.5,1203345
2024-07-25 00:00:00+05:30,665.5,665.5,645.0,650.4,110951
2024-07-26 00:00:00+05:30,660.0,681.0,634.95,646.0,149710
2024-07-29 00:00:00+05:30,652.0,681.2,638.3,666.05,146772
2024-07-30 00:00:00+05:30,666.1,733.0,647.3,717.2,330059
2024-07-31 00:00:00+05:30,727.05,793.0,727.05,743.1,704766
2024-08-01 00:00:00+05:30,746.75,773.25,729.05,733.7,139594
2024-08-02 00:00:00+05:30,728.0,795.0,719.3,786.1,289254
2024-08-05 00:00:00+05:30,850.0,943.3,835.05,943.3,1823114
2024-08-06 00:00:00+05:30,995.0,1027.0,849.0,849.0,2008823
2024-08-07 00:00:00+05:30,848.0,850.1,793.6,832.85,495433
2024-08-08 00:00:00+05:30,839.0,884.8,802.35,810.2,408861
2024-08-09 00:00:00+05:30,840.0,891.2,837.0,854.95,630431
2024-08-12 00:00:00+05:30,853.0,938.0,852.05,908.0,347827
