date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,52.95,55.0,52.6,53.8,9528
2024-06-04 00:00:00+05:30,52.4,54.9,52.0,53.8,1053
2024-06-05 00:00:00+05:30,53.85,56.0,53.45,54.95,969
2024-06-06 00:00:00+05:30,55.0,57.65,55.0,57.65,3977
2024-06-07 00:00:00+05:30,63.2,63.4,58.9,60.55,6226
2024-06-10 00:00:00+05:30,62.58,66.59,61.21,63.38,12358
2024-06-11 00:00:00+05:30,68.0,69.71,63.56,69.67,55538
2024-06-12 00:00:00+05:30,65.36,69.0,65.36,67.44,17943
2024-06-13 00:00:00+05:30,69.7,69.7,64.0,65.62,8670
2024-06-14 00:00:00+05:30,65.62,68.58,63.81,65.25,12805
2024-06-18 00:00:00+05:30,66.7,66.7,61.06,62.8,13893
2024-06-19 00:00:00+05:30,62.8,68.0,62.8,65.42,21222
2024-06-20 00:00:00+05:30,66.73,69.35,66.0,66.52,7004
2024-06-21 00:00:00+05:30,65.19,69.33,65.0,67.24,11809
2024-06-24 00:00:00+05:30,67.0,68.49,64.02,66.22,28684
2024-06-25 00:00:00+05:30,66.23,68.5,62.03,63.82,13008
2024-06-26 00:00:00+05:30,64.17,65.68,62.02,62.77,8294
2024-06-27 00:00:00+05:30,62.38,63.61,61.0,61.1,9020
2024-06-28 00:00:00+05:30,62.49,65.98,60.4,63.7,35698
2024-07-01 00:00:00+05:30,69.8,69.8,63.2,64.0,37118
2024-07-02 00:00:00+05:30,66.5,66.5,58.21,61.86,35814
2024-07-03 00:00:00+05:30,60.99,63.79,60.99,62.13,22748
2024-07-04 00:00:00+05:30,63.62,66.97,62.74,64.58,21146
2024-07-05 00:00:00+05:30,63.29,66.8,63.29,65.09,43368
2024-07-08 00:00:00+05:30,63.02,67.64,63.0,65.19,26027
2024-07-09 00:00:00+05:30,63.05,71.7,63.05,67.47,100929
2024-07-10 00:00:00+05:30,69.4,69.57,65.69,68.41,11512
2024-07-11 00:00:00+05:30,68.0,69.94,67.0,69.55,22673
2024-07-12 00:00:00+05:30,69.4,70.0,66.54,69.12,26465
2024-07-15 00:00:00+05:30,68.0,70.53,66.25,66.81,31520
2024-07-16 00:00:00+05:30,67.95,70.0,66.68,67.51,9429
2024-07-18 00:00:00+05:30,66.16,68.01,63.37,64.67,26202
2024-07-19 00:00:00+05:30,66.0,71.13,66.0,71.13,101894
2024-07-22 00:00:00+05:30,73.99,73.99,67.0,67.79,61932
2024-07-23 00:00:00+05:30,67.79,68.42,64.08,65.11,39969
2024-07-24 00:00:00+05:30,66.89,70.99,65.08,68.61,40677
2024-07-25 00:00:00+05:30,66.3,70.79,66.3,68.71,30250
2024-07-26 00:00:00+05:30,69.97,71.6,68.0,68.82,29797
2024-07-29 00:00:00+05:30,69.1,71.02,66.06,67.17,17885
2024-07-30 00:00:00+05:30,66.7,68.52,66.7,67.08,7907
2024-07-31 00:00:00+05:30,66.88,67.98,65.04,66.05,13322
2024-08-01 00:00:00+05:30,66.28,66.28,64.22,65.08,15907
2024-08-02 00:00:00+05:30,63.4,66.76,63.4,65.16,17683
2024-08-05 00:00:00+05:30,65.67,65.67,61.11,63.34,27073
2024-08-06 00:00:00+05:30,65.0,65.25,62.51,63.98,28921
2024-08-07 00:00:00+05:30,66.25,76.77,63.5,76.77,89313
2024-08-08 00:00:00+05:30,85.98,92.12,81.0,92.12,296940
2024-08-09 00:00:00+05:30,92.0,97.7,82.9,82.9,267167
2024-08-12 00:00:00+05:30,81.0,81.0,74.61,74.61,29528
2024-08-13 00:00:00+05:30,67.3,70.7,67.14,67.27,74787
2024-08-14 00:00:00+05:30,68.89,70.62,67.0,68.27,5591
2024-08-16 00:00:00+05:30,66.7,70.0,66.7,67.94,1359
2024-08-19 00:00:00+05:30,67.0,69.99,64.75,69.79,6690
2024-08-20 00:00:00+05:30,70.1,70.1,66.71,67.15,2547
2024-08-21 00:00:00+05:30,67.36,68.0,66.0,66.6,2370
2024-08-22 00:00:00+05:30,68.1,69.93,67.0,67.37,4001
2024-08-23 00:00:00+05:30,67.0,69.99,66.0,66.32,3944
2024-08-26 00:00:00+05:30,66.0,69.0,66.0,67.73,1902
2024-08-27 00:00:00+05:30,67.0,68.06,66.01,67.85,1681
2024-08-28 00:00:00+05:30,66.8,69.49,65.02,68.91,2017
2024-08-29 00:00:00+05:30,68.9,68.9,67.0,67.37,713
2024-08-30 00:00:00+05:30,68.9,69.0,66.5,68.7,3986
2024-09-02 00:00:00+05:30,68.0,69.0,65.31,66.1,1523
2024-09-03 00:00:00+05:30,68.99,69.4,67.1,67.77,3264
2024-09-04 00:00:00+05:30,66.41,68.77,64.61,68.45,9181
2024-09-05 00:00:00+05:30,66.74,68.0,65.5,66.26,4388
2024-09-06 00:00:00+05:30,66.26,66.26,65.01,65.51,2402
2024-09-09 00:00:00+05:30,64.2,65.99,62.23,64.7,9767
2024-09-10 00:00:00+05:30,63.54,65.85,62.7,64.99,1715
2024-09-11 00:00:00+05:30,64.99,64.99,62.7,64.92,2217
2024-09-12 00:00:00+05:30,64.9,64.9,61.67,64.0,7501
2024-09-13 00:00:00+05:30,65.1,65.1,62.0,64.57,4019
2024-09-16 00:00:00+05:30,66.19,66.19,64.0,64.0,2157
2024-09-17 00:00:00+05:30,66.2,66.2,64.0,64.1,1079
2024-09-18 00:00:00+05:30,64.0,64.1,64.0,64.0,1052
2024-09-19 00:00:00+05:30,64.0,64.5,61.0,61.6,4113
