date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,460.0,460.0,438.5,441.75,262603
2024-06-04 00:00:00+05:30,440.5,444.7,384.6,411.95,381768
2024-06-05 00:00:00+05:30,425.0,450.0,405.1,446.65,208610
2024-06-06 00:00:00+05:30,447.0,463.3,447.0,460.3,298039
2024-06-07 00:00:00+05:30,460.3,470.95,455.75,468.95,145993
2024-06-10 00:00:00+05:30,472.0,482.75,467.35,471.15,207242
2024-06-11 00:00:00+05:30,471.15,487.05,471.15,473.15,199804
2024-06-12 00:00:00+05:30,474.45,478.0,468.4,469.9,183892
2024-06-13 00:00:00+05:30,472.15,487.5,471.1,481.0,194010
2024-06-14 00:00:00+05:30,483.0,488.75,477.0,478.55,187605
2024-06-18 00:00:00+05:30,485.75,487.0,473.0,480.5,569577
2024-06-19 00:00:00+05:30,485.0,502.5,482.45,485.55,830845
2024-06-20 00:00:00+05:30,491.7,496.25,484.6,491.9,262802
2024-06-21 00:00:00+05:30,496.95,534.95,496.25,512.6,1559919
2024-06-24 00:00:00+05:30,510.0,525.0,501.35,513.7,341037
2024-06-25 00:00:00+05:30,514.1,529.8,511.0,523.5,473080
2024-06-26 00:00:00+05:30,526.0,553.25,509.65,543.75,3293193
2024-06-27 00:00:00+05:30,559.8,559.8,509.0,520.25,5252562
2024-06-28 00:00:00+05:30,524.0,528.0,513.5,515.5,922237
2024-07-01 00:00:00+05:30,520.0,528.3,510.0,514.25,494962
2024-07-02 00:00:00+05:30,517.2,525.0,508.05,515.85,457646
2024-07-03 00:00:00+05:30,517.2,531.5,516.65,525.65,670971
2024-07-04 00:00:00+05:30,528.2,541.3,521.05,534.35,1612751
2024-07-05 00:00:00+05:30,534.6,541.2,528.5,532.8,928286
2024-07-08 00:00:00+05:30,531.95,540.0,523.0,524.4,373187
2024-07-09 00:00:00+05:30,525.75,533.0,516.65,519.25,320783
2024-07-10 00:00:00+05:30,519.25,526.95,502.55,512.7,427745
2024-07-11 00:00:00+05:30,510.7,524.4,510.7,519.0,906048
2024-07-12 00:00:00+05:30,522.0,522.0,506.2,509.45,517800
2024-07-15 00:00:00+05:30,506.5,524.7,499.3,509.8,356844
2024-07-16 00:00:00+05:30,514.0,516.3,503.0,504.3,234465
2024-07-18 00:00:00+05:30,504.3,511.0,494.8,497.15,322907
