date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,366.0,387.5,355.0,383.5,492872
2024-06-04 00:00:00+05:30,383.6,383.6,316.85,334.0,381759
2024-06-05 00:00:00+05:30,335.5,350.0,321.2,339.45,163971
2024-06-06 00:00:00+05:30,344.0,356.25,341.05,347.15,102415
2024-06-07 00:00:00+05:30,350.0,357.95,348.1,354.3,111312
2024-06-10 00:00:00+05:30,366.0,366.0,354.75,357.7,105605
2024-06-11 00:00:00+05:30,361.6,395.0,360.25,388.6,478792
2024-06-12 00:00:00+05:30,391.7,407.0,391.55,403.45,391204
2024-06-13 00:00:00+05:30,415.0,418.0,402.85,412.45,448565
2024-06-14 00:00:00+05:30,412.45,422.0,407.05,419.95,340003
2024-06-18 00:00:00+05:30,421.4,422.1,397.6,399.95,313585
2024-06-19 00:00:00+05:30,400.7,401.85,382.85,387.2,144014
2024-06-20 00:00:00+05:30,382.1,418.9,382.1,405.45,425635
2024-06-21 00:00:00+05:30,407.0,419.0,398.0,410.5,307597
2024-06-24 00:00:00+05:30,416.6,416.6,404.3,408.85,149878
2024-06-25 00:00:00+05:30,410.75,453.35,402.0,426.15,900599
2024-06-26 00:00:00+05:30,434.0,442.5,427.65,428.7,386809
2024-06-27 00:00:00+05:30,430.0,434.9,406.1,410.1,221776
2024-06-28 00:00:00+05:30,412.9,421.2,403.7,406.1,119300
2024-07-01 00:00:00+05:30,409.8,428.7,409.8,418.3,166711
2024-07-02 00:00:00+05:30,420.45,422.85,412.25,414.8,142838
2024-07-03 00:00:00+05:30,417.25,435.0,417.25,424.7,296919
2024-07-04 00:00:00+05:30,427.1,433.0,411.65,419.35,200942
2024-07-05 00:00:00+05:30,422.95,427.8,418.1,425.5,190672
2024-07-08 00:00:00+05:30,429.75,442.75,425.05,430.95,345750
2024-07-09 00:00:00+05:30,435.8,439.25,429.55,434.7,153937
2024-07-10 00:00:00+05:30,439.8,439.8,399.05,406.05,455028
2024-07-11 00:00:00+05:30,409.75,416.75,392.5,394.4,484645
2024-07-12 00:00:00+05:30,405.0,405.0,385.95,387.1,245916
2024-07-15 00:00:00+05:30,387.0,390.0,372.0,374.55,326766
2024-07-16 00:00:00+05:30,375.0,381.8,367.2,369.6,187647
2024-07-18 00:00:00+05:30,370.5,373.8,358.4,359.9,170718
2024-07-19 00:00:00+05:30,363.95,371.05,341.2,349.45,233919
2024-07-22 00:00:00+05:30,358.95,361.7,343.55,356.4,147206
2024-07-23 00:00:00+05:30,365.0,365.0,335.8,358.5,165892
2024-07-24 00:00:00+05:30,364.0,374.7,358.25,371.05,164228
2024-07-25 00:00:00+05:30,368.0,379.75,365.0,367.8,104894
2024-07-26 00:00:00+05:30,374.4,383.0,372.65,381.6,156054
