date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,25.0,25.55,23.15,23.15,1892400
2024-06-04 00:00:00+05:30,22.9,22.9,22.0,22.0,167510
2024-06-05 00:00:00+05:30,20.9,21.5,20.9,20.9,136722
2024-06-06 00:00:00+05:30,20.6,21.9,20.15,21.6,1667183
2024-06-07 00:00:00+05:30,21.65,22.65,21.6,22.6,753047
2024-06-10 00:00:00+05:30,21.47,21.47,21.47,21.47,235336
2024-06-11 00:00:00+05:30,20.51,21.39,20.39,20.39,696787
2024-06-12 00:00:00+05:30,21.0,21.2,19.47,19.67,1293452
2024-06-13 00:00:00+05:30,19.76,20.45,18.79,19.32,959328
2024-06-14 00:00:00+05:30,19.69,20.13,19.31,19.96,316486
2024-06-18 00:00:00+05:30,19.85,19.96,19.4,19.8,212073
2024-06-19 00:00:00+05:30,19.98,20.14,19.52,19.71,188938
2024-06-20 00:00:00+05:30,20.0,20.48,19.7,20.35,222089
2024-06-21 00:00:00+05:30,20.35,20.95,20.0,20.07,156790
2024-06-24 00:00:00+05:30,20.1,20.95,19.77,20.58,227667
2024-06-25 00:00:00+05:30,21.2,21.6,20.99,21.14,212976
2024-06-26 00:00:00+05:30,21.56,21.7,20.08,21.0,364079
2024-06-27 00:00:00+05:30,21.69,21.69,20.49,20.53,194679
2024-06-28 00:00:00+05:30,20.53,20.94,19.89,20.05,130957
2024-07-01 00:00:00+05:30,20.49,20.7,20.06,20.48,74214
2024-07-02 00:00:00+05:30,20.54,20.99,20.49,20.58,118957
2024-07-03 00:00:00+05:30,20.65,20.65,19.82,20.23,136361
2024-07-04 00:00:00+05:30,20.65,20.65,20.24,20.32,89437
2024-07-05 00:00:00+05:30,20.55,20.75,20.36,20.43,139290
2024-07-08 00:00:00+05:30,20.5,21.45,20.45,20.58,131781
2024-07-09 00:00:00+05:30,20.99,20.99,20.2,20.55,120454
2024-07-10 00:00:00+05:30,20.8,20.8,19.8,20.19,68382
2024-07-11 00:00:00+05:30,20.1,20.48,19.99,20.03,75305
2024-07-12 00:00:00+05:30,20.45,20.5,20.05,20.18,61075
2024-07-15 00:00:00+05:30,20.06,20.44,19.9,19.95,70378
2024-07-16 00:00:00+05:30,19.95,20.35,19.76,20.06,73935
2024-07-18 00:00:00+05:30,20.0,20.3,19.53,19.92,111011
2024-07-19 00:00:00+05:30,20.24,20.24,19.21,19.46,59212
2024-07-22 00:00:00+05:30,19.46,19.89,19.01,19.25,62327
2024-07-23 00:00:00+05:30,19.4,19.88,19.01,19.21,150293
2024-07-24 00:00:00+05:30,19.21,19.58,19.21,19.43,51189
2024-07-25 00:00:00+05:30,19.7,19.71,19.36,19.43,45276
2024-07-26 00:00:00+05:30,19.7,20.4,19.5,19.93,92534
2024-07-29 00:00:00+05:30,20.44,20.44,19.6,19.67,92376
2024-07-30 00:00:00+05:30,20.18,20.18,19.38,19.94,71966
2024-07-31 00:00:00+05:30,19.55,20.47,19.55,20.25,98248
2024-08-01 00:00:00+05:30,20.4,20.7,19.85,19.87,96676
2024-08-02 00:00:00+05:30,19.28,20.64,19.28,20.02,72802
2024-08-05 00:00:00+05:30,19.2,20.04,19.01,19.03,119085
2024-08-06 00:00:00+05:30,19.03,19.6,18.37,18.74,66055
2024-08-07 00:00:00+05:30,19.59,19.59,19.0,19.31,45219
2024-08-08 00:00:00+05:30,19.54,19.66,19.1,19.42,47676
2024-08-09 00:00:00+05:30,19.79,20.94,19.06,19.83,149040
2024-08-12 00:00:00+05:30,20.43,20.43,19.51,19.84,71899
2024-08-13 00:00:00+05:30,18.25,20.35,18.25,18.91,165402
2024-08-14 00:00:00+05:30,19.4,19.94,19.0,19.21,53928
2024-08-16 00:00:00+05:30,19.0,19.16,18.4,18.72,130261
2024-08-19 00:00:00+05:30,18.71,19.47,18.5,19.13,58086
2024-08-20 00:00:00+05:30,19.54,19.8,19.2,19.25,23894
2024-08-21 00:00:00+05:30,18.86,19.63,18.73,18.98,75542
2024-08-22 00:00:00+05:30,19.28,19.84,19.05,19.7,90040
2024-08-23 00:00:00+05:30,19.99,20.1,19.61,19.78,83651
2024-08-26 00:00:00+05:30,20.0,20.8,19.92,20.72,243761
2024-08-27 00:00:00+05:30,20.98,20.99,20.2,20.35,139807
2024-08-28 00:00:00+05:30,20.49,20.59,20.01,20.19,63145
2024-08-29 00:00:00+05:30,20.35,21.5,20.15,20.29,91277
2024-08-30 00:00:00+05:30,20.65,20.65,19.95,20.06,61301
2024-09-02 00:00:00+05:30,20.39,20.39,19.22,19.32,89364
2024-09-03 00:00:00+05:30,19.05,20.2,19.05,19.79,69563
2024-09-04 00:00:00+05:30,19.8,20.0,19.09,19.4,58645
2024-09-05 00:00:00+05:30,19.69,19.72,19.32,19.48,28903
2024-09-06 00:00:00+05:30,19.8,20.2,19.5,19.73,63237
2024-09-09 00:00:00+05:30,20.05,20.05,19.24,19.73,52941
2024-09-10 00:00:00+05:30,20.15,20.15,19.2,19.4,36690
2024-09-11 00:00:00+05:30,19.6,20.0,19.45,19.79,39796
2024-09-12 00:00:00+05:30,19.6,20.0,19.33,19.46,73557
2024-09-13 00:00:00+05:30,19.41,20.0,19.36,19.91,57377
2024-09-16 00:00:00+05:30,19.62,20.47,19.62,20.31,140430
2024-09-17 00:00:00+05:30,20.47,20.5,19.7,19.83,68924
2024-09-18 00:00:00+05:30,20.0,20.19,19.61,19.72,34399
2024-09-19 00:00:00+05:30,19.66,19.99,19.52,19.62,42300
2024-09-20 00:00:00+05:30,20.0,20.0,19.51,19.6,48725
2024-09-23 00:00:00+05:30,19.56,20.2,19.56,20.01,84992
2024-09-24 00:00:00+05:30,20.46,20.58,19.94,20.22,94838
2024-09-25 00:00:00+05:30,20.22,20.39,19.63,20.03,74793
2024-09-26 00:00:00+05:30,19.72,20.28,19.72,19.98,40109
2024-09-27 00:00:00+05:30,19.95,20.35,19.85,20.26,84251
2024-09-30 00:00:00+05:30,20.47,21.55,19.74,20.83,285320
2024-10-01 00:00:00+05:30,21.18,21.65,21.0,21.42,136375
2024-10-03 00:00:00+05:30,21.4,21.8,20.31,20.87,174155
2024-10-04 00:00:00+05:30,21.1,21.1,20.5,20.6,81268
2024-10-07 00:00:00+05:30,21.0,21.0,19.55,19.76,43083
2024-10-08 00:00:00+05:30,20.15,20.21,19.27,20.08,39724
2024-10-09 00:00:00+05:30,20.45,20.85,20.05,20.54,68474
2024-10-10 00:00:00+05:30,21.05,24.64,20.66,22.26,2592650
2024-10-11 00:00:00+05:30,26.71,26.71,25.8,26.71,2741087
2024-10-14 00:00:00+05:30,30.34,32.05,29.5,32.05,3862391
2024-10-15 00:00:00+05:30,33.7,35.25,29.51,32.32,7672208
2024-10-16 00:00:00+05:30,31.5,32.5,29.86,30.12,1247624
2024-10-17 00:00:00+05:30,30.12,30.6,28.61,28.61,219999
2024-10-18 00:00:00+05:30,27.17,27.9,27.17,27.17,175823
2024-10-21 00:00:00+05:30,26.9,28.52,26.11,28.52,318159
2024-10-22 00:00:00+05:30,29.8,29.8,27.09,27.09,185211
2024-10-23 00:00:00+05:30,26.49,27.0,25.73,25.91,195866
2024-10-24 00:00:00+05:30,24.9,26.02,24.65,25.26,112826
2024-10-25 00:00:00+05:30,25.26,25.3,23.99,24.44,154165
2024-10-28 00:00:00+05:30,24.5,25.66,23.21,24.39,137260
2024-10-29 00:00:00+05:30,24.0,25.6,24.0,25.23,86592
2024-10-30 00:00:00+05:30,25.5,26.49,24.11,26.45,98240
2024-10-31 00:00:00+05:30,27.44,27.77,26.0,27.6,144400
2024-11-01 00:00:00+05:30,28.59,28.6,27.6,28.26,104070
2024-11-04 00:00:00+05:30,29.0,29.0,26.86,27.25,78865
2024-11-05 00:00:00+05:30,26.7,26.7,26.7,26.7,17655
2024-11-06 00:00:00+05:30,26.16,26.16,26.16,26.16,47881
2024-11-07 00:00:00+05:30,26.0,26.0,25.63,25.63,26667
2024-11-08 00:00:00+05:30,25.63,25.63,25.16,25.16,22645
2024-11-11 00:00:00+05:30,25.0,25.0,24.65,24.65,29930
2024-11-12 00:00:00+05:30,24.15,24.15,24.15,24.15,42784
2024-11-13 00:00:00+05:30,23.66,23.66,23.66,23.66,27028
2024-11-14 00:00:00+05:30,23.18,23.19,23.18,23.18,17332
2024-11-18 00:00:00+05:30,23.14,23.14,22.95,22.95,15053
2024-11-19 00:00:00+05:30,22.95,23.15,22.95,23.15,37032
2024-11-21 00:00:00+05:30,22.9,22.9,22.68,22.8,20388
2024-11-22 00:00:00+05:30,22.35,22.9,22.34,22.9,39962
2024-11-25 00:00:00+05:30,22.9,23.0,22.9,23.0,35359
2024-11-26 00:00:00+05:30,23.46,23.46,23.46,23.46,19715
2024-11-27 00:00:00+05:30,23.92,23.92,23.92,23.92,13097
2024-11-28 00:00:00+05:30,24.39,24.39,23.99,23.99,23097
2024-11-29 00:00:00+05:30,24.38,24.38,24.37,24.37,18403
2024-12-02 00:00:00+05:30,24.0,24.0,23.88,23.88,45057
2024-12-03 00:00:00+05:30,23.88,24.0,23.72,24.0,40722
2024-12-04 00:00:00+05:30,24.48,24.48,24.48,24.48,35240
2024-12-05 00:00:00+05:30,24.48,24.48,24.01,24.2,52421
2024-12-06 00:00:00+05:30,24.25,24.25,24.2,24.2,24290
2024-12-09 00:00:00+05:30,25.3,25.3,23.11,24.65,136947
2024-12-10 00:00:00+05:30,24.65,25.7,24.5,25.18,93246
2024-12-11 00:00:00+05:30,25.48,25.6,24.32,24.98,47232
2024-12-12 00:00:00+05:30,24.8,24.8,23.82,24.08,53344
2024-12-13 00:00:00+05:30,24.08,24.5,23.51,23.91,46882
2024-12-16 00:00:00+05:30,24.0,24.5,22.75,23.94,69817
2024-12-17 00:00:00+05:30,23.9,24.3,23.22,23.61,54496
2024-12-18 00:00:00+05:30,23.61,23.61,22.82,23.07,39763
2024-12-19 00:00:00+05:30,22.5,23.95,22.5,23.32,22890
2024-12-20 00:00:00+05:30,23.75,23.75,22.67,23.06,59868
2024-12-23 00:00:00+05:30,23.06,23.9,22.02,23.0,48469
2024-12-24 00:00:00+05:30,23.09,23.69,22.7,23.16,63128
2024-12-26 00:00:00+05:30,23.9,23.95,22.6,23.29,32071
2024-12-27 00:00:00+05:30,23.09,23.97,23.0,23.77,91229
2024-12-30 00:00:00+05:30,23.99,24.8,23.24,23.81,54929
2024-12-31 00:00:00+05:30,24.0,24.0,23.01,23.23,29206
2025-01-01 00:00:00+05:30,23.23,24.0,23.01,23.59,44477
2025-01-02 00:00:00+05:30,24.0,24.0,23.25,23.55,26349
2025-01-03 00:00:00+05:30,23.55,23.84,23.03,23.48,34148
2025-01-06 00:00:00+05:30,23.48,23.9,22.3,22.65,67926
2025-01-07 00:00:00+05:30,22.65,22.65,22.01,22.17,24252
