date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,199.0,200.0,191.95,195.05,6228859
2024-06-04 00:00:00+05:30,199.0,199.0,163.0,172.15,6196853
2024-06-05 00:00:00+05:30,179.0,181.95,167.4,180.1,2709579
2024-06-06 00:00:00+05:30,183.0,190.05,182.55,186.35,2642559
2024-06-07 00:00:00+05:30,189.0,212.0,186.7,207.6,14020349
2024-06-10 00:00:00+05:30,214.0,229.99,214.0,219.21,13678743
2024-06-11 00:00:00+05:30,221.0,223.59,215.58,218.5,5207666
2024-06-12 00:00:00+05:30,220.4,226.4,219.6,221.37,5479433
2024-06-13 00:00:00+05:30,222.0,225.39,219.5,222.56,2726936
2024-06-14 00:00:00+05:30,223.6,228.79,220.1,223.75,3207839
2024-06-18 00:00:00+05:30,224.5,228.75,217.51,228.07,3651438
2024-06-19 00:00:00+05:30,229.5,229.7,220.0,222.14,2068419
2024-06-20 00:00:00+05:30,220.0,246.5,218.0,243.82,9908084
2024-06-21 00:00:00+05:30,244.8,246.66,233.24,236.85,6161902
2024-06-24 00:00:00+05:30,236.8,244.85,235.01,242.37,2796319
2024-06-25 00:00:00+05:30,244.3,249.0,235.41,237.81,3281117
2024-06-26 00:00:00+05:30,238.8,239.5,234.26,236.51,2621315
2024-06-27 00:00:00+05:30,236.51,237.35,223.0,227.36,3411376
2024-06-28 00:00:00+05:30,230.0,231.9,222.15,224.56,1681338
2024-07-01 00:00:00+05:30,224.56,230.58,224.56,227.87,1743171
2024-07-02 00:00:00+05:30,228.6,234.96,227.41,233.15,1945754
2024-07-03 00:00:00+05:30,233.15,236.2,231.2,235.62,1787944
2024-07-04 00:00:00+05:30,235.75,236.79,231.61,232.65,961419
2024-07-05 00:00:00+05:30,232.7,235.75,231.0,231.62,830009
2024-07-08 00:00:00+05:30,232.0,233.79,227.31,229.53,905798
2024-07-09 00:00:00+05:30,231.0,239.9,231.0,236.58,2392443
2024-07-10 00:00:00+05:30,238.45,239.7,229.06,233.09,2050819
2024-07-11 00:00:00+05:30,234.95,242.5,233.23,240.02,2614856
2024-07-12 00:00:00+05:30,241.95,243.35,235.01,235.73,1152221
2024-07-15 00:00:00+05:30,237.15,239.75,229.13,234.52,952060
2024-07-16 00:00:00+05:30,234.52,237.4,232.94,235.64,815255
2024-07-18 00:00:00+05:30,235.64,237.0,226.15,227.75,1129628
2024-07-19 00:00:00+05:30,228.0,228.09,218.5,220.81,1387727
2024-07-22 00:00:00+05:30,219.5,239.0,215.31,236.72,2550878
2024-07-23 00:00:00+05:30,238.3,242.5,209.03,240.59,4118336
2024-07-24 00:00:00+05:30,240.9,263.0,239.14,259.79,7639482
2024-07-25 00:00:00+05:30,258.0,263.0,253.86,259.93,2467252
2024-07-26 00:00:00+05:30,260.0,271.9,255.8,263.77,2753975
2024-07-29 00:00:00+05:30,264.0,267.7,251.01,253.94,2567271
2024-07-30 00:00:00+05:30,255.0,261.42,252.4,256.93,1130294
2024-07-31 00:00:00+05:30,256.01,259.99,253.26,255.4,899142
2024-08-01 00:00:00+05:30,256.0,258.7,252.0,253.7,775122
2024-08-02 00:00:00+05:30,250.2,255.45,247.55,252.6,754977
2024-08-05 00:00:00+05:30,245.0,259.85,237.1,239.35,3679388
2024-08-06 00:00:00+05:30,244.0,250.0,229.1,230.2,1925660
2024-08-07 00:00:00+05:30,236.75,240.0,232.4,237.5,1014895
2024-08-08 00:00:00+05:30,238.0,244.0,235.35,237.3,909646
2024-08-09 00:00:00+05:30,240.0,242.45,238.4,239.45,739278
2024-08-12 00:00:00+05:30,235.0,248.25,234.35,245.65,1583565
2024-08-13 00:00:00+05:30,247.1,247.95,230.25,234.25,1222371
2024-08-14 00:00:00+05:30,239.0,243.45,231.55,233.3,1749949
2024-08-16 00:00:00+05:30,237.7,237.7,228.15,234.05,1569949
2024-08-19 00:00:00+05:30,234.95,238.45,232.4,235.95,718749
2024-08-20 00:00:00+05:30,236.0,239.9,233.0,235.3,802123
2024-08-21 00:00:00+05:30,236.0,236.0,232.25,233.0,847150
2024-08-22 00:00:00+05:30,234.9,238.7,233.55,234.75,761180
2024-08-23 00:00:00+05:30,233.95,238.4,232.0,232.75,1141750
2024-08-26 00:00:00+05:30,244.8,245.0,232.15,234.65,2836038
2024-08-27 00:00:00+05:30,235.4,235.8,232.2,234.3,988187
2024-08-28 00:00:00+05:30,234.3,238.35,232.1,233.25,1051209
2024-08-29 00:00:00+05:30,233.3,234.9,230.0,230.95,687635
2024-08-30 00:00:00+05:30,230.8,237.0,227.5,233.5,1024643
2024-09-02 00:00:00+05:30,234.1,234.7,227.4,231.72,1138944
2024-09-03 00:00:00+05:30,231.03,237.61,230.05,235.36,866594
2024-09-04 00:00:00+05:30,235.0,238.0,232.0,236.69,1313215
2024-09-05 00:00:00+05:30,238.6,274.6,238.11,267.43,13485787
2024-09-06 00:00:00+05:30,275.0,284.74,263.88,271.12,14627808
2024-09-09 00:00:00+05:30,270.0,270.39,254.15,255.57,3863641
2024-09-10 00:00:00+05:30,255.8,262.31,254.11,257.39,1752441
2024-09-11 00:00:00+05:30,258.91,260.41,246.1,247.8,1430726
2024-09-12 00:00:00+05:30,251.05,254.65,245.0,246.74,1485335
2024-09-13 00:00:00+05:30,249.5,264.0,248.2,254.0,2939654
2024-09-16 00:00:00+05:30,254.35,256.19,248.7,249.76,791461
2024-09-17 00:00:00+05:30,248.91,253.0,246.95,248.55,908717
2024-09-18 00:00:00+05:30,248.46,249.31,241.0,241.98,930095
2024-09-19 00:00:00+05:30,243.9,244.99,234.11,238.89,860872
2024-09-20 00:00:00+05:30,240.1,242.4,234.7,235.66,1204973
2024-09-23 00:00:00+05:30,236.75,241.43,236.1,238.52,847908
2024-09-24 00:00:00+05:30,240.0,252.7,238.6,242.79,2759857
2024-09-25 00:00:00+05:30,242.6,244.0,236.69,238.46,1359052
2024-09-26 00:00:00+05:30,238.48,240.21,234.9,236.05,787404
2024-09-27 00:00:00+05:30,236.05,237.85,231.05,231.91,890113
2024-09-30 00:00:00+05:30,231.0,232.94,226.05,228.62,1266900
2024-10-01 00:00:00+05:30,230.2,240.0,230.2,236.74,1207926
2024-10-03 00:00:00+05:30,244.95,246.95,240.0,242.94,5731752
2024-10-04 00:00:00+05:30,246.0,251.5,240.6,243.53,3119868
2024-10-07 00:00:00+05:30,246.0,246.8,228.05,229.99,2139020
2024-10-08 00:00:00+05:30,230.0,245.1,228.1,242.15,1528609
2024-10-09 00:00:00+05:30,244.0,248.81,239.01,239.72,1278831
2024-10-10 00:00:00+05:30,240.65,252.5,240.64,244.03,3125096
2024-10-11 00:00:00+05:30,244.42,253.89,244.42,251.64,3500773
2024-10-14 00:00:00+05:30,267.0,272.25,256.3,258.12,11707464
2024-10-15 00:00:00+05:30,258.12,258.45,251.0,251.52,2405979
2024-10-16 00:00:00+05:30,256.0,262.0,254.1,256.46,3841430
2024-10-17 00:00:00+05:30,256.8,257.0,249.12,249.69,1165087
2024-10-18 00:00:00+05:30,247.1,247.8,241.6,247.06,1338323
2024-10-21 00:00:00+05:30,249.11,250.5,238.0,238.94,1014905
2024-10-22 00:00:00+05:30,237.95,238.3,227.96,229.73,1271457
2024-10-23 00:00:00+05:30,226.99,236.85,223.1,232.35,1218750
2024-10-24 00:00:00+05:30,232.35,239.0,227.0,227.81,823108
2024-10-25 00:00:00+05:30,227.81,228.18,211.01,215.79,1649897
2024-10-28 00:00:00+05:30,219.0,231.96,212.41,229.12,1457815
2024-10-29 00:00:00+05:30,230.0,231.7,224.6,230.64,971461
2024-10-30 00:00:00+05:30,230.6,234.93,229.0,233.21,659664
2024-10-31 00:00:00+05:30,240.0,249.0,237.01,239.59,3780875
2024-11-01 00:00:00+05:30,242.01,246.45,242.01,245.58,707450
2024-11-04 00:00:00+05:30,247.0,247.0,236.85,239.62,1732619
2024-11-05 00:00:00+05:30,238.0,246.9,237.51,240.62,1467412
2024-11-06 00:00:00+05:30,243.86,244.0,240.0,241.03,1096502
2024-11-07 00:00:00+05:30,241.03,243.13,238.2,239.38,1032780
2024-11-08 00:00:00+05:30,238.87,240.4,234.38,235.77,707437
2024-11-11 00:00:00+05:30,235.75,236.52,231.1,232.1,744373
2024-11-12 00:00:00+05:30,234.0,234.85,223.05,224.9,871962
2024-11-13 00:00:00+05:30,239.3,244.0,230.0,233.31,8252305
2024-11-14 00:00:00+05:30,237.05,239.0,228.4,229.73,2141356
2024-11-18 00:00:00+05:30,230.08,231.77,223.52,228.92,2277309
2024-11-19 00:00:00+05:30,237.0,245.0,232.25,234.19,3557740
2024-11-21 00:00:00+05:30,233.98,234.7,229.72,231.65,944971
2024-11-22 00:00:00+05:30,232.1,233.45,228.38,231.31,828595
2024-11-25 00:00:00+05:30,237.0,239.5,232.5,233.06,1649102
2024-11-26 00:00:00+05:30,242.0,244.86,238.0,241.18,4415047
2024-11-27 00:00:00+05:30,237.15,241.49,232.65,235.07,3067338
2024-11-28 00:00:00+05:30,239.0,242.8,237.55,239.38,2533435
2024-11-29 00:00:00+05:30,240.4,250.9,237.32,249.47,4705411
2024-12-02 00:00:00+05:30,252.0,257.4,249.02,253.8,3864397
2024-12-03 00:00:00+05:30,254.0,261.0,252.68,259.82,3924466
2024-12-04 00:00:00+05:30,260.0,261.95,256.21,260.79,2114781
2024-12-05 00:00:00+05:30,261.9,264.39,259.5,261.39,1614039
2024-12-06 00:00:00+05:30,261.0,280.0,260.7,277.33,6377923
2024-12-09 00:00:00+05:30,279.38,293.29,279.06,284.61,6824740
2024-12-10 00:00:00+05:30,286.07,295.0,282.0,292.58,5224770
2024-12-11 00:00:00+05:30,292.6,295.5,288.2,293.36,2557030
2024-12-12 00:00:00+05:30,292.99,298.99,285.9,288.37,2364598
2024-12-13 00:00:00+05:30,287.35,296.0,283.51,295.1,3064209
2024-12-16 00:00:00+05:30,295.1,304.4,290.51,302.17,2865094
2024-12-17 00:00:00+05:30,301.91,306.5,297.5,298.63,2881923
2024-12-18 00:00:00+05:30,299.4,310.4,295.2,304.02,4051607
2024-12-19 00:00:00+05:30,296.7,307.21,295.95,299.89,3365970
2024-12-20 00:00:00+05:30,300.91,305.79,285.0,290.01,3085364
2024-12-23 00:00:00+05:30,290.01,292.79,276.49,279.99,2859868
2024-12-24 00:00:00+05:30,280.1,285.0,279.88,282.9,1319519
2024-12-26 00:00:00+05:30,284.0,292.0,280.55,281.88,2390464
2024-12-27 00:00:00+05:30,285.0,295.05,281.71,293.78,2270374
2024-12-30 00:00:00+05:30,293.51,315.0,293.12,313.19,6227262
2024-12-31 00:00:00+05:30,315.25,319.0,308.2,311.17,3388860
2025-01-01 00:00:00+05:30,309.9,310.65,303.4,306.45,1786346
2025-01-02 00:00:00+05:30,308.5,313.6,306.05,308.6,2593779
2025-01-03 00:00:00+05:30,308.5,309.9,304.1,305.4,2150144
2025-01-06 00:00:00+05:30,305.0,306.4,275.8,277.95,4250155
2025-01-07 00:00:00+05:30,290.0,294.95,282.65,293.35,3755387
2025-01-08 00:00:00+05:30,295.0,299.65,288.3,291.35,3105839
2025-01-09 00:00:00+05:30,290.95,290.95,274.35,277.1,1973592
2025-01-10 00:00:00+05:30,274.8,280.4,266.0,271.6,2743698
2025-01-13 00:00:00+05:30,271.65,284.5,265.25,270.55,4413217
2025-01-14 00:00:00+05:30,275.95,279.0,266.45,274.4,2074398
2025-01-15 00:00:00+05:30,276.0,283.9,273.3,277.05,2501986
2025-01-16 00:00:00+05:30,280.0,292.5,280.0,289.4,2650681
2025-01-17 00:00:00+05:30,288.0,294.0,285.0,290.35,2184478
2025-01-20 00:00:00+05:30,291.4,292.4,284.15,285.25,1858651
2025-01-21 00:00:00+05:30,286.0,288.3,279.05,280.3,1306290
2025-01-22 00:00:00+05:30,280.15,280.5,266.55,270.6,1884866
2025-01-23 00:00:00+05:30,270.0,276.0,267.05,270.9,1169830
2025-01-24 00:00:00+05:30,269.1,271.0,256.25,257.6,1758750
2025-01-27 00:00:00+05:30,250.0,254.9,239.1,246.8,2018939
2025-01-28 00:00:00+05:30,249.0,250.5,232.7,241.5,2793145
2025-01-29 00:00:00+05:30,242.25,254.5,242.25,252.5,1353158
2025-01-30 00:00:00+05:30,253.7,258.0,246.5,247.9,1141264
2025-01-31 00:00:00+05:30,248.1,258.65,246.4,257.8,1284705
2025-02-01 00:00:00+05:30,257.5,267.95,253.35,254.45,1580920
2025-02-03 00:00:00+05:30,250.0,250.9,234.25,239.2,2479149
2025-02-04 00:00:00+05:30,248.0,248.9,240.8,242.8,1415285
2025-02-05 00:00:00+05:30,243.0,249.0,242.15,246.85,1613403
2025-02-06 00:00:00+05:30,247.9,252.25,244.55,250.5,1002702
2025-02-07 00:00:00+05:30,250.95,252.75,246.05,249.1,1123231
2025-02-10 00:00:00+05:30,249.5,250.65,236.45,237.45,1061417
2025-02-11 00:00:00+05:30,239.0,245.7,230.0,231.6,2780020
2025-02-12 00:00:00+05:30,232.05,235.0,217.4,232.0,2758737
2025-02-13 00:00:00+05:30,232.25,235.9,220.0,221.65,1877276
2025-02-14 00:00:00+05:30,224.0,224.0,202.5,207.55,3060928
2025-02-17 00:00:00+05:30,203.4,211.2,201.55,206.55,2973000
2025-02-18 00:00:00+05:30,206.5,206.55,195.0,197.7,2618288
2025-02-19 00:00:00+05:30,196.7,206.8,193.35,204.1,3304121
2025-02-20 00:00:00+05:30,202.95,204.1,199.35,201.15,1528673
2025-02-21 00:00:00+05:30,200.2,202.3,194.5,195.6,2988601
2025-02-24 00:00:00+05:30,192.3,198.55,188.7,194.1,2077377
