date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,140.0,141.0,135.5,137.9,1350
2024-06-04 00:00:00+05:30,136.0,136.0,132.2,132.45,784
2024-06-05 00:00:00+05:30,132.45,137.85,130.1,132.15,557
2024-06-06 00:00:00+05:30,132.15,138.6,132.15,135.7,2326
2024-06-07 00:00:00+05:30,135.7,142.45,135.7,142.45,2249
2024-06-10 00:00:00+05:30,140.0,144.55,140.0,142.93,1183
2024-06-11 00:00:00+05:30,143.8,143.8,140.1,142.7,142
2024-06-12 00:00:00+05:30,142.0,144.05,140.0,140.01,5717
2024-06-13 00:00:00+05:30,140.0,144.2,140.0,141.0,1800
2024-06-14 00:00:00+05:30,141.95,142.0,139.12,141.37,623
2024-06-18 00:00:00+05:30,138.2,141.37,138.0,138.74,3308
2024-06-19 00:00:00+05:30,140.99,140.99,137.25,138.27,1137
2024-06-20 00:00:00+05:30,140.9,140.9,134.65,139.33,1050
2024-06-21 00:00:00+05:30,139.4,141.7,138.0,138.29,1644
2024-06-24 00:00:00+05:30,140.0,140.0,135.05,140.0,1227
2024-06-25 00:00:00+05:30,141.0,142.0,136.25,136.7,1628
2024-06-26 00:00:00+05:30,135.01,140.4,135.01,139.0,1378
2024-06-27 00:00:00+05:30,139.0,139.92,135.3,139.4,968
2024-06-28 00:00:00+05:30,138.0,139.92,137.0,138.17,315
2024-07-01 00:00:00+05:30,140.8,145.07,136.0,143.15,6020
2024-07-02 00:00:00+05:30,148.95,150.3,147.61,150.3,4147
2024-07-03 00:00:00+05:30,156.6,157.81,155.0,157.81,4882
2024-07-04 00:00:00+05:30,160.0,165.7,157.95,162.2,11114
2024-07-05 00:00:00+05:30,162.2,162.2,154.2,155.55,760
2024-07-08 00:00:00+05:30,160.8,160.8,149.58,153.24,1365
2024-07-09 00:00:00+05:30,158.0,160.14,147.31,155.85,2208
2024-07-10 00:00:00+05:30,159.8,159.85,150.5,157.49,2078
2024-07-11 00:00:00+05:30,150.1,156.0,150.1,156.0,379
2024-07-12 00:00:00+05:30,156.0,157.6,152.5,154.5,1233
2024-07-15 00:00:00+05:30,160.0,162.22,159.3,162.22,5035
2024-07-16 00:00:00+05:30,170.33,170.33,170.33,170.33,4494
2024-07-18 00:00:00+05:30,178.84,178.84,178.84,178.84,6708
2024-07-19 00:00:00+05:30,184.4,184.4,169.89,170.87,27535
2024-07-22 00:00:00+05:30,163.3,179.41,163.3,179.41,6332
2024-07-23 00:00:00+05:30,184.0,188.38,178.21,188.38,33494
2024-07-24 00:00:00+05:30,197.0,197.79,190.0,197.79,13375
2024-07-25 00:00:00+05:30,202.5,207.67,188.1,206.81,32304
2024-07-26 00:00:00+05:30,208.0,208.0,198.9,202.98,6099
2024-07-29 00:00:00+05:30,213.0,213.12,201.3,204.76,8532
2024-07-30 00:00:00+05:30,204.76,211.86,197.06,201.08,10091
2024-07-31 00:00:00+05:30,198.98,204.79,192.67,201.07,17994
2024-08-01 00:00:00+05:30,201.0,209.9,196.27,200.1,16314
2024-08-02 00:00:00+05:30,200.1,204.99,192.41,199.86,8133
2024-08-05 00:00:00+05:30,201.4,201.4,189.86,189.86,8147
2024-08-06 00:00:00+05:30,188.0,195.98,180.36,180.58,7887
2024-08-07 00:00:00+05:30,180.64,184.95,176.49,177.51,7759
2024-08-08 00:00:00+05:30,184.99,186.0,176.51,182.29,4481
2024-08-09 00:00:00+05:30,180.94,191.4,180.94,190.63,4504
2024-08-12 00:00:00+05:30,185.0,197.78,182.1,191.07,3535
2024-08-13 00:00:00+05:30,181.51,185.0,181.51,181.51,5672
2024-08-14 00:00:00+05:30,181.51,181.51,172.43,172.97,2091
2024-08-16 00:00:00+05:30,172.97,173.72,164.32,169.18,8118
2024-08-19 00:00:00+05:30,177.0,177.0,170.94,174.59,1065
2024-08-20 00:00:00+05:30,178.8,182.8,169.57,180.56,2038
