date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,915.0,919.0,861.5,871.8,681751
2024-06-04 00:00:00+05:30,868.0,868.0,697.45,723.9,1491737
2024-06-05 00:00:00+05:30,723.0,794.0,702.05,752.15,955605
2024-06-06 00:00:00+05:30,759.7,795.0,759.0,774.9,789218
2024-06-07 00:00:00+05:30,781.8,810.95,770.05,806.0,540126
2024-06-10 00:00:00+05:30,810.0,843.9,799.0,838.9,627620
2024-06-11 00:00:00+05:30,845.5,859.75,840.2,852.7,509343
2024-06-12 00:00:00+05:30,857.0,892.5,850.0,887.05,667341
2024-06-13 00:00:00+05:30,891.1,981.0,891.1,926.5,3551414
2024-06-14 00:00:00+05:30,932.0,976.0,921.0,965.4,1680947
2024-06-18 00:00:00+05:30,975.2,1059.0,968.5,1021.75,3183925
2024-06-19 00:00:00+05:30,1032.0,1033.4,979.95,985.2,1247517
2024-06-20 00:00:00+05:30,989.7,1014.0,965.1,987.1,919642
2024-06-21 00:00:00+05:30,988.15,994.4,960.05,967.0,566976
2024-06-24 00:00:00+05:30,965.25,977.65,952.85,963.25,305026
2024-06-25 00:00:00+05:30,963.0,983.85,951.0,955.25,407884
2024-06-26 00:00:00+05:30,963.25,989.5,960.0,975.2,682615
2024-06-27 00:00:00+05:30,980.0,980.0,955.0,961.65,338822
2024-06-28 00:00:00+05:30,968.4,969.3,944.6,949.25,209114
2024-07-01 00:00:00+05:30,948.0,976.45,947.05,965.55,935566
2024-07-02 00:00:00+05:30,970.8,973.8,938.0,947.5,667990
2024-07-03 00:00:00+05:30,953.8,967.7,929.0,948.45,1070217
2024-07-04 00:00:00+05:30,953.0,965.0,939.0,944.55,685212
2024-07-05 00:00:00+05:30,946.95,978.5,942.1,953.65,1545078
2024-07-08 00:00:00+05:30,959.0,974.8,939.0,941.8,603901
2024-07-09 00:00:00+05:30,947.0,959.85,930.0,932.8,412063
2024-07-10 00:00:00+05:30,933.8,937.8,896.0,910.3,548660
2024-07-11 00:00:00+05:30,917.7,954.75,914.4,920.2,1183621
2024-07-12 00:00:00+05:30,928.0,928.8,911.9,916.6,467817
2024-07-15 00:00:00+05:30,920.0,941.0,917.1,927.25,618801
2024-07-16 00:00:00+05:30,929.25,943.25,916.0,920.25,355480
2024-07-18 00:00:00+05:30,920.0,931.7,903.65,918.75,408814
2024-07-19 00:00:00+05:30,907.0,916.5,891.0,896.65,454541
2024-07-22 00:00:00+05:30,892.0,910.95,884.0,907.95,403749
2024-07-23 00:00:00+05:30,913.9,918.45,857.05,901.35,532664
2024-07-24 00:00:00+05:30,893.45,909.0,892.0,896.7,415645
2024-07-25 00:00:00+05:30,895.2,906.3,893.1,897.1,567615
2024-07-26 00:00:00+05:30,899.95,914.4,889.1,893.55,415603
2024-07-29 00:00:00+05:30,898.0,908.25,885.0,892.75,377203
2024-07-30 00:00:00+05:30,900.0,933.55,892.0,906.3,554348
2024-07-31 00:00:00+05:30,913.7,913.7,892.0,894.1,165231
2024-08-01 00:00:00+05:30,894.25,901.25,885.0,894.4,233545
