date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,21.0,21.0,20.6,20.6,12949
2024-06-04 00:00:00+05:30,20.2,20.2,20.2,20.2,7648
2024-06-05 00:00:00+05:30,20.2,20.2,19.8,19.8,16827
2024-06-06 00:00:00+05:30,19.6,19.6,19.4,19.4,61225
2024-06-07 00:00:00+05:30,19.4,19.75,19.4,19.7,256916
2024-06-10 00:00:00+05:30,19.7,20.09,19.7,20.09,2702
2024-06-11 00:00:00+05:30,20.12,20.49,20.12,20.49,12204
2024-06-12 00:00:00+05:30,20.89,20.89,20.89,20.89,4876
2024-06-13 00:00:00+05:30,21.3,21.3,21.29,21.29,38565
2024-06-14 00:00:00+05:30,21.0,21.01,20.99,21.01,9490
2024-06-18 00:00:00+05:30,21.0,21.0,20.58,20.58,38329
2024-06-19 00:00:00+05:30,20.17,20.2,20.16,20.2,25144
2024-06-20 00:00:00+05:30,20.6,20.6,20.2,20.3,28661
2024-06-21 00:00:00+05:30,20.33,20.35,19.89,20.35,17866
2024-06-24 00:00:00+05:30,20.35,20.6,20.35,20.6,12966
2024-06-25 00:00:00+05:30,20.71,21.01,20.71,21.01,17844
2024-06-26 00:00:00+05:30,21.03,21.43,21.03,21.42,11021
2024-06-27 00:00:00+05:30,21.43,21.7,21.43,21.5,5229
2024-06-28 00:00:00+05:30,21.5,21.5,21.07,21.2,49405
2024-07-01 00:00:00+05:30,22.26,22.26,22.26,22.26,25280
2024-07-02 00:00:00+05:30,23.37,23.37,23.37,23.37,14476
2024-07-03 00:00:00+05:30,24.53,24.53,24.53,24.53,29356
2024-07-04 00:00:00+05:30,25.75,25.75,25.75,25.75,14858
2024-07-05 00:00:00+05:30,27.03,27.03,27.03,27.03,71680
2024-07-08 00:00:00+05:30,27.68,28.38,25.8,28.38,532589
2024-07-09 00:00:00+05:30,29.7,29.79,28.0,29.76,335890
2024-07-10 00:00:00+05:30,29.16,29.16,29.16,29.16,28253
2024-07-11 00:00:00+05:30,28.57,28.57,28.57,28.57,29489
2024-07-12 00:00:00+05:30,27.99,27.99,27.99,27.99,56598
2024-07-15 00:00:00+05:30,27.43,27.43,27.43,27.43,73930
2024-07-16 00:00:00+05:30,26.9,26.91,26.88,26.88,70063
2024-07-18 00:00:00+05:30,26.5,26.5,26.34,26.34,20244
2024-07-19 00:00:00+05:30,26.0,26.0,25.81,25.81,66557
2024-07-22 00:00:00+05:30,25.7,25.7,25.29,25.29,64481
2024-07-23 00:00:00+05:30,24.78,24.79,24.78,24.78,86651
2024-07-24 00:00:00+05:30,24.78,25.27,24.78,25.27,32954
2024-07-25 00:00:00+05:30,25.27,25.77,25.27,25.77,11837
2024-07-26 00:00:00+05:30,25.25,25.5,25.25,25.5,12701
2024-07-29 00:00:00+05:30,25.51,26.0,25.2,25.7,36239
2024-07-30 00:00:00+05:30,25.62,25.62,25.18,25.18,53898
2024-07-31 00:00:00+05:30,24.67,24.8,24.67,24.8,28706
2024-08-01 00:00:00+05:30,24.6,24.6,24.3,24.4,51337
2024-08-02 00:00:00+05:30,24.4,24.4,24.0,24.0,36708
2024-08-05 00:00:00+05:30,23.53,23.65,23.53,23.6,27430
2024-08-06 00:00:00+05:30,23.4,23.4,23.15,23.15,31216
2024-08-07 00:00:00+05:30,23.15,23.61,23.1,23.61,14517
2024-08-08 00:00:00+05:30,23.62,24.07,23.62,24.07,9836
2024-08-09 00:00:00+05:30,24.55,24.55,24.0,24.3,13931
2024-08-12 00:00:00+05:30,23.81,24.0,23.81,24.0,47915
2024-08-13 00:00:00+05:30,23.87,23.87,23.52,23.52,33188
2024-08-14 00:00:00+05:30,23.04,23.04,23.04,23.04,23242
2024-08-16 00:00:00+05:30,22.95,23.04,22.57,23.04,56144
2024-08-19 00:00:00+05:30,24.15,24.15,23.15,23.74,60343
2024-08-20 00:00:00+05:30,24.38,24.38,22.62,23.19,152480
2024-08-21 00:00:00+05:30,23.19,23.84,22.6,22.8,86586
2024-08-22 00:00:00+05:30,23.7,23.7,22.5,22.99,93068
2024-08-23 00:00:00+05:30,23.3,23.3,22.5,22.74,82838
2024-08-26 00:00:00+05:30,22.26,23.4,22.26,22.97,129110
2024-08-27 00:00:00+05:30,23.84,23.98,23.01,23.95,39401
2024-08-28 00:00:00+05:30,23.95,25.0,23.55,24.48,47074
2024-08-29 00:00:00+05:30,25.0,25.2,23.65,24.3,72641
2024-08-30 00:00:00+05:30,24.3,25.19,24.2,24.95,162137
2024-09-02 00:00:00+05:30,24.99,25.2,23.7,23.89,168005
2024-09-03 00:00:00+05:30,24.37,24.53,23.36,24.2,58006
2024-09-04 00:00:00+05:30,24.2,24.87,23.65,23.75,30650
2024-09-05 00:00:00+05:30,24.45,24.45,23.75,24.26,141981
2024-09-06 00:00:00+05:30,24.8,24.8,23.31,23.61,87885
2024-09-09 00:00:00+05:30,23.61,23.61,23.14,23.46,41990
2024-09-10 00:00:00+05:30,23.75,24.4,23.75,24.36,76480
2024-09-11 00:00:00+05:30,24.36,24.9,23.3,23.82,41341
2024-09-12 00:00:00+05:30,24.4,24.4,23.5,24.21,17362
2024-09-13 00:00:00+05:30,24.95,24.95,23.01,23.8,103433
2024-09-16 00:00:00+05:30,23.8,24.59,23.8,24.0,31181
2024-09-17 00:00:00+05:30,24.99,24.99,23.4,23.89,32414
