date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,7.95,8.2,7.9,7.9,206290
2024-06-04 00:00:00+05:30,8.2,8.2,7.5,7.75,230992
2024-06-05 00:00:00+05:30,7.5,7.65,7.4,7.5,206864
2024-06-06 00:00:00+05:30,7.8,7.8,7.15,7.2,644455
2024-06-07 00:00:00+05:30,7.25,7.25,7.0,7.1,278782
2024-06-10 00:00:00+05:30,7.1,7.22,6.9,7.14,260900
2024-06-11 00:00:00+05:30,7.3,7.45,6.9,7.39,328779
2024-06-12 00:00:00+05:30,7.5,7.75,7.45,7.75,305489
2024-06-13 00:00:00+05:30,7.95,8.13,7.9,8.13,325645
2024-06-14 00:00:00+05:30,8.35,8.53,7.9,8.53,465108
2024-06-18 00:00:00+05:30,8.79,8.95,8.55,8.95,507253
2024-06-19 00:00:00+05:30,8.77,8.77,8.77,8.77,31667
2024-06-20 00:00:00+05:30,8.59,8.59,8.59,8.59,29776
2024-06-21 00:00:00+05:30,8.41,8.41,8.41,8.41,35221
2024-06-24 00:00:00+05:30,8.24,8.24,8.24,8.24,30498
2024-06-25 00:00:00+05:30,8.07,8.07,8.07,8.07,52314
2024-06-26 00:00:00+05:30,7.9,7.9,7.9,7.9,48594
2024-06-27 00:00:00+05:30,7.74,7.74,7.74,7.74,60926
2024-06-28 00:00:00+05:30,7.65,7.65,7.59,7.59,112302
2024-07-01 00:00:00+05:30,7.43,7.45,7.43,7.43,138423
2024-07-02 00:00:00+05:30,7.28,7.43,7.28,7.43,122159
2024-07-03 00:00:00+05:30,7.33,7.33,7.31,7.31,135467
2024-07-04 00:00:00+05:30,7.31,7.33,7.31,7.33,140147
2024-07-05 00:00:00+05:30,7.43,7.47,7.43,7.47,115913
2024-07-08 00:00:00+05:30,7.61,7.61,7.61,7.61,206895
2024-07-09 00:00:00+05:30,7.61,7.61,7.45,7.45,75925
2024-07-10 00:00:00+05:30,7.3,7.45,7.3,7.45,106716
2024-07-11 00:00:00+05:30,7.3,7.3,7.3,7.3,95152
2024-07-12 00:00:00+05:30,7.3,7.3,7.15,7.15,146938
2024-07-15 00:00:00+05:30,7.0,7.0,7.0,7.0,149304
2024-07-16 00:00:00+05:30,6.86,7.14,6.86,7.14,171967
2024-07-18 00:00:00+05:30,7.03,7.03,6.99,6.99,405887
2024-07-19 00:00:00+05:30,6.93,6.93,6.85,6.85,108090
2024-07-22 00:00:00+05:30,6.75,6.98,6.71,6.98,247237
2024-07-23 00:00:00+05:30,6.98,7.0,6.98,7.0,336749
2024-07-24 00:00:00+05:30,7.0,7.14,7.0,7.14,151466
2024-07-25 00:00:00+05:30,7.28,7.28,7.28,7.28,30337
2024-07-26 00:00:00+05:30,7.42,7.42,7.42,7.42,31113
2024-07-29 00:00:00+05:30,7.79,7.79,7.6,7.79,291209
2024-07-30 00:00:00+05:30,7.93,8.17,7.44,8.11,940038
2024-07-31 00:00:00+05:30,8.0,8.2,7.8,7.96,330234
2024-08-01 00:00:00+05:30,8.24,8.24,7.71,8.03,163224
2024-08-02 00:00:00+05:30,8.1,8.1,7.7,7.88,151711
2024-08-05 00:00:00+05:30,7.88,7.88,7.48,7.48,153384
2024-08-06 00:00:00+05:30,7.55,7.85,7.1,7.75,372949
2024-08-07 00:00:00+05:30,7.74,8.08,7.41,7.63,214785
2024-08-08 00:00:00+05:30,7.7,7.7,7.36,7.4,110504
2024-08-09 00:00:00+05:30,7.59,7.65,7.2,7.44,74237
2024-08-12 00:00:00+05:30,7.6,7.81,7.2,7.81,206949
2024-08-13 00:00:00+05:30,8.15,8.15,7.52,7.84,189559
2024-08-14 00:00:00+05:30,7.94,7.94,7.58,7.73,75096
2024-08-16 00:00:00+05:30,7.73,7.92,7.52,7.65,180935
2024-08-19 00:00:00+05:30,8.03,8.03,7.37,7.91,214647
2024-08-20 00:00:00+05:30,8.01,8.3,7.51,7.88,426187
2024-08-21 00:00:00+05:30,8.05,8.1,7.49,7.63,847303
2024-08-22 00:00:00+05:30,7.57,7.63,7.4,7.56,377869
2024-08-23 00:00:00+05:30,7.59,7.69,7.4,7.5,113330
2024-08-26 00:00:00+05:30,7.49,7.6,7.31,7.5,84096
2024-08-27 00:00:00+05:30,7.58,7.59,7.3,7.45,88641
2024-08-28 00:00:00+05:30,7.55,7.65,7.37,7.48,102903
2024-08-29 00:00:00+05:30,7.61,7.61,7.2,7.36,115476
2024-08-30 00:00:00+05:30,7.43,7.72,7.23,7.66,410245
2024-09-02 00:00:00+05:30,7.88,7.88,7.3,7.51,232354
2024-09-03 00:00:00+05:30,7.51,7.53,7.21,7.22,179218
2024-09-04 00:00:00+05:30,7.22,7.5,7.17,7.44,137062
2024-09-05 00:00:00+05:30,7.53,7.75,7.21,7.35,154482
2024-09-06 00:00:00+05:30,7.5,7.6,7.35,7.44,364468
2024-09-09 00:00:00+05:30,7.48,7.5,7.1,7.28,217541
2024-09-10 00:00:00+05:30,7.39,7.39,7.13,7.17,104949
2024-09-11 00:00:00+05:30,7.28,7.29,7.1,7.26,39451
2024-09-12 00:00:00+05:30,7.29,7.5,7.13,7.26,118550
2024-09-13 00:00:00+05:30,7.16,7.61,7.16,7.52,366795
2024-09-16 00:00:00+05:30,7.55,7.89,7.21,7.89,598425
2024-09-17 00:00:00+05:30,8.08,8.28,7.89,8.11,500634
2024-09-18 00:00:00+05:30,8.3,8.3,7.7,7.7,503789
2024-09-19 00:00:00+05:30,7.65,8.08,7.36,8.06,467515
2024-09-20 00:00:00+05:30,8.06,8.33,7.8,8.16,395135
2024-09-23 00:00:00+05:30,8.4,8.45,8.0,8.23,328835
2024-09-24 00:00:00+05:30,8.2,8.5,8.03,8.32,152244
2024-09-25 00:00:00+05:30,8.32,8.32,8.08,8.2,198953
2024-09-26 00:00:00+05:30,8.09,8.49,8.09,8.45,329750
2024-09-27 00:00:00+05:30,8.5,8.8,8.21,8.71,365669
2024-09-30 00:00:00+05:30,8.8,9.11,8.35,9.0,460479
2024-10-01 00:00:00+05:30,9.13,9.45,9.0,9.29,690421
2024-10-03 00:00:00+05:30,9.29,9.3,8.82,8.82,435719
2024-10-04 00:00:00+05:30,8.8,8.87,8.37,8.38,260410
2024-10-07 00:00:00+05:30,8.5,8.79,8.02,8.79,661853
2024-10-08 00:00:00+05:30,8.35,8.81,8.35,8.35,12784152
2024-10-09 00:00:00+05:30,8.15,8.7,8.15,8.46,6745394
2024-10-10 00:00:00+05:30,8.6,8.8,8.49,8.51,4772785
2024-10-11 00:00:00+05:30,8.75,8.93,8.4,8.81,5544684
2024-10-14 00:00:00+05:30,9.18,9.25,8.65,9.01,6375331
2024-10-15 00:00:00+05:30,8.96,9.3,8.8,8.91,3821390
2024-10-16 00:00:00+05:30,9.34,9.34,8.77,8.93,7224603
2024-10-17 00:00:00+05:30,9.14,9.24,8.92,9.01,9732966
2024-10-18 00:00:00+05:30,9.2,9.46,9.04,9.46,5241747
2024-10-21 00:00:00+05:30,9.93,9.93,9.71,9.92,4517120
2024-10-22 00:00:00+05:30,9.89,10.41,9.45,10.33,6835547
2024-10-23 00:00:00+05:30,10.29,10.32,10.07,10.29,2761089
2024-10-24 00:00:00+05:30,10.39,10.8,9.86,10.78,4038809
