date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,55.1,55.95,51.5,51.95,1036218
2024-06-04 00:00:00+05:30,52.2,52.45,45.0,48.35,1342040
2024-06-05 00:00:00+05:30,49.5,51.6,47.6,50.85,442933
2024-06-06 00:00:00+05:30,51.25,53.35,50.8,51.0,663392
2024-06-07 00:00:00+05:30,51.4,52.75,50.6,51.1,984696
2024-06-10 00:00:00+05:30,51.55,53.2,51.55,51.89,622022
2024-06-11 00:00:00+05:30,51.6,52.93,51.6,51.96,488991
2024-06-12 00:00:00+05:30,52.35,53.77,51.0,51.4,1177936
2024-06-13 00:00:00+05:30,51.95,53.0,51.55,51.94,791662
2024-06-14 00:00:00+05:30,51.97,53.58,51.7,51.96,1122538
2024-06-18 00:00:00+05:30,52.37,56.56,51.95,54.91,2866459
2024-06-19 00:00:00+05:30,55.34,55.34,52.75,52.94,1528565
2024-06-20 00:00:00+05:30,53.2,55.13,52.65,52.96,1372514
2024-06-21 00:00:00+05:30,53.3,53.79,50.01,50.9,1996909
2024-06-24 00:00:00+05:30,51.0,51.84,50.6,51.01,856124
2024-06-25 00:00:00+05:30,51.29,52.5,50.6,50.79,946591
2024-06-26 00:00:00+05:30,50.9,51.45,50.07,50.27,532114
2024-06-27 00:00:00+05:30,50.5,50.95,49.8,50.21,561714
2024-06-28 00:00:00+05:30,50.49,51.13,50.05,50.52,532684
2024-07-01 00:00:00+05:30,50.48,52.4,50.09,51.82,1342606
2024-07-02 00:00:00+05:30,51.82,52.19,50.61,50.82,572782
2024-07-03 00:00:00+05:30,51.0,53.21,50.95,52.01,1524577
2024-07-04 00:00:00+05:30,52.11,53.49,51.35,51.51,869918
2024-07-05 00:00:00+05:30,51.69,52.05,51.1,51.49,733419
2024-07-08 00:00:00+05:30,51.59,51.87,50.5,50.61,523985
2024-07-09 00:00:00+05:30,50.62,52.18,50.5,50.91,636183
2024-07-10 00:00:00+05:30,51.14,51.27,50.05,50.4,421308
2024-07-11 00:00:00+05:30,50.68,51.55,50.32,50.83,703615
2024-07-12 00:00:00+05:30,51.85,54.65,51.5,51.68,3458761
2024-07-15 00:00:00+05:30,52.0,54.5,51.6,53.92,2068360
2024-07-16 00:00:00+05:30,55.0,55.01,53.0,53.61,936005
2024-07-18 00:00:00+05:30,53.61,53.79,52.08,52.51,868388
2024-07-19 00:00:00+05:30,52.51,52.51,50.51,50.62,636904
2024-07-22 00:00:00+05:30,50.62,51.44,50.01,50.78,334786
2024-07-23 00:00:00+05:30,51.4,51.95,48.99,50.76,572276
2024-07-24 00:00:00+05:30,51.45,51.82,50.11,50.91,317517
2024-07-25 00:00:00+05:30,50.4,51.8,50.21,51.51,428094
2024-07-26 00:00:00+05:30,51.84,52.16,50.51,51.21,566458
2024-07-29 00:00:00+05:30,51.68,52.05,51.18,51.35,426959
2024-07-30 00:00:00+05:30,51.39,53.0,51.39,51.65,961503
2024-07-31 00:00:00+05:30,51.94,53.07,51.42,51.95,709454
2024-08-01 00:00:00+05:30,52.15,52.32,50.8,51.02,653616
