date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,560.0,578.0,536.8,541.4,408241
2024-06-04 00:00:00+05:30,541.4,541.4,477.55,515.6,257590
2024-06-05 00:00:00+05:30,514.95,537.6,496.45,529.85,168775
2024-06-06 00:00:00+05:30,539.0,542.0,532.0,534.9,116205
2024-06-07 00:00:00+05:30,536.0,543.6,532.15,541.45,73403
2024-06-10 00:00:00+05:30,543.0,547.05,538.15,542.1,68919
2024-06-11 00:00:00+05:30,547.35,549.7,529.95,540.45,145665
2024-06-12 00:00:00+05:30,544.7,559.0,540.15,555.75,161672
2024-06-13 00:00:00+05:30,556.0,565.0,546.7,554.4,213475
2024-06-14 00:00:00+05:30,558.25,564.2,551.55,554.5,113179
2024-06-18 00:00:00+05:30,559.95,560.0,545.0,548.1,142072
2024-06-19 00:00:00+05:30,548.1,556.0,540.0,541.85,91363
2024-06-20 00:00:00+05:30,543.0,572.65,539.05,557.7,324099
2024-06-21 00:00:00+05:30,562.2,564.7,551.0,553.05,68751
2024-06-24 00:00:00+05:30,554.65,558.2,542.05,545.4,122014
2024-06-25 00:00:00+05:30,550.25,635.0,547.6,603.65,3210060
2024-06-26 00:00:00+05:30,604.0,631.85,580.55,592.9,1150340
2024-06-27 00:00:00+05:30,587.6,596.05,570.0,586.8,421662
2024-06-28 00:00:00+05:30,597.45,631.1,580.95,626.9,1020029
2024-07-01 00:00:00+05:30,634.4,752.25,632.3,752.25,5236358
2024-07-02 00:00:00+05:30,773.7,818.4,753.35,799.7,5236143
2024-07-03 00:00:00+05:30,787.0,805.0,768.15,775.95,557134
2024-07-04 00:00:00+05:30,781.0,844.4,781.0,794.15,1207169
2024-07-05 00:00:00+05:30,793.95,794.9,778.0,781.5,291683
2024-07-08 00:00:00+05:30,786.0,810.0,786.0,788.3,294601
2024-07-09 00:00:00+05:30,791.9,795.0,760.0,766.35,221451
2024-07-10 00:00:00+05:30,770.2,789.95,730.0,752.05,239611
2024-07-11 00:00:00+05:30,755.1,814.15,755.1,784.45,1382701
2024-07-12 00:00:00+05:30,786.0,788.7,713.3,735.7,459577
2024-07-15 00:00:00+05:30,747.0,760.0,718.4,745.55,482328
