date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,24.45,24.84,24.13,24.34,625254
2024-06-04 00:00:00+05:30,24.35,25.6,22.15,24.38,687160
2024-06-05 00:00:00+05:30,24.38,24.91,22.33,24.78,485875
2024-06-06 00:00:00+05:30,24.91,24.91,24.58,24.77,527244
2024-06-07 00:00:00+05:30,24.85,25.43,24.71,25.37,579014
2024-06-10 00:00:00+05:30,25.45,26.19,25.3,25.4,496725
2024-06-11 00:00:00+05:30,25.56,25.77,25.36,25.63,471618
2024-06-12 00:00:00+05:30,25.64,25.88,25.5,25.63,504617
2024-06-13 00:00:00+05:30,25.86,25.93,25.57,25.79,531147
2024-06-14 00:00:00+05:30,25.89,26.18,25.76,26.13,866563
2024-06-18 00:00:00+05:30,26.49,26.9,26.03,26.17,939482
2024-06-19 00:00:00+05:30,26.17,26.42,25.79,25.82,803121
2024-06-20 00:00:00+05:30,25.97,26.08,25.65,25.71,515670
2024-06-21 00:00:00+05:30,25.77,25.95,25.46,25.53,970001
2024-06-24 00:00:00+05:30,25.53,26.0,25.11,25.76,1072484
2024-06-25 00:00:00+05:30,26.14,26.14,25.66,25.69,514439
2024-06-26 00:00:00+05:30,25.76,25.97,25.42,25.47,738161
2024-06-27 00:00:00+05:30,25.56,25.65,25.3,25.59,1020753
2024-06-28 00:00:00+05:30,25.7,25.82,25.43,25.61,1408887
2024-07-01 00:00:00+05:30,25.61,25.94,24.44,25.76,542749
2024-07-02 00:00:00+05:30,26.0,26.0,25.44,25.57,719497
2024-07-03 00:00:00+05:30,25.58,25.85,25.47,25.69,735905
2024-07-04 00:00:00+05:30,25.69,25.84,25.69,25.79,618988
2024-07-05 00:00:00+05:30,25.89,25.89,25.5,25.84,461671
2024-07-08 00:00:00+05:30,26.09,26.14,25.66,25.76,650632
2024-07-09 00:00:00+05:30,25.75,26.29,25.75,26.26,959107
2024-07-10 00:00:00+05:30,26.26,26.3,25.58,25.81,1571161
2024-07-11 00:00:00+05:30,25.82,25.98,25.73,25.75,741703
2024-07-12 00:00:00+05:30,25.81,25.91,25.61,25.66,749383
2024-07-15 00:00:00+05:30,25.7,25.94,25.66,25.89,502434
2024-07-16 00:00:00+05:30,25.89,26.13,25.83,25.92,657341
2024-07-18 00:00:00+05:30,25.98,26.13,25.65,25.99,510277
2024-07-19 00:00:00+05:30,26.12,26.29,25.42,25.45,671190
2024-07-22 00:00:00+05:30,25.45,25.79,25.15,25.74,434429
2024-07-23 00:00:00+05:30,25.73,25.98,24.95,25.8,785110
2024-07-24 00:00:00+05:30,25.97,25.97,25.61,25.75,293865
2024-07-25 00:00:00+05:30,25.75,26.08,25.63,26.03,937575
2024-07-26 00:00:00+05:30,26.07,26.74,26.02,26.69,1640495
2024-07-29 00:00:00+05:30,26.72,26.98,26.72,26.85,815715
2024-07-30 00:00:00+05:30,26.9,27.2,26.66,27.04,718745
2024-07-31 00:00:00+05:30,27.04,27.32,27.02,27.16,650260
2024-08-01 00:00:00+05:30,27.2,27.48,26.88,26.99,976731
2024-08-02 00:00:00+05:30,27.05,27.05,26.25,26.27,2163476
2024-08-05 00:00:00+05:30,26.0,26.08,25.03,25.32,2068364
2024-08-06 00:00:00+05:30,25.42,25.94,25.0,25.05,1341081
2024-08-07 00:00:00+05:30,25.33,25.65,25.33,25.51,589824
2024-08-08 00:00:00+05:30,25.51,25.71,25.3,25.47,433537
2024-08-09 00:00:00+05:30,25.76,26.02,25.62,25.87,806823
2024-08-12 00:00:00+05:30,25.76,25.95,25.57,25.78,383644
2024-08-13 00:00:00+05:30,25.78,25.95,25.55,25.62,225656
2024-08-14 00:00:00+05:30,25.66,25.84,25.55,25.63,233791
2024-08-16 00:00:00+05:30,26.21,26.21,25.69,26.11,453435
2024-08-19 00:00:00+05:30,26.19,26.38,25.9,25.95,3606163
