date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,124.0,124.0,118.0,118.55,81122
2024-06-04 00:00:00+05:30,118.0,120.4,99.75,105.6,274388
2024-06-05 00:00:00+05:30,107.65,117.85,103.25,115.2,140042
2024-06-06 00:00:00+05:30,115.5,118.4,115.0,116.95,65113
2024-06-07 00:00:00+05:30,116.95,120.5,116.0,119.85,112521
2024-06-10 00:00:00+05:30,121.65,126.71,120.15,123.95,144879
2024-06-11 00:00:00+05:30,124.05,128.1,123.1,125.54,132664
2024-06-12 00:00:00+05:30,126.3,128.46,124.4,125.5,181440
2024-06-13 00:00:00+05:30,126.15,126.76,120.5,121.64,206766
2024-06-14 00:00:00+05:30,123.3,125.99,117.99,118.9,310288
2024-06-18 00:00:00+05:30,119.25,120.89,118.15,119.13,105422
2024-06-19 00:00:00+05:30,119.6,120.45,114.85,116.01,382403
2024-06-20 00:00:00+05:30,117.15,120.99,116.61,117.87,208846
2024-06-21 00:00:00+05:30,117.95,122.3,117.95,119.49,131416
2024-06-24 00:00:00+05:30,118.5,121.14,117.49,119.41,114023
2024-06-25 00:00:00+05:30,120.6,121.39,116.6,116.99,152081
2024-06-26 00:00:00+05:30,118.45,118.45,114.96,115.28,126949
2024-06-27 00:00:00+05:30,115.29,133.59,115.29,126.19,2801584
2024-06-28 00:00:00+05:30,127.05,130.77,123.04,124.21,406611
2024-07-01 00:00:00+05:30,125.55,136.8,124.21,133.63,877426
2024-07-02 00:00:00+05:30,134.0,136.29,130.1,131.64,509919
2024-07-03 00:00:00+05:30,132.4,136.0,130.1,131.72,336027
2024-07-04 00:00:00+05:30,132.0,139.99,132.0,138.35,751440
2024-07-05 00:00:00+05:30,140.0,142.9,136.16,137.22,500207
2024-07-08 00:00:00+05:30,138.0,139.5,133.35,138.04,234980
2024-07-09 00:00:00+05:30,138.2,142.8,135.8,138.55,470376
2024-07-10 00:00:00+05:30,138.55,142.0,130.75,131.91,449092
2024-07-11 00:00:00+05:30,133.0,134.89,131.0,131.64,175063
2024-07-12 00:00:00+05:30,131.8,132.99,127.55,128.13,183238
2024-07-15 00:00:00+05:30,129.9,129.9,124.1,125.34,144651
2024-07-16 00:00:00+05:30,124.5,129.82,124.5,128.14,104446
2024-07-18 00:00:00+05:30,129.4,137.7,127.61,132.47,459315
2024-07-19 00:00:00+05:30,132.47,133.53,126.5,126.88,211298
2024-07-22 00:00:00+05:30,128.5,129.0,120.97,123.23,160567
2024-07-23 00:00:00+05:30,125.1,125.9,117.15,124.69,146291
2024-07-24 00:00:00+05:30,124.95,129.07,121.95,123.67,207879
2024-07-25 00:00:00+05:30,123.4,127.32,122.23,123.02,137884
2024-07-26 00:00:00+05:30,124.8,126.0,123.48,124.01,121939
2024-07-29 00:00:00+05:30,126.0,127.4,123.8,124.42,221686
2024-07-30 00:00:00+05:30,125.5,140.95,125.5,131.54,2206695
2024-07-31 00:00:00+05:30,132.4,150.5,129.28,144.58,5388930
2024-08-01 00:00:00+05:30,151.05,151.06,144.1,148.06,1705057
2024-08-02 00:00:00+05:30,144.0,147.2,142.15,143.35,670336
2024-08-05 00:00:00+05:30,139.1,140.0,131.22,132.09,799920
2024-08-06 00:00:00+05:30,134.0,141.79,132.26,133.51,566561
2024-08-07 00:00:00+05:30,135.95,144.0,135.24,142.76,718616
2024-08-08 00:00:00+05:30,142.72,142.72,137.5,138.92,224926
2024-08-09 00:00:00+05:30,140.0,148.4,138.0,142.96,561664
2024-08-12 00:00:00+05:30,147.15,147.92,137.35,138.33,501186
2024-08-13 00:00:00+05:30,140.41,141.0,132.5,133.33,243694
2024-08-14 00:00:00+05:30,135.35,138.0,132.72,136.08,278921
2024-08-16 00:00:00+05:30,136.53,136.7,132.0,132.72,146437
2024-08-19 00:00:00+05:30,133.51,135.48,132.12,133.85,123081
2024-08-20 00:00:00+05:30,135.45,140.5,133.61,138.07,341252
2024-08-21 00:00:00+05:30,137.0,142.1,137.0,139.18,229199
2024-08-22 00:00:00+05:30,140.3,140.3,136.05,136.93,104129
2024-08-23 00:00:00+05:30,138.01,138.01,134.15,134.68,126032
2024-08-26 00:00:00+05:30,135.5,137.15,133.33,135.64,152761
2024-08-27 00:00:00+05:30,137.0,154.93,137.0,150.98,3840537
2024-08-28 00:00:00+05:30,153.1,156.0,144.9,146.9,1063164
2024-08-29 00:00:00+05:30,145.99,154.1,139.5,150.76,1071011
2024-08-30 00:00:00+05:30,151.95,157.0,146.34,148.38,963442
2024-09-02 00:00:00+05:30,148.6,149.99,145.1,146.31,251075
2024-09-03 00:00:00+05:30,146.75,146.75,141.99,142.97,287264
2024-09-04 00:00:00+05:30,141.9,145.4,140.41,141.02,228283
2024-09-05 00:00:00+05:30,141.95,145.0,139.72,142.5,216141
2024-09-06 00:00:00+05:30,142.5,143.95,137.51,138.67,231830
2024-09-09 00:00:00+05:30,138.67,139.06,134.01,137.13,152715
2024-09-10 00:00:00+05:30,137.15,145.0,137.15,141.71,294184
2024-09-11 00:00:00+05:30,142.05,146.9,142.05,142.83,284406
2024-09-12 00:00:00+05:30,143.6,145.18,142.0,142.32,110766
2024-09-13 00:00:00+05:30,143.44,149.9,141.35,142.6,412046
2024-09-16 00:00:00+05:30,144.49,150.0,142.1,145.58,323037
2024-09-17 00:00:00+05:30,146.75,146.75,139.21,140.37,189630
2024-09-18 00:00:00+05:30,140.37,142.09,138.4,139.57,127154
2024-09-19 00:00:00+05:30,140.5,142.43,132.41,140.13,346380
