date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,11.4,12.1,11.4,11.75,2044967
2024-06-04 00:00:00+05:30,12.1,12.1,11.4,11.71,200846
2024-06-05 00:00:00+05:30,11.71,11.77,11.4,11.68,263808
2024-06-06 00:00:00+05:30,11.8,11.8,11.7,11.7,86230
2024-06-07 00:00:00+05:30,12.05,12.05,11.7,11.74,75983
2024-06-10 00:00:00+05:30,13.3,13.3,11.4,11.74,64016
2024-06-11 00:00:00+05:30,12.1,12.1,11.7,11.75,52790
2024-06-12 00:00:00+05:30,11.8,11.8,11.71,11.76,37692
2024-06-13 00:00:00+05:30,12.1,12.1,11.73,11.77,28364
2024-06-14 00:00:00+05:30,11.77,11.83,11.75,11.76,63894
2024-06-18 00:00:00+05:30,12.1,12.1,11.74,11.78,26118
2024-06-19 00:00:00+05:30,11.45,11.82,11.45,11.79,24980
2024-06-20 00:00:00+05:30,11.78,11.84,11.75,11.79,27946
2024-06-21 00:00:00+05:30,12.15,12.15,11.73,11.8,26519
2024-06-24 00:00:00+05:30,11.45,13.0,11.45,11.81,55335
2024-06-25 00:00:00+05:30,12.15,12.15,11.8,11.81,17793
2024-06-26 00:00:00+05:30,11.82,11.83,11.79,11.81,51819
2024-06-27 00:00:00+05:30,12.4,12.4,11.76,11.77,38149
2024-06-28 00:00:00+05:30,12.0,12.0,11.75,11.81,22062
2024-07-01 00:00:00+05:30,12.15,13.0,11.77,11.83,70652
2024-07-02 00:00:00+05:30,12.2,12.2,11.83,11.84,130191
2024-07-03 00:00:00+05:30,11.5,11.86,11.5,11.84,73584
2024-07-04 00:00:00+05:30,11.85,11.88,11.79,11.84,1522923
2024-07-05 00:00:00+05:30,12.2,12.2,11.81,11.86,133072
2024-07-08 00:00:00+05:30,12.2,12.2,11.81,11.86,39855
2024-07-09 00:00:00+05:30,11.9,11.9,11.81,11.87,38548
2024-07-10 00:00:00+05:30,12.25,12.25,11.81,11.81,162169
2024-07-11 00:00:00+05:30,12.15,12.15,11.81,11.82,707860
2024-07-12 00:00:00+05:30,11.45,11.88,11.45,11.86,64055
2024-07-15 00:00:00+05:30,12.2,12.2,11.77,11.87,18278
2024-07-16 00:00:00+05:30,12.25,12.25,11.87,11.91,87337
2024-07-18 00:00:00+05:30,12.2,12.2,11.81,11.88,43642
2024-07-19 00:00:00+05:30,12.25,12.25,11.83,11.9,465694
2024-07-22 00:00:00+05:30,11.55,12.2,11.55,11.88,83003
2024-07-23 00:00:00+05:30,11.86,11.95,11.85,11.86,22603
2024-07-24 00:00:00+05:30,11.92,11.92,11.85,11.86,11794
2024-07-25 00:00:00+05:30,12.2,12.2,11.86,11.91,25278
2024-07-26 00:00:00+05:30,12.1,12.1,11.87,11.95,22396
2024-07-29 00:00:00+05:30,12.49,12.49,11.87,11.92,10024451
2024-07-30 00:00:00+05:30,12.3,12.3,11.9,11.91,36799
2024-07-31 00:00:00+05:30,11.9,11.97,11.89,11.91,31972
2024-08-01 00:00:00+05:30,11.55,12.25,11.55,11.92,42866
2024-08-02 00:00:00+05:30,12.3,12.3,11.88,11.92,27364
2024-08-05 00:00:00+05:30,12.3,12.3,11.55,11.91,114281
2024-08-06 00:00:00+05:30,12.25,12.25,11.7,11.89,48865
2024-08-07 00:00:00+05:30,12.25,12.25,11.0,11.89,32395
2024-08-08 00:00:00+05:30,11.89,12.14,11.89,11.95,71666
2024-08-09 00:00:00+05:30,11.6,12.5,11.6,11.97,13890
2024-08-12 00:00:00+05:30,12.35,12.35,11.9,11.95,26021
2024-08-13 00:00:00+05:30,12.3,12.3,11.89,11.97,45854
2024-08-14 00:00:00+05:30,12.35,12.35,11.9,11.94,37719
2024-08-16 00:00:00+05:30,12.3,12.3,11.75,11.94,30485
2024-08-19 00:00:00+05:30,11.8,12.1,11.6,11.93,132747
2024-08-20 00:00:00+05:30,12.3,12.3,11.81,11.94,44266
2024-08-21 00:00:00+05:30,12.2,12.2,11.91,11.93,1902894
2024-08-22 00:00:00+05:30,14.0,14.0,11.8,11.96,95475
2024-08-23 00:00:00+05:30,12.2,12.2,11.9,11.91,9944750
