date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,61.4,62.99,60.72,61.16,186158
2024-06-04 00:00:00+05:30,59.35,62.5,59.35,61.01,235436
2024-06-05 00:00:00+05:30,61.03,61.56,61.0,61.2,180928
2024-06-06 00:00:00+05:30,62.3,62.3,61.52,61.9,105928
2024-06-07 00:00:00+05:30,63.75,63.75,61.35,61.41,145769
2024-06-10 00:00:00+05:30,63.25,63.25,60.28,60.59,1274748
2024-06-11 00:00:00+05:30,61.95,61.95,60.5,60.88,79294
2024-06-12 00:00:00+05:30,61.5,61.5,60.88,61.04,58057
2024-06-13 00:00:00+05:30,61.09,61.27,60.78,60.99,98109
2024-06-14 00:00:00+05:30,60.97,61.0,60.61,60.94,109935
2024-06-18 00:00:00+05:30,61.41,61.41,60.65,60.79,119769
2024-06-19 00:00:00+05:30,58.95,61.45,58.95,61.17,53366
2024-06-20 00:00:00+05:30,61.16,61.56,61.12,61.48,290178
2024-06-21 00:00:00+05:30,61.59,62.08,61.59,62.0,106287
2024-06-24 00:00:00+05:30,61.83,61.83,60.4,60.91,196216
2024-06-25 00:00:00+05:30,61.41,61.41,60.8,61.02,104378
2024-06-26 00:00:00+05:30,60.93,60.99,60.67,60.87,105072
2024-06-27 00:00:00+05:30,60.79,60.79,60.27,60.69,176542
2024-06-28 00:00:00+05:30,61.41,61.41,60.8,61.11,42164
2024-07-01 00:00:00+05:30,62.95,62.95,60.77,61.07,87805
2024-07-02 00:00:00+05:30,62.9,62.9,61.03,61.17,141540
2024-07-03 00:00:00+05:30,59.35,61.95,59.35,61.48,106219
2024-07-04 00:00:00+05:30,61.64,61.89,61.56,61.78,79458
2024-07-05 00:00:00+05:30,62.45,62.45,61.62,61.96,615495
2024-07-08 00:00:00+05:30,62.99,62.99,61.81,62.0,96335
2024-07-09 00:00:00+05:30,62.05,62.05,61.5,61.85,105023
2024-07-10 00:00:00+05:30,62.65,62.65,61.69,61.98,129645
2024-07-11 00:00:00+05:30,63.85,63.85,62.02,62.14,55841
2024-07-12 00:00:00+05:30,62.45,62.78,62.16,62.26,96773
2024-07-15 00:00:00+05:30,64.15,64.15,62.2,62.35,121389
2024-07-16 00:00:00+05:30,64.2,64.2,62.35,62.82,104001
2024-07-18 00:00:00+05:30,63.17,63.74,63.01,63.48,668635
2024-07-19 00:00:00+05:30,63.37,63.37,62.75,63.05,120451
2024-07-22 00:00:00+05:30,62.11,63.03,62.11,62.44,976343
2024-07-23 00:00:00+05:30,62.45,62.98,60.4,60.69,289693
2024-07-24 00:00:00+05:30,60.69,61.19,59.85,60.1,357016
2024-07-25 00:00:00+05:30,60.09,63.1,59.0,62.19,146336
2024-07-26 00:00:00+05:30,61.99,62.8,60.21,60.72,251687
2024-07-29 00:00:00+05:30,62.55,62.55,59.98,60.29,328526
2024-07-30 00:00:00+05:30,60.79,60.98,58.38,58.88,861946
2024-07-31 00:00:00+05:30,58.91,59.58,58.51,59.06,749121
2024-08-01 00:00:00+05:30,60.85,60.85,59.18,59.48,163278
2024-08-02 00:00:00+05:30,60.4,60.4,59.48,60.01,187556
2024-08-05 00:00:00+05:30,60.01,60.89,58.2,59.27,371933
