date,open,high,low,close,volume
2024-06-03 00:00:00+05:30,97.0,99.0,92.45,93.55,303420
2024-06-04 00:00:00+05:30,93.5,93.5,80.65,86.55,131072
2024-06-05 00:00:00+05:30,85.8,89.45,83.8,88.7,35560
2024-06-06 00:00:00+05:30,90.5,94.0,89.3,90.45,120756
2024-06-07 00:00:00+05:30,91.0,95.0,91.0,92.7,62998
2024-06-10 00:00:00+05:30,93.0,95.4,91.24,93.81,39243
2024-06-11 00:00:00+05:30,93.9,94.77,92.1,93.34,45199
2024-06-12 00:00:00+05:30,94.75,95.42,93.05,93.25,44760
2024-06-13 00:00:00+05:30,93.5,99.1,93.3,97.22,188234
2024-06-14 00:00:00+05:30,98.7,98.7,95.1,95.45,43285
2024-06-18 00:00:00+05:30,95.3,98.25,95.0,95.24,41669
2024-06-19 00:00:00+05:30,95.76,95.79,92.82,93.14,32684
2024-06-20 00:00:00+05:30,95.45,96.86,93.52,94.16,37653
2024-06-21 00:00:00+05:30,94.18,102.77,94.18,99.91,428913
2024-06-24 00:00:00+05:30,99.51,102.29,98.5,100.28,192541
2024-06-25 00:00:00+05:30,100.35,100.79,93.56,96.79,184035
2024-06-26 00:00:00+05:30,97.1,101.0,95.42,100.29,135207
2024-06-27 00:00:00+05:30,101.0,104.98,93.9,97.98,609054
2024-06-28 00:00:00+05:30,97.98,101.5,97.9,100.31,113121
2024-07-01 00:00:00+05:30,100.0,114.0,99.4,110.56,823270
2024-07-02 00:00:00+05:30,111.0,113.99,107.21,108.41,261397
2024-07-03 00:00:00+05:30,109.8,115.0,106.83,109.69,294294
2024-07-04 00:00:00+05:30,109.69,119.75,108.0,117.91,407299
2024-07-05 00:00:00+05:30,117.41,122.65,116.0,118.97,402520
2024-07-08 00:00:00+05:30,118.0,123.5,114.81,115.19,132617
2024-07-09 00:00:00+05:30,116.0,119.0,112.61,116.61,88306
2024-07-10 00:00:00+05:30,116.5,120.18,111.16,118.13,146737
2024-07-11 00:00:00+05:30,118.65,125.29,118.1,121.24,216367
2024-07-12 00:00:00+05:30,122.39,122.39,116.05,116.83,66767
2024-07-15 00:00:00+05:30,118.0,123.51,114.62,119.02,75736
2024-07-16 00:00:00+05:30,122.0,122.93,118.82,120.27,102186
2024-07-18 00:00:00+05:30,122.05,124.0,116.0,117.32,66061
2024-07-19 00:00:00+05:30,118.17,118.17,112.51,114.32,73482
2024-07-22 00:00:00+05:30,113.6,117.58,110.7,115.64,64202
2024-07-23 00:00:00+05:30,116.0,120.8,111.3,115.55,64427
